"prod","dest","mean","sd"
"Pre-consumer processes","Soil",0,0
"Pre-consumer processes","Soil (MP)",0.000134664864082041,3.10584698243988e-05
"Pre-consumer processes","Fresh water",0,0
"Pre-consumer processes","Fresh water (MP)",1.69453191654221e-06,3.68181259882253e-07
"Pre-consumer processes","Subsurface soil (MP)",1.46703135450568e-06,1.05713887943056e-06
"Pre-consumer processes","Coastal and ocean water",0,0
"Pre-consumer processes","Coastal and ocean water (MP)",1.72558857845009e-06,7.00188331182741e-07
"ConsumerFilms","Soil",0.00579202319346553,0.00260230555727438
"ConsumerFilms","Soil (MP)",0.000199396947042642,7.44426792975701e-05
"ConsumerFilms","Fresh water",4.7500485744796e-05,2.77110026029424e-05
"ConsumerFilms","Fresh water (MP)",0,0
"ConsumerFilms","Subsurface soil (MP)",0,0
"ConsumerFilms","Coastal and ocean water",0.000136336530283642,7.88076028065469e-05
"ConsumerFilms","Coastal and ocean water (MP)",0,0
"ConsumerBags","Soil",0.00636548718463301,0.0039057685972525
"ConsumerBags","Soil (MP)",0.000200380654001268,9.59056215097129e-05
"ConsumerBags","Fresh water",5.29261326076161e-05,4.08623308386669e-05
"ConsumerBags","Fresh water (MP)",0,0
"ConsumerBags","Subsurface soil (MP)",0,0
"ConsumerBags","Coastal and ocean water",0.000151509940720164,0.000116602130984992
"ConsumerBags","Coastal and ocean water (MP)",0,0
"ConsumerBottles","Soil",0.00634991625346472,0.00532473100745585
"ConsumerBottles","Soil (MP)",4.04576590322377e-05,1.85934267764312e-05
"ConsumerBottles","Fresh water",5.34826624282926e-05,5.67045159433115e-05
"ConsumerBottles","Fresh water (MP)",0,0
"ConsumerBottles","Subsurface soil (MP)",0,0
"ConsumerBottles","Coastal and ocean water",0.00015274875813699,0.000159035042470834
"ConsumerBottles","Coastal and ocean water (MP)",0,0
"ConsumerOther","Soil",0.00212720585130459,0.0008217476535688
"ConsumerOther","Soil (MP)",4.02617607155269e-05,1.38907258006623e-05
"ConsumerOther","Fresh water",1.66550383346158e-05,8.81992544156558e-06
"ConsumerOther","Fresh water (MP)",0,0
"ConsumerOther","Subsurface soil (MP)",0,0
"ConsumerOther","Coastal and ocean water",4.74171779304441e-05,2.48845371303028e-05
"ConsumerOther","Coastal and ocean water (MP)",0,0
"AgriculturalPackagingFilms","Soil",0.00128999247949094,0.000333796333317137
"AgriculturalPackagingFilms","Soil (MP)",0.000199985519547493,9.55341335565998e-05
"AgriculturalPackagingFilms","Fresh water",6.9516268472156e-07,3.16386415772762e-07
