"prod","dest","mean","sd"
"Pre-consumer processes","Soil",0,0
"Pre-consumer processes","Soil (MP)",4.9398044719112e-05,1.55083981691473e-05
"Pre-consumer processes","Fresh water",0,0
"Pre-consumer processes","Fresh water (MP)",8.79570579580207e-07,5.05201284696611e-07
"Pre-consumer processes","Subsurface soil (MP)",8.42949400167512e-07,5.53647863414623e-07
"Pre-consumer processes","Coastal and ocean water",0,0
"Pre-consumer processes","Coastal and ocean water (MP)",1.08114928207996e-07,9.00137826541843e-08
"ConsumerFilms","Soil",0.00558256682747635,0.00240815330397244
"ConsumerFilms","Soil (MP)",4.62528905244207e-05,1.73285291645621e-05
"ConsumerFilms","Fresh water",8.43643315556242e-05,5.12824818962095e-05
"ConsumerFilms","Fresh water (MP)",0,0
"ConsumerFilms","Subsurface soil (MP)",0,0
"ConsumerFilms","Coastal and ocean water",8.107252434141e-05,4.46723151132947e-05
"ConsumerFilms","Coastal and ocean water (MP)",0,0
"ConsumerBags","Soil",0.00615341293498184,0.00361276634664686
"ConsumerBags","Soil (MP)",4.61880100913567e-05,2.20262346316249e-05
"ConsumerBags","Fresh water",9.42010938576293e-05,7.79669388393098e-05
"ConsumerBags","Fresh water (MP)",0,0
"ConsumerBags","Subsurface soil (MP)",0,0
"ConsumerBags","Coastal and ocean water",9.05893953833904e-05,6.77927213981513e-05
"ConsumerBags","Coastal and ocean water (MP)",0,0
"ConsumerBottles","Soil",0.0062339156509357,0.00499574203842484
"ConsumerBottles","Soil (MP)",9.34562308469452e-06,4.29609177631794e-06
"ConsumerBottles","Fresh water",9.61836760426574e-05,0.000104333771226384
"ConsumerBottles","Fresh water (MP)",0,0
"ConsumerBottles","Subsurface soil (MP)",0,0
"ConsumerBottles","Coastal and ocean water",9.28814043548656e-05,9.27947336038208e-05
"ConsumerBottles","Coastal and ocean water (MP)",0,0
"ConsumerOther","Soil",0.00222730152139383,0.00078005608205113
"ConsumerOther","Soil (MP)",9.33987393266658e-06,3.20430042583723e-06
"ConsumerOther","Fresh water",3.02324015744627e-05,1.61939001402585e-05
"ConsumerOther","Fresh water (MP)",0,0
"ConsumerOther","Subsurface soil (MP)",0,0
"ConsumerOther","Coastal and ocean water",2.87348339601892e-05,1.39376922156304e-05
"ConsumerOther","Coastal and ocean water (MP)",0,0
"AgriculturalPackagingFilms","Soil",0.00133187583106107,0.000361756578764037
"AgriculturalPackagingFilms","Soil (MP)",4.64963198686001e-05,2.19577634845063e-05
"AgriculturalPackagingFilms","Fresh water",1.85032586150242e-06,8.99323985478325e-07
"AgriculturalPackagingFilms","Fresh water (MP)",0,0
"AgriculturalPackagingFilms","Subsurface soil (MP)",0,0
"AgriculturalPackagingFilms","Coastal and ocean water",1.30296748633396e-06,6.95446597420731e-07
"AgriculturalPackagingFilms","Coastal and ocean water (MP)",0,0
"AgriculturalPackagingBottles","Soil",0.0128592090668458,0.00765448036942174
"AgriculturalPackagingBottles","Soil (MP)",9.34185869265254e-06,6.00255002161831e-06
"AgriculturalPackagingBottles","Fresh water",1.85124901811692e-06,1.20744821735152e-06
"AgriculturalPackagingBottles","Fresh water (MP)",0,0
"AgriculturalPackagingBottles","Subsurface soil (MP)",0,0
"AgriculturalPackagingBottles","Coastal and ocean water",1.31098513795882e-06,9.31830790641336e-07
"AgriculturalPackagingBottles","Coastal and ocean water (MP)",0,0
"BuildingPackagingFilms","Soil",0.000462700178508023,0.000347458806325136
"BuildingPackagingFilms","Soil (MP)",0,0
"BuildingPackagingFilms","Fresh water",0,0
"BuildingPackagingFilms","Fresh water (MP)",0,0
"BuildingPackagingFilms","Subsurface soil (MP)",0,0
"BuildingPackagingFilms","Coastal and ocean water",0,0
"BuildingPackagingFilms","Coastal and ocean water (MP)",0,0
"OtherNonConsumerFilms","Soil",0.000975510942634918,0.000386746587467826
"OtherNonConsumerFilms","Soil (MP)",0,0
"OtherNonConsumerFilms","Fresh water",0.000135371383864714,9.23798274621515e-05
"OtherNonConsumerFilms","Fresh water (MP)",0,0
"OtherNonConsumerFilms","Subsurface soil (MP)",0,0
"OtherNonConsumerFilms","Coastal and ocean water",9.2557766758787e-05,7.48486828493514e-05
"OtherNonConsumerFilms","Coastal and ocean water (MP)",0,0
"NonConsumerBags","Soil",0.000973816412136457,0.00047240512501063
"NonConsumerBags","Soil (MP)",0,0
"NonConsumerBags","Fresh water",0.000135541148332531,0.00011539803314401
"NonConsumerBags","Fresh water (MP)",0,0
"NonConsumerBags","Subsurface soil (MP)",0,0
"NonConsumerBags","Coastal and ocean water",9.28902667787866e-05,9.06308266214001e-05
"NonConsumerBags","Coastal and ocean water (MP)",0,0
"NonConsumerOther","Soil",0.000973081077436014,0.000260880604828952
"NonConsumerOther","Soil (MP)",0,0
"NonConsumerOther","Fresh water",0.000133891696794303,6.34498351009407e-05
"NonConsumerOther","Fresh water (MP)",0,0
"NonConsumerOther","Subsurface soil (MP)",0,0
"NonConsumerOther","Coastal and ocean water",9.22714229148521e-05,5.01364066086597e-05
"NonConsumerOther","Coastal and ocean water (MP)",0,0
"PipesDucts","Soil",0,0
"PipesDucts","Soil (MP)",9.00261906061864e-07,1.08200434178308e-07
"PipesDucts","Fresh water",0,0
"PipesDucts","Fresh water (MP)",0,0
"PipesDucts","Subsurface soil (MP)",6.2958089754128e-06,7.48297083247193e-07
"PipesDucts","Coastal and ocean water",0,0
"PipesDucts","Coastal and ocean water (MP)",0,0
"Insulation","Soil",0.000299588948629594,0.00021884646267509
"Insulation","Soil (MP)",6.37973703105398e-05,2.03230111972552e-05
"Insulation","Fresh water",3.32699922315653e-06,2.62313323782131e-06
"Insulation","Fresh water (MP)",7.91517724236853e-07,5.1925852237725e-07
"Insulation","Subsurface soil (MP)",0,0
"Insulation","Coastal and ocean water",0.000159086926897746,0.000126078180340757
"Insulation","Coastal and ocean water (MP)",3.53775019727437e-05,1.73490408937725e-05
"WallFloorCoverings","Soil",0.000458385172748731,0.000363719090366118
"WallFloorCoverings","Soil (MP)",0.000274175500343147,0.000214860947977107
"WallFloorCoverings","Fresh water",0,0
"WallFloorCoverings","Fresh water (MP)",8.62110591742339e-06,8.29581328415454e-06
"WallFloorCoverings","Subsurface soil (MP)",1.01236719522585e-05,9.95381861071333e-06
"WallFloorCoverings","Coastal and ocean water",0,0
"WallFloorCoverings","Coastal and ocean water (MP)",0.000140407384571753,0.000136461231423439
"WindowsProfilesFittedFurniture","Soil",0,0
"WindowsProfilesFittedFurniture","Soil (MP)",0,0
"WindowsProfilesFittedFurniture","Fresh water",0,0
"WindowsProfilesFittedFurniture","Fresh water (MP)",0,0
"WindowsProfilesFittedFurniture","Subsurface soil (MP)",0,0
"WindowsProfilesFittedFurniture","Coastal and ocean water",0,0
"WindowsProfilesFittedFurniture","Coastal and ocean water (MP)",0,0
"Lining","Soil",0.000462435241305472,0.000364953437703125
"Lining","Soil (MP)",0,0
"Lining","Fresh water",0,0
"Lining","Fresh water (MP)",0,0
"Lining","Subsurface soil (MP)",0,0
"Lining","Coastal and ocean water",0,0
"Lining","Coastal and ocean water (MP)",0,0
"AutomotivePC","Soil",0.000692396594961897,0.000162914528747777
"AutomotivePC","Soil (MP)",0,0
"AutomotivePC","Fresh water",0,0
"AutomotivePC","Fresh water (MP)",0,0
"AutomotivePC","Subsurface soil (MP)",0,0
"AutomotivePC","Coastal and ocean water",0,0
"AutomotivePC","Coastal and ocean water (MP)",0,0
