"prod","dest","mean","sd"
"Pre-consumer processes","Soil",0,0
"Pre-consumer processes","Soil (MP)",0.000444291838481818,0.00016566948390488
"Pre-consumer processes","Fresh water",0,0
"Pre-consumer processes","Fresh water (MP)",1.23858733928367e-05,6.35404553270381e-06
"Pre-consumer processes","Subsurface soil (MP)",8.41399000474965e-06,6.70384625896607e-06
"Pre-consumer processes","Coastal and ocean water",0,0
"Pre-consumer processes","Coastal and ocean water (MP)",0,0
"ConsumerFilms","Soil",0.00390858704222247,0.00172556601987862
"ConsumerFilms","Soil (MP)",0.000194578554436486,7.22458142887906e-05
"ConsumerFilms","Fresh water",0.000104493202058525,5.91409701283143e-05
"ConsumerFilms","Fresh water (MP)",0,0
"ConsumerFilms","Subsurface soil (MP)",0,0
"ConsumerFilms","Coastal and ocean water",3.06193612153042e-06,1.46518146928161e-06
"ConsumerFilms","Coastal and ocean water (MP)",0,0
"ConsumerBags","Soil",0.00427428489814018,0.0025734374617319
"ConsumerBags","Soil (MP)",0.000193735552911293,9.2709319675724e-05
"ConsumerBags","Fresh water",0.000116616919891901,8.87541196059297e-05
"ConsumerBags","Fresh water (MP)",0,0
"ConsumerBags","Subsurface soil (MP)",0,0
"ConsumerBags","Coastal and ocean water",3.4304830801788e-06,2.22636972802838e-06
"ConsumerBags","Coastal and ocean water (MP)",0,0
"ConsumerBottles","Soil",0.00409776275628059,0.00348233714597065
"ConsumerBottles","Soil (MP)",3.94018218419015e-05,1.80312327521687e-05
"ConsumerBottles","Fresh water",0.000117915389910688,0.000121206293416628
"ConsumerBottles","Fresh water (MP)",0,0
"ConsumerBottles","Subsurface soil (MP)",0,0
"ConsumerBottles","Coastal and ocean water",3.46602135217889e-06,3.47278908793059e-06
"ConsumerBottles","Coastal and ocean water (MP)",0,0
"ConsumerOther","Soil",0.0014864558000054,0.000545582237994303
"ConsumerOther","Soil (MP)",3.95080095780618e-05,1.37566385545281e-05
"ConsumerOther","Fresh water",3.68497814125669e-05,1.86642584225267e-05
"ConsumerOther","Fresh water (MP)",0,0
"ConsumerOther","Subsurface soil (MP)",0,0
"ConsumerOther","Coastal and ocean water",1.09577934352737e-06,4.70681923033678e-07
"ConsumerOther","Coastal and ocean water (MP)",0,0
"AgriculturalPackagingFilms","Soil",0.00130048689241936,0.000330504458791635
"AgriculturalPackagingFilms","Soil (MP)",0.000194938117757635,9.21559409747712e-05
"AgriculturalPackagingFilms","Fresh water",1.47187906629277e-06,6.65645040950902e-07
"AgriculturalPackagingFilms","Fresh water (MP)",0,0
"AgriculturalPackagingFilms","Subsurface soil (MP)",0,0
"AgriculturalPackagingFilms","Coastal and ocean water",6.47592117300851e-08,2.82693113597632e-08
"AgriculturalPackagingFilms","Coastal and ocean water (MP)",0,0
"AgriculturalPackagingBottles","Soil",0.0128191584436252,0.00775359823329404
"AgriculturalPackagingBottles","Soil (MP)",3.93341347912258e-05,2.5006836899828e-05
"AgriculturalPackagingBottles","Fresh water",1.46292899724389e-06,8.93087097771542e-07
"AgriculturalPackagingBottles","Fresh water (MP)",0,0
"AgriculturalPackagingBottles","Subsurface soil (MP)",0,0
"AgriculturalPackagingBottles","Coastal and ocean water",6.42915137392884e-08,3.7406278397792e-08
"AgriculturalPackagingBottles","Coastal and ocean water (MP)",0,0
"BuildingPackagingFilms","Soil",0.000222248499889544,0.000168849906091658
"BuildingPackagingFilms","Soil (MP)",0,0
"BuildingPackagingFilms","Fresh water",0,0
"BuildingPackagingFilms","Fresh water (MP)",0,0
"BuildingPackagingFilms","Subsurface soil (MP)",0,0
"BuildingPackagingFilms","Coastal and ocean water",0,0
"BuildingPackagingFilms","Coastal and ocean water (MP)",0,0
"OtherNonConsumerFilms","Soil",0.000508653081669699,0.000198076787759428
"OtherNonConsumerFilms","Soil (MP)",0,0
"OtherNonConsumerFilms","Fresh water",0.000114006876914584,7.04633859919167e-05
"OtherNonConsumerFilms","Fresh water (MP)",0,0
"OtherNonConsumerFilms","Subsurface soil (MP)",0,0
"OtherNonConsumerFilms","Coastal and ocean water",2.20474567553127e-06,1.41529344557645e-06
"OtherNonConsumerFilms","Coastal and ocean water (MP)",0,0
"NonConsumerBags","Soil",0.000515469821114831,0.000247517876696212
"NonConsumerBags","Soil (MP)",0,0
"NonConsumerBags","Fresh water",0.000114606278774438,8.69243302469812e-05
