"prod","dest","mean","sd"
"Pre-consumer processes","Soil",0,0
"Pre-consumer processes","Soil (MP)",4.10653454962527e-05,1.4454584928645e-05
"Pre-consumer processes","Fresh water",0,0
"Pre-consumer processes","Fresh water (MP)",6.84268240606548e-07,4.8306114848197e-07
"Pre-consumer processes","Subsurface soil (MP)",1.14521199080303e-06,8.69486288807501e-07
"Pre-consumer processes","Coastal and ocean water",0,0
"Pre-consumer processes","Coastal and ocean water (MP)",0,0
"ConsumerFilms","Soil",0.00490146279405591,0.00200552213892615
"ConsumerFilms","Soil (MP)",7.06797251773626e-05,2.63598209011498e-05
"ConsumerFilms","Fresh water",0.00016791159926151,9.55890409043297e-05
"ConsumerFilms","Fresh water (MP)",0,0
"ConsumerFilms","Subsurface soil (MP)",0,0
"ConsumerFilms","Coastal and ocean water",1.69878252449672e-05,8.05837885521796e-06
"ConsumerFilms","Coastal and ocean water (MP)",0,0
"ConsumerBags","Soil",0.00535080461411966,0.00297681476960937
"ConsumerBags","Soil (MP)",7.08078560200829e-05,3.36514902777146e-05
"ConsumerBags","Fresh water",0.000185352009622026,0.000141802362001827
"ConsumerBags","Fresh water (MP)",0,0
"ConsumerBags","Subsurface soil (MP)",0,0
"ConsumerBags","Coastal and ocean water",1.88914159642521e-05,1.23088807565616e-05
"ConsumerBags","Coastal and ocean water (MP)",0,0
"ConsumerBottles","Soil",0.0053527465741015,0.00409149690137653
"ConsumerBottles","Soil (MP)",1.43673485537664e-05,6.66780228562784e-06
"ConsumerBottles","Fresh water",0.000190065788590711,0.000192656229388445
"ConsumerBottles","Fresh water (MP)",0,0
"ConsumerBottles","Subsurface soil (MP)",0,0
"ConsumerBottles","Coastal and ocean water",1.93444738272386e-05,1.64719890493415e-05
"ConsumerBottles","Coastal and ocean water (MP)",0,0
"ConsumerOther","Soil",0.00223018088711044,0.00070342031120212
"ConsumerOther","Soil (MP)",1.43300108909962e-05,4.97123267978594e-06
"ConsumerOther","Fresh water",6.07702142254091e-05,3.01782426371386e-05
"ConsumerOther","Fresh water (MP)",0,0
"ConsumerOther","Subsurface soil (MP)",0,0
"ConsumerOther","Coastal and ocean water",6.52621687522967e-06,2.57962153337149e-06
"ConsumerOther","Coastal and ocean water (MP)",0,0
"AgriculturalPackagingFilms","Soil",0.00173101633457514,0.000474750152724227
"AgriculturalPackagingFilms","Soil (MP)",7.02737436440444e-05,3.30443002771929e-05
"AgriculturalPackagingFilms","Fresh water",5.20819350523778e-06,2.54385056465874e-06
"AgriculturalPackagingFilms","Fresh water (MP)",0,0
"AgriculturalPackagingFilms","Subsurface soil (MP)",0,0
"AgriculturalPackagingFilms","Coastal and ocean water",1.06750968580668e-06,4.6739137876161e-07
"AgriculturalPackagingFilms","Coastal and ocean water (MP)",0,0
"AgriculturalPackagingBottles","Soil",0.0135138676282006,0.00774347657527682
"AgriculturalPackagingBottles","Soil (MP)",1.43212485987816e-05,9.11158212760952e-06
"AgriculturalPackagingBottles","Fresh water",5.23402450865318e-06,3.40801108686034e-06
"AgriculturalPackagingBottles","Fresh water (MP)",0,0
"AgriculturalPackagingBottles","Subsurface soil (MP)",0,0
"AgriculturalPackagingBottles","Coastal and ocean water",1.07069043740099e-06,6.21202573086683e-07
"AgriculturalPackagingBottles","Coastal and ocean water (MP)",0,0
"BuildingPackagingFilms","Soil",0.000209711064271603,0.000159096447260831
"BuildingPackagingFilms","Soil (MP)",0,0
"BuildingPackagingFilms","Fresh water",0,0
"BuildingPackagingFilms","Fresh water (MP)",0,0
"BuildingPackagingFilms","Subsurface soil (MP)",0,0
"BuildingPackagingFilms","Coastal and ocean water",0,0
"BuildingPackagingFilms","Coastal and ocean water (MP)",0,0
"OtherNonConsumerFilms","Soil",0.00108087896414122,0.000428707720255446
"OtherNonConsumerFilms","Soil (MP)",0,0
"OtherNonConsumerFilms","Fresh water",0.000155678065143362,9.83463678794651e-05
"OtherNonConsumerFilms","Fresh water (MP)",0,0
"OtherNonConsumerFilms","Subsurface soil (MP)",0,0
"OtherNonConsumerFilms","Coastal and ocean water",1.252143998565e-05,7.57336342941062e-06
"OtherNonConsumerFilms","Coastal and ocean water (MP)",0,0
"NonConsumerBags","Soil",0.00107080764309694,0.000519627872594511
"NonConsumerBags","Soil (MP)",0,0
"NonConsumerBags","Fresh water",0.000156209984788554,0.000118831137887603
"NonConsumerBags","Fresh water (MP)",0,0
"NonConsumerBags","Subsurface soil (MP)",0,0
"NonConsumerBags","Coastal and ocean water",1.2643451489468e-05,9.28433168245567e-06
"NonConsumerBags","Coastal and ocean water (MP)",0,0
"NonConsumerOther","Soil",0.00106566518270541,0.000289479378693648
"NonConsumerOther","Soil (MP)",0,0
"NonConsumerOther","Fresh water",0.000153570219551152,6.54928799837575e-05
"NonConsumerOther","Fresh water (MP)",0,0
"NonConsumerOther","Subsurface soil (MP)",0,0
"NonConsumerOther","Coastal and ocean water",1.23973106164009e-05,5.11655362503055e-06
"NonConsumerOther","Coastal and ocean water (MP)",0,0
"PipesDucts","Soil",0,0
"PipesDucts","Soil (MP)",8.99141280602745e-07,1.07225114418475e-07
"PipesDucts","Fresh water",0,0
"PipesDucts","Fresh water (MP)",0,0
"PipesDucts","Subsurface soil (MP)",6.3033564874844e-06,7.46443989010219e-07
"PipesDucts","Coastal and ocean water",0,0
"PipesDucts","Coastal and ocean water (MP)",0,0
"Insulation","Soil",0.000190446492478839,0.000140392806886949
"Insulation","Soil (MP)",8.8023674077989e-05,1.85794577957281e-05
"Insulation","Fresh water",1.11676939428153e-05,8.92372832320638e-06
"Insulation","Fresh water (MP)",6.72835629806909e-06,4.31669497884601e-06
"Insulation","Subsurface soil (MP)",0,0
"Insulation","Coastal and ocean water",8.11855036922624e-06,6.43925637620919e-06
"Insulation","Coastal and ocean water (MP)",5.13964441451563e-06,3.58093812744744e-06
"WallFloorCoverings","Soil",0.000208762753975809,0.000164451504539139
"WallFloorCoverings","Soil (MP)",0.000376240003849477,0.000271347646188401
"WallFloorCoverings","Fresh water",0,0
"WallFloorCoverings","Fresh water (MP)",3.08969123330208e-05,2.99735094346468e-05
"WallFloorCoverings","Subsurface soil (MP)",9.75348269532286e-06,9.8532394098879e-06
"WallFloorCoverings","Coastal and ocean water",0,0
"WallFloorCoverings","Coastal and ocean water (MP)",1.99655651583197e-05,2.27377513581546e-05
"WindowsProfilesFittedFurniture","Soil",0,0
"WindowsProfilesFittedFurniture","Soil (MP)",0,0
"WindowsProfilesFittedFurniture","Fresh water",0,0
"WindowsProfilesFittedFurniture","Fresh water (MP)",0,0
"WindowsProfilesFittedFurniture","Subsurface soil (MP)",0,0
"WindowsProfilesFittedFurniture","Coastal and ocean water",0,0
"WindowsProfilesFittedFurniture","Coastal and ocean water (MP)",0,0
"Lining","Soil",0.000208571621121859,0.000165660481661802
"Lining","Soil (MP)",0,0
"Lining","Fresh water",0,0
"Lining","Fresh water (MP)",0,0
"Lining","Subsurface soil (MP)",0,0
"Lining","Coastal and ocean water",0,0
"Lining","Coastal and ocean water (MP)",0,0
"AutomotivePC","Soil",0.000693648661673437,0.000163151494198942
"AutomotivePC","Soil (MP)",0,0
"AutomotivePC","Fresh water",0,0
"AutomotivePC","Fresh water (MP)",0,0
"AutomotivePC","Subsurface soil (MP)",0,0
"AutomotivePC","Coastal and ocean water",0,0
"AutomotivePC","Coastal and ocean water (MP)",0,0
"EEEPC","Soil",0.000855143985631823,0.000323742997296677
"EEEPC","Soil (MP)",0,0
"EEEPC","Fresh water",5.2517342731151e-06,2.26569240661727e-06
"EEEPC","Fresh water (MP)",0,0
"EEEPC","Subsurface soil (MP)",0,0
"EEEPC","Coastal and ocean water",1.07094632753153e-06,4.19068657243622e-07
"EEEPC","Coastal and ocean water (MP)",0,0
"AgriculturalFilms","Soil",0.00277144172099235,0.00103837858891831
