"prod","dest","mean","sd"
"Pre-consumer processes","Soil",0,0
"Pre-consumer processes","Soil (MP)",0.000203593405770028,4.71187575907399e-05
"Pre-consumer processes","Fresh water",0,0
"Pre-consumer processes","Fresh water (MP)",5.5238736894358e-06,1.57161121397178e-06
"Pre-consumer processes","Subsurface soil (MP)",2.10335740214488e-06,1.5382874550348e-06
"Pre-consumer processes","Coastal and ocean water",0,0
"Pre-consumer processes","Coastal and ocean water (MP)",0,0
"ConsumerFilms","Soil",0.00384432475905507,0.00177813387458653
"ConsumerFilms","Soil (MP)",0.000164579221446405,6.11244236809165e-05
"ConsumerFilms","Fresh water",6.47050368993355e-05,3.63203150203239e-05
"ConsumerFilms","Fresh water (MP)",0,0
"ConsumerFilms","Subsurface soil (MP)",0,0
"ConsumerFilms","Coastal and ocean water",1.49325627879208e-05,7.08568149868824e-06
"ConsumerFilms","Coastal and ocean water (MP)",0,0
"ConsumerBags","Soil",0.004236481037056,0.00267237202828341
"ConsumerBags","Soil (MP)",0.000165253838145898,7.90812293678283e-05
"ConsumerBags","Fresh water",7.16584652558097e-05,5.38647159570686e-05
"ConsumerBags","Fresh water (MP)",0,0
"ConsumerBags","Subsurface soil (MP)",0,0
"ConsumerBags","Coastal and ocean water",1.64985504629546e-05,1.06725461746985e-05
"ConsumerBags","Coastal and ocean water (MP)",0,0
"ConsumerBottles","Soil",0.00412165633946636,0.00359121589548554
"ConsumerBottles","Soil (MP)",3.35789174388983e-05,1.54516832022786e-05
"ConsumerBottles","Fresh water",7.46738809749078e-05,7.65877473357993e-05
"ConsumerBottles","Fresh water (MP)",0,0
"ConsumerBottles","Subsurface soil (MP)",0,0
"ConsumerBottles","Coastal and ocean water",1.73041084925056e-05,1.54351448121772e-05
"ConsumerBottles","Coastal and ocean water (MP)",0,0
"ConsumerOther","Soil",0.00137439033192258,0.000549612868718798
"ConsumerOther","Soil (MP)",3.33109322315957e-05,1.15466123312213e-05
"ConsumerOther","Fresh water",2.23021119032126e-05,1.13550025223564e-05
"ConsumerOther","Fresh water (MP)",0,0
"ConsumerOther","Subsurface soil (MP)",0,0
"ConsumerOther","Coastal and ocean water",5.21144661129249e-06,2.22437351391006e-06
"ConsumerOther","Coastal and ocean water (MP)",0,0
"AgriculturalPackagingFilms","Soil",0.00113629004206488,0.000315938480493418
"AgriculturalPackagingFilms","Soil (MP)",0.000164425015588635,7.66297540237065e-05
"AgriculturalPackagingFilms","Fresh water",4.74924513952601e-07,2.16108846885844e-07
"AgriculturalPackagingFilms","Fresh water (MP)",0,0
"AgriculturalPackagingFilms","Subsurface soil (MP)",0,0
"AgriculturalPackagingFilms","Coastal and ocean water",1.85818731814309e-07,7.98966186241178e-08
"AgriculturalPackagingFilms","Coastal and ocean water (MP)",0,0
"AgriculturalPackagingBottles","Soil",0.0126661453980623,0.00770014813537836
"AgriculturalPackagingBottles","Soil (MP)",3.3264595576681e-05,2.10549917820314e-05
"AgriculturalPackagingBottles","Fresh water",4.74350014338911e-07,2.9476976094308e-07
"AgriculturalPackagingBottles","Fresh water (MP)",0,0
"AgriculturalPackagingBottles","Subsurface soil (MP)",0,0
"AgriculturalPackagingBottles","Coastal and ocean water",1.86233452797272e-07,1.09077275907208e-07
"AgriculturalPackagingBottles","Coastal and ocean water (MP)",0,0
"BuildingPackagingFilms","Soil",0.000288594047799602,0.000219016311970093
"BuildingPackagingFilms","Soil (MP)",0,0
"BuildingPackagingFilms","Fresh water",0,0
"BuildingPackagingFilms","Fresh water (MP)",0,0
"BuildingPackagingFilms","Subsurface soil (MP)",0,0
"BuildingPackagingFilms","Coastal and ocean water",0,0
"BuildingPackagingFilms","Coastal and ocean water (MP)",0,0
"OtherNonConsumerFilms","Soil",0.000441684076605225,0.00020031769363418
"OtherNonConsumerFilms","Soil (MP)",0,0
