"prod","dest","mean","sd"
"Pre-consumer processes","Soil",0,0
"Pre-consumer processes","Soil (MP)",3.89498356838585e-05,1.42152905068908e-05
"Pre-consumer processes","Fresh water",0,0
"Pre-consumer processes","Fresh water (MP)",1.80139990559362e-07,1.06535861074348e-07
"Pre-consumer processes","Subsurface soil (MP)",1.43944635833294e-06,8.83662124550823e-07
"Pre-consumer processes","Coastal and ocean water",0,0
"Pre-consumer processes","Coastal and ocean water (MP)",1.31539956662144e-06,1.21512883460847e-06
"ConsumerFilms","Soil",0.00255402857676924,0.00109967142789559
"ConsumerFilms","Soil (MP)",2.8668420862577e-05,1.07617384475092e-05
"ConsumerFilms","Fresh water",1.25008323534972e-05,7.53753563344581e-06
"ConsumerFilms","Fresh water (MP)",0,0
"ConsumerFilms","Subsurface soil (MP)",0,0
"ConsumerFilms","Coastal and ocean water",9.82208340662284e-05,5.17996716830392e-05
"ConsumerFilms","Coastal and ocean water (MP)",0,0
"ConsumerBags","Soil",0.0028230365820045,0.00166989249149322
"ConsumerBags","Soil (MP)",2.86562008966631e-05,1.37989103539879e-05
"ConsumerBags","Fresh water",1.40911333763583e-05,1.19596837944011e-05
"ConsumerBags","Fresh water (MP)",0,0
"ConsumerBags","Subsurface soil (MP)",0,0
"ConsumerBags","Coastal and ocean water",0.000109996188046285,7.98455275501469e-05
"ConsumerBags","Coastal and ocean water (MP)",0,0
"ConsumerBottles","Soil",0.00278254868891594,0.0022218947721775
"ConsumerBottles","Soil (MP)",5.8198080470729e-06,2.68357491102409e-06
"ConsumerBottles","Fresh water",1.40897194177278e-05,1.58002036235644e-05
"ConsumerBottles","Fresh water (MP)",0,0
"ConsumerBottles","Subsurface soil (MP)",0,0
"ConsumerBottles","Coastal and ocean water",0.000110703319211797,0.000106181773066798
"ConsumerBottles","Coastal and ocean water (MP)",0,0
"ConsumerOther","Soil",0.000981852083003671,0.000355277791924262
"ConsumerOther","Soil (MP)",5.8265559994594e-06,1.9934457277049e-06
"ConsumerOther","Fresh water",4.38044658004181e-06,2.46066220018551e-06
"ConsumerOther","Fresh water (MP)",0,0
"ConsumerOther","Subsurface soil (MP)",0,0
"ConsumerOther","Coastal and ocean water",3.43023063132888e-05,1.65504429018405e-05
"ConsumerOther","Coastal and ocean water (MP)",0,0
"AgriculturalPackagingFilms","Soil",0.00099584982755723,0.000302976275355079
"AgriculturalPackagingFilms","Soil (MP)",2.8802677475806e-05,1.38864741894846e-05
"AgriculturalPackagingFilms","Fresh water",1.29549463957178e-07,6.63338411428697e-08
"AgriculturalPackagingFilms","Fresh water (MP)",0,0
"AgriculturalPackagingFilms","Subsurface soil (MP)",0,0
"AgriculturalPackagingFilms","Coastal and ocean water",8.90641024624325e-07,4.12790226302835e-07
"AgriculturalPackagingFilms","Coastal and ocean water (MP)",0,0
"AgriculturalPackagingBottles","Soil",0.0125286779839605,0.00767942995628326
"AgriculturalPackagingBottles","Soil (MP)",5.80166191163631e-06,3.68321699734961e-06
"AgriculturalPackagingBottles","Fresh water",1.30715626932336e-07,8.98513907088008e-08
"AgriculturalPackagingBottles","Fresh water (MP)",0,0
"AgriculturalPackagingBottles","Subsurface soil (MP)",0,0
"AgriculturalPackagingBottles","Coastal and ocean water",8.94239868501716e-07,5.57384220542631e-07
"AgriculturalPackagingBottles","Coastal and ocean water (MP)",0,0
"BuildingPackagingFilms","Soil",9.41221438992479e-05,7.13769968297569e-05
"BuildingPackagingFilms","Soil (MP)",0,0
"BuildingPackagingFilms","Fresh water",0,0
"BuildingPackagingFilms","Fresh water (MP)",0,0
"BuildingPackagingFilms","Subsurface soil (MP)",0,0
"BuildingPackagingFilms","Coastal and ocean water",0,0
"BuildingPackagingFilms","Coastal and ocean water (MP)",0,0
"OtherNonConsumerFilms","Soil",0.000268689958847263,0.000103538301267144
"OtherNonConsumerFilms","Soil (MP)",0,0
"OtherNonConsumerFilms","Fresh water",8.92940420868485e-06,6.4248828495051e-06
"OtherNonConsumerFilms","Fresh water (MP)",0,0
"OtherNonConsumerFilms","Subsurface soil (MP)",0,0
"OtherNonConsumerFilms","Coastal and ocean water",6.64178798418428e-05,4.10182849727239e-05
"OtherNonConsumerFilms","Coastal and ocean water (MP)",0,0
"NonConsumerBags","Soil",0.000268911541319091,0.000124661786355017
"NonConsumerBags","Soil (MP)",0,0
"NonConsumerBags","Fresh water",8.85671790541137e-06,7.75442896613539e-06
"NonConsumerBags","Fresh water (MP)",0,0
"NonConsumerBags","Subsurface soil (MP)",0,0
"NonConsumerBags","Coastal and ocean water",6.62569732333078e-05,5.04087133555897e-05
"NonConsumerBags","Coastal and ocean water (MP)",0,0
"NonConsumerOther","Soil",0.000268858814295332,6.98705416059098e-05
"NonConsumerOther","Soil (MP)",0,0
"NonConsumerOther","Fresh water",8.93008633391074e-06,4.36578910689868e-06
"NonConsumerOther","Fresh water (MP)",0,0
"NonConsumerOther","Subsurface soil (MP)",0,0
"NonConsumerOther","Coastal and ocean water",6.65950655165064e-05,2.82488184916737e-05
"NonConsumerOther","Coastal and ocean water (MP)",0,0
"PipesDucts","Soil",0,0
"PipesDucts","Soil (MP)",8.98915125438801e-07,1.06175735371886e-07
"PipesDucts","Fresh water",0,0
"PipesDucts","Fresh water (MP)",0,0
"PipesDucts","Subsurface soil (MP)",6.2967845580119e-06,7.51647634289738e-07
"PipesDucts","Coastal and ocean water",0,0
"PipesDucts","Coastal and ocean water (MP)",0,0
"Insulation","Soil",6.6043498645781e-05,5.13994794823514e-05
"Insulation","Soil (MP)",6.57724918883274e-05,1.99653602013207e-05
"Insulation","Fresh water",4.32351044624702e-06,3.41607973775372e-06
"Insulation","Fresh water (MP)",5.32401828416566e-06,3.50999471381163e-06
"Insulation","Subsurface soil (MP)",0,0
"Insulation","Coastal and ocean water",2.44433199409423e-05,1.93109324453959e-05
"Insulation","Coastal and ocean water (MP)",2.89686365257745e-05,1.55846548353964e-05
"WallFloorCoverings","Soil",9.33169641808693e-05,7.49279344289138e-05
"WallFloorCoverings","Soil (MP)",0.000286198068711105,0.000219858827471224
"WallFloorCoverings","Fresh water",0,0
