"prod","dest","mean","sd"
"Pre-consumer processes","Soil",0,0
"Pre-consumer processes","Soil (MP)",8.11368526956491e-05,1.73175529613803e-05
"Pre-consumer processes","Fresh water",0,0
"Pre-consumer processes","Fresh water (MP)",1.96412105538865e-06,4.85221737826175e-07
"Pre-consumer processes","Subsurface soil (MP)",1.08094799034727e-06,6.99328949984313e-07
"Pre-consumer processes","Coastal and ocean water",0,0
"Pre-consumer processes","Coastal and ocean water (MP)",0,0
"ConsumerFilms","Soil",0.00693951729678139,0.0030645702454389
"ConsumerFilms","Soil (MP)",0.000150496830614349,5.59288209823214e-05
"ConsumerFilms","Fresh water",7.78748650839089e-05,3.83551437517546e-05
"ConsumerFilms","Fresh water (MP)",0,0
"ConsumerFilms","Subsurface soil (MP)",0,0
"ConsumerFilms","Coastal and ocean water",5.82818913774639e-06,2.73344690963235e-06
"ConsumerFilms","Coastal and ocean water (MP)",0,0
"ConsumerBags","Soil",0.00762169393644654,0.00463525705388235
"ConsumerBags","Soil (MP)",0.00015086565473047,7.14060884927392e-05
"ConsumerBags","Fresh water",8.65615462550673e-05,5.91673055439984e-05
"ConsumerBags","Fresh water (MP)",0,0
"ConsumerBags","Subsurface soil (MP)",0,0
"ConsumerBags","Coastal and ocean water",6.46257472344543e-06,4.1379836119416e-06
"ConsumerBags","Coastal and ocean water (MP)",0,0
"ConsumerBottles","Soil",0.00768392228310482,0.00644010732347195
"ConsumerBottles","Soil (MP)",3.0535966999662e-05,1.40354493615659e-05
"ConsumerBottles","Fresh water",8.7772534750182e-05,8.01717281217124e-05
"ConsumerBottles","Fresh water (MP)",0,0
"ConsumerBottles","Subsurface soil (MP)",0,0
"ConsumerBottles","Coastal and ocean water",6.58227472481695e-06,5.71376087487021e-06
"ConsumerBottles","Coastal and ocean water (MP)",0,0
"ConsumerOther","Soil",0.00270306952482954,0.000992458189386406
"ConsumerOther","Soil (MP)",3.04500392769181e-05,1.04693647089465e-05
"ConsumerOther","Fresh water",2.79516884738418e-05,1.22989159830216e-05
"ConsumerOther","Fresh water (MP)",0,0
"ConsumerOther","Subsurface soil (MP)",0,0
"ConsumerOther","Coastal and ocean water",2.11674307458692e-06,8.55752202860388e-07
"ConsumerOther","Coastal and ocean water (MP)",0,0
"AgriculturalPackagingFilms","Soil",0.00149360906198508,0.000379279591263555
"AgriculturalPackagingFilms","Soil (MP)",0.000151380592133885,7.25425380624562e-05
"AgriculturalPackagingFilms","Fresh water",1.8798556538214e-06,7.86126974566753e-07
"AgriculturalPackagingFilms","Fresh water (MP)",0,0
"AgriculturalPackagingFilms","Subsurface soil (MP)",0,0
"AgriculturalPackagingFilms","Coastal and ocean water",1.84819273070005e-07,8.06929829640155e-08
"AgriculturalPackagingFilms","Coastal and ocean water (MP)",0,0
"AgriculturalPackagingBottles","Soil",0.0130416039780365,0.00772761345286868
"AgriculturalPackagingBottles","Soil (MP)",3.028958954729e-05,1.93144856595407e-05
"AgriculturalPackagingBottles","Fresh water",1.87975847265848e-06,1.05278546824596e-06
"AgriculturalPackagingBottles","Fresh water (MP)",0,0
"AgriculturalPackagingBottles","Subsurface soil (MP)",0,0
"AgriculturalPackagingBottles","Coastal and ocean water",1.83637537273455e-07,1.08000716311969e-07
"AgriculturalPackagingBottles","Coastal and ocean water (MP)",0,0
"BuildingPackagingFilms","Soil",0.00092160985138457,0.000696010236764658
"BuildingPackagingFilms","Soil (MP)",0,0
"BuildingPackagingFilms","Fresh water",0,0
"BuildingPackagingFilms","Fresh water (MP)",0,0
"BuildingPackagingFilms","Subsurface soil (MP)",0,0
"BuildingPackagingFilms","Coastal and ocean water",0,0
"BuildingPackagingFilms","Coastal and ocean water (MP)",0,0
"OtherNonConsumerFilms","Soil",0.00147152156372814,0.000659996053950032
"OtherNonConsumerFilms","Soil (MP)",0,0
"OtherNonConsumerFilms","Fresh water",0.000158141089923153,9.21367865647931e-05
"OtherNonConsumerFilms","Fresh water (MP)",0,0
"OtherNonConsumerFilms","Subsurface soil (MP)",0,0
"OtherNonConsumerFilms","Coastal and ocean water",9.8730054349328e-06,6.30047343777579e-06
"OtherNonConsumerFilms","Coastal and ocean water (MP)",0,0
"NonConsumerBags","Soil",0.00145955129020728,0.0008000047121141
"NonConsumerBags","Soil (MP)",0,0
"NonConsumerBags","Fresh water",0.000156550938158186,0.000113287319577831
"NonConsumerBags","Fresh water (MP)",0,0
"NonConsumerBags","Subsurface soil (MP)",0,0
"NonConsumerBags","Coastal and ocean water",9.74853158809123e-06,7.65831305575756e-06
"NonConsumerBags","Coastal and ocean water (MP)",0,0
"NonConsumerOther","Soil",0.00147018108813036,0.000445795513365052
"NonConsumerOther","Soil (MP)",0,0
"NonConsumerOther","Fresh water",0.000157462977809453,6.24167196756517e-05
"NonConsumerOther","Fresh water (MP)",0,0
"NonConsumerOther","Subsurface soil (MP)",0,0
"NonConsumerOther","Coastal and ocean water",9.75673959156486e-06,4.25905964587292e-06
"NonConsumerOther","Coastal and ocean water (MP)",0,0
"PipesDucts","Soil",0,0
"PipesDucts","Soil (MP)",9.00946970739923e-07,1.0676174063291e-07
"PipesDucts","Fresh water",0,0
"PipesDucts","Fresh water (MP)",0,0
"PipesDucts","Subsurface soil (MP)",6.28687849553514e-06,7.57886515919046e-07
"PipesDucts","Coastal and ocean water",0,0
"PipesDucts","Coastal and ocean water (MP)",0,0
"Insulation","Soil",0.00088008333490697,0.000617720306657357
"Insulation","Soil (MP)",9.59888965863096e-05,1.94304525307503e-05
"Insulation","Fresh water",2.35234554460049e-05,1.87484704046052e-05
"Insulation","Fresh water (MP)",2.91979498929094e-06,1.92729602337513e-06
"Insulation","Subsurface soil (MP)",0,0
"Insulation","Coastal and ocean water",6.46034593215069e-06,5.11580481938814e-06
"Insulation","Coastal and ocean water (MP)",8.55001179905169e-07,6.50248689154508e-07
"WallFloorCoverings","Soil",0.000929119421539985,0.000744324407873095
"WallFloorCoverings","Soil (MP)",0.000392794746865386,0.000304710959863148
"WallFloorCoverings","Fresh water",0,0
