"prod","dest","mean","sd"
"Pre-consumer processes","Soil",0,0
"Pre-consumer processes","Soil (MP)",9.64398776843006e-05,2.39268919242163e-05
"Pre-consumer processes","Fresh water",0,0
"Pre-consumer processes","Fresh water (MP)",2.34226634851875e-06,6.84091196218765e-07
"Pre-consumer processes","Subsurface soil (MP)",1.4415803209319e-06,1.04952009079711e-06
"Pre-consumer processes","Coastal and ocean water",0,0
"Pre-consumer processes","Coastal and ocean water (MP)",2.43440585295797e-07,3.16971056061267e-07
"ConsumerFilms","Soil",0.00636998907911973,0.00262263589593524
"ConsumerFilms","Soil (MP)",0.000149549526763455,5.56751666660762e-05
"ConsumerFilms","Fresh water",0.000186842668406691,0.000109260096863669
"ConsumerFilms","Fresh water (MP)",0,0
"ConsumerFilms","Subsurface soil (MP)",0,0
"ConsumerFilms","Coastal and ocean water",3.64500456353178e-05,1.58996498622865e-05
"ConsumerFilms","Coastal and ocean water (MP)",0,0
"ConsumerBags","Soil",0.00700110020177147,0.00399116224139468
"ConsumerBags","Soil (MP)",0.000149306220553372,7.14583237072717e-05
"ConsumerBags","Fresh water",0.000209529314891636,0.000165072531219739
"ConsumerBags","Fresh water (MP)",0,0
"ConsumerBags","Subsurface soil (MP)",0,0
"ConsumerBags","Coastal and ocean water",4.0792598390413e-05,2.40680415165552e-05
"ConsumerBags","Coastal and ocean water (MP)",0,0
"ConsumerBottles","Soil",0.00696367821928137,0.00553356855382452
"ConsumerBottles","Soil (MP)",3.02229030157813e-05,1.38347750650974e-05
"ConsumerBottles","Fresh water",0.000210370785277382,0.000220826612161907
"ConsumerBottles","Fresh water (MP)",0,0
"ConsumerBottles","Subsurface soil (MP)",0,0
"ConsumerBottles","Coastal and ocean water",4.06264210080547e-05,3.32752195109833e-05
"ConsumerBottles","Coastal and ocean water (MP)",0,0
"ConsumerOther","Soil",0.0023949681382283,0.00086128279318957
"ConsumerOther","Soil (MP)",3.02341493039204e-05,1.03229331029941e-05
"ConsumerOther","Fresh water",6.52918496014516e-05,3.39443821012938e-05
"ConsumerOther","Fresh water (MP)",0,0
"ConsumerOther","Subsurface soil (MP)",0,0
"ConsumerOther","Coastal and ocean water",1.29691663079313e-05,4.94349358289274e-06
"ConsumerOther","Coastal and ocean water (MP)",0,0
"AgriculturalPackagingFilms","Soil",0.00133000926238574,0.000346916713168728
"AgriculturalPackagingFilms","Soil (MP)",0.000149809789835096,7.11371762812172e-05
"AgriculturalPackagingFilms","Fresh water",2.25806807076056e-06,1.15838295616234e-06
"AgriculturalPackagingFilms","Fresh water (MP)",0,0
"AgriculturalPackagingFilms","Subsurface soil (MP)",0,0
"AgriculturalPackagingFilms","Coastal and ocean water",8.38556721547681e-07,3.67439526379816e-07
"AgriculturalPackagingFilms","Coastal and ocean water (MP)",0,0
"AgriculturalPackagingBottles","Soil",0.012896982392284,0.00780920719203986
"AgriculturalPackagingBottles","Soil (MP)",3.00137533969642e-05,1.90392333882994e-05
"AgriculturalPackagingBottles","Fresh water",2.25485767866264e-06,1.53606164083862e-06
"AgriculturalPackagingBottles","Fresh water (MP)",0,0
"AgriculturalPackagingBottles","Subsurface soil (MP)",0,0
"AgriculturalPackagingBottles","Coastal and ocean water",8.3869911210674e-07,4.8903858241681e-07
"AgriculturalPackagingBottles","Coastal and ocean water (MP)",0,0
