"prod","dest","mean","sd"
"Pre-consumer processes","Soil",0,0
"Pre-consumer processes","Soil (MP)",6.22324121970566e-05,1.70179737004304e-05
"Pre-consumer processes","Fresh water",0,0
"Pre-consumer processes","Fresh water (MP)",1.13967694526161e-06,3.79008308599609e-07
"Pre-consumer processes","Subsurface soil (MP)",2.37097707047729e-06,1.61586482250094e-06
"Pre-consumer processes","Coastal and ocean water",0,0
"Pre-consumer processes","Coastal and ocean water (MP)",3.2139205264666e-07,2.27485043047707e-07
"ConsumerFilms","Soil",0.0117822444710704,0.0049445745624468
"ConsumerFilms","Soil (MP)",2.88437194173861e-05,1.06319512981473e-05
"ConsumerFilms","Fresh water",5.74128544701006e-05,2.78395383745576e-05
"ConsumerFilms","Fresh water (MP)",0,0
"ConsumerFilms","Subsurface soil (MP)",0,0
"ConsumerFilms","Coastal and ocean water",3.28107555189646e-06,1.49400771734372e-06
"ConsumerFilms","Coastal and ocean water (MP)",0,0
"ConsumerBags","Soil",0.0127866840226562,0.007295968888796
"ConsumerBags","Soil (MP)",2.89039816758594e-05,1.36799037011551e-05
"ConsumerBags","Fresh water",6.32337708823272e-05,4.2235555358697e-05
"ConsumerBags","Fresh water (MP)",0,0
"ConsumerBags","Subsurface soil (MP)",0,0
"ConsumerBags","Coastal and ocean water",3.63113755776127e-06,2.32444996463304e-06
"ConsumerBags","Coastal and ocean water (MP)",0,0
"ConsumerBottles","Soil",0.0129432518261396,0.00974794783317282
"ConsumerBottles","Soil (MP)",5.84499714262742e-06,2.66956583995325e-06
"ConsumerBottles","Fresh water",6.32358997428474e-05,5.60967874003715e-05
"ConsumerBottles","Fresh water (MP)",0,0
"ConsumerBottles","Subsurface soil (MP)",0,0
"ConsumerBottles","Coastal and ocean water",3.58611817110874e-06,2.996310389256e-06
"ConsumerBottles","Coastal and ocean water (MP)",0,0
"ConsumerOther","Soil",0.00562358157468588,0.00180148894728289
"ConsumerOther","Soil (MP)",5.81919692820246e-06,1.96701444440695e-06
"ConsumerOther","Fresh water",2.39823152355686e-05,9.07703367691093e-06
"ConsumerOther","Fresh water (MP)",0,0
"ConsumerOther","Subsurface soil (MP)",0,0
"ConsumerOther","Coastal and ocean water",1.34422515535639e-06,4.769855406371e-07
"ConsumerOther","Coastal and ocean water (MP)",0,0
"AgriculturalPackagingFilms","Soil",0.00321499449278315,0.00107258249398829
"AgriculturalPackagingFilms","Soil (MP)",2.8823363123835e-05,1.36174231054779e-05
"AgriculturalPackagingFilms","Fresh water",6.52500100332224e-06,2.87893700198848e-06
"AgriculturalPackagingFilms","Fresh water (MP)",0,0
"AgriculturalPackagingFilms","Subsurface soil (MP)",0,0
"AgriculturalPackagingFilms","Coastal and ocean water",3.43046078801265e-07,1.51808483285619e-07
"AgriculturalPackagingFilms","Coastal and ocean water (MP)",0,0
"AgriculturalPackagingBottles","Soil",0.0149031960366871,0.00779454130107734
