"prod","dest","mean","sd"
"Pre-consumer processes","Soil",0,0
"Pre-consumer processes","Soil (MP)",0.000189112052896317,4.47137729366818e-05
"Pre-consumer processes","Fresh water",0,0
"Pre-consumer processes","Fresh water (MP)",1.90638331657433e-06,3.03169630592007e-07
"Pre-consumer processes","Subsurface soil (MP)",1.14871163920475e-06,8.36896711274784e-07
"Pre-consumer processes","Coastal and ocean water",0,0
"Pre-consumer processes","Coastal and ocean water (MP)",2.7110963529184e-06,1.15033731442009e-06
"ConsumerFilms","Soil",0.00265637419519569,0.00110245319400968
"ConsumerFilms","Soil (MP)",0.000156863284342843,5.88246856035213e-05
"ConsumerFilms","Fresh water",1.31184736411433e-05,7.97946711298402e-06
"ConsumerFilms","Fresh water (MP)",0,0
"ConsumerFilms","Subsurface soil (MP)",0,0
"ConsumerFilms","Coastal and ocean water",0.000101474197412378,5.33910296510707e-05
"ConsumerFilms","Coastal and ocean water (MP)",0,0
"ConsumerBags","Soil",0.00291203913709192,0.00167165259137403
"ConsumerBags","Soil (MP)",0.000156722585173633,7.55058509890698e-05
"ConsumerBags","Fresh water",1.46466645809743e-05,1.21531229705531e-05
"ConsumerBags","Fresh water (MP)",0,0
"ConsumerBags","Subsurface soil (MP)",0,0
"ConsumerBags","Coastal and ocean water",0.00011300586023061,8.16559873086341e-05
"ConsumerBags","Coastal and ocean water (MP)",0,0
"ConsumerBottles","Soil",0.00282135952657144,0.00226976306148496
"ConsumerBottles","Soil (MP)",3.17451944946303e-05,1.45956374983478e-05
"ConsumerBottles","Fresh water",1.52075700805304e-05,1.70121860119363e-05
"ConsumerBottles","Fresh water (MP)",0,0
"ConsumerBottles","Subsurface soil (MP)",0,0
"ConsumerBottles","Coastal and ocean water",0.000117976671975899,0.00011656746629142
"ConsumerBottles","Coastal and ocean water (MP)",0,0
"ConsumerOther","Soil",0.000979558049837618,0.000355138339623218
"ConsumerOther","Soil (MP)",3.16629046092907e-05,1.0704852533281e-05
"ConsumerOther","Fresh water",4.615329886965e-06,2.56705658155985e-06
"ConsumerOther","Fresh water (MP)",0,0
"ConsumerOther","Subsurface soil (MP)",0,0
"ConsumerOther","Coastal and ocean water",3.56635131162833e-05,1.73602935851867e-05
"ConsumerOther","Coastal and ocean water (MP)",0,0
"AgriculturalPackagingFilms","Soil",0.00112406130032377,0.000309874617313725
"AgriculturalPackagingFilms","Soil (MP)",0.000157028041819253,7.49833694283056e-05
"AgriculturalPackagingFilms","Fresh water",1.1673613799037e-07,5.89219492771911e-08
"AgriculturalPackagingFilms","Fresh water (MP)",0,0
"AgriculturalPackagingFilms","Subsurface soil (MP)",0,0
"AgriculturalPackagingFilms","Coastal and ocean water",7.93344889880544e-07,3.60782079215255e-07
"AgriculturalPackagingFilms","Coastal and ocean water (MP)",0,0
"AgriculturalPackagingBottles","Soil",0.012657529238693,0.00762268125837927
"AgriculturalPackagingBottles","Soil (MP)",3.15771723609208e-05,2.02688842817217e-05
"AgriculturalPackagingBottles","Fresh water",1.15936179747813e-07,7.89816398456784e-08
"AgriculturalPackagingBottles","Fresh water (MP)",0,0
"AgriculturalPackagingBottles","Subsurface soil (MP)",0,0
"AgriculturalPackagingBottles","Coastal and ocean water",7.88421428198351e-07,4.86043860361652e-07
"AgriculturalPackagingBottles","Coastal and ocean water (MP)",0,0
"BuildingPackagingFilms","Soil",9.41645977632567e-05,7.13247338647127e-05
"BuildingPackagingFilms","Soil (MP)",0,0
"BuildingPackagingFilms","Fresh water",0,0
"BuildingPackagingFilms","Fresh water (MP)",0,0
"BuildingPackagingFilms","Subsurface soil (MP)",0,0
"BuildingPackagingFilms","Coastal and ocean water",0,0
"BuildingPackagingFilms","Coastal and ocean water (MP)",0,0
"OtherNonConsumerFilms","Soil",0.000242925239781153,9.41555356306588e-05
"OtherNonConsumerFilms","Soil (MP)",0,0
"OtherNonConsumerFilms","Fresh water",9.47694117397496e-06,6.83967119896075e-06
"OtherNonConsumerFilms","Fresh water (MP)",0,0
"OtherNonConsumerFilms","Subsurface soil (MP)",0,0
"OtherNonConsumerFilms","Coastal and ocean water",7.03345671418305e-05,4.40952831913742e-05
"OtherNonConsumerFilms","Coastal and ocean water (MP)",0,0
"NonConsumerBags","Soil",0.000241319563660393,0.000112564480779994
"NonConsumerBags","Soil (MP)",0,0
"NonConsumerBags","Fresh water",9.51106104132855e-06,8.24423665649912e-06
"NonConsumerBags","Fresh water (MP)",0,0
"NonConsumerBags","Subsurface soil (MP)",0,0
"NonConsumerBags","Coastal and ocean water",7.10924571551984e-05,5.36634373074926e-05
"NonConsumerBags","Coastal and ocean water (MP)",0,0
"NonConsumerOther","Soil",0.000242192442918405,6.396197811838e-05
"NonConsumerOther","Soil (MP)",0,0
"NonConsumerOther","Fresh water",9.36921584930702e-06,4.57222910217238e-06
"NonConsumerOther","Fresh water (MP)",0,0
"NonConsumerOther","Subsurface soil (MP)",0,0
"NonConsumerOther","Coastal and ocean water",7.02938747549384e-05,3.01156840719666e-05
"NonConsumerOther","Coastal and ocean water (MP)",0,0
"PipesDucts","Soil",0,0
"PipesDucts","Soil (MP)",8.98414271471022e-07,1.07423316182368e-07
"PipesDucts","Fresh water",0,0
"PipesDucts","Fresh water (MP)",0,0
"PipesDucts","Subsurface soil (MP)",6.30446834854711e-06,7.55297288973473e-07
"PipesDucts","Coastal and ocean water",0,0
"PipesDucts","Coastal and ocean water (MP)",0,0
"Insulation","Soil",7.74610741256752e-05,5.93678472361067e-05
"Insulation","Soil (MP)",7.67753611074097e-05,1.93376801308906e-05
"Insulation","Fresh water",1.39272972387014e-05,1.09390388129299e-05
"Insulation","Fresh water (MP)",1.8265089801382e-05,1.07372562045083e-05
"Insulation","Subsurface soil (MP)",0,0
"Insulation","Coastal and ocean water",3.57716729110241e-06,2.82983108490102e-06
"Insulation","Coastal and ocean water (MP)",5.17361731381722e-06,3.68082219823835e-06
"WallFloorCoverings","Soil",9.59343767675187e-05,7.58065362768099e-05
"WallFloorCoverings","Soil (MP)",0.000335777490313599,0.000242283152916217
"WallFloorCoverings","Fresh water",0,0
"WallFloorCoverings","Fresh water (MP)",7.34771674636298e-05,7.5548843549361e-05
"WallFloorCoverings","Subsurface soil (MP)",9.60539032683436e-06,9.76084636524488e-06
"WallFloorCoverings","Coastal and ocean water",0,0
"WallFloorCoverings","Coastal and ocean water (MP)",2.32058964700009e-05,2.40211338527421e-05
"WindowsProfilesFittedFurniture","Soil",0,0
"WindowsProfilesFittedFurniture","Soil (MP)",0,0
"WindowsProfilesFittedFurniture","Fresh water",0,0
"WindowsProfilesFittedFurniture","Fresh water (MP)",0,0
"WindowsProfilesFittedFurniture","Subsurface soil (MP)",0,0
"WindowsProfilesFittedFurniture","Coastal and ocean water",0,0
"WindowsProfilesFittedFurniture","Coastal and ocean water (MP)",0,0
"Lining","Soil",9.4315518540234e-05,7.5169252429593e-05
"Lining","Soil (MP)",0,0
"Lining","Fresh water",0,0
"Lining","Fresh water (MP)",0,0
"Lining","Subsurface soil (MP)",0,0
"Lining","Coastal and ocean water",0,0
"Lining","Coastal and ocean water (MP)",0,0
"AutomotivePC","Soil",0.000697204642255333,0.000162353732903882
"AutomotivePC","Soil (MP)",0,0
"AutomotivePC","Fresh water",0,0
"AutomotivePC","Fresh water (MP)",0,0
"AutomotivePC","Subsurface soil (MP)",0,0
"AutomotivePC","Coastal and ocean water",0,0
"AutomotivePC","Coastal and ocean water (MP)",0,0
"EEEPC","Soil",0.00014438427006303,5.62862922626592e-05
"EEEPC","Soil (MP)",0,0
"EEEPC","Fresh water",1.16088632765305e-07,5.2316790919966e-08
"EEEPC","Fresh water (MP)",0,0
"EEEPC","Subsurface soil (MP)",0,0
"EEEPC","Coastal and ocean water",7.9019707300179e-07,3.22457525377588e-07
"EEEPC","Coastal and ocean water (MP)",0,0
"AgriculturalFilms","Soil",0.00214369602584714,0.000912095066838795
"AgriculturalFilms","Soil (MP)",0.0254088895965762,0.00653084201892555
"AgriculturalFilms","Fresh water",1.17643846004082e-07,8.00276001597916e-08
"AgriculturalFilms","Fresh water (MP)",0,0
"AgriculturalFilms","Subsurface soil (MP)",0,0
"AgriculturalFilms","Coastal and ocean water",7.98148195356396e-07,4.94146756857857e-07
"AgriculturalFilms","Coastal and ocean water (MP)",0,0
"AgriculturalPipes","Soil",0.030100665761124,0.00986814129630877
"AgriculturalPipes","Soil (MP)",0.00102838041532124,0.000219747856354388
"AgriculturalPipes","Fresh water",1.16037148649395e-07,4.16009841860247e-08
"AgriculturalPipes","Fresh water (MP)",0,0
"AgriculturalPipes","Subsurface soil (MP)",0,0
"AgriculturalPipes","Coastal and ocean water",7.90443045200398e-07,2.58152267691792e-07
"AgriculturalPipes","Coastal and ocean water (MP)",0,0
"AgriculturalOther","Soil",0.0210277999524809,0.00734403606596886
"AgriculturalOther","Soil (MP)",0.00103171351600977,0.00029354814775416
"AgriculturalOther","Fresh water",1.15885427805832e-07,5.64254972487285e-08
"AgriculturalOther","Fresh water (MP)",0,0
"AgriculturalOther","Subsurface soil (MP)",0,0
"AgriculturalOther","Coastal and ocean water",7.88794450734795e-07,3.52173892670415e-07
"AgriculturalOther","Coastal and ocean water (MP)",0,0
"Household","Soil",0.000183427140109231,4.27331490973479e-05
"Household","Soil (MP)",0.000369093847285801,0.000116843818917794
"Household","Fresh water",1.16486513395475e-07,3.79899957754888e-08
"Household","Fresh water (MP)",7.37820248726751e-05,3.68224026390209e-05
"Household","Subsurface soil (MP)",9.82033000834659e-06,4.76997075181602e-06
"Household","Coastal and ocean water",7.93685120628113e-07,2.350159291062e-07
"Household","Coastal and ocean water (MP)",2.34025602167871e-05,1.15121652250284e-05
"TamponApplicators","Soil",0.0975549258628672,0.0811900775934088
"TamponApplicators","Soil (MP)",0,0
"TamponApplicators","Fresh water",0.000721188738232249,0.00065542515683508
"TamponApplicators","Fresh water (MP)",0,0
"TamponApplicators","Subsurface soil (MP)",0,0
"TamponApplicators","Coastal and ocean water",0.00497182903569607,0.00360974555247886
"TamponApplicators","Coastal and ocean water (MP)",0,0
"Furniture","Soil",0.000146283147626367,4.50691562674747e-05
"Furniture","Soil (MP)",0,0
"Furniture","Fresh water",1.17692147042903e-07,4.15374629227471e-08
"Furniture","Fresh water (MP)",0,0
"Furniture","Subsurface soil (MP)",0,0
"Furniture","Coastal and ocean water",8.01339745533818e-07,2.55194696683121e-07
"Furniture","Coastal and ocean water (MP)",0,0
"FabricCoatings","Soil",0.000144724538682984,8.53069232221129e-05
"FabricCoatings","Soil (MP)",0.00572866346392783,0.00124353141456225
"FabricCoatings","Fresh water",1.16026796257846e-07,7.85271856498873e-08
"FabricCoatings","Fresh water (MP)",0.000676372486268307,0.000386037029064454
"FabricCoatings","Subsurface soil (MP)",0.000282166194665641,0.000216135321996175
"FabricCoatings","Coastal and ocean water",7.88577018608583e-07,4.81803941495253e-07
"FabricCoatings","Coastal and ocean water (MP)",0.00120063140063108,0.000433118973314016
"Cosmetics","Soil",0,0
"Cosmetics","Soil (MP)",0.312805977814202,0.0609275686967891
"Cosmetics","Fresh water",0,0
"Cosmetics","Fresh water (MP)",0.0037110250761286,0.00263124330516861
"Cosmetics","Subsurface soil (MP)",0.10270243030166,0.0617024543127985
"Cosmetics","Coastal and ocean water",0,0
"Cosmetics","Coastal and ocean water (MP)",0.0274349113947995,0.0191634247051365
"ShotgunCartridges","Soil",0.614817694791364,0.223121554241556
"ShotgunCartridges","Soil (MP)",0,0
"ShotgunCartridges","Fresh water",0.0992141236567855,0.0405138571118416
"ShotgunCartridges","Fresh water (MP)",0,0
"ShotgunCartridges","Subsurface soil (MP)",0,0
"ShotgunCartridges","Coastal and ocean water",7.91086796292164e-07,4.94021472889904e-07
"ShotgunCartridges","Coastal and ocean water (MP)",0,0
"OtherOther","Soil",0.000144998890805218,4.30134820913113e-05
"OtherOther","Soil (MP)",0,0
"OtherOther","Fresh water",1.16717452848645e-07,4.00456991123755e-08
"OtherOther","Fresh water (MP)",0,0
"OtherOther","Subsurface soil (MP)",0,0
"OtherOther","Coastal and ocean water",7.93782102200588e-07,2.45066187385918e-07
"OtherOther","Coastal and ocean water (MP)",0,0
"FishingGearOcean","Soil",0,0
"FishingGearOcean","Soil (MP)",0,0
"FishingGearOcean","Fresh water",0,0
"FishingGearOcean","Fresh water (MP)",0,0
"FishingGearOcean","Subsurface soil (MP)",0,0
"FishingGearOcean","Coastal and ocean water",0.042197099542751,0.0140340482480987
"FishingGearOcean","Coastal and ocean water (MP)",0.00740868953638121,0.000890688307320003
"FishingGearInland","Soil",0,0
"FishingGearInland","Soil (MP)",0,0
"FishingGearInland","Fresh water",0,0
"FishingGearInland","Fresh water (MP)",0.00370279817812488,0.000460143417371553
"FishingGearInland","Subsurface soil (MP)",0,0
"FishingGearInland","Coastal and ocean water",0,0
"FishingGearInland","Coastal and ocean water (MP)",0,0
"FishingGearAqua","Soil",0,0
"FishingGearAqua","Soil (MP)",0,0
"FishingGearAqua","Fresh water",0,0
"FishingGearAqua","Fresh water (MP)",0,0
"FishingGearAqua","Subsurface soil (MP)",0,0
"FishingGearAqua","Coastal and ocean water",0,0
"FishingGearAqua","Coastal and ocean water (MP)",0,0
"ApparelPC","Soil",0.00014257704230065,7.74240961512302e-05
"ApparelPC","Soil (MP)",0.00438328213802961,0.00144072968519212
"ApparelPC","Fresh water",1.14014705047341e-07,7.0462716480805e-08
"ApparelPC","Fresh water (MP)",0.000458296379933527,0.000389880539702596
"ApparelPC","Subsurface soil (MP)",0.000854644278978295,0.000487208794527394
"ApparelPC","Coastal and ocean water",7.8141303272013e-07,4.44277953454292e-07
"ApparelPC","Coastal and ocean water (MP)",0.000351088748154967,0.000199393764284318
"HouseholdTextilesPC","Soil",0.000143584257874123,6.64614599295932e-05
"HouseholdTextilesPC","Soil (MP)",0.000870073111334034,0.000591321628183321
"HouseholdTextilesPC","Fresh water",1.15443396403578e-07,6.17700756622598e-08
"HouseholdTextilesPC","Fresh water (MP)",0.000150393676412995,0.000160321377043216
"HouseholdTextilesPC","Subsurface soil (MP)",8.40057549261371e-05,4.47707522553489e-05
"HouseholdTextilesPC","Coastal and ocean water",7.91398278291117e-07,3.86935948828509e-07
"HouseholdTextilesPC","Coastal and ocean water (MP)",6.43578281753457e-05,5.21553035417105e-05
"HygieneMedicalTextiles","Soil",0,0
"HygieneMedicalTextiles","Soil (MP)",0,0
"HygieneMedicalTextiles","Fresh water",0,0
"HygieneMedicalTextiles","Fresh water (MP)",0,0
"HygieneMedicalTextiles","Subsurface soil (MP)",0,0
"HygieneMedicalTextiles","Coastal and ocean water",0,0
"HygieneMedicalTextiles","Coastal and ocean water (MP)",0,0
"DisposableCleaningCloths","Soil",0.00138539169907517,0.0011396512352406
"DisposableCleaningCloths","Soil (MP)",0,0
"DisposableCleaningCloths","Fresh water",9.33657979445616e-06,9.18512025229436e-06
"DisposableCleaningCloths","Fresh water (MP)",0,0
"DisposableCleaningCloths","Subsurface soil (MP)",0,0
