"prod","dest","mean","sd"
"Pre-consumer processes","Soil",0,0
"Pre-consumer processes","Soil (MP)",3.72164526215186e-05,1.43147310428613e-05
"Pre-consumer processes","Fresh water",0,0
"Pre-consumer processes","Fresh water (MP)",4.72581803378135e-07,2.64425066279656e-07
"Pre-consumer processes","Subsurface soil (MP)",1.13453204408895e-06,8.77811341797821e-07
"Pre-consumer processes","Coastal and ocean water",0,0
"Pre-consumer processes","Coastal and ocean water (MP)",2.22654451228046e-08,9.74271531597071e-08
"ConsumerFilms","Soil",0.00378306480763868,0.00163448221685047
"ConsumerFilms","Soil (MP)",0.000151004386820544,5.63837735129968e-05
"ConsumerFilms","Fresh water",7.70581654036133e-05,4.33577994731873e-05
"ConsumerFilms","Fresh water (MP)",0,0
"ConsumerFilms","Subsurface soil (MP)",0,0
"ConsumerFilms","Coastal and ocean water",4.02475573491272e-06,1.92991384482633e-06
"ConsumerFilms","Coastal and ocean water (MP)",0,0
"ConsumerBags","Soil",0.00418277127478185,0.00250195897589482
"ConsumerBags","Soil (MP)",0.000150709524210972,7.1401084492843e-05
"ConsumerBags","Fresh water",8.6193913424999e-05,6.45679973286279e-05
"ConsumerBags","Fresh water (MP)",0,0
"ConsumerBags","Subsurface soil (MP)",0,0
"ConsumerBags","Coastal and ocean water",4.48498241524205e-06,2.89719376642689e-06
"ConsumerBags","Coastal and ocean water (MP)",0,0
"ConsumerBottles","Soil",0.00408461793063184,0.0033548717668686
"ConsumerBottles","Soil (MP)",3.04833120554696e-05,1.39565186458586e-05
"ConsumerBottles","Fresh water",8.70721378457005e-05,8.80187897279914e-05
"ConsumerBottles","Fresh water (MP)",0,0
"ConsumerBottles","Subsurface soil (MP)",0,0
"ConsumerBottles","Coastal and ocean water",4.57988588238267e-06,4.009094370805e-06
"ConsumerBottles","Coastal and ocean water (MP)",0,0
"ConsumerOther","Soil",0.00138431013886478,0.000520174954721585
"ConsumerOther","Soil (MP)",3.05018660266771e-05,1.05724691634773e-05
"ConsumerOther","Fresh water",2.68256289776621e-05,1.33255051140203e-05
"ConsumerOther","Fresh water (MP)",0,0
"ConsumerOther","Subsurface soil (MP)",0,0
"ConsumerOther","Coastal and ocean water",1.41499923914566e-06,5.91462876053987e-07
"ConsumerOther","Coastal and ocean water (MP)",0,0
"AgriculturalPackagingFilms","Soil",0.00113694285046462,0.000312212105973522
"AgriculturalPackagingFilms","Soil (MP)",0.000151010812467583,7.12349601774256e-05
"AgriculturalPackagingFilms","Fresh water",7.24952905544636e-07,3.20922898174907e-07
"AgriculturalPackagingFilms","Fresh water (MP)",0,0
"AgriculturalPackagingFilms","Subsurface soil (MP)",0,0
"AgriculturalPackagingFilms","Coastal and ocean water",4.87812906792215e-08,2.09903227744508e-08
"AgriculturalPackagingFilms","Coastal and ocean water (MP)",0,0
"AgriculturalPackagingBottles","Soil",0.0128559990433286,0.00770611195800056
"AgriculturalPackagingBottles","Soil (MP)",3.05616622542114e-05,1.92571463823454e-05
"AgriculturalPackagingBottles","Fresh water",7.31157700615276e-07,4.32770019468174e-07
"AgriculturalPackagingBottles","Fresh water (MP)",0,0
"AgriculturalPackagingBottles","Subsurface soil (MP)",0,0
"AgriculturalPackagingBottles","Coastal and ocean water",4.92485270008897e-08,2.84715469847408e-08
"AgriculturalPackagingBottles","Coastal and ocean water (MP)",0,0
"BuildingPackagingFilms","Soil",0.000189584598780241,0.000143782509451033
"BuildingPackagingFilms","Soil (MP)",0,0
"BuildingPackagingFilms","Fresh water",0,0
"BuildingPackagingFilms","Fresh water (MP)",0,0
"BuildingPackagingFilms","Subsurface soil (MP)",0,0
"BuildingPackagingFilms","Coastal and ocean water",0,0
"BuildingPackagingFilms","Coastal and ocean water (MP)",0,0
"OtherNonConsumerFilms","Soil",0.000358436586268869,0.000147602603604265
"OtherNonConsumerFilms","Soil (MP)",0,0
"OtherNonConsumerFilms","Fresh water",8.27769548028301e-05,5.07826022120501e-05
"OtherNonConsumerFilms","Fresh water (MP)",0,0
"OtherNonConsumerFilms","Subsurface soil (MP)",0,0
"OtherNonConsumerFilms","Coastal and ocean water",2.37830694395715e-06,1.5229794396536e-06
"OtherNonConsumerFilms","Coastal and ocean water (MP)",0,0
"NonConsumerBags","Soil",0.000357210677601201,0.000177901737628942
"NonConsumerBags","Soil (MP)",0,0
"NonConsumerBags","Fresh water",8.23137515029002e-05,6.25060967375576e-05
"NonConsumerBags","Fresh water (MP)",0,0
"NonConsumerBags","Subsurface soil (MP)",0,0
"NonConsumerBags","Coastal and ocean water",2.36097930795034e-06,1.83615728250377e-06
"NonConsumerBags","Coastal and ocean water (MP)",0,0
"NonConsumerOther","Soil",0.000356536874536577,9.98239787662134e-05
"NonConsumerOther","Soil (MP)",0,0
"NonConsumerOther","Fresh water",8.21491492231058e-05,3.40990949879068e-05
"NonConsumerOther","Fresh water (MP)",0,0
"NonConsumerOther","Subsurface soil (MP)",0,0
"NonConsumerOther","Coastal and ocean water",2.37063931467996e-06,1.0223727482599e-06
"NonConsumerOther","Coastal and ocean water (MP)",0,0
"PipesDucts","Soil",0,0
"PipesDucts","Soil (MP)",9.00115966911382e-07,1.0714024741692e-07
"PipesDucts","Fresh water",0,0
"PipesDucts","Fresh water (MP)",0,0
"PipesDucts","Subsurface soil (MP)",6.30013207524604e-06,7.48455575388511e-07
"PipesDucts","Coastal and ocean water",0,0
"PipesDucts","Coastal and ocean water (MP)",0,0
"Insulation","Soil",0.000187425885176605,0.000139687295398319
"Insulation","Soil (MP)",9.76196339237446e-05,1.97705797803512e-05
"Insulation","Fresh water",1.13076475978463e-06,8.90449645878465e-07
"Insulation","Fresh water (MP)",8.57155509773334e-07,6.49564077562589e-07
"Insulation","Subsurface soil (MP)",0,0
"Insulation","Coastal and ocean water",2.15972731982409e-06,1.70534460302491e-06
"Insulation","Coastal and ocean water (MP)",1.72544235808708e-06,1.39370682345226e-06
"WallFloorCoverings","Soil",0.000191844559266311,0.000152430018173661
"WallFloorCoverings","Soil (MP)",0.000392413055685555,0.000305381807733182
"WallFloorCoverings","Fresh water",0,0
"WallFloorCoverings","Fresh water (MP)",6.24344907950867e-06,4.75073309996964e-06
"WallFloorCoverings","Subsurface soil (MP)",9.96266734620383e-06,9.82307194475442e-06
"WallFloorCoverings","Coastal and ocean water",0,0
"WallFloorCoverings","Coastal and ocean water (MP)",7.08117625456727e-06,8.65765682927496e-06
"WindowsProfilesFittedFurniture","Soil",0,0
"WindowsProfilesFittedFurniture","Soil (MP)",0,0
"WindowsProfilesFittedFurniture","Fresh water",0,0
"WindowsProfilesFittedFurniture","Fresh water (MP)",0,0
"WindowsProfilesFittedFurniture","Subsurface soil (MP)",0,0
"WindowsProfilesFittedFurniture","Coastal and ocean water",0,0
"WindowsProfilesFittedFurniture","Coastal and ocean water (MP)",0,0
"Lining","Soil",0.000192885170648158,0.000151568820488935
"Lining","Soil (MP)",0,0
"Lining","Fresh water",0,0
"Lining","Fresh water (MP)",0,0
"Lining","Subsurface soil (MP)",0,0
"Lining","Coastal and ocean water",0,0
"Lining","Coastal and ocean water (MP)",0,0
"AutomotivePC","Soil",0.000693378022806773,0.000162016306696447
"AutomotivePC","Soil (MP)",0,0
"AutomotivePC","Fresh water",0,0
"AutomotivePC","Fresh water (MP)",0,0
"AutomotivePC","Subsurface soil (MP)",0,0
"AutomotivePC","Coastal and ocean water",0,0
"AutomotivePC","Coastal and ocean water (MP)",0,0
"EEEPC","Soil",0.000167348699828168,6.33840232748126e-05
"EEEPC","Soil (MP)",0,0
"EEEPC","Fresh water",7.25471102650446e-07,2.81592824003815e-07
"EEEPC","Fresh water (MP)",0,0
"EEEPC","Subsurface soil (MP)",0,0
"EEEPC","Coastal and ocean water",4.86813766237374e-08,1.83654313725789e-08
"EEEPC","Coastal and ocean water (MP)",0,0
