"prod","dest","mean","sd"
"Pre-consumer processes","Soil",0,0
"Pre-consumer processes","Soil (MP)",4.76605028191095e-05,1.44324588672408e-05
"Pre-consumer processes","Fresh water",0,0
"Pre-consumer processes","Fresh water (MP)",8.6484478394117e-07,2.95684688576838e-07
"Pre-consumer processes","Subsurface soil (MP)",1.13575454440003e-06,8.38610374868994e-07
"Pre-consumer processes","Coastal and ocean water",0,0
"Pre-consumer processes","Coastal and ocean water (MP)",3.39532168310055e-08,1.20852474236833e-07
"ConsumerFilms","Soil",0.00484255684773465,0.00217963845171766
"ConsumerFilms","Soil (MP)",0.000123799199552706,4.63332598427935e-05
"ConsumerFilms","Fresh water",7.87809470569569e-05,3.99785782095662e-05
"ConsumerFilms","Fresh water (MP)",0,0
"ConsumerFilms","Subsurface soil (MP)",0,0
"ConsumerFilms","Coastal and ocean water",1.89859556738216e-05,9.64623183343375e-06
"ConsumerFilms","Coastal and ocean water (MP)",0,0
"ConsumerBags","Soil",0.00529058723703786,0.00328891224656044
"ConsumerBags","Soil (MP)",0.00012429247111537,5.96655478531383e-05
"ConsumerBags","Fresh water",8.73918137192548e-05,6.0828021126783e-05
"ConsumerBags","Fresh water (MP)",0,0
"ConsumerBags","Subsurface soil (MP)",0,0
"ConsumerBags","Coastal and ocean water",2.10975281807073e-05,1.45022111840071e-05
"ConsumerBags","Coastal and ocean water (MP)",0,0
"ConsumerBottles","Soil",0.00526744775566286,0.00449013744888588
"ConsumerBottles","Soil (MP)",2.51266890840807e-05,1.15492259557362e-05
"ConsumerBottles","Fresh water",8.62613511310832e-05,7.75864591727783e-05
"ConsumerBottles","Fresh water (MP)",0,0
"ConsumerBottles","Subsurface soil (MP)",0,0
"ConsumerBottles","Coastal and ocean water",2.10378428155603e-05,1.9443616683378e-05
"ConsumerBottles","Coastal and ocean water (MP)",0,0
"ConsumerOther","Soil",0.00190123732656398,0.00071924983634671
"ConsumerOther","Soil (MP)",2.51398475240883e-05,8.71619407547916e-06
"ConsumerOther","Fresh water",3.1758241306093e-05,1.29896748245845e-05
"ConsumerOther","Fresh water (MP)",0,0
"ConsumerOther","Subsurface soil (MP)",0,0
"ConsumerOther","Coastal and ocean water",6.95336044735789e-06,3.06272428286373e-06
"ConsumerOther","Coastal and ocean water (MP)",0,0
"AgriculturalPackagingFilms","Soil",0.00133280309405577,0.000345528884925624
"AgriculturalPackagingFilms","Soil (MP)",0.000124352256152085,5.94182466459162e-05
"AgriculturalPackagingFilms","Fresh water",7.30833451467643e-06,3.46651275756916e-06
"AgriculturalPackagingFilms","Fresh water (MP)",0,0
