"prod","mat","dest","mean","sd"
"Pre-consumer processes","LDPE","Soil",0,0
"Pre-consumer processes","LDPE","Soil (MP)",9.97891749172179e-05,5.72696749956783e-05
"Pre-consumer processes","LDPE","Fresh water",0,0
"Pre-consumer processes","LDPE","Fresh water (MP)",2.27440155755379e-06,1.46183443615644e-06
"Pre-consumer processes","LDPE","Subsurface soil (MP)",2.87510876101683e-09,3.10502548958571e-09
"Pre-consumer processes","LDPE","Coastal and ocean water",0,0
"Pre-consumer processes","LDPE","Coastal and ocean water (MP)",7.15140327470116e-08,2.12836006180874e-07
"Pre-consumer processes","HDPE","Soil",0,0
"Pre-consumer processes","HDPE","Soil (MP)",0.000140185537391846,7.49337129662636e-05
"Pre-consumer processes","HDPE","Fresh water",0,0
"Pre-consumer processes","HDPE","Fresh water (MP)",3.56089808858198e-06,2.16682813888088e-06
"Pre-consumer processes","HDPE","Subsurface soil (MP)",1.82655840517676e-07,1.79271260773357e-07
"Pre-consumer processes","HDPE","Coastal and ocean water",0,0
"Pre-consumer processes","HDPE","Coastal and ocean water (MP)",1.20083554717366e-07,3.35601810107051e-07
"Pre-consumer processes","PP","Soil",0,0
"Pre-consumer processes","PP","Soil (MP)",0.000160648994544396,7.2434412332091e-05
"Pre-consumer processes","PP","Fresh water",0,0
"Pre-consumer processes","PP","Fresh water (MP)",5.01966051043755e-06,2.68182677541962e-06
"Pre-consumer processes","PP","Subsurface soil (MP)",4.15430578601134e-06,3.93784912229486e-06
"Pre-consumer processes","PP","Coastal and ocean water",0,0
"Pre-consumer processes","PP","Coastal and ocean water (MP)",3.83612974916862e-07,9.91502510724307e-07
"Pre-consumer processes","PS","Soil",0,0
"Pre-consumer processes","PS","Soil (MP)",4.28886704458992e-05,4.31793458754712e-05
"Pre-consumer processes","PS","Fresh water",0,0
"Pre-consumer processes","PS","Fresh water (MP)",1.68405125801685e-07,1.26910721787339e-07
"Pre-consumer processes","PS","Subsurface soil (MP)",0,0
"Pre-consumer processes","PS","Coastal and ocean water",0,0
"Pre-consumer processes","PS","Coastal and ocean water (MP)",4.72679333971139e-09,1.48474608975212e-08
"Pre-consumer processes","EPS","Soil",0,0
"Pre-consumer processes","EPS","Soil (MP)",4.63374862198932e-05,5.34397709486879e-05
"Pre-consumer processes","EPS","Fresh water",0,0
"Pre-consumer processes","EPS","Fresh water (MP)",1.86661153993812e-07,1.69722074417479e-07
"Pre-consumer processes","EPS","Subsurface soil (MP)",0,0
"Pre-consumer processes","EPS","Coastal and ocean water",0,0
"Pre-consumer processes","EPS","Coastal and ocean water (MP)",5.48126479556577e-09,2.07740966406323e-08
"Pre-consumer processes","PVC","Soil",0,0
"Pre-consumer processes","PVC","Soil (MP)",5.82636930762426e-05,4.49146628523538e-05
"Pre-consumer processes","PVC","Fresh water",0,0
"Pre-consumer processes","PVC","Fresh water (MP)",7.39306842890133e-07,4.39910073817726e-07
"Pre-consumer processes","PVC","Subsurface soil (MP)",0,0
"Pre-consumer processes","PVC","Coastal and ocean water",0,0
"Pre-consumer processes","PVC","Coastal and ocean water (MP)",2.18809246890539e-08,6.42758400282828e-08
"Pre-consumer processes","PET","Soil",0,0
"Pre-consumer processes","PET","Soil (MP)",3.15365393432709e-05,2.90790941332439e-05
"Pre-consumer processes","PET","Fresh water",0,0
"Pre-consumer processes","PET","Fresh water (MP)",1.51624736613896e-06,1.70518559514481e-06
"Pre-consumer processes","PET","Subsurface soil (MP)",5.56106334856737e-06,5.92042300591007e-06
"Pre-consumer processes","PET","Coastal and ocean water",0,0
"Pre-consumer processes","PET","Coastal and ocean water (MP)",3.76363942211348e-07,1.11857897537519e-06
"ConsumerFilms","LDPE","Soil",0.00486925454699699,0.00350291003727444
"ConsumerFilms","LDPE","Soil (MP)",1.9212929270878e-05,1.22141468728904e-05
"ConsumerFilms","LDPE","Fresh water",0.000110148797527354,0.000101981666951754
"ConsumerFilms","LDPE","Fresh water (MP)",0,0
"ConsumerFilms","LDPE","Subsurface soil (MP)",0,0
"ConsumerFilms","LDPE","Coastal and ocean water",5.50531972720083e-06,4.20605439345672e-06
"ConsumerFilms","LDPE","Coastal and ocean water (MP)",0,0
"ConsumerFilms","HDPE","Soil",0.012237227983587,0.00960096008810306
"ConsumerFilms","HDPE","Soil (MP)",1.91312201757385e-05,1.2284643750898e-05
"ConsumerFilms","HDPE","Fresh water",0.000301655257492644,0.000280204065988351
"ConsumerFilms","HDPE","Fresh water (MP)",0,0
"ConsumerFilms","HDPE","Subsurface soil (MP)",0,0
"ConsumerFilms","HDPE","Coastal and ocean water",1.46664525971608e-05,1.15341226166377e-05
"ConsumerFilms","HDPE","Coastal and ocean water (MP)",0,0
"ConsumerFilms","PP","Soil",0.00842210860319213,0.00641535596868644
"ConsumerFilms","PP","Soil (MP)",1.89791755027935e-05,1.22322726246958e-05
"ConsumerFilms","PP","Fresh water",0.00020055934427472,0.000189484074837258
"ConsumerFilms","PP","Fresh water (MP)",0,0
"ConsumerFilms","PP","Subsurface soil (MP)",0,0
"ConsumerFilms","PP","Coastal and ocean water",9.78570799476755e-06,7.91557102795551e-06
"ConsumerFilms","PP","Coastal and ocean water (MP)",0,0
"ConsumerFilms","PS","Soil",0.00866911875653522,0.00657302216709631
"ConsumerFilms","PS","Soil (MP)",1.92024973849523e-05,1.21863499741571e-05
"ConsumerFilms","PS","Fresh water",0.000212571973708365,0.000202332795174899
"ConsumerFilms","PS","Fresh water (MP)",0,0
"ConsumerFilms","PS","Subsurface soil (MP)",0,0
"ConsumerFilms","PS","Coastal and ocean water",1.03598937618845e-05,8.10306306398962e-06
"ConsumerFilms","PS","Coastal and ocean water (MP)",0,0
"ConsumerFilms","EPS","Soil",NA,NA
"ConsumerFilms","EPS","Soil (MP)",NA,NA
"ConsumerFilms","EPS","Fresh water",NA,NA
"ConsumerFilms","EPS","Fresh water (MP)",NA,NA
"ConsumerFilms","EPS","Subsurface soil (MP)",NA,NA
"ConsumerFilms","EPS","Coastal and ocean water",NA,NA
"ConsumerFilms","EPS","Coastal and ocean water (MP)",NA,NA
"ConsumerFilms","PVC","Soil",0.00876201607119349,0.00668264030128045
"ConsumerFilms","PVC","Soil (MP)",1.92629845387003e-05,1.22932622412211e-05
"ConsumerFilms","PVC","Fresh water",0.000209539910148419,0.000194719591332897
"ConsumerFilms","PVC","Fresh water (MP)",0,0
"ConsumerFilms","PVC","Subsurface soil (MP)",0,0
"ConsumerFilms","PVC","Coastal and ocean water",1.0337416767965e-05,7.96770520257661e-06
"ConsumerFilms","PVC","Coastal and ocean water (MP)",0,0
"ConsumerFilms","PET","Soil",0.00878144677635349,0.00665644622427581
"ConsumerFilms","PET","Soil (MP)",1.92054213287294e-05,1.22259256778312e-05
"ConsumerFilms","PET","Fresh water",0.000214792424485577,0.000199442542074923
