"prod","mat","dest","mean","sd"
"Pre-consumer processes","LDPE","Soil",0,0
"Pre-consumer processes","LDPE","Soil (MP)",4.39360290334115e-05,4.4501796244258e-05
"Pre-consumer processes","LDPE","Fresh water",0,0
"Pre-consumer processes","LDPE","Fresh water (MP)",1.70495925069149e-07,1.34446125470723e-07
"Pre-consumer processes","LDPE","Subsurface soil (MP)",7.02237069755041e-10,8.23384484268646e-10
"Pre-consumer processes","LDPE","Coastal and ocean water",0,0
"Pre-consumer processes","LDPE","Coastal and ocean water (MP)",0,0
"Pre-consumer processes","HDPE","Soil",0,0
"Pre-consumer processes","HDPE","Soil (MP)",4.2449762811049e-05,4.19294750444289e-05
"Pre-consumer processes","HDPE","Fresh water",0,0
"Pre-consumer processes","HDPE","Fresh water (MP)",2.07256968730929e-07,1.40852157006465e-07
"Pre-consumer processes","HDPE","Subsurface soil (MP)",1.51778018198049e-07,1.75602266716631e-07
"Pre-consumer processes","HDPE","Coastal and ocean water",0,0
"Pre-consumer processes","HDPE","Coastal and ocean water (MP)",0,0
"Pre-consumer processes","PP","Soil",0,0
"Pre-consumer processes","PP","Soil (MP)",3.63449722762147e-05,3.56257581378102e-05
"Pre-consumer processes","PP","Fresh water",0,0
"Pre-consumer processes","PP","Fresh water (MP)",5.49331832562839e-07,4.80560869877075e-07
"Pre-consumer processes","PP","Subsurface soil (MP)",1.38074560908958e-06,1.50912979562239e-06
"Pre-consumer processes","PP","Coastal and ocean water",0,0
"Pre-consumer processes","PP","Coastal and ocean water (MP)",0,0
"Pre-consumer processes","PS","Soil",0,0
"Pre-consumer processes","PS","Soil (MP)",4.23665043790673e-05,4.2483873110216e-05
"Pre-consumer processes","PS","Fresh water",0,0
"Pre-consumer processes","PS","Fresh water (MP)",1.66707765885297e-07,1.28951079580372e-07
"Pre-consumer processes","PS","Subsurface soil (MP)",0,0
"Pre-consumer processes","PS","Coastal and ocean water",0,0
"Pre-consumer processes","PS","Coastal and ocean water (MP)",0,0
"Pre-consumer processes","EPS","Soil",0,0
"Pre-consumer processes","EPS","Soil (MP)",4.72012111166516e-05,5.67342224961872e-05
"Pre-consumer processes","EPS","Fresh water",0,0
"Pre-consumer processes","EPS","Fresh water (MP)",1.84058419786516e-07,1.72606614170534e-07
"Pre-consumer processes","EPS","Subsurface soil (MP)",0,0
"Pre-consumer processes","EPS","Coastal and ocean water",0,0
"Pre-consumer processes","EPS","Coastal and ocean water (MP)",0,0
"Pre-consumer processes","PVC","Soil",0,0
"Pre-consumer processes","PVC","Soil (MP)",4.38216817339032e-05,4.44053765348643e-05
"Pre-consumer processes","PVC","Fresh water",0,0
"Pre-consumer processes","PVC","Fresh water (MP)",1.71809141405351e-07,1.363182028059e-07
"Pre-consumer processes","PVC","Subsurface soil (MP)",0,0
"Pre-consumer processes","PVC","Coastal and ocean water",0,0
"Pre-consumer processes","PVC","Coastal and ocean water (MP)",0,0
"Pre-consumer processes","PET","Soil",0,0
"Pre-consumer processes","PET","Soil (MP)",2.80693038723851e-05,2.85664866398222e-05
"Pre-consumer processes","PET","Fresh water",0,0
"Pre-consumer processes","PET","Fresh water (MP)",1.43599190803929e-06,1.57508415702116e-06
"Pre-consumer processes","PET","Subsurface soil (MP)",4.49603035292276e-06,5.23544596689568e-06
"Pre-consumer processes","PET","Coastal and ocean water",0,0
"Pre-consumer processes","PET","Coastal and ocean water (MP)",0,0
"ConsumerFilms","LDPE","Soil",0.00206145252906295,0.00137398774619669
"ConsumerFilms","LDPE","Soil (MP)",0.000307577608322344,0.000194337390021422
"ConsumerFilms","LDPE","Fresh water",3.79778518887554e-05,3.51434705229816e-05
"ConsumerFilms","LDPE","Fresh water (MP)",0,0
"ConsumerFilms","LDPE","Subsurface soil (MP)",0,0
"ConsumerFilms","LDPE","Coastal and ocean water",0,0
"ConsumerFilms","LDPE","Coastal and ocean water (MP)",0,0
"ConsumerFilms","HDPE","Soil",0.00495022587059405,0.00365729707335178
"ConsumerFilms","HDPE","Soil (MP)",0.00030528448301592,0.000193593374577337
"ConsumerFilms","HDPE","Fresh water",0.000106919563718623,9.62894724905622e-05
"ConsumerFilms","HDPE","Fresh water (MP)",0,0
"ConsumerFilms","HDPE","Subsurface soil (MP)",0,0
"ConsumerFilms","HDPE","Coastal and ocean water",0,0
