"prod","mat","dest","mean","sd"
"Pre-consumer processes","LDPE","Soil",0,0
"Pre-consumer processes","LDPE","Soil (MP)",4.35353326691864e-05,4.5024087984062e-05
"Pre-consumer processes","LDPE","Fresh water",0,0
"Pre-consumer processes","LDPE","Fresh water (MP)",1.7642667431165e-07,1.34386783600467e-07
"Pre-consumer processes","LDPE","Subsurface soil (MP)",3.27319978285113e-08,3.49094695745289e-08
"Pre-consumer processes","LDPE","Coastal and ocean water",0,0
"Pre-consumer processes","LDPE","Coastal and ocean water (MP)",0,0
"Pre-consumer processes","HDPE","Soil",0,0
"Pre-consumer processes","HDPE","Soil (MP)",4.37771041939342e-05,4.3000060443316e-05
"Pre-consumer processes","HDPE","Fresh water",0,0
"Pre-consumer processes","HDPE","Fresh water (MP)",2.09267418569795e-07,1.47402242515681e-07
"Pre-consumer processes","HDPE","Subsurface soil (MP)",2.32090504834454e-07,2.41847844857008e-07
"Pre-consumer processes","HDPE","Coastal and ocean water",0,0
"Pre-consumer processes","HDPE","Coastal and ocean water (MP)",0,0
"Pre-consumer processes","PP","Soil",0,0
"Pre-consumer processes","PP","Soil (MP)",4.55893170569733e-05,3.60930113504238e-05
"Pre-consumer processes","PP","Fresh water",0,0
"Pre-consumer processes","PP","Fresh water (MP)",5.06450396422808e-07,4.77565835129709e-07
"Pre-consumer processes","PP","Subsurface soil (MP)",1.95386047734475e-06,1.9835991271828e-06
"Pre-consumer processes","PP","Coastal and ocean water",0,0
"Pre-consumer processes","PP","Coastal and ocean water (MP)",0,0
"Pre-consumer processes","PS","Soil",0,0
"Pre-consumer processes","PS","Soil (MP)",4.27513470273836e-05,4.23280171007023e-05
"Pre-consumer processes","PS","Fresh water",0,0
"Pre-consumer processes","PS","Fresh water (MP)",1.6673520829271e-07,1.24776637869052e-07
"Pre-consumer processes","PS","Subsurface soil (MP)",0,0
"Pre-consumer processes","PS","Coastal and ocean water",0,0
"Pre-consumer processes","PS","Coastal and ocean water (MP)",0,0
"Pre-consumer processes","EPS","Soil",0,0
"Pre-consumer processes","EPS","Soil (MP)",4.81340122367699e-05,5.6027553347211e-05
"Pre-consumer processes","EPS","Fresh water",0,0
"Pre-consumer processes","EPS","Fresh water (MP)",1.88789760445399e-07,1.80014098560101e-07
"Pre-consumer processes","EPS","Subsurface soil (MP)",0,0
"Pre-consumer processes","EPS","Coastal and ocean water",0,0
"Pre-consumer processes","EPS","Coastal and ocean water (MP)",0,0
"Pre-consumer processes","PVC","Soil",0,0
"Pre-consumer processes","PVC","Soil (MP)",4.38541705201173e-05,4.45693828635216e-05
"Pre-consumer processes","PVC","Fresh water",0,0
"Pre-consumer processes","PVC","Fresh water (MP)",1.72765730607995e-07,1.40107924379129e-07
"Pre-consumer processes","PVC","Subsurface soil (MP)",0,0
"Pre-consumer processes","PVC","Coastal and ocean water",0,0
"Pre-consumer processes","PVC","Coastal and ocean water (MP)",0,0
"Pre-consumer processes","PET","Soil",0,0
"Pre-consumer processes","PET","Soil (MP)",5.5635140437653e-05,3.86201247788635e-05
"Pre-consumer processes","PET","Fresh water",0,0
"Pre-consumer processes","PET","Fresh water (MP)",1.30342842175078e-06,1.55789950512284e-06
"Pre-consumer processes","PET","Subsurface soil (MP)",6.43400196457655e-06,6.70730029824119e-06
"Pre-consumer processes","PET","Coastal and ocean water",0,0
"Pre-consumer processes","PET","Coastal and ocean water (MP)",0,0
"ConsumerFilms","LDPE","Soil",0.00362295796920579,0.00239212397528116
"ConsumerFilms","LDPE","Soil (MP)",2.11660849130586e-05,1.34865946155054e-05
"ConsumerFilms","LDPE","Fresh water",0.000149434193804749,0.000141235367594147
"ConsumerFilms","LDPE","Fresh water (MP)",0,0
"ConsumerFilms","LDPE","Subsurface soil (MP)",0,0
"ConsumerFilms","LDPE","Coastal and ocean water",2.87050834272486e-05,2.07465588272938e-05
"ConsumerFilms","LDPE","Coastal and ocean water (MP)",0,0
"ConsumerFilms","HDPE","Soil",0.00893873494463845,0.00650015043512423
"ConsumerFilms","HDPE","Soil (MP)",2.12429242466897e-05,1.3566142076526e-05
"ConsumerFilms","HDPE","Fresh water",0.000417180743771732,0.000406451284196832
"ConsumerFilms","HDPE","Fresh water (MP)",0,0
"ConsumerFilms","HDPE","Subsurface soil (MP)",0,0
"ConsumerFilms","HDPE","Coastal and ocean water",7.72075977605149e-05,5.8431909535854e-05
"ConsumerFilms","HDPE","Coastal and ocean water (MP)",0,0
"ConsumerFilms","PP","Soil",0.0061274754867978,0.00439758268192333
"ConsumerFilms","PP","Soil (MP)",2.12855860423033e-05,1.36013280421509e-05
"ConsumerFilms","PP","Fresh water",0.000276784707900853,0.000259971175103865
"ConsumerFilms","PP","Fresh water (MP)",0,0
"ConsumerFilms","PP","Subsurface soil (MP)",0,0
"ConsumerFilms","PP","Coastal and ocean water",5.19480146970028e-05,3.90865270566996e-05
"ConsumerFilms","PP","Coastal and ocean water (MP)",0,0
"ConsumerFilms","PS","Soil",0.00652319374854058,0.00466434830450229
"ConsumerFilms","PS","Soil (MP)",2.10283507758726e-05,1.34606131037069e-05
"ConsumerFilms","PS","Fresh water",0.000292002475204653,0.000277819115366846
"ConsumerFilms","PS","Fresh water (MP)",0,0
"ConsumerFilms","PS","Subsurface soil (MP)",0,0
"ConsumerFilms","PS","Coastal and ocean water",5.49467728557282e-05,4.12194511679465e-05
"ConsumerFilms","PS","Coastal and ocean water (MP)",0,0
"ConsumerFilms","EPS","Soil",NA,NA
"ConsumerFilms","EPS","Soil (MP)",NA,NA
"ConsumerFilms","EPS","Fresh water",NA,NA
"ConsumerFilms","EPS","Fresh water (MP)",NA,NA
"ConsumerFilms","EPS","Subsurface soil (MP)",NA,NA
"ConsumerFilms","EPS","Coastal and ocean water",NA,NA
"ConsumerFilms","EPS","Coastal and ocean water (MP)",NA,NA
"ConsumerFilms","PVC","Soil",0.0065007503008804,0.00464446669799737
"ConsumerFilms","PVC","Soil (MP)",2.11437197190661e-05,1.33794160375582e-05
"ConsumerFilms","PVC","Fresh water",0.000290777790584587,0.000280698906957431
"ConsumerFilms","PVC","Fresh water (MP)",0,0
"ConsumerFilms","PVC","Subsurface soil (MP)",0,0
"ConsumerFilms","PVC","Coastal and ocean water",5.47352158887789e-05,4.13623849911923e-05
"ConsumerFilms","PVC","Coastal and ocean water (MP)",0,0
"ConsumerFilms","PET","Soil",0.00649119194845712,0.00462227169128612
"ConsumerFilms","PET","Soil (MP)",2.09840291900869e-05,1.34393062902892e-05
"ConsumerFilms","PET","Fresh water",0.000296821011846542,0.000290584830791468
"ConsumerFilms","PET","Fresh water (MP)",0,0
"ConsumerFilms","PET","Subsurface soil (MP)",0,0
"ConsumerFilms","PET","Coastal and ocean water",5.49921861748933e-05,4.14391891074996e-05
"ConsumerFilms","PET","Coastal and ocean water (MP)",0,0
"ConsumerBags","LDPE","Soil",0.00474073463075521,0.00325556485727058
"ConsumerBags","LDPE","Soil (MP)",2.11247667775634e-05,1.35804302810813e-05
"ConsumerBags","LDPE","Fresh water",0.000203763046213875,0.000194743154591105
"ConsumerBags","LDPE","Fresh water (MP)",0,0
"ConsumerBags","LDPE","Subsurface soil (MP)",0,0
"ConsumerBags","LDPE","Coastal and ocean water",3.88268433783292e-05,2.83502092317648e-05
"ConsumerBags","LDPE","Coastal and ocean water (MP)",0,0
"ConsumerBags","HDPE","Soil",0.00762613440208784,0.00554887903509668
"ConsumerBags","HDPE","Soil (MP)",2.11591472206699e-05,1.35459640706607e-05
"ConsumerBags","HDPE","Fresh water",0.000345342779271032,0.000330853577105003
"ConsumerBags","HDPE","Fresh water (MP)",0,0
"ConsumerBags","HDPE","Subsurface soil (MP)",0,0
"ConsumerBags","HDPE","Coastal and ocean water",6.50567408149684e-05,4.9355329256893e-05
"ConsumerBags","HDPE","Coastal and ocean water (MP)",0,0
"ConsumerBags","PP","Soil",NA,NA
"ConsumerBags","PP","Soil (MP)",NA,NA
"ConsumerBags","PP","Fresh water",NA,NA
"ConsumerBags","PP","Fresh water (MP)",NA,NA
"ConsumerBags","PP","Subsurface soil (MP)",NA,NA
"ConsumerBags","PP","Coastal and ocean water",NA,NA
"ConsumerBags","PP","Coastal and ocean water (MP)",NA,NA
"ConsumerBags","PS","Soil",NA,NA
