"prod","mat","dest","mean","sd"
"Pre-consumer processes","LDPE","Soil",0,0
"Pre-consumer processes","LDPE","Soil (MP)",6.37932154155607e-05,4.32500488566041e-05
"Pre-consumer processes","LDPE","Fresh water",0,0
"Pre-consumer processes","LDPE","Fresh water (MP)",9.38359012418436e-07,5.5739588008294e-07
"Pre-consumer processes","LDPE","Subsurface soil (MP)",5.10188836313804e-09,5.97985326045581e-09
"Pre-consumer processes","LDPE","Coastal and ocean water",0,0
"Pre-consumer processes","LDPE","Coastal and ocean water (MP)",5.30919651143999e-08,8.44013553491665e-08
"Pre-consumer processes","HDPE","Soil",0,0
"Pre-consumer processes","HDPE","Soil (MP)",0.000172883865539075,9.11441292447542e-05
"Pre-consumer processes","HDPE","Fresh water",0,0
"Pre-consumer processes","HDPE","Fresh water (MP)",4.30342668507383e-06,2.64724446225389e-06
"Pre-consumer processes","HDPE","Subsurface soil (MP)",1.85509826660621e-07,1.98745374892112e-07
"Pre-consumer processes","HDPE","Coastal and ocean water",0,0
"Pre-consumer processes","HDPE","Coastal and ocean water (MP)",2.70008310712693e-07,4.2818321693237e-07
"Pre-consumer processes","PP","Soil",0,0
"Pre-consumer processes","PP","Soil (MP)",0.000123349058549158,5.64335781941755e-05
"Pre-consumer processes","PP","Fresh water",0,0
"Pre-consumer processes","PP","Fresh water (MP)",3.6727380859562e-06,2.07247819680894e-06
"Pre-consumer processes","PP","Subsurface soil (MP)",2.63288546177985e-06,2.69375171616368e-06
"Pre-consumer processes","PP","Coastal and ocean water",0,0
"Pre-consumer processes","PP","Coastal and ocean water (MP)",5.94198720598676e-07,8.48793691262997e-07
"Pre-consumer processes","PS","Soil",0,0
"Pre-consumer processes","PS","Soil (MP)",0.000133680216904625,7.36280458803501e-05
"Pre-consumer processes","PS","Fresh water",0,0
"Pre-consumer processes","PS","Fresh water (MP)",3.33743709143233e-06,2.12072925797072e-06
"Pre-consumer processes","PS","Subsurface soil (MP)",0,0
"Pre-consumer processes","PS","Coastal and ocean water",0,0
"Pre-consumer processes","PS","Coastal and ocean water (MP)",1.87933395180419e-07,3.11272189958163e-07
"Pre-consumer processes","EPS","Soil",0,0
"Pre-consumer processes","EPS","Soil (MP)",0.000142985103786254,0.000103158692599248
"Pre-consumer processes","EPS","Fresh water",0,0
"Pre-consumer processes","EPS","Fresh water (MP)",3.55541492170551e-06,2.78878794946653e-06
"Pre-consumer processes","EPS","Subsurface soil (MP)",0,0
"Pre-consumer processes","EPS","Coastal and ocean water",0,0
"Pre-consumer processes","EPS","Coastal and ocean water (MP)",1.978771741844e-07,3.56304815230871e-07
"Pre-consumer processes","PVC","Soil",0,0
"Pre-consumer processes","PVC","Soil (MP)",0.000181317347545735,0.000101536372430357
"Pre-consumer processes","PVC","Fresh water",0,0
"Pre-consumer processes","PVC","Fresh water (MP)",4.46070873445471e-06,2.85514673023658e-06
"Pre-consumer processes","PVC","Subsurface soil (MP)",0,0
"Pre-consumer processes","PVC","Coastal and ocean water",0,0
"Pre-consumer processes","PVC","Coastal and ocean water (MP)",2.53387610049908e-07,4.40291758288197e-07
"Pre-consumer processes","PET","Soil",0,0
"Pre-consumer processes","PET","Soil (MP)",7.31202019415256e-05,4.15104043559263e-05
"Pre-consumer processes","PET","Fresh water",0,0
"Pre-consumer processes","PET","Fresh water (MP)",2.28174314841379e-06,1.66478635365132e-06
"Pre-consumer processes","PET","Subsurface soil (MP)",3.33635652609807e-06,3.69486410903016e-06
"Pre-consumer processes","PET","Coastal and ocean water",0,0
"Pre-consumer processes","PET","Coastal and ocean water (MP)",5.9494974708937e-07,8.97825712511702e-07
"ConsumerFilms","LDPE","Soil",0.00213977139924122,0.00138746561741767
"ConsumerFilms","LDPE","Soil (MP)",0.000286300133930105,0.000180826130566613
"ConsumerFilms","LDPE","Fresh water",6.23777527241529e-05,5.85673937973618e-05
"ConsumerFilms","LDPE","Fresh water (MP)",0,0
"ConsumerFilms","LDPE","Subsurface soil (MP)",0,0
"ConsumerFilms","LDPE","Coastal and ocean water",1.62052350619069e-06,1.25295400261043e-06
"ConsumerFilms","LDPE","Coastal and ocean water (MP)",0,0
"ConsumerFilms","HDPE","Soil",0.00513633267744645,0.00387525528294664
"ConsumerFilms","HDPE","Soil (MP)",0.000284371764015292,0.000181476881638407
"ConsumerFilms","HDPE","Fresh water",0.00017217572207757,0.000159562707007623
"ConsumerFilms","HDPE","Fresh water (MP)",0,0
"ConsumerFilms","HDPE","Subsurface soil (MP)",0,0
"ConsumerFilms","HDPE","Coastal and ocean water",4.46125839082672e-06,3.49234394248487e-06
"ConsumerFilms","HDPE","Coastal and ocean water (MP)",0,0
"ConsumerFilms","PP","Soil",0.00356954474336344,0.00255536335177284
"ConsumerFilms","PP","Soil (MP)",0.000285200000971044,0.00018254714486339
"ConsumerFilms","PP","Fresh water",0.000115347683956361,0.000106670201868579
"ConsumerFilms","PP","Fresh water (MP)",0,0
"ConsumerFilms","PP","Subsurface soil (MP)",0,0
"ConsumerFilms","PP","Coastal and ocean water",3.0040034580229e-06,2.35507174385588e-06
"ConsumerFilms","PP","Coastal and ocean water (MP)",0,0
"ConsumerFilms","PS","Soil",0.00378133592471277,0.00272710061418421
"ConsumerFilms","PS","Soil (MP)",0.000288070309643493,0.000183295375922015
"ConsumerFilms","PS","Fresh water",0.000122747847187973,0.000114131785556605
"ConsumerFilms","PS","Fresh water (MP)",0,0
"ConsumerFilms","PS","Subsurface soil (MP)",0,0
"ConsumerFilms","PS","Coastal and ocean water",3.19222135475365e-06,2.46149160979934e-06
"ConsumerFilms","PS","Coastal and ocean water (MP)",0,0
"ConsumerFilms","EPS","Soil",NA,NA
