"prod","mat","dest","mean","sd"
"Pre-consumer processes","LDPE","Soil",0,0
"Pre-consumer processes","LDPE","Soil (MP)",4.30639202992795e-05,4.24505399330203e-05
"Pre-consumer processes","LDPE","Fresh water",0,0
"Pre-consumer processes","LDPE","Fresh water (MP)",1.20353310763401e-07,6.78830440593725e-08
"Pre-consumer processes","LDPE","Subsurface soil (MP)",2.10846962720208e-07,2.28497757745546e-07
"Pre-consumer processes","LDPE","Coastal and ocean water",0,0
"Pre-consumer processes","LDPE","Coastal and ocean water (MP)",1.13994131415218e-07,1.34027973381691e-07
"Pre-consumer processes","HDPE","Soil",0,0
"Pre-consumer processes","HDPE","Soil (MP)",0.00081843483859553,0.000424428743111467
"Pre-consumer processes","HDPE","Fresh water",0,0
"Pre-consumer processes","HDPE","Fresh water (MP)",9.52520709240996e-06,3.58474409413802e-06
"Pre-consumer processes","HDPE","Subsurface soil (MP)",1.09643432937614e-06,1.03990297197899e-06
"Pre-consumer processes","HDPE","Coastal and ocean water",0,0
"Pre-consumer processes","HDPE","Coastal and ocean water (MP)",1.20408277607848e-05,1.08941497323808e-05
"Pre-consumer processes","PP","Soil",0,0
"Pre-consumer processes","PP","Soil (MP)",4.33922265194804e-05,3.50952842952287e-05
"Pre-consumer processes","PP","Fresh water",0,0
"Pre-consumer processes","PP","Fresh water (MP)",4.62433504692988e-07,3.43182289376089e-07
"Pre-consumer processes","PP","Subsurface soil (MP)",1.882648196251e-06,1.88710199328931e-06
"Pre-consumer processes","PP","Coastal and ocean water",0,0
"Pre-consumer processes","PP","Coastal and ocean water (MP)",3.37261208553212e-07,5.58922819873145e-07
"Pre-consumer processes","PS","Soil",0,0
"Pre-consumer processes","PS","Soil (MP)",6.65902029552176e-05,4.32466158541955e-05
"Pre-consumer processes","PS","Fresh water",0,0
"Pre-consumer processes","PS","Fresh water (MP)",4.84211225462974e-07,1.83658093855153e-07
"Pre-consumer processes","PS","Subsurface soil (MP)",0,0
"Pre-consumer processes","PS","Coastal and ocean water",0,0
"Pre-consumer processes","PS","Coastal and ocean water (MP)",6.04545152980885e-07,5.27451400919825e-07
"Pre-consumer processes","EPS","Soil",0,0
"Pre-consumer processes","EPS","Soil (MP)",0.000999901830831345,0.0006145749938222
"Pre-consumer processes","EPS","Fresh water",0,0
"Pre-consumer processes","EPS","Fresh water (MP)",1.14607037299822e-05,5.61427396411081e-06
"Pre-consumer processes","EPS","Subsurface soil (MP)",0,0
"Pre-consumer processes","EPS","Coastal and ocean water",0,0
"Pre-consumer processes","EPS","Coastal and ocean water (MP)",1.434087788508e-05,1.44089481596387e-05
"Pre-consumer processes","PVC","Soil",0,0
