"prod","mat","dest","mean","sd"
"Pre-consumer processes","LDPE","Soil",0,0
"Pre-consumer processes","LDPE","Soil (MP)",0.000162916956133345,2.6772600889745e-05
"Pre-consumer processes","LDPE","Fresh water",0,0
"Pre-consumer processes","LDPE","Fresh water (MP)",3.13696475289577e-06,5.82403474327476e-07
"Pre-consumer processes","LDPE","Subsurface soil (MP)",3.26073705855257e-08,2.11406804603027e-08
"Pre-consumer processes","LDPE","Coastal and ocean water",0,0
"Pre-consumer processes","LDPE","Coastal and ocean water (MP)",7.03530217509453e-07,3.45577347503079e-07
"Pre-consumer processes","HDPE","Soil",0,0
"Pre-consumer processes","HDPE","Soil (MP)",0.000131906861960175,2.18862375311709e-05
"Pre-consumer processes","HDPE","Fresh water",0,0
"Pre-consumer processes","HDPE","Fresh water (MP)",2.74806695447325e-06,5.89374072830248e-07
"Pre-consumer processes","HDPE","Subsurface soil (MP)",2.26635116643284e-07,6.10850686774743e-08
"Pre-consumer processes","HDPE","Coastal and ocean water",0,0
"Pre-consumer processes","HDPE","Coastal and ocean water (MP)",3.83982395660656e-07,1.55215955318777e-07
"Pre-consumer processes","PP","Soil",0,0
"Pre-consumer processes","PP","Soil (MP)",0.000144477270228045,2.01022972201567e-05
"Pre-consumer processes","PP","Fresh water",0,0
"Pre-consumer processes","PP","Fresh water (MP)",3.76517128497605e-06,6.87113523401485e-07
"Pre-consumer processes","PP","Subsurface soil (MP)",3.57083584115446e-06,1.03734904285292e-06
"Pre-consumer processes","PP","Coastal and ocean water",0,0
"Pre-consumer processes","PP","Coastal and ocean water (MP)",7.85239802028488e-07,3.3125563589766e-07
"Pre-consumer processes","PS","Soil",0,0
"Pre-consumer processes","PS","Soil (MP)",0.000123145092733387,2.17073852453018e-05
"Pre-consumer processes","PS","Fresh water",0,0
"Pre-consumer processes","PS","Fresh water (MP)",2.40435945994843e-06,5.46865857823541e-07
"Pre-consumer processes","PS","Subsurface soil (MP)",0,0
"Pre-consumer processes","PS","Coastal and ocean water",0,0
"Pre-consumer processes","PS","Coastal and ocean water (MP)",4.59655823259384e-07,2.4350592443124e-07
"Pre-consumer processes","EPS","Soil",0,0
"Pre-consumer processes","EPS","Soil (MP)",0.000101907529435236,1.98970746241327e-05
"Pre-consumer processes","EPS","Fresh water",0,0
"Pre-consumer processes","EPS","Fresh water (MP)",1.90772239955362e-06,4.81891857670505e-07
"Pre-consumer processes","EPS","Subsurface soil (MP)",0,0
"Pre-consumer processes","EPS","Coastal and ocean water",0,0
"Pre-consumer processes","EPS","Coastal and ocean water (MP)",2.49872847514433e-07,1.18292710863769e-07
"Pre-consumer processes","PVC","Soil",0,0
"Pre-consumer processes","PVC","Soil (MP)",0.00012500530031331,2.5322258814562e-05
"Pre-consumer processes","PVC","Fresh water",0,0
"Pre-consumer processes","PVC","Fresh water (MP)",2.32235516132686e-06,5.65515332570992e-07
"Pre-consumer processes","PVC","Subsurface soil (MP)",0,0
"Pre-consumer processes","PVC","Coastal and ocean water",0,0
"Pre-consumer processes","PVC","Coastal and ocean water (MP)",5.59277902988745e-07,3.2889920214189e-07
"Pre-consumer processes","PET","Soil",0,0
"Pre-consumer processes","PET","Soil (MP)",7.42426964433224e-05,1.30083887776288e-05
"Pre-consumer processes","PET","Fresh water",0,0
"Pre-consumer processes","PET","Fresh water (MP)",2.17110659617611e-06,4.84828989676121e-07
"Pre-consumer processes","PET","Subsurface soil (MP)",4.21141164752372e-06,1.22204965275621e-06
"Pre-consumer processes","PET","Coastal and ocean water",0,0
"Pre-consumer processes","PET","Coastal and ocean water (MP)",5.84217527897435e-07,2.97760657311438e-07
"ConsumerFilms","LDPE","Soil",0.00367572444396241,0.000899595528731076
"ConsumerFilms","LDPE","Soil (MP)",0.000192255340596519,5.07418342827793e-05
"ConsumerFilms","LDPE","Fresh water",5.90471550507668e-05,1.98274140543068e-05
"ConsumerFilms","LDPE","Fresh water (MP)",0,0
"ConsumerFilms","LDPE","Subsurface soil (MP)",0,0
"ConsumerFilms","LDPE","Coastal and ocean water",3.11128045231473e-05,1.61701528492401e-05
"ConsumerFilms","LDPE","Coastal and ocean water (MP)",0,0
"ConsumerFilms","HDPE","Soil",0.00875700254407501,0.00233373195188112
"ConsumerFilms","HDPE","Soil (MP)",0.000191742416172593,5.08702240382704e-05
"ConsumerFilms","HDPE","Fresh water",0.000160836131665405,5.5876320867572e-05
"ConsumerFilms","HDPE","Fresh water (MP)",0,0
"ConsumerFilms","HDPE","Subsurface soil (MP)",0,0
"ConsumerFilms","HDPE","Coastal and ocean water",8.40824322028862e-05,4.52673787621069e-05
"ConsumerFilms","HDPE","Coastal and ocean water (MP)",0,0
"ConsumerFilms","PP","Soil",0.00609591817062589,0.00156950232420461
"ConsumerFilms","PP","Soil (MP)",0.000191720127936292,5.05956432540998e-05
"ConsumerFilms","PP","Fresh water",0.000107537443441018,3.67381341715823e-05
"ConsumerFilms","PP","Fresh water (MP)",0,0
"ConsumerFilms","PP","Subsurface soil (MP)",0,0
"ConsumerFilms","PP","Coastal and ocean water",5.62092298840423e-05,2.96513122646147e-05
"ConsumerFilms","PP","Coastal and ocean water (MP)",0,0
"ConsumerFilms","PS","Soil",0.00639053051027732,0.00162665968532194
"ConsumerFilms","PS","Soil (MP)",0.000192746820015647,5.12945678462655e-05
"ConsumerFilms","PS","Fresh water",0.000113398879929775,3.85688681591912e-05
"ConsumerFilms","PS","Fresh water (MP)",0,0
"ConsumerFilms","PS","Subsurface soil (MP)",0,0
"ConsumerFilms","PS","Coastal and ocean water",5.94737323315183e-05,3.10617864653413e-05
"ConsumerFilms","PS","Coastal and ocean water (MP)",0,0
"ConsumerFilms","EPS","Soil",NA,NA
"ConsumerFilms","EPS","Soil (MP)",NA,NA
"ConsumerFilms","EPS","Fresh water",NA,NA
"ConsumerFilms","EPS","Fresh water (MP)",NA,NA
"ConsumerFilms","EPS","Subsurface soil (MP)",NA,NA
"ConsumerFilms","EPS","Coastal and ocean water",NA,NA
"ConsumerFilms","EPS","Coastal and ocean water (MP)",NA,NA
"ConsumerFilms","PVC","Soil",0.00641435374118158,0.00166231081111015
"ConsumerFilms","PVC","Soil (MP)",0.000191887923462436,5.00152595963189e-05
"ConsumerFilms","PVC","Fresh water",0.000113196704201479,3.83865750487586e-05
"ConsumerFilms","PVC","Fresh water (MP)",0,0
"ConsumerFilms","PVC","Subsurface soil (MP)",0,0
"ConsumerFilms","PVC","Coastal and ocean water",5.93680519736993e-05,3.12453698010621e-05
"ConsumerFilms","PVC","Coastal and ocean water (MP)",0,0
"ConsumerFilms","PET","Soil",0.0064323975974055,0.00168313563937297
"ConsumerFilms","PET","Soil (MP)",0.000192008483939063,5.09495206608849e-05
"ConsumerFilms","PET","Fresh water",0.000113398354344036,3.87794202757767e-05
"ConsumerFilms","PET","Fresh water (MP)",0,0
"ConsumerFilms","PET","Subsurface soil (MP)",0,0
"ConsumerFilms","PET","Coastal and ocean water",5.92470171016827e-05,3.116795675538e-05
"ConsumerFilms","PET","Coastal and ocean water (MP)",0,0
"ConsumerBags","LDPE","Soil",0.00472080681136055,0.00118335567339407
"ConsumerBags","LDPE","Soil (MP)",0.000192575096057634,5.07367903090651e-05
"ConsumerBags","LDPE","Fresh water",7.97098728096026e-05,2.692874117258e-05
"ConsumerBags","LDPE","Fresh water (MP)",0,0
"ConsumerBags","LDPE","Subsurface soil (MP)",0,0
