"prod","mat","dest","mean","sd"
"Pre-consumer processes","LDPE","Soil",0,0
"Pre-consumer processes","LDPE","Soil (MP)",4.22077386970268e-05,4.20432464411852e-05
"Pre-consumer processes","LDPE","Fresh water",0,0
"Pre-consumer processes","LDPE","Fresh water (MP)",2.25891525799551e-07,1.98161016485485e-07
"Pre-consumer processes","LDPE","Subsurface soil (MP)",1.43610411180984e-07,1.65562747471058e-07
"Pre-consumer processes","LDPE","Coastal and ocean water",0,0
"Pre-consumer processes","LDPE","Coastal and ocean water (MP)",3.59928132092621e-08,5.12201328640236e-08
"Pre-consumer processes","HDPE","Soil",0,0
"Pre-consumer processes","HDPE","Soil (MP)",4.23958901998532e-05,4.17509523650555e-05
"Pre-consumer processes","HDPE","Fresh water",0,0
"Pre-consumer processes","HDPE","Fresh water (MP)",2.82908421481699e-07,2.7893573946362e-07
"Pre-consumer processes","HDPE","Subsurface soil (MP)",2.58107088060542e-07,2.92673629526879e-07
"Pre-consumer processes","HDPE","Coastal and ocean water",0,0
"Pre-consumer processes","HDPE","Coastal and ocean water (MP)",3.54147502602359e-08,5.22181989558659e-08
"Pre-consumer processes","PP","Soil",0,0
"Pre-consumer processes","PP","Soil (MP)",4.07697822603285e-05,3.65317075199494e-05
"Pre-consumer processes","PP","Fresh water",0,0
"Pre-consumer processes","PP","Fresh water (MP)",9.30078177979024e-07,1.26915398750471e-06
"Pre-consumer processes","PP","Subsurface soil (MP)",1.47287926422506e-06,1.60599250892035e-06
"Pre-consumer processes","PP","Coastal and ocean water",0,0
"Pre-consumer processes","PP","Coastal and ocean water (MP)",3.0973101139225e-08,4.2341027495943e-08
"Pre-consumer processes","PS","Soil",0,0
"Pre-consumer processes","PS","Soil (MP)",4.28625137865611e-05,4.19319046298249e-05
"Pre-consumer processes","PS","Fresh water",0,0
"Pre-consumer processes","PS","Fresh water (MP)",1.46134840386051e-07,1.13043571438558e-07
"Pre-consumer processes","PS","Subsurface soil (MP)",0,0
"Pre-consumer processes","PS","Coastal and ocean water",0,0
"Pre-consumer processes","PS","Coastal and ocean water (MP)",3.61587703365039e-08,5.16956446220342e-08
"Pre-consumer processes","EPS","Soil",0,0
"Pre-consumer processes","EPS","Soil (MP)",4.69460368559678e-05,5.41027338446297e-05
"Pre-consumer processes","EPS","Fresh water",0,0
"Pre-consumer processes","EPS","Fresh water (MP)",1.61703726427646e-07,1.60521583544975e-07
"Pre-consumer processes","EPS","Subsurface soil (MP)",0,0
"Pre-consumer processes","EPS","Coastal and ocean water",0,0
"Pre-consumer processes","EPS","Coastal and ocean water (MP)",3.97203555900258e-08,6.18843896111212e-08
"Pre-consumer processes","PVC","Soil",0,0
"Pre-consumer processes","PVC","Soil (MP)",4.80803654275221e-05,4.40127980527492e-05
"Pre-consumer processes","PVC","Fresh water",0,0
"Pre-consumer processes","PVC","Fresh water (MP)",2.81876816450844e-07,1.76115025820829e-07
"Pre-consumer processes","PVC","Subsurface soil (MP)",0,0
"Pre-consumer processes","PVC","Coastal and ocean water",0,0
"Pre-consumer processes","PVC","Coastal and ocean water (MP)",7.18246522257085e-08,8.37141504089372e-08
"Pre-consumer processes","PET","Soil",0,0
"Pre-consumer processes","PET","Soil (MP)",9.99741635152663e-05,5.27688520325564e-05
"Pre-consumer processes","PET","Fresh water",0,0
"Pre-consumer processes","PET","Fresh water (MP)",3.31767478541108e-06,2.78530441603364e-06
"Pre-consumer processes","PET","Subsurface soil (MP)",2.64794014040096e-06,2.69674497855875e-06
"Pre-consumer processes","PET","Coastal and ocean water",0,0
"Pre-consumer processes","PET","Coastal and ocean water (MP)",4.92165588393829e-07,6.20295821211384e-07
"ConsumerFilms","LDPE","Soil",0.00341345800554848,0.00236000656722041
"ConsumerFilms","LDPE","Soil (MP)",4.61382160750746e-05,2.89211650858196e-05
"ConsumerFilms","LDPE","Fresh water",4.8889448181238e-05,4.88584389005682e-05
"ConsumerFilms","LDPE","Fresh water (MP)",0,0
"ConsumerFilms","LDPE","Subsurface soil (MP)",0,0
"ConsumerFilms","LDPE","Coastal and ocean water",4.66715370695447e-05,4.25042586366015e-05
"ConsumerFilms","LDPE","Coastal and ocean water (MP)",0,0
"ConsumerFilms","HDPE","Soil",0.00861841445060495,0.00642267665330262
"ConsumerFilms","HDPE","Soil (MP)",4.63026706594336e-05,2.93488663812216e-05
"ConsumerFilms","HDPE","Fresh water",0.000133509069869285,0.000135942479691142
"ConsumerFilms","HDPE","Fresh water (MP)",0,0
"ConsumerFilms","HDPE","Subsurface soil (MP)",0,0
"ConsumerFilms","HDPE","Coastal and ocean water",0.000128143728820138,0.000117478579921452
"ConsumerFilms","HDPE","Coastal and ocean water (MP)",0,0
"ConsumerFilms","PP","Soil",0.00588613648981914,0.00433297931022016
"ConsumerFilms","PP","Soil (MP)",4.62014441882208e-05,2.93375911512754e-05
"ConsumerFilms","PP","Fresh water",8.93266752990347e-05,9.22072894811929e-05
"ConsumerFilms","PP","Fresh water (MP)",0,0
"ConsumerFilms","PP","Subsurface soil (MP)",0,0
"ConsumerFilms","PP","Coastal and ocean water",8.58185819597899e-05,8.05388341306549e-05
"ConsumerFilms","PP","Coastal and ocean water (MP)",0,0
