"prod","mat","dest","mean","sd"
"Pre-consumer processes","LDPE","Soil",0,0
"Pre-consumer processes","LDPE","Soil (MP)",4.29059629351927e-05,4.38733200742812e-05
"Pre-consumer processes","LDPE","Fresh water",0,0
"Pre-consumer processes","LDPE","Fresh water (MP)",2.02751143147766e-07,1.46809909040117e-07
"Pre-consumer processes","LDPE","Subsurface soil (MP)",9.75555889693719e-08,1.09992005035138e-07
"Pre-consumer processes","LDPE","Coastal and ocean water",0,0
"Pre-consumer processes","LDPE","Coastal and ocean water (MP)",1.20786079690835e-08,3.4118008344861e-08
"Pre-consumer processes","HDPE","Soil",0,0
"Pre-consumer processes","HDPE","Soil (MP)",0.000335990578201184,0.000171287839523238
"Pre-consumer processes","HDPE","Fresh water",0,0
"Pre-consumer processes","HDPE","Fresh water (MP)",8.64175473634832e-06,5.09289480546588e-06
"Pre-consumer processes","HDPE","Subsurface soil (MP)",4.0841914722454e-07,4.0654889338469e-07
"Pre-consumer processes","HDPE","Coastal and ocean water",0,0
"Pre-consumer processes","HDPE","Coastal and ocean water (MP)",2.73848079941493e-07,7.94230974729818e-07
"Pre-consumer processes","PP","Soil",0,0
"Pre-consumer processes","PP","Soil (MP)",0.000511389773850033,0.000222945738783239
"Pre-consumer processes","PP","Fresh water",0,0
"Pre-consumer processes","PP","Fresh water (MP)",1.65167086565194e-05,9.15181062586624e-06
"Pre-consumer processes","PP","Subsurface soil (MP)",1.21774346723131e-05,1.13302917029198e-05
"Pre-consumer processes","PP","Coastal and ocean water",0,0
"Pre-consumer processes","PP","Coastal and ocean water (MP)",1.23994713424498e-06,3.39954779654943e-06
"Pre-consumer processes","PS","Soil",0,0
"Pre-consumer processes","PS","Soil (MP)",0.000481050577237319,0.000245275445415801
"Pre-consumer processes","PS","Fresh water",0,0
"Pre-consumer processes","PS","Fresh water (MP)",1.2285226894262e-05,7.490999786097e-06
"Pre-consumer processes","PS","Subsurface soil (MP)",0,0
"Pre-consumer processes","PS","Coastal and ocean water",0,0
"Pre-consumer processes","PS","Coastal and ocean water (MP)",3.52771968158646e-07,1.04754030885929e-06
"Pre-consumer processes","EPS","Soil",0,0
"Pre-consumer processes","EPS","Soil (MP)",6.14364473102026e-05,5.66659301661303e-05
"Pre-consumer processes","EPS","Fresh water",0,0
"Pre-consumer processes","EPS","Fresh water (MP)",7.40631105340283e-07,5.65586675823217e-07
"Pre-consumer processes","EPS","Subsurface soil (MP)",0,0
"Pre-consumer processes","EPS","Coastal and ocean water",0,0
"Pre-consumer processes","EPS","Coastal and ocean water (MP)",2.07893639748683e-08,7.12700249678463e-08
"Pre-consumer processes","PVC","Soil",0,0
"Pre-consumer processes","PVC","Soil (MP)",0.000165081362918272,9.07011953878209e-05
"Pre-consumer processes","PVC","Fresh water",0,0
"Pre-consumer processes","PVC","Fresh water (MP)",4.19181689519525e-06,2.70317455173479e-06
"Pre-consumer processes","PVC","Subsurface soil (MP)",0,0
"Pre-consumer processes","PVC","Coastal and ocean water",0,0
"Pre-consumer processes","PVC","Coastal and ocean water (MP)",1.21872153037519e-07,3.64280623970933e-07
"Pre-consumer processes","PET","Soil",0,0
"Pre-consumer processes","PET","Soil (MP)",0.000300386613710647,0.000154277370647938
"Pre-consumer processes","PET","Fresh water",0,0
"Pre-consumer processes","PET","Fresh water (MP)",8.99037396890777e-06,5.37761619595387e-06
"Pre-consumer processes","PET","Subsurface soil (MP)",4.60238874964093e-06,4.49496841567753e-06
"Pre-consumer processes","PET","Coastal and ocean water",0,0
"Pre-consumer processes","PET","Coastal and ocean water (MP)",5.46044643518872e-07,1.57548444630969e-06
"ConsumerFilms","LDPE","Soil",0.00239658170727119,0.00157142299384912
"ConsumerFilms","LDPE","Soil (MP)",0.000126187908596175,8.06124557419181e-05
"ConsumerFilms","LDPE","Fresh water",6.18079823136974e-05,6.16081859919379e-05
"ConsumerFilms","LDPE","Fresh water (MP)",0,0
"ConsumerFilms","LDPE","Subsurface soil (MP)",0,0
"ConsumerFilms","LDPE","Coastal and ocean water",1.208077490958e-05,9.57793372621005e-06
"ConsumerFilms","LDPE","Coastal and ocean water (MP)",0,0
"ConsumerFilms","HDPE","Soil",0.00573645905144443,0.00444333962691486
"ConsumerFilms","HDPE","Soil (MP)",0.000126432073595653,7.97262624340841e-05
"ConsumerFilms","HDPE","Fresh water",0.000165854586170854,0.000165543582073229
"ConsumerFilms","HDPE","Fresh water (MP)",0,0
"ConsumerFilms","HDPE","Subsurface soil (MP)",0,0
"ConsumerFilms","HDPE","Coastal and ocean water",3.26087804699733e-05,2.71526028334733e-05
"ConsumerFilms","HDPE","Coastal and ocean water (MP)",0,0
"ConsumerFilms","PP","Soil",0.00397894490625791,0.00287924526397967
"ConsumerFilms","PP","Soil (MP)",0.000125873997805713,7.8610556219116e-05
"ConsumerFilms","PP","Fresh water",0.000110867090495522,0.000112537614102984
"ConsumerFilms","PP","Fresh water (MP)",0,0
"ConsumerFilms","PP","Subsurface soil (MP)",0,0
"ConsumerFilms","PP","Coastal and ocean water",2.16840910824376e-05,1.79302449517919e-05
"ConsumerFilms","PP","Coastal and ocean water (MP)",0,0
"ConsumerFilms","PS","Soil",0.00421273641392747,0.00313101318211253
"ConsumerFilms","PS","Soil (MP)",0.000126705412341602,7.99840230590676e-05
"ConsumerFilms","PS","Fresh water",0.000116096539515807,0.000115718613638
"ConsumerFilms","PS","Fresh water (MP)",0,0
"ConsumerFilms","PS","Subsurface soil (MP)",0,0
"ConsumerFilms","PS","Coastal and ocean water",2.28272623981782e-05,1.87211202089212e-05
"ConsumerFilms","PS","Coastal and ocean water (MP)",0,0
"ConsumerFilms","EPS","Soil",NA,NA
"ConsumerFilms","EPS","Soil (MP)",NA,NA
"ConsumerFilms","EPS","Fresh water",NA,NA
"ConsumerFilms","EPS","Fresh water (MP)",NA,NA
"ConsumerFilms","EPS","Subsurface soil (MP)",NA,NA
"ConsumerFilms","EPS","Coastal and ocean water",NA,NA
"ConsumerFilms","EPS","Coastal and ocean water (MP)",NA,NA
"ConsumerFilms","PVC","Soil",0.00422435802657114,0.00315403882294062
"ConsumerFilms","PVC","Soil (MP)",0.000125917032882189,8.07312515984591e-05
"ConsumerFilms","PVC","Fresh water",0.000117259855459718,0.000117183692293491
"ConsumerFilms","PVC","Fresh water (MP)",0,0
"ConsumerFilms","PVC","Subsurface soil (MP)",0,0
"ConsumerFilms","PVC","Coastal and ocean water",2.29520497943835e-05,1.84735586651582e-05
"ConsumerFilms","PVC","Coastal and ocean water (MP)",0,0
"ConsumerFilms","PET","Soil",0.00418904104572979,0.00310763873953903
"ConsumerFilms","PET","Soil (MP)",0.000127009675839142,8.07501228818488e-05
"ConsumerFilms","PET","Fresh water",0.000117717358315281,0.000116776686144393
"ConsumerFilms","PET","Fresh water (MP)",0,0
"ConsumerFilms","PET","Subsurface soil (MP)",0,0
"ConsumerFilms","PET","Coastal and ocean water",2.29850256671097e-05,1.87106593762885e-05
"ConsumerFilms","PET","Coastal and ocean water (MP)",0,0
"ConsumerBags","LDPE","Soil",0.00309139388909519,0.00214303665992653
"ConsumerBags","LDPE","Soil (MP)",0.000126274746183145,8.06818908874615e-05
"ConsumerBags","LDPE","Fresh water",8.47748224914147e-05,8.63003016736544e-05
"ConsumerBags","LDPE","Fresh water (MP)",0,0
"ConsumerBags","LDPE","Subsurface soil (MP)",0,0
"ConsumerBags","LDPE","Coastal and ocean water",1.65009781547388e-05,1.36600779775698e-05
"ConsumerBags","LDPE","Coastal and ocean water (MP)",0,0
"ConsumerBags","HDPE","Soil",0.00492106564068624,0.00372030600861698
"ConsumerBags","HDPE","Soil (MP)",0.00012754208041834,8.10195593114133e-05
"ConsumerBags","HDPE","Fresh water",0.000140001711363083,0.000139577461613822
"ConsumerBags","HDPE","Fresh water (MP)",0,0
"ConsumerBags","HDPE","Subsurface soil (MP)",0,0
"ConsumerBags","HDPE","Coastal and ocean water",2.74686482545303e-05,2.253747844888e-05
"ConsumerBags","HDPE","Coastal and ocean water (MP)",0,0
"ConsumerBags","PP","Soil",NA,NA
"ConsumerBags","PP","Soil (MP)",NA,NA
"ConsumerBags","PP","Fresh water",NA,NA
"ConsumerBags","PP","Fresh water (MP)",NA,NA
"ConsumerBags","PP","Subsurface soil (MP)",NA,NA
"ConsumerBags","PP","Coastal and ocean water",NA,NA
"ConsumerBags","PP","Coastal and ocean water (MP)",NA,NA
"ConsumerBags","PS","Soil",NA,NA
"ConsumerBags","PS","Soil (MP)",NA,NA
"ConsumerBags","PS","Fresh water",NA,NA
"ConsumerBags","PS","Fresh water (MP)",NA,NA
"ConsumerBags","PS","Subsurface soil (MP)",NA,NA
"ConsumerBags","PS","Coastal and ocean water",NA,NA
"ConsumerBags","PS","Coastal and ocean water (MP)",NA,NA
"ConsumerBags","EPS","Soil",NA,NA
"ConsumerBags","EPS","Soil (MP)",NA,NA
"ConsumerBags","EPS","Fresh water",NA,NA
"ConsumerBags","EPS","Fresh water (MP)",NA,NA
"ConsumerBags","EPS","Subsurface soil (MP)",NA,NA
"ConsumerBags","EPS","Coastal and ocean water",NA,NA
"ConsumerBags","EPS","Coastal and ocean water (MP)",NA,NA
"ConsumerBags","PVC","Soil",NA,NA
"ConsumerBags","PVC","Soil (MP)",NA,NA
"ConsumerBags","PVC","Fresh water",NA,NA
"ConsumerBags","PVC","Fresh water (MP)",NA,NA
"ConsumerBags","PVC","Subsurface soil (MP)",NA,NA
"ConsumerBags","PVC","Coastal and ocean water",NA,NA
"ConsumerBags","PVC","Coastal and ocean water (MP)",NA,NA
"ConsumerBags","PET","Soil",NA,NA
"ConsumerBags","PET","Soil (MP)",NA,NA
"ConsumerBags","PET","Fresh water",NA,NA
"ConsumerBags","PET","Fresh water (MP)",NA,NA
"ConsumerBags","PET","Subsurface soil (MP)",NA,NA
"ConsumerBags","PET","Coastal and ocean water",NA,NA
"ConsumerBags","PET","Coastal and ocean water (MP)",NA,NA
"ConsumerBottles","LDPE","Soil",NA,NA
"ConsumerBottles","LDPE","Soil (MP)",NA,NA
"ConsumerBottles","LDPE","Fresh water",NA,NA
"ConsumerBottles","LDPE","Fresh water (MP)",NA,NA
"ConsumerBottles","LDPE","Subsurface soil (MP)",NA,NA
