"prod","mat","dest","mean","sd"
"Pre-consumer processes","LDPE","Soil",0,0
"Pre-consumer processes","LDPE","Soil (MP)",0.000141395781694274,7.97950571478143e-05
"Pre-consumer processes","LDPE","Fresh water",0,0
"Pre-consumer processes","LDPE","Fresh water (MP)",2.2566344864835e-06,1.25075622487591e-06
"Pre-consumer processes","LDPE","Subsurface soil (MP)",0,0
"Pre-consumer processes","LDPE","Coastal and ocean water",0,0
"Pre-consumer processes","LDPE","Coastal and ocean water (MP)",1.54414931667768e-06,1.50563393945012e-06
"Pre-consumer processes","HDPE","Soil",0,0
"Pre-consumer processes","HDPE","Soil (MP)",0.000107618218736715,5.80155415665752e-05
"Pre-consumer processes","HDPE","Fresh water",0,0
"Pre-consumer processes","HDPE","Fresh water (MP)",1.63065941013806e-06,8.80853447612743e-07
"Pre-consumer processes","HDPE","Subsurface soil (MP)",1.705482616811e-07,1.61950885203107e-07
"Pre-consumer processes","HDPE","Coastal and ocean water",0,0
"Pre-consumer processes","HDPE","Coastal and ocean water (MP)",1.13498069511944e-06,1.02523339954167e-06
"Pre-consumer processes","PP","Soil",0,0
"Pre-consumer processes","PP","Soil (MP)",0.000114413084136088,5.29368223463317e-05
"Pre-consumer processes","PP","Fresh water",0,0
"Pre-consumer processes","PP","Fresh water (MP)",2.06026287093957e-06,1.05273740627629e-06
"Pre-consumer processes","PP","Subsurface soil (MP)",3.11318766324666e-06,2.90406208953157e-06
"Pre-consumer processes","PP","Coastal and ocean water",0,0
"Pre-consumer processes","PP","Coastal and ocean water (MP)",1.93349471948944e-06,1.54304950642292e-06
"Pre-consumer processes","PS","Soil",0,0
"Pre-consumer processes","PS","Soil (MP)",0.000121300606243731,6.41592087227529e-05
"Pre-consumer processes","PS","Fresh water",0,0
"Pre-consumer processes","PS","Fresh water (MP)",1.92585975272921e-06,1.02011567837849e-06
"Pre-consumer processes","PS","Subsurface soil (MP)",0,0
"Pre-consumer processes","PS","Coastal and ocean water",0,0
"Pre-consumer processes","PS","Coastal and ocean water (MP)",1.30345501871327e-06,1.18460364851604e-06
"Pre-consumer processes","EPS","Soil",0,0
"Pre-consumer processes","EPS","Soil (MP)",6.9713272452091e-05,5.74356197621717e-05
"Pre-consumer processes","EPS","Fresh water",0,0
"Pre-consumer processes","EPS","Fresh water (MP)",6.59238485694459e-07,4.5422070403308e-07
"Pre-consumer processes","EPS","Subsurface soil (MP)",0,0
"Pre-consumer processes","EPS","Coastal and ocean water",0,0
"Pre-consumer processes","EPS","Coastal and ocean water (MP)",4.47002565541515e-07,4.69605850117639e-07
"Pre-consumer processes","PVC","Soil",0,0
"Pre-consumer processes","PVC","Soil (MP)",7.00180053015815e-05,4.74233147156981e-05
"Pre-consumer processes","PVC","Fresh water",0,0
"Pre-consumer processes","PVC","Fresh water (MP)",7.22897520714319e-07,3.9454366999002e-07
"Pre-consumer processes","PVC","Subsurface soil (MP)",0,0
"Pre-consumer processes","PVC","Coastal and ocean water",0,0
"Pre-consumer processes","PVC","Coastal and ocean water (MP)",4.85446671503243e-07,4.3576497683925e-07
"Pre-consumer processes","PET","Soil",0,0
"Pre-consumer processes","PET","Soil (MP)",5.87774089895955e-05,3.51128145296823e-05
"Pre-consumer processes","PET","Fresh water",0,0
"Pre-consumer processes","PET","Fresh water (MP)",1.09719166017999e-06,9.14440682174656e-07
"Pre-consumer processes","PET","Subsurface soil (MP)",4.49811149003163e-06,4.54665925714055e-06
"Pre-consumer processes","PET","Coastal and ocean water",0,0
"Pre-consumer processes","PET","Coastal and ocean water (MP)",1.53481006994082e-06,1.69660040181876e-06
"ConsumerFilms","LDPE","Soil",0.0082415549945441,0.00489735030417993
"ConsumerFilms","LDPE","Soil (MP)",0.000233207522572178,0.000147152729909016
"ConsumerFilms","LDPE","Fresh water",6.75296480798695e-05,6.54344131208999e-05
"ConsumerFilms","LDPE","Fresh water (MP)",0,0
"ConsumerFilms","LDPE","Subsurface soil (MP)",0,0
"ConsumerFilms","LDPE","Coastal and ocean water",0.000103270313783975,9.09822549803788e-05
"ConsumerFilms","LDPE","Coastal and ocean water (MP)",0,0
"ConsumerFilms","HDPE","Soil",0.0176346249033732,0.0122878639035996
"ConsumerFilms","HDPE","Soil (MP)",0.000234801180126117,0.000149411795697003
"ConsumerFilms","HDPE","Fresh water",0.0001766915293163,0.000175373413929663
"ConsumerFilms","HDPE","Fresh water (MP)",0,0
"ConsumerFilms","HDPE","Subsurface soil (MP)",0,0
"ConsumerFilms","HDPE","Coastal and ocean water",0.000272103350993409,0.000250646870930388
"ConsumerFilms","HDPE","Coastal and ocean water (MP)",0,0
"ConsumerFilms","PP","Soil",0.012615599918019,0.00837148147289222
"ConsumerFilms","PP","Soil (MP)",0.000234151691223822,0.00014773857903337
"ConsumerFilms","PP","Fresh water",0.000120766377513595,0.000119435578680214
"ConsumerFilms","PP","Fresh water (MP)",0,0
"ConsumerFilms","PP","Subsurface soil (MP)",0,0
"ConsumerFilms","PP","Coastal and ocean water",0.000183097450661299,0.000167575139638217
"ConsumerFilms","PP","Coastal and ocean water (MP)",0,0
"ConsumerFilms","PS","Soil",0.0131573935054583,0.00857938800453901
"ConsumerFilms","PS","Soil (MP)",0.000234123713598027,0.000148815465551027
"ConsumerFilms","PS","Fresh water",0.000127459315335588,0.000126374336851219
"ConsumerFilms","PS","Fresh water (MP)",0,0
"ConsumerFilms","PS","Subsurface soil (MP)",0,0
"ConsumerFilms","PS","Coastal and ocean water",0.000196057805499063,0.000176020527476035
"ConsumerFilms","PS","Coastal and ocean water (MP)",0,0
"ConsumerFilms","EPS","Soil",NA,NA
"ConsumerFilms","EPS","Soil (MP)",NA,NA
"ConsumerFilms","EPS","Fresh water",NA,NA
"ConsumerFilms","EPS","Fresh water (MP)",NA,NA
"ConsumerFilms","EPS","Subsurface soil (MP)",NA,NA
"ConsumerFilms","EPS","Coastal and ocean water",NA,NA
"ConsumerFilms","EPS","Coastal and ocean water (MP)",NA,NA
"ConsumerFilms","PVC","Soil",0.0131297296100447,0.00878282383384321
"ConsumerFilms","PVC","Soil (MP)",0.000234503733337397,0.000149268028087044
"ConsumerFilms","PVC","Fresh water",0.000125712633835586,0.000124231745666872
"ConsumerFilms","PVC","Fresh water (MP)",0,0
"ConsumerFilms","PVC","Subsurface soil (MP)",0,0
"ConsumerFilms","PVC","Coastal and ocean water",0.000195004600608568,0.000176206014548861
"ConsumerFilms","PVC","Coastal and ocean water (MP)",0,0
"ConsumerFilms","PET","Soil",0.0132186871321042,0.00878604188952048
"ConsumerFilms","PET","Soil (MP)",0.00023671018438337,0.000151586124717963
"ConsumerFilms","PET","Fresh water",0.000126459711616985,0.000126150497064187
"ConsumerFilms","PET","Fresh water (MP)",0,0
"ConsumerFilms","PET","Subsurface soil (MP)",0,0
"ConsumerFilms","PET","Coastal and ocean water",0.000191153843817424,0.000169772955270586
"ConsumerFilms","PET","Coastal and ocean water (MP)",0,0
"ConsumerBags","LDPE","Soil",0.010132598459139,0.00631066690586099
"ConsumerBags","LDPE","Soil (MP)",0.000233245343132156,0.000147043790708254
"ConsumerBags","LDPE","Fresh water",8.94468881310439e-05,8.78980419160021e-05
"ConsumerBags","LDPE","Fresh water (MP)",0,0
"ConsumerBags","LDPE","Subsurface soil (MP)",0,0
"ConsumerBags","LDPE","Coastal and ocean water",0.000136670073811232,0.000121763463695032
"ConsumerBags","LDPE","Coastal and ocean water (MP)",0,0
"ConsumerBags","HDPE","Soil",0.0153360643651367,0.0102856323193915
"ConsumerBags","HDPE","Soil (MP)",0.000234695970993285,0.000148428527504626
"ConsumerBags","HDPE","Fresh water",0.000151043669585361,0.000148375936942973
"ConsumerBags","HDPE","Fresh water (MP)",0,0
"ConsumerBags","HDPE","Subsurface soil (MP)",0,0
"ConsumerBags","HDPE","Coastal and ocean water",0.000233305923581214,0.00021324017171312
"ConsumerBags","HDPE","Coastal and ocean water (MP)",0,0
"ConsumerBags","PP","Soil",NA,NA
"ConsumerBags","PP","Soil (MP)",NA,NA
"ConsumerBags","PP","Fresh water",NA,NA
