"prod","mat","dest","mean","sd"
"Pre-consumer processes","LDPE","Soil",0,0
"Pre-consumer processes","LDPE","Soil (MP)",4.31303874796431e-05,4.23416073243152e-05
"Pre-consumer processes","LDPE","Fresh water",0,0
"Pre-consumer processes","LDPE","Fresh water (MP)",2.48101673148549e-07,1.90076754533861e-07
"Pre-consumer processes","LDPE","Subsurface soil (MP)",1.63121673091361e-07,1.88783881707992e-07
"Pre-consumer processes","LDPE","Coastal and ocean water",0,0
"Pre-consumer processes","LDPE","Coastal and ocean water (MP)",0,0
"Pre-consumer processes","HDPE","Soil",0,0
"Pre-consumer processes","HDPE","Soil (MP)",4.2585985440772e-05,4.07724674331486e-05
"Pre-consumer processes","HDPE","Fresh water",0,0
"Pre-consumer processes","HDPE","Fresh water (MP)",2.8946156162783e-07,2.44153541537001e-07
"Pre-consumer processes","HDPE","Subsurface soil (MP)",2.61754636266256e-07,2.98726860812705e-07
"Pre-consumer processes","HDPE","Coastal and ocean water",0,0
"Pre-consumer processes","HDPE","Coastal and ocean water (MP)",0,0
"Pre-consumer processes","PP","Soil",0,0
"Pre-consumer processes","PP","Soil (MP)",4.47318205807808e-05,3.59701576594694e-05
"Pre-consumer processes","PP","Fresh water",0,0
"Pre-consumer processes","PP","Fresh water (MP)",9.07688926807717e-07,9.66696904691211e-07
"Pre-consumer processes","PP","Subsurface soil (MP)",1.44953066994375e-06,1.60271120306525e-06
"Pre-consumer processes","PP","Coastal and ocean water",0,0
"Pre-consumer processes","PP","Coastal and ocean water (MP)",0,0
"Pre-consumer processes","PS","Soil",0,0
"Pre-consumer processes","PS","Soil (MP)",4.26966045160438e-05,4.3014946436939e-05
"Pre-consumer processes","PS","Fresh water",0,0
"Pre-consumer processes","PS","Fresh water (MP)",1.73356973320976e-07,1.35335372334859e-07
"Pre-consumer processes","PS","Subsurface soil (MP)",0,0
"Pre-consumer processes","PS","Coastal and ocean water",0,0
"Pre-consumer processes","PS","Coastal and ocean water (MP)",0,0
"Pre-consumer processes","EPS","Soil",0,0
"Pre-consumer processes","EPS","Soil (MP)",4.74276215404535e-05,5.45176679816425e-05
"Pre-consumer processes","EPS","Fresh water",0,0
"Pre-consumer processes","EPS","Fresh water (MP)",1.91669714213774e-07,1.83171188977205e-07
"Pre-consumer processes","EPS","Subsurface soil (MP)",0,0
"Pre-consumer processes","EPS","Coastal and ocean water",0,0
"Pre-consumer processes","EPS","Coastal and ocean water (MP)",0,0
"Pre-consumer processes","PVC","Soil",0,0
"Pre-consumer processes","PVC","Soil (MP)",4.39416786321743e-05,4.54048822496705e-05
"Pre-consumer processes","PVC","Fresh water",0,0
"Pre-consumer processes","PVC","Fresh water (MP)",1.79035515248995e-07,1.43378956807297e-07
"Pre-consumer processes","PVC","Subsurface soil (MP)",0,0
"Pre-consumer processes","PVC","Coastal and ocean water",0,0
"Pre-consumer processes","PVC","Coastal and ocean water (MP)",0,0
"Pre-consumer processes","PET","Soil",0,0
"Pre-consumer processes","PET","Soil (MP)",4.24095979145222e-05,3.2994169440476e-05
"Pre-consumer processes","PET","Fresh water",0,0
"Pre-consumer processes","PET","Fresh water (MP)",2.1353232763462e-06,2.88823574759725e-06
"Pre-consumer processes","PET","Subsurface soil (MP)",4.60196525208256e-06,5.39246985462484e-06
"Pre-consumer processes","PET","Coastal and ocean water",0,0
"Pre-consumer processes","PET","Coastal and ocean water (MP)",0,0
"ConsumerFilms","LDPE","Soil",0.00319107854168999,0.00196865799662483
"ConsumerFilms","LDPE","Soil (MP)",7.02685792085226e-05,4.49566113363842e-05
"ConsumerFilms","LDPE","Fresh water",9.89719464233973e-05,9.34838030729989e-05
"ConsumerFilms","LDPE","Fresh water (MP)",0,0
"ConsumerFilms","LDPE","Subsurface soil (MP)",0,0
"ConsumerFilms","LDPE","Coastal and ocean water",1.01230666591143e-05,7.73546861317956e-06
"ConsumerFilms","LDPE","Coastal and ocean water (MP)",0,0
"ConsumerFilms","HDPE","Soil",0.00728984207503438,0.00537384050873748
"ConsumerFilms","HDPE","Soil (MP)",7.09374127279301e-05,4.49403137066812e-05
"ConsumerFilms","HDPE","Fresh water",0.000263513808132937,0.000255116196555114
"ConsumerFilms","HDPE","Fresh water (MP)",0,0
"ConsumerFilms","HDPE","Subsurface soil (MP)",0,0
"ConsumerFilms","HDPE","Coastal and ocean water",2.64744422573337e-05,2.11584283454827e-05
"ConsumerFilms","HDPE","Coastal and ocean water (MP)",0,0
"ConsumerFilms","PP","Soil",0.0051273924933036,0.00356320183564817
"ConsumerFilms","PP","Soil (MP)",7.05360703430003e-05,4.47060962367673e-05
"ConsumerFilms","PP","Fresh water",0.000177857717732817,0.000172016835470886
"ConsumerFilms","PP","Fresh water (MP)",0,0
"ConsumerFilms","PP","Subsurface soil (MP)",0,0
"ConsumerFilms","PP","Coastal and ocean water",1.80029007507516e-05,1.44612436443044e-05
"ConsumerFilms","PP","Coastal and ocean water (MP)",0,0
"ConsumerFilms","PS","Soil",0.00542529226601602,0.00380003167911338
"ConsumerFilms","PS","Soil (MP)",7.1190522797552e-05,4.53693001283726e-05
"ConsumerFilms","PS","Fresh water",0.000186424270862513,0.000182365592937121
"ConsumerFilms","PS","Fresh water (MP)",0,0
"ConsumerFilms","PS","Subsurface soil (MP)",0,0
"ConsumerFilms","PS","Coastal and ocean water",1.86944987587393e-05,1.4810766386128e-05
"ConsumerFilms","PS","Coastal and ocean water (MP)",0,0
"ConsumerFilms","EPS","Soil",NA,NA
"ConsumerFilms","EPS","Soil (MP)",NA,NA
"ConsumerFilms","EPS","Fresh water",NA,NA
"ConsumerFilms","EPS","Fresh water (MP)",NA,NA
"ConsumerFilms","EPS","Subsurface soil (MP)",NA,NA
"ConsumerFilms","EPS","Coastal and ocean water",NA,NA
"ConsumerFilms","EPS","Coastal and ocean water (MP)",NA,NA
"ConsumerFilms","PVC","Soil",0.00538836112001818,0.00376858156051286
"ConsumerFilms","PVC","Soil (MP)",7.04765622269913e-05,4.44608238544431e-05
"ConsumerFilms","PVC","Fresh water",0.000191078805582416,0.000184477296965952
"ConsumerFilms","PVC","Fresh water (MP)",0,0
"ConsumerFilms","PVC","Subsurface soil (MP)",0,0
"ConsumerFilms","PVC","Coastal and ocean water",1.92215941040823e-05,1.56913096751314e-05
"ConsumerFilms","PVC","Coastal and ocean water (MP)",0,0
"ConsumerFilms","PET","Soil",0.00536337897753679,0.00380794187145852
"ConsumerFilms","PET","Soil (MP)",7.0974816046381e-05,4.57925047951937e-05
