"prod","mat","dest","mean","sd"
"Pre-consumer processes","LDPE","Soil",0,0
"Pre-consumer processes","LDPE","Soil (MP)",4.30641695636999e-05,4.38422305643488e-05
"Pre-consumer processes","LDPE","Fresh water",0,0
"Pre-consumer processes","LDPE","Fresh water (MP)",1.86145651387624e-07,1.36799470448463e-07
"Pre-consumer processes","LDPE","Subsurface soil (MP)",6.96837748118437e-08,8.2543278818262e-08
"Pre-consumer processes","LDPE","Coastal and ocean water",0,0
"Pre-consumer processes","LDPE","Coastal and ocean water (MP)",8.2207305549566e-08,1.65924095512965e-07
"Pre-consumer processes","HDPE","Soil",0,0
"Pre-consumer processes","HDPE","Soil (MP)",4.14494153267319e-05,4.14195173186943e-05
"Pre-consumer processes","HDPE","Fresh water",0,0
"Pre-consumer processes","HDPE","Fresh water (MP)",2.15105548689554e-07,1.44699464661021e-07
"Pre-consumer processes","HDPE","Subsurface soil (MP)",1.92698292215633e-07,2.15402086939952e-07
"Pre-consumer processes","HDPE","Coastal and ocean water",0,0
"Pre-consumer processes","HDPE","Coastal and ocean water (MP)",1.66870016449834e-07,3.53809006171685e-07
"Pre-consumer processes","PP","Soil",0,0
"Pre-consumer processes","PP","Soil (MP)",3.68428829765549e-05,3.56933216751552e-05
"Pre-consumer processes","PP","Fresh water",0,0
"Pre-consumer processes","PP","Fresh water (MP)",5.18614058012687e-07,3.98241834548068e-07
"Pre-consumer processes","PP","Subsurface soil (MP)",1.39437384825313e-06,1.5385545930591e-06
"Pre-consumer processes","PP","Coastal and ocean water",0,0
"Pre-consumer processes","PP","Coastal and ocean water (MP)",1.01937817004341e-06,2.21044483599521e-06
"Pre-consumer processes","PS","Soil",0,0
"Pre-consumer processes","PS","Soil (MP)",4.25767944244696e-05,4.24689388709378e-05
"Pre-consumer processes","PS","Fresh water",0,0
"Pre-consumer processes","PS","Fresh water (MP)",1.63127577458814e-07,1.23972980880773e-07
"Pre-consumer processes","PS","Subsurface soil (MP)",0,0
"Pre-consumer processes","PS","Coastal and ocean water",0,0
