"prod","mat","dest","mean","sd"
"Pre-consumer processes","LDPE","Soil",0,0
"Pre-consumer processes","LDPE","Soil (MP)",4.03982619136335e-05,3.69988166142152e-05
"Pre-consumer processes","LDPE","Fresh water",0,0
"Pre-consumer processes","LDPE","Fresh water (MP)",1.66696484540956e-07,1.62325304318992e-07
"Pre-consumer processes","LDPE","Subsurface soil (MP)",1.23743071164525e-06,1.39844540234001e-06
"Pre-consumer processes","LDPE","Coastal and ocean water",0,0
"Pre-consumer processes","LDPE","Coastal and ocean water (MP)",1.12671190472102e-06,1.78377440374062e-06
"Pre-consumer processes","HDPE","Soil",0,0
"Pre-consumer processes","HDPE","Soil (MP)",4.04372599050143e-05,3.7050498502676e-05
"Pre-consumer processes","HDPE","Fresh water",0,0
"Pre-consumer processes","HDPE","Fresh water (MP)",1.57058691455557e-07,1.55659981818808e-07
"Pre-consumer processes","HDPE","Subsurface soil (MP)",1.07430523799515e-06,1.22444249568975e-06
"Pre-consumer processes","HDPE","Coastal and ocean water",0,0
"Pre-consumer processes","HDPE","Coastal and ocean water (MP)",1.01279965059171e-06,1.66168895691563e-06
"Pre-consumer processes","PP","Soil",0,0
"Pre-consumer processes","PP","Soil (MP)",4.05307195614377e-05,3.59984112785928e-05
"Pre-consumer processes","PP","Fresh water",0,0
"Pre-consumer processes","PP","Fresh water (MP)",1.96315456136358e-07,2.13402801789011e-07
"Pre-consumer processes","PP","Subsurface soil (MP)",1.60217568378965e-06,1.74984414037005e-06
"Pre-consumer processes","PP","Coastal and ocean water",0,0
"Pre-consumer processes","PP","Coastal and ocean water (MP)",1.47789827858499e-06,2.42659797856255e-06
"Pre-consumer processes","PS","Soil",0,0
"Pre-consumer processes","PS","Soil (MP)",4.31308556989513e-05,4.28785718156837e-05
"Pre-consumer processes","PS","Fresh water",0,0
"Pre-consumer processes","PS","Fresh water (MP)",8.11293785203813e-08,4.46602078635781e-08
"Pre-consumer processes","PS","Subsurface soil (MP)",0,0
"Pre-consumer processes","PS","Coastal and ocean water",0,0
"Pre-consumer processes","PS","Coastal and ocean water (MP)",1.20943945810601e-07,1.37251315606322e-07
"Pre-consumer processes","EPS","Soil",0,0
"Pre-consumer processes","EPS","Soil (MP)",4.79571231250037e-05,5.65478812933959e-05
"Pre-consumer processes","EPS","Fresh water",0,0
"Pre-consumer processes","EPS","Fresh water (MP)",8.94815179115833e-08,6.75331004821066e-08
"Pre-consumer processes","EPS","Subsurface soil (MP)",0,0
"Pre-consumer processes","EPS","Coastal and ocean water",0,0
