"prod","mat","dest","mean","sd"
"Pre-consumer processes","LDPE","Soil",0,0
"Pre-consumer processes","LDPE","Soil (MP)",7.96518425712282e-05,4.818716685046e-05
"Pre-consumer processes","LDPE","Fresh water",0,0
"Pre-consumer processes","LDPE","Fresh water (MP)",1.51596434027597e-06,9.74671496583353e-07
"Pre-consumer processes","LDPE","Subsurface soil (MP)",1.32691509883663e-08,1.50344766931759e-08
"Pre-consumer processes","LDPE","Coastal and ocean water",0,0
"Pre-consumer processes","LDPE","Coastal and ocean water (MP)",0,0
"Pre-consumer processes","HDPE","Soil",0,0
"Pre-consumer processes","HDPE","Soil (MP)",6.40251144230326e-05,4.32026834242129e-05
"Pre-consumer processes","HDPE","Fresh water",0,0
"Pre-consumer processes","HDPE","Fresh water (MP)",1.01388297629413e-06,5.92680524637853e-07
"Pre-consumer processes","HDPE","Subsurface soil (MP)",1.69634928703356e-07,1.79103678896944e-07
"Pre-consumer processes","HDPE","Coastal and ocean water",0,0
"Pre-consumer processes","HDPE","Coastal and ocean water (MP)",0,0
"Pre-consumer processes","PP","Soil",0,0
"Pre-consumer processes","PP","Soil (MP)",9.04581223327029e-05,4.23950533820092e-05
"Pre-consumer processes","PP","Fresh water",0,0
"Pre-consumer processes","PP","Fresh water (MP)",2.55966724521314e-06,1.43927654455688e-06
"Pre-consumer processes","PP","Subsurface soil (MP)",2.29463545017873e-06,2.17927081007377e-06
"Pre-consumer processes","PP","Coastal and ocean water",0,0
"Pre-consumer processes","PP","Coastal and ocean water (MP)",0,0
"Pre-consumer processes","PS","Soil",0,0
"Pre-consumer processes","PS","Soil (MP)",7.46686579108297e-05,4.5128327866709e-05
"Pre-consumer processes","PS","Fresh water",0,0
"Pre-consumer processes","PS","Fresh water (MP)",1.35030076628958e-06,8.04127347096566e-07
"Pre-consumer processes","PS","Subsurface soil (MP)",0,0
"Pre-consumer processes","PS","Coastal and ocean water",0,0
"Pre-consumer processes","PS","Coastal and ocean water (MP)",0,0
"Pre-consumer processes","EPS","Soil",0,0
"Pre-consumer processes","EPS","Soil (MP)",0.000115237811330948,8.19663164746962e-05
"Pre-consumer processes","EPS","Fresh water",0,0
