"prod","mat","dest","mean","sd"
"Pre-consumer processes","LDPE","Soil",0,0
"Pre-consumer processes","LDPE","Soil (MP)",0.000189591513688399,0.000104049139701527
"Pre-consumer processes","LDPE","Fresh water",0,0
"Pre-consumer processes","LDPE","Fresh water (MP)",4.80025980196179e-06,3.02262675181142e-06
"Pre-consumer processes","LDPE","Subsurface soil (MP)",0,0
"Pre-consumer processes","LDPE","Coastal and ocean water",0,0
"Pre-consumer processes","LDPE","Coastal and ocean water (MP)",2.45863209382809e-07,6.37618678364104e-07
"Pre-consumer processes","HDPE","Soil",0,0
"Pre-consumer processes","HDPE","Soil (MP)",0.000119595050996689,6.44257811176772e-05
"Pre-consumer processes","HDPE","Fresh water",0,0
"Pre-consumer processes","HDPE","Fresh water (MP)",3.04026437440716e-06,1.82361232674161e-06
"Pre-consumer processes","HDPE","Subsurface soil (MP)",1.76121149722614e-07,1.7237027669698e-07
"Pre-consumer processes","HDPE","Coastal and ocean water",0,0
"Pre-consumer processes","HDPE","Coastal and ocean water (MP)",1.64264974017137e-07,4.76440521974283e-07
"Pre-consumer processes","PP","Soil",0,0
"Pre-consumer processes","PP","Soil (MP)",3.72922011660928e-05,3.53071195470473e-05
"Pre-consumer processes","PP","Fresh water",0,0
"Pre-consumer processes","PP","Fresh water (MP)",5.20915515909079e-07,4.28563282524817e-07
"Pre-consumer processes","PP","Subsurface soil (MP)",1.83318995396351e-06,1.84766071130084e-06
"Pre-consumer processes","PP","Coastal and ocean water",0,0
"Pre-consumer processes","PP","Coastal and ocean water (MP)",1.82317286060725e-07,4.80033551298075e-07
"Pre-consumer processes","PS","Soil",0,0
"Pre-consumer processes","PS","Soil (MP)",5.8062303211255e-05,4.26885797882273e-05
"Pre-consumer processes","PS","Fresh water",0,0
"Pre-consumer processes","PS","Fresh water (MP)",7.47914530333262e-07,4.28468170103091e-07
"Pre-consumer processes","PS","Subsurface soil (MP)",0,0
"Pre-consumer processes","PS","Coastal and ocean water",0,0
"Pre-consumer processes","PS","Coastal and ocean water (MP)",3.77247499947063e-08,1.01783886770447e-07
"Pre-consumer processes","EPS","Soil",0,0
"Pre-consumer processes","EPS","Soil (MP)",4.70614868122416e-05,5.24852155375616e-05
"Pre-consumer processes","EPS","Fresh water",0,0
"Pre-consumer processes","EPS","Fresh water (MP)",1.86011238604983e-07,1.68796962405966e-07
"Pre-consumer processes","EPS","Subsurface soil (MP)",0,0
"Pre-consumer processes","EPS","Coastal and ocean water",0,0
"Pre-consumer processes","EPS","Coastal and ocean water (MP)",8.85362414672325e-09,2.68599771806565e-08
"Pre-consumer processes","PVC","Soil",0,0
"Pre-consumer processes","PVC","Soil (MP)",0.000244529127919462,0.000132598967103375
"Pre-consumer processes","PVC","Fresh water",0,0
"Pre-consumer processes","PVC","Fresh water (MP)",6.22822866347461e-06,3.90669735276779e-06
"Pre-consumer processes","PVC","Subsurface soil (MP)",0,0
"Pre-consumer processes","PVC","Coastal and ocean water",0,0
"Pre-consumer processes","PVC","Coastal and ocean water (MP)",3.25344263753859e-07,9.0328766258225e-07
"Pre-consumer processes","PET","Soil",0,0
"Pre-consumer processes","PET","Soil (MP)",2.76329130105158e-05,2.78206718333151e-05
"Pre-consumer processes","PET","Fresh water",0,0
"Pre-consumer processes","PET","Fresh water (MP)",1.31221031458365e-06,1.30574095878827e-06
"Pre-consumer processes","PET","Subsurface soil (MP)",6.15195913115622e-06,6.51113995618965e-06
"Pre-consumer processes","PET","Coastal and ocean water",0,0
"Pre-consumer processes","PET","Coastal and ocean water (MP)",5.94142163707504e-07,1.64060250416792e-06
"ConsumerFilms","LDPE","Soil",0.00387145462321927,0.00262801950710064
"ConsumerFilms","LDPE","Soil (MP)",0.000149699522247134,9.4494868629805e-05
"ConsumerFilms","LDPE","Fresh water",0.000106958472529727,0.00010300050231615
"ConsumerFilms","LDPE","Fresh water (MP)",0,0
"ConsumerFilms","LDPE","Subsurface soil (MP)",0,0
"ConsumerFilms","LDPE","Coastal and ocean water",2.11667487549342e-05,1.52704569749082e-05
"ConsumerFilms","LDPE","Coastal and ocean water (MP)",0,0
"ConsumerFilms","HDPE","Soil",0.00984241133404195,0.00715761938925725
"ConsumerFilms","HDPE","Soil (MP)",0.000148507301440146,9.40981757322976e-05
"ConsumerFilms","HDPE","Fresh water",0.000300944804277245,0.000293861155336031
"ConsumerFilms","HDPE","Fresh water (MP)",0,0
"ConsumerFilms","HDPE","Subsurface soil (MP)",0,0
"ConsumerFilms","HDPE","Coastal and ocean water",5.85862938130103e-05,4.3153071289659e-05
"ConsumerFilms","HDPE","Coastal and ocean water (MP)",0,0
"ConsumerFilms","PP","Soil",0.00670053837168144,0.00466589249212969
"ConsumerFilms","PP","Soil (MP)",0.000149486079111158,9.4554909250998e-05
"ConsumerFilms","PP","Fresh water",0.000196261845541246,0.000194062290263119
"ConsumerFilms","PP","Fresh water (MP)",0,0
"ConsumerFilms","PP","Subsurface soil (MP)",0,0
"ConsumerFilms","PP","Coastal and ocean water",3.82999743799784e-05,2.80435169417388e-05
"ConsumerFilms","PP","Coastal and ocean water (MP)",0,0
"ConsumerFilms","PS","Soil",0.0070411808810647,0.00499289703873967
"ConsumerFilms","PS","Soil (MP)",0.000149485863177719,9.4875468757301e-05
"ConsumerFilms","PS","Fresh water",0.000206850609748236,0.000196867353182732
"ConsumerFilms","PS","Fresh water (MP)",0,0
"ConsumerFilms","PS","Subsurface soil (MP)",0,0
"ConsumerFilms","PS","Coastal and ocean water",4.07008639810627e-05,2.96976217555148e-05
"ConsumerFilms","PS","Coastal and ocean water (MP)",0,0
"ConsumerFilms","EPS","Soil",NA,NA
"ConsumerFilms","EPS","Soil (MP)",NA,NA
"ConsumerFilms","EPS","Fresh water",NA,NA
"ConsumerFilms","EPS","Fresh water (MP)",NA,NA
"ConsumerFilms","EPS","Subsurface soil (MP)",NA,NA
"ConsumerFilms","EPS","Coastal and ocean water",NA,NA
"ConsumerFilms","EPS","Coastal and ocean water (MP)",NA,NA
"ConsumerFilms","PVC","Soil",0.00714214657710675,0.00506059410931068
"ConsumerFilms","PVC","Soil (MP)",0.000148964702478826,9.54337586019729e-05
"ConsumerFilms","PVC","Fresh water",0.000209729530851407,0.000198392205464337
"ConsumerFilms","PVC","Fresh water (MP)",0,0
"ConsumerFilms","PVC","Subsurface soil (MP)",0,0
"ConsumerFilms","PVC","Coastal and ocean water",4.09056904235025e-05,3.00843269753237e-05
"ConsumerFilms","PVC","Coastal and ocean water (MP)",0,0
"ConsumerFilms","PET","Soil",0.00706906343784618,0.00495240113388037
"ConsumerFilms","PET","Soil (MP)",0.000148982378075705,9.43418353611545e-05
"ConsumerFilms","PET","Fresh water",0.000209581819573248,0.00020444361579021
"ConsumerFilms","PET","Fresh water (MP)",0,0
"ConsumerFilms","PET","Subsurface soil (MP)",0,0
"ConsumerFilms","PET","Coastal and ocean water",4.03321617808964e-05,2.92456863790708e-05
"ConsumerFilms","PET","Coastal and ocean water (MP)",0,0
"ConsumerBags","LDPE","Soil",0.00508087365865593,0.00350674829454984
"ConsumerBags","LDPE","Soil (MP)",0.00014941081793155,9.47559672921976e-05
"ConsumerBags","LDPE","Fresh water",0.000145968821377221,0.000142092405752941
"ConsumerBags","LDPE","Fresh water (MP)",0,0
"ConsumerBags","LDPE","Subsurface soil (MP)",0,0
"ConsumerBags","LDPE","Coastal and ocean water",2.86708641312741e-05,2.11626998857593e-05
"ConsumerBags","LDPE","Coastal and ocean water (MP)",0,0
"ConsumerBags","HDPE","Soil",0.00839323224224733,0.00600773751095893
"ConsumerBags","HDPE","Soil (MP)",0.000148857340661555,9.521851435679e-05
"ConsumerBags","HDPE","Fresh water",0.000254748666285746,0.00024727843221614
"ConsumerBags","HDPE","Fresh water (MP)",0,0
"ConsumerBags","HDPE","Subsurface soil (MP)",0,0
"ConsumerBags","HDPE","Coastal and ocean water",4.94174158441175e-05,3.61738287390571e-05
"ConsumerBags","HDPE","Coastal and ocean water (MP)",0,0
"ConsumerBags","PP","Soil",NA,NA
"ConsumerBags","PP","Soil (MP)",NA,NA
"ConsumerBags","PP","Fresh water",NA,NA
"ConsumerBags","PP","Fresh water (MP)",NA,NA
"ConsumerBags","PP","Subsurface soil (MP)",NA,NA
"ConsumerBags","PP","Coastal and ocean water",NA,NA
"ConsumerBags","PP","Coastal and ocean water (MP)",NA,NA
"ConsumerBags","PS","Soil",NA,NA
"ConsumerBags","PS","Soil (MP)",NA,NA
"ConsumerBags","PS","Fresh water",NA,NA
"ConsumerBags","PS","Fresh water (MP)",NA,NA
"ConsumerBags","PS","Subsurface soil (MP)",NA,NA
"ConsumerBags","PS","Coastal and ocean water",NA,NA
"ConsumerBags","PS","Coastal and ocean water (MP)",NA,NA
"ConsumerBags","EPS","Soil",NA,NA
"ConsumerBags","EPS","Soil (MP)",NA,NA
"ConsumerBags","EPS","Fresh water",NA,NA
"ConsumerBags","EPS","Fresh water (MP)",NA,NA
"ConsumerBags","EPS","Subsurface soil (MP)",NA,NA
"ConsumerBags","EPS","Coastal and ocean water",NA,NA
"ConsumerBags","EPS","Coastal and ocean water (MP)",NA,NA
"ConsumerBags","PVC","Soil",NA,NA
"ConsumerBags","PVC","Soil (MP)",NA,NA
"ConsumerBags","PVC","Fresh water",NA,NA
"ConsumerBags","PVC","Fresh water (MP)",NA,NA
"ConsumerBags","PVC","Subsurface soil (MP)",NA,NA
"ConsumerBags","PVC","Coastal and ocean water",NA,NA
"ConsumerBags","PVC","Coastal and ocean water (MP)",NA,NA
"ConsumerBags","PET","Soil",NA,NA
"ConsumerBags","PET","Soil (MP)",NA,NA
"ConsumerBags","PET","Fresh water",NA,NA
"ConsumerBags","PET","Fresh water (MP)",NA,NA
"ConsumerBags","PET","Subsurface soil (MP)",NA,NA
"ConsumerBags","PET","Coastal and ocean water",NA,NA
"ConsumerBags","PET","Coastal and ocean water (MP)",NA,NA
"ConsumerBottles","LDPE","Soil",NA,NA
"ConsumerBottles","LDPE","Soil (MP)",NA,NA
"ConsumerBottles","LDPE","Fresh water",NA,NA
"ConsumerBottles","LDPE","Fresh water (MP)",NA,NA
"ConsumerBottles","LDPE","Subsurface soil (MP)",NA,NA
"ConsumerBottles","LDPE","Coastal and ocean water",NA,NA
"ConsumerBottles","LDPE","Coastal and ocean water (MP)",NA,NA
"ConsumerBottles","HDPE","Soil",0.000398370148760851,0.000206879395776642
"ConsumerBottles","HDPE","Soil (MP)",3.00469807457017e-05,1.9138164361107e-05
"ConsumerBottles","HDPE","Fresh water",2.25381446280515e-06,1.54731649886695e-06
"ConsumerBottles","HDPE","Fresh water (MP)",0,0
"ConsumerBottles","HDPE","Subsurface soil (MP)",0,0
"ConsumerBottles","HDPE","Coastal and ocean water",8.37437405972751e-07,4.95480425815531e-07
"ConsumerBottles","HDPE","Coastal and ocean water (MP)",0,0
"ConsumerBottles","PP","Soil",0.000396676896779623,0.000207719519188924
"ConsumerBottles","PP","Soil (MP)",3.02764164856933e-05,1.91552584563557e-05
"ConsumerBottles","PP","Fresh water",2.2385434006445e-06,1.53212065220483e-06
"ConsumerBottles","PP","Fresh water (MP)",0,0
"ConsumerBottles","PP","Subsurface soil (MP)",0,0
"ConsumerBottles","PP","Coastal and ocean water",8.29252824254108e-07,4.86403588933499e-07
"ConsumerBottles","PP","Coastal and ocean water (MP)",0,0
"ConsumerBottles","PS","Soil",NA,NA
"ConsumerBottles","PS","Soil (MP)",NA,NA
"ConsumerBottles","PS","Fresh water",NA,NA
"ConsumerBottles","PS","Fresh water (MP)",NA,NA
"ConsumerBottles","PS","Subsurface soil (MP)",NA,NA
"ConsumerBottles","PS","Coastal and ocean water",NA,NA
"ConsumerBottles","PS","Coastal and ocean water (MP)",NA,NA
"ConsumerBottles","EPS","Soil",NA,NA
"ConsumerBottles","EPS","Soil (MP)",NA,NA
"ConsumerBottles","EPS","Fresh water",NA,NA
"ConsumerBottles","EPS","Fresh water (MP)",NA,NA
"ConsumerBottles","EPS","Subsurface soil (MP)",NA,NA
"ConsumerBottles","EPS","Coastal and ocean water",NA,NA
"ConsumerBottles","EPS","Coastal and ocean water (MP)",NA,NA
"ConsumerBottles","PVC","Soil",NA,NA
"ConsumerBottles","PVC","Soil (MP)",NA,NA
"ConsumerBottles","PVC","Fresh water",NA,NA
"ConsumerBottles","PVC","Fresh water (MP)",NA,NA
"ConsumerBottles","PVC","Subsurface soil (MP)",NA,NA
"ConsumerBottles","PVC","Coastal and ocean water",NA,NA
"ConsumerBottles","PVC","Coastal and ocean water (MP)",NA,NA
"ConsumerBottles","PET","Soil",0.0118558483174797,0.00877807576835544
"ConsumerBottles","PET","Soil (MP)",3.02842738110273e-05,1.9337032177519e-05
"ConsumerBottles","PET","Fresh water",0.000366071558980528,0.000361198460436534
"ConsumerBottles","PET","Fresh water (MP)",0,0
"ConsumerBottles","PET","Subsurface soil (MP)",0,0
"ConsumerBottles","PET","Coastal and ocean water",7.02921622538591e-05,5.24670950463391e-05
"ConsumerBottles","PET","Coastal and ocean water (MP)",0,0
"ConsumerOther","LDPE","Soil",0.000399901851216923,0.000211386477224378
"ConsumerOther","LDPE","Soil (MP)",3.02705678324026e-05,1.92840410037505e-05
"ConsumerOther","LDPE","Fresh water",2.24636816714025e-06,1.55023476314609e-06
"ConsumerOther","LDPE","Fresh water (MP)",0,0
"ConsumerOther","LDPE","Subsurface soil (MP)",0,0
"ConsumerOther","LDPE","Coastal and ocean water",8.34671109627312e-07,4.95816628582197e-07
"ConsumerOther","LDPE","Coastal and ocean water (MP)",0,0
"ConsumerOther","HDPE","Soil",0.00421965048574416,0.00291201420166538
"ConsumerOther","HDPE","Soil (MP)",3.01166195618575e-05,1.92842269114086e-05
"ConsumerOther","HDPE","Fresh water",0.000126105160561335,0.000121886709379374
"ConsumerOther","HDPE","Fresh water (MP)",0,0
"ConsumerOther","HDPE","Subsurface soil (MP)",0,0
"ConsumerOther","HDPE","Coastal and ocean water",2.4603334886791e-05,1.7921831468316e-05
"ConsumerOther","HDPE","Coastal and ocean water (MP)",0,0
"ConsumerOther","PP","Soil",0.00204970112199692,0.0013308044508051
"ConsumerOther","PP","Soil (MP)",3.02128332333388e-05,1.91707080280163e-05
"ConsumerOther","PP","Fresh water",5.36172263184793e-05,5.13657015614613e-05
"ConsumerOther","PP","Fresh water (MP)",0,0
"ConsumerOther","PP","Subsurface soil (MP)",0,0
"ConsumerOther","PP","Coastal and ocean water",1.08021800727431e-05,7.45633893417495e-06
"ConsumerOther","PP","Coastal and ocean water (MP)",0,0
"ConsumerOther","PS","Soil",0.00218130143561942,0.00141267246403645
"ConsumerOther","PS","Soil (MP)",3.02627710079307e-05,1.92978419398917e-05
"ConsumerOther","PS","Fresh water",5.80858319415819e-05,5.42001782986333e-05
"ConsumerOther","PS","Fresh water (MP)",0,0
"ConsumerOther","PS","Subsurface soil (MP)",0,0
"ConsumerOther","PS","Coastal and ocean water",1.17848484420388e-05,8.32479817021323e-06
"ConsumerOther","PS","Coastal and ocean water (MP)",0,0
"ConsumerOther","EPS","Soil",0.00039867042018094,0.00020899546535046
"ConsumerOther","EPS","Soil (MP)",3.00993938515783e-05,1.92452952907944e-05
