"prod","mat","dest","mean","sd"
"Pre-consumer processes","LDPE","Soil",0,0
"Pre-consumer processes","LDPE","Soil (MP)",0.000330245691584527,0.000170101250607644
"Pre-consumer processes","LDPE","Fresh water",0,0
"Pre-consumer processes","LDPE","Fresh water (MP)",3.57697534611631e-06,1.35886836366203e-06
"Pre-consumer processes","LDPE","Subsurface soil (MP)",0,0
"Pre-consumer processes","LDPE","Coastal and ocean water",0,0
"Pre-consumer processes","LDPE","Coastal and ocean water (MP)",4.6183458676672e-06,4.17387452431933e-06
"Pre-consumer processes","HDPE","Soil",0,0
"Pre-consumer processes","HDPE","Soil (MP)",0.000386409776321285,0.000193933522485963
"Pre-consumer processes","HDPE","Fresh water",0,0
"Pre-consumer processes","HDPE","Fresh water (MP)",4.18187706185823e-06,1.48311471862673e-06
"Pre-consumer processes","HDPE","Subsurface soil (MP)",4.09658740854388e-07,4.35059179721644e-07
"Pre-consumer processes","HDPE","Coastal and ocean water",0,0
"Pre-consumer processes","HDPE","Coastal and ocean water (MP)",5.48714385922217e-06,4.71697330741492e-06
"Pre-consumer processes","PP","Soil",0,0
"Pre-consumer processes","PP","Soil (MP)",6.10032019333108e-05,3.57866135938027e-05
"Pre-consumer processes","PP","Fresh water",0,0
"Pre-consumer processes","PP","Fresh water (MP)",4.01538152092553e-07,1.39618997814032e-07
"Pre-consumer processes","PP","Subsurface soil (MP)",1.64579946703329e-06,1.72860233874096e-06
"Pre-consumer processes","PP","Coastal and ocean water",0,0
"Pre-consumer processes","PP","Coastal and ocean water (MP)",8.70850833793756e-07,6.43538136985404e-07
"Pre-consumer processes","PS","Soil",0,0
"Pre-consumer processes","PS","Soil (MP)",4.28664458255174e-05,4.27196852592937e-05
"Pre-consumer processes","PS","Fresh water",0,0
"Pre-consumer processes","PS","Fresh water (MP)",7.9112914126009e-08,4.38796330325942e-08
"Pre-consumer processes","PS","Subsurface soil (MP)",0,0
"Pre-consumer processes","PS","Coastal and ocean water",0,0
"Pre-consumer processes","PS","Coastal and ocean water (MP)",9.00821464810377e-08,9.44773433438449e-08
"Pre-consumer processes","EPS","Soil",0,0
"Pre-consumer processes","EPS","Soil (MP)",4.73425975169468e-05,5.68137084523547e-05
"Pre-consumer processes","EPS","Fresh water",0,0
"Pre-consumer processes","EPS","Fresh water (MP)",8.66229637580835e-08,6.47973980085398e-08
"Pre-consumer processes","EPS","Subsurface soil (MP)",0,0
"Pre-consumer processes","EPS","Coastal and ocean water",0,0
"Pre-consumer processes","EPS","Coastal and ocean water (MP)",9.67004222729402e-08,1.17986262187025e-07
"Pre-consumer processes","PVC","Soil",0,0
"Pre-consumer processes","PVC","Soil (MP)",0.000374931216126568,0.000202044120270612
"Pre-consumer processes","PVC","Fresh water",0,0
"Pre-consumer processes","PVC","Fresh water (MP)",4.04962038176655e-06,1.58167102838836e-06
"Pre-consumer processes","PVC","Subsurface soil (MP)",0,0
"Pre-consumer processes","PVC","Coastal and ocean water",0,0
"Pre-consumer processes","PVC","Coastal and ocean water (MP)",5.24191227538245e-06,4.6793236675079e-06
"Pre-consumer processes","PET","Soil",0,0
"Pre-consumer processes","PET","Soil (MP)",4.13100637472088e-05,3.14301190746657e-05
"Pre-consumer processes","PET","Fresh water",0,0
"Pre-consumer processes","PET","Fresh water (MP)",2.15250634573082e-07,2.08035069140141e-07
"Pre-consumer processes","PET","Subsurface soil (MP)",4.52684528093454e-06,5.20531667943052e-06
"Pre-consumer processes","PET","Coastal and ocean water",0,0
"Pre-consumer processes","PET","Coastal and ocean water (MP)",1.28716005604709e-06,1.55184607086915e-06
"ConsumerFilms","LDPE","Soil",0.0016532124594124,0.00106583856695708
"ConsumerFilms","LDPE","Soil (MP)",0.000157014381086435,9.97466412245351e-05
"ConsumerFilms","LDPE","Fresh water",7.6793032230535e-06,7.87534774956828e-06
"ConsumerFilms","LDPE","Fresh water (MP)",0,0
"ConsumerFilms","LDPE","Subsurface soil (MP)",0,0
"ConsumerFilms","LDPE","Coastal and ocean water",5.90008472807638e-05,5.25339827157787e-05
"ConsumerFilms","LDPE","Coastal and ocean water (MP)",0,0
"ConsumerFilms","HDPE","Soil",0.00408827932738324,0.00300210190788267
"ConsumerFilms","HDPE","Soil (MP)",0.000156143676631442,9.88369388394001e-05
"ConsumerFilms","HDPE","Fresh water",2.08333691152919e-05,2.17691228501228e-05
"ConsumerFilms","HDPE","Fresh water (MP)",0,0
