"prod","mat","dest","mean","sd"
"Pre-consumer processes","LDPE","Soil",0,0
"Pre-consumer processes","LDPE","Soil (MP)",4.48490273105866e-05,4.4133247013649e-05
"Pre-consumer processes","LDPE","Fresh water",0,0
"Pre-consumer processes","LDPE","Fresh water (MP)",2.26396626410687e-07,1.48973098599926e-07
"Pre-consumer processes","LDPE","Subsurface soil (MP)",2.04947595033669e-09,2.33683613761527e-09
"Pre-consumer processes","LDPE","Coastal and ocean water",0,0
"Pre-consumer processes","LDPE","Coastal and ocean water (MP)",1.45726288602655e-09,8.60791398249466e-09
"Pre-consumer processes","HDPE","Soil",0,0
"Pre-consumer processes","HDPE","Soil (MP)",4.18229294854789e-05,4.17857394739629e-05
"Pre-consumer processes","HDPE","Fresh water",0,0
"Pre-consumer processes","HDPE","Fresh water (MP)",2.11547352429764e-07,1.46482030595391e-07
"Pre-consumer processes","HDPE","Subsurface soil (MP)",1.57625184874531e-07,1.75620799837676e-07
"Pre-consumer processes","HDPE","Coastal and ocean water",0,0
"Pre-consumer processes","HDPE","Coastal and ocean water (MP)",3.87025005810223e-09,2.1242958718041e-08
"Pre-consumer processes","PP","Soil",0,0
"Pre-consumer processes","PP","Soil (MP)",3.75333548836217e-05,3.55661553804515e-05
"Pre-consumer processes","PP","Fresh water",0,0
"Pre-consumer processes","PP","Fresh water (MP)",5.50388877697168e-07,4.92147199865141e-07
"Pre-consumer processes","PP","Subsurface soil (MP)",1.43568822180466e-06,1.56124971099472e-06
"Pre-consumer processes","PP","Coastal and ocean water",0,0
"Pre-consumer processes","PP","Coastal and ocean water (MP)",2.6698203542907e-08,1.71960203068054e-07
"Pre-consumer processes","PS","Soil",0,0
"Pre-consumer processes","PS","Soil (MP)",4.21559742135325e-05,4.22283275139996e-05
"Pre-consumer processes","PS","Fresh water",0,0
"Pre-consumer processes","PS","Fresh water (MP)",1.65840297940835e-07,1.26167600502344e-07
"Pre-consumer processes","PS","Subsurface soil (MP)",0,0
"Pre-consumer processes","PS","Coastal and ocean water",0,0
"Pre-consumer processes","PS","Coastal and ocean water (MP)",1.12217037576152e-09,7.3099429244403e-09
"Pre-consumer processes","EPS","Soil",0,0
"Pre-consumer processes","EPS","Soil (MP)",4.76500816282864e-05,5.5676851959344e-05
"Pre-consumer processes","EPS","Fresh water",0,0
"Pre-consumer processes","EPS","Fresh water (MP)",1.84778284544291e-07,1.77769578560318e-07
"Pre-consumer processes","EPS","Subsurface soil (MP)",0,0
"Pre-consumer processes","EPS","Coastal and ocean water",0,0
"Pre-consumer processes","EPS","Coastal and ocean water (MP)",1.23998209298522e-09,1.06657789132186e-08
"Pre-consumer processes","PVC","Soil",0,0
"Pre-consumer processes","PVC","Soil (MP)",4.28155193241586e-05,4.4576588178483e-05
"Pre-consumer processes","PVC","Fresh water",0,0
"Pre-consumer processes","PVC","Fresh water (MP)",1.708966288239e-07,1.39760518297629e-07
"Pre-consumer processes","PVC","Subsurface soil (MP)",0,0
"Pre-consumer processes","PVC","Coastal and ocean water",0,0
"Pre-consumer processes","PVC","Coastal and ocean water (MP)",1.07469387616394e-09,6.59458779215894e-09
"Pre-consumer processes","PET","Soil",0,0
"Pre-consumer processes","PET","Soil (MP)",3.01380295367374e-05,2.93949932629375e-05
"Pre-consumer processes","PET","Fresh water",0,0
"Pre-consumer processes","PET","Fresh water (MP)",1.44754261030751e-06,1.5712923518035e-06
"Pre-consumer processes","PET","Subsurface soil (MP)",4.71558386684969e-06,5.37286621275823e-06
"Pre-consumer processes","PET","Coastal and ocean water",0,0
"Pre-consumer processes","PET","Coastal and ocean water (MP)",9.11729702161705e-08,5.61841604006963e-07
"ConsumerFilms","LDPE","Soil",0.00229492478215797,0.00156047795067253
"ConsumerFilms","LDPE","Soil (MP)",0.000151119167036007,9.59046568303202e-05
"ConsumerFilms","LDPE","Fresh water",4.50301475073813e-05,4.1480760384543e-05
"ConsumerFilms","LDPE","Fresh water (MP)",0,0
"ConsumerFilms","LDPE","Subsurface soil (MP)",0,0
"ConsumerFilms","LDPE","Coastal and ocean water",2.33272220026576e-06,1.86023726141079e-06
"ConsumerFilms","LDPE","Coastal and ocean water (MP)",0,0
"ConsumerFilms","HDPE","Soil",0.00578825319235662,0.00435032817756372
"ConsumerFilms","HDPE","Soil (MP)",0.000151656229489822,9.61387986744593e-05
"ConsumerFilms","HDPE","Fresh water",0.000122421041414214,0.000116912849009631
"ConsumerFilms","HDPE","Fresh water (MP)",0,0
"ConsumerFilms","HDPE","Subsurface soil (MP)",0,0
"ConsumerFilms","HDPE","Coastal and ocean water",6.36009134728131e-06,5.18866923596449e-06
"ConsumerFilms","HDPE","Coastal and ocean water (MP)",0,0
"ConsumerFilms","PP","Soil",0.00399396894995197,0.00290725484793172
"ConsumerFilms","PP","Soil (MP)",0.000150642910611421,9.53568910493452e-05
"ConsumerFilms","PP","Fresh water",8.14293426480858e-05,7.75540108170115e-05
"ConsumerFilms","PP","Fresh water (MP)",0,0
"ConsumerFilms","PP","Subsurface soil (MP)",0,0
"ConsumerFilms","PP","Coastal and ocean water",4.2656511226778e-06,3.41641595238045e-06
"ConsumerFilms","PP","Coastal and ocean water (MP)",0,0
"ConsumerFilms","PS","Soil",0.00421365608889768,0.00311154805765383
"ConsumerFilms","PS","Soil (MP)",0.000150444534937923,9.59860013944554e-05
"ConsumerFilms","PS","Fresh water",8.60602507722172e-05,8.09779614636714e-05
"ConsumerFilms","PS","Fresh water (MP)",0,0
"ConsumerFilms","PS","Subsurface soil (MP)",0,0
"ConsumerFilms","PS","Coastal and ocean water",4.44861810124811e-06,3.47453674670745e-06
"ConsumerFilms","PS","Coastal and ocean water (MP)",0,0
"ConsumerFilms","EPS","Soil",NA,NA
"ConsumerFilms","EPS","Soil (MP)",NA,NA
"ConsumerFilms","EPS","Fresh water",NA,NA
"ConsumerFilms","EPS","Fresh water (MP)",NA,NA
"ConsumerFilms","EPS","Subsurface soil (MP)",NA,NA
"ConsumerFilms","EPS","Coastal and ocean water",NA,NA
"ConsumerFilms","EPS","Coastal and ocean water (MP)",NA,NA
"ConsumerFilms","PVC","Soil",0.00417760827330263,0.00302293305679729
"ConsumerFilms","PVC","Soil (MP)",0.000150250822127388,9.50873666740463e-05
"ConsumerFilms","PVC","Fresh water",8.77068697289206e-05,8.22082531028193e-05
"ConsumerFilms","PVC","Fresh water (MP)",0,0
"ConsumerFilms","PVC","Subsurface soil (MP)",0,0
"ConsumerFilms","PVC","Coastal and ocean water",4.52554995720147e-06,3.55351853880528e-06
"ConsumerFilms","PVC","Coastal and ocean water (MP)",0,0
"ConsumerFilms","PET","Soil",0.00418677492179662,0.00307847505105986
"ConsumerFilms","PET","Soil (MP)",0.000150164537950111,9.49145461665247e-05
"ConsumerFilms","PET","Fresh water",8.69755062164055e-05,8.35011785457626e-05
"ConsumerFilms","PET","Fresh water (MP)",0,0
"ConsumerFilms","PET","Subsurface soil (MP)",0,0
"ConsumerFilms","PET","Coastal and ocean water",4.5172417623766e-06,3.66163389357868e-06
"ConsumerFilms","PET","Coastal and ocean water (MP)",0,0
"ConsumerBags","LDPE","Soil",0.00302106675295378,0.00213983579340225
"ConsumerBags","LDPE","Soil (MP)",0.000150632654355727,9.4458454678714e-05
"ConsumerBags","LDPE","Fresh water",6.1561219697625e-05,5.70569835470262e-05
"ConsumerBags","LDPE","Fresh water (MP)",0,0
"ConsumerBags","LDPE","Subsurface soil (MP)",0,0
"ConsumerBags","LDPE","Coastal and ocean water",3.19366619733546e-06,2.57619056667313e-06
"ConsumerBags","LDPE","Coastal and ocean water (MP)",0,0
"ConsumerBags","HDPE","Soil",0.00500739462704211,0.00378776114999625
"ConsumerBags","HDPE","Soil (MP)",0.000151026814903771,9.60356130580656e-05
"ConsumerBags","HDPE","Fresh water",0.000104129006349921,9.76857599540406e-05
"ConsumerBags","HDPE","Fresh water (MP)",0,0
"ConsumerBags","HDPE","Subsurface soil (MP)",0,0
"ConsumerBags","HDPE","Coastal and ocean water",5.42509956934849e-06,4.3362512665653e-06
"ConsumerBags","HDPE","Coastal and ocean water (MP)",0,0
"ConsumerBags","PP","Soil",NA,NA
"ConsumerBags","PP","Soil (MP)",NA,NA
"ConsumerBags","PP","Fresh water",NA,NA
"ConsumerBags","PP","Fresh water (MP)",NA,NA
"ConsumerBags","PP","Subsurface soil (MP)",NA,NA
"ConsumerBags","PP","Coastal and ocean water",NA,NA
"ConsumerBags","PP","Coastal and ocean water (MP)",NA,NA
"ConsumerBags","PS","Soil",NA,NA
"ConsumerBags","PS","Soil (MP)",NA,NA
"ConsumerBags","PS","Fresh water",NA,NA
"ConsumerBags","PS","Fresh water (MP)",NA,NA
"ConsumerBags","PS","Subsurface soil (MP)",NA,NA
"ConsumerBags","PS","Coastal and ocean water",NA,NA
"ConsumerBags","PS","Coastal and ocean water (MP)",NA,NA
"ConsumerBags","EPS","Soil",NA,NA
"ConsumerBags","EPS","Soil (MP)",NA,NA
"ConsumerBags","EPS","Fresh water",NA,NA
"ConsumerBags","EPS","Fresh water (MP)",NA,NA
"ConsumerBags","EPS","Subsurface soil (MP)",NA,NA
"ConsumerBags","EPS","Coastal and ocean water",NA,NA
"ConsumerBags","EPS","Coastal and ocean water (MP)",NA,NA
"ConsumerBags","PVC","Soil",NA,NA
"ConsumerBags","PVC","Soil (MP)",NA,NA
"ConsumerBags","PVC","Fresh water",NA,NA
"ConsumerBags","PVC","Fresh water (MP)",NA,NA
"ConsumerBags","PVC","Subsurface soil (MP)",NA,NA
"ConsumerBags","PVC","Coastal and ocean water",NA,NA
"ConsumerBags","PVC","Coastal and ocean water (MP)",NA,NA
"ConsumerBags","PET","Soil",NA,NA
"ConsumerBags","PET","Soil (MP)",NA,NA
"ConsumerBags","PET","Fresh water",NA,NA
"ConsumerBags","PET","Fresh water (MP)",NA,NA
"ConsumerBags","PET","Subsurface soil (MP)",NA,NA
"ConsumerBags","PET","Coastal and ocean water",NA,NA
"ConsumerBags","PET","Coastal and ocean water (MP)",NA,NA
"ConsumerBottles","LDPE","Soil",NA,NA
"ConsumerBottles","LDPE","Soil (MP)",NA,NA
"ConsumerBottles","LDPE","Fresh water",NA,NA
"ConsumerBottles","LDPE","Fresh water (MP)",NA,NA
"ConsumerBottles","LDPE","Subsurface soil (MP)",NA,NA
"ConsumerBottles","LDPE","Coastal and ocean water",NA,NA
"ConsumerBottles","LDPE","Coastal and ocean water (MP)",NA,NA
"ConsumerBottles","HDPE","Soil",0.000203575871295178,9.92632800987826e-05
"ConsumerBottles","HDPE","Soil (MP)",3.05577848789443e-05,1.94363155874896e-05
"ConsumerBottles","HDPE","Fresh water",7.28147728505328e-07,4.32485617057923e-07
"ConsumerBottles","HDPE","Fresh water (MP)",0,0
"ConsumerBottles","HDPE","Subsurface soil (MP)",0,0
"ConsumerBottles","HDPE","Coastal and ocean water",4.88609804897194e-08,2.80568774193934e-08
"ConsumerBottles","HDPE","Coastal and ocean water (MP)",0,0
"ConsumerBottles","PP","Soil",0.000204320369738943,0.000101020723209242
"ConsumerBottles","PP","Soil (MP)",3.04610319599097e-05,1.92312334037431e-05
"ConsumerBottles","PP","Fresh water",7.20529051397781e-07,4.32942182955108e-07
"ConsumerBottles","PP","Fresh water (MP)",0,0
"ConsumerBottles","PP","Subsurface soil (MP)",0,0
"ConsumerBottles","PP","Coastal and ocean water",4.85763868118551e-08,2.83935633213395e-08
"ConsumerBottles","PP","Coastal and ocean water (MP)",0,0
"ConsumerBottles","PS","Soil",NA,NA
"ConsumerBottles","PS","Soil (MP)",NA,NA
"ConsumerBottles","PS","Fresh water",NA,NA
"ConsumerBottles","PS","Fresh water (MP)",NA,NA
"ConsumerBottles","PS","Subsurface soil (MP)",NA,NA
"ConsumerBottles","PS","Coastal and ocean water",NA,NA
"ConsumerBottles","PS","Coastal and ocean water (MP)",NA,NA
"ConsumerBottles","EPS","Soil",NA,NA
"ConsumerBottles","EPS","Soil (MP)",NA,NA
"ConsumerBottles","EPS","Fresh water",NA,NA
"ConsumerBottles","EPS","Fresh water (MP)",NA,NA
"ConsumerBottles","EPS","Subsurface soil (MP)",NA,NA
"ConsumerBottles","EPS","Coastal and ocean water",NA,NA
"ConsumerBottles","EPS","Coastal and ocean water (MP)",NA,NA
"ConsumerBottles","PVC","Soil",NA,NA
"ConsumerBottles","PVC","Soil (MP)",NA,NA
"ConsumerBottles","PVC","Fresh water",NA,NA
"ConsumerBottles","PVC","Fresh water (MP)",NA,NA
"ConsumerBottles","PVC","Subsurface soil (MP)",NA,NA
"ConsumerBottles","PVC","Coastal and ocean water",NA,NA
"ConsumerBottles","PVC","Coastal and ocean water (MP)",NA,NA
"ConsumerBottles","PET","Soil",0.00698193638205106,0.00535110255541067
"ConsumerBottles","PET","Soil (MP)",3.0447073482047e-05,1.93786105837545e-05
"ConsumerBottles","PET","Fresh water",0.000152388480290828,0.000144800031292892
"ConsumerBottles","PET","Fresh water (MP)",0,0
"ConsumerBottles","PET","Subsurface soil (MP)",0,0
"ConsumerBottles","PET","Coastal and ocean water",7.980162984511e-06,6.56349535952503e-06
"ConsumerBottles","PET","Coastal and ocean water (MP)",0,0
"ConsumerOther","LDPE","Soil",0.000202817870002478,9.91334312939566e-05
"ConsumerOther","LDPE","Soil (MP)",3.05079043065767e-05,1.9379328611312e-05
"ConsumerOther","LDPE","Fresh water",7.19757887765311e-07,4.31450430931058e-07
"ConsumerOther","LDPE","Fresh water (MP)",0,0
"ConsumerOther","LDPE","Subsurface soil (MP)",0,0
"ConsumerOther","LDPE","Coastal and ocean water",4.84256121802592e-08,2.81078659417623e-08
"ConsumerOther","LDPE","Coastal and ocean water (MP)",0,0
"ConsumerOther","HDPE","Soil",0.00248433407885632,0.00183500532556419
"ConsumerOther","HDPE","Soil (MP)",3.0542827500836e-05,1.94346661301916e-05
"ConsumerOther","HDPE","Fresh water",5.1581548551772e-05,4.87966240297223e-05
"ConsumerOther","HDPE","Fresh water (MP)",0,0
"ConsumerOther","HDPE","Subsurface soil (MP)",0,0
"ConsumerOther","HDPE","Coastal and ocean water",2.69982239195068e-06,2.16085526928125e-06
"ConsumerOther","HDPE","Coastal and ocean water (MP)",0,0
"ConsumerOther","PP","Soil",0.00116940382063996,0.000780369515642282
"ConsumerOther","PP","Soil (MP)",3.05390346830772e-05,1.94654378510978e-05
"ConsumerOther","PP","Fresh water",2.20967852322351e-05,2.00906631547967e-05
"ConsumerOther","PP","Fresh water (MP)",0,0
"ConsumerOther","PP","Subsurface soil (MP)",0,0
"ConsumerOther","PP","Coastal and ocean water",1.16517872224634e-06,8.76813078150324e-07
"ConsumerOther","PP","Coastal and ocean water (MP)",0,0
"ConsumerOther","PS","Soil",0.00127482309215151,0.000884699688268684
"ConsumerOther","PS","Soil (MP)",3.03824766514181e-05,1.94526593027345e-05
"ConsumerOther","PS","Fresh water",2.4404604474938e-05,2.24039233407216e-05
"ConsumerOther","PS","Fresh water (MP)",0,0
"ConsumerOther","PS","Subsurface soil (MP)",0,0
"ConsumerOther","PS","Coastal and ocean water",1.27190363850637e-06,9.64129354605492e-07
"ConsumerOther","PS","Coastal and ocean water (MP)",0,0
"ConsumerOther","EPS","Soil",0.000203839683087142,9.95844165675851e-05
"ConsumerOther","EPS","Soil (MP)",3.08724127754762e-05,1.97601745436081e-05
"ConsumerOther","EPS","Fresh water",7.22238611062735e-07,4.24183098700687e-07
"ConsumerOther","EPS","Fresh water (MP)",0,0
"ConsumerOther","EPS","Subsurface soil (MP)",0,0
"ConsumerOther","EPS","Coastal and ocean water",4.84386877023122e-08,2.76152776295861e-08
"ConsumerOther","EPS","Coastal and ocean water (MP)",0,0
"ConsumerOther","PVC","Soil",0.00161973008985455,0.00112822790448553
"ConsumerOther","PVC","Soil (MP)",3.04391860707383e-05,1.9320648972417e-05
"ConsumerOther","PVC","Fresh water",3.3264476174748e-05,3.18298723825891e-05
"ConsumerOther","PVC","Fresh water (MP)",0,0
"ConsumerOther","PVC","Subsurface soil (MP)",0,0
"ConsumerOther","PVC","Coastal and ocean water",1.71341065775625e-06,1.31580803034378e-06
"ConsumerOther","PVC","Coastal and ocean water (MP)",0,0
"ConsumerOther","PET","Soil",0.00177998374637426,0.00125238379047207
"ConsumerOther","PET","Soil (MP)",3.04123515723215e-05,1.94747281514081e-05
"ConsumerOther","PET","Fresh water",3.57082815230214e-05,3.30628907257194e-05
"ConsumerOther","PET","Fresh water (MP)",0,0
"ConsumerOther","PET","Subsurface soil (MP)",0,0
"ConsumerOther","PET","Coastal and ocean water",1.89045902946705e-06,1.55001255809311e-06
"ConsumerOther","PET","Coastal and ocean water (MP)",0,0
"AgriculturalPackagingFilms","LDPE","Soil",0.00113647124804991,0.000415822776436331
"AgriculturalPackagingFilms","LDPE","Soil (MP)",0.000151091581936706,9.55141366448041e-05
"AgriculturalPackagingFilms","LDPE","Fresh water",7.26569559814112e-07,4.31961692775917e-07
"AgriculturalPackagingFilms","LDPE","Fresh water (MP)",0,0
"AgriculturalPackagingFilms","LDPE","Subsurface soil (MP)",0,0
"AgriculturalPackagingFilms","LDPE","Coastal and ocean water",4.87640974177676e-08,2.8125988482898e-08
"AgriculturalPackagingFilms","LDPE","Coastal and ocean water (MP)",0,0
"AgriculturalPackagingFilms","HDPE","Soil",0.00113457679817943,0.000420923072284114
"AgriculturalPackagingFilms","HDPE","Soil (MP)",0.000150999954044188,9.49955474624249e-05
"AgriculturalPackagingFilms","HDPE","Fresh water",7.3087009069998e-07,4.31184314870944e-07
"AgriculturalPackagingFilms","HDPE","Fresh water (MP)",0,0
"AgriculturalPackagingFilms","HDPE","Subsurface soil (MP)",0,0
"AgriculturalPackagingFilms","HDPE","Coastal and ocean water",4.91568139330551e-08,2.84638475106817e-08
"AgriculturalPackagingFilms","HDPE","Coastal and ocean water (MP)",0,0
"AgriculturalPackagingFilms","PP","Soil",0.00113777287900584,0.000420713045603138
"AgriculturalPackagingFilms","PP","Soil (MP)",0.000150615910235067,9.4990995249205e-05
"AgriculturalPackagingFilms","PP","Fresh water",7.22165160976474e-07,4.3107447679075e-07
"AgriculturalPackagingFilms","PP","Fresh water (MP)",0,0
"AgriculturalPackagingFilms","PP","Subsurface soil (MP)",0,0
"AgriculturalPackagingFilms","PP","Coastal and ocean water",4.8707760531369e-08,2.82406737182733e-08
"AgriculturalPackagingFilms","PP","Coastal and ocean water (MP)",0,0
"AgriculturalPackagingFilms","PS","Soil",NA,NA
"AgriculturalPackagingFilms","PS","Soil (MP)",NA,NA
"AgriculturalPackagingFilms","PS","Fresh water",NA,NA
"AgriculturalPackagingFilms","PS","Fresh water (MP)",NA,NA
"AgriculturalPackagingFilms","PS","Subsurface soil (MP)",NA,NA
"AgriculturalPackagingFilms","PS","Coastal and ocean water",NA,NA
"AgriculturalPackagingFilms","PS","Coastal and ocean water (MP)",NA,NA
"AgriculturalPackagingFilms","EPS","Soil",NA,NA
"AgriculturalPackagingFilms","EPS","Soil (MP)",NA,NA
"AgriculturalPackagingFilms","EPS","Fresh water",NA,NA
"AgriculturalPackagingFilms","EPS","Fresh water (MP)",NA,NA
"AgriculturalPackagingFilms","EPS","Subsurface soil (MP)",NA,NA
"AgriculturalPackagingFilms","EPS","Coastal and ocean water",NA,NA
"AgriculturalPackagingFilms","EPS","Coastal and ocean water (MP)",NA,NA
"AgriculturalPackagingFilms","PVC","Soil",NA,NA
"AgriculturalPackagingFilms","PVC","Soil (MP)",NA,NA
"AgriculturalPackagingFilms","PVC","Fresh water",NA,NA
"AgriculturalPackagingFilms","PVC","Fresh water (MP)",NA,NA
"AgriculturalPackagingFilms","PVC","Subsurface soil (MP)",NA,NA
"AgriculturalPackagingFilms","PVC","Coastal and ocean water",NA,NA
