"prod","mat","dest","mean","sd"
"Pre-consumer processes","LDPE","Soil",0,0
"Pre-consumer processes","LDPE","Soil (MP)",5.06696590908357e-05,4.30444318290949e-05
"Pre-consumer processes","LDPE","Fresh water",0,0
"Pre-consumer processes","LDPE","Fresh water (MP)",4.50730623491067e-07,2.62402753824747e-07
"Pre-consumer processes","LDPE","Subsurface soil (MP)",3.7863810045643e-08,4.44065416171676e-08
"Pre-consumer processes","LDPE","Coastal and ocean water",0,0
"Pre-consumer processes","LDPE","Coastal and ocean water (MP)",4.65176283205956e-09,2.61019169849536e-08
"Pre-consumer processes","HDPE","Soil",0,0
"Pre-consumer processes","HDPE","Soil (MP)",4.38509327073049e-05,4.15820957367343e-05
"Pre-consumer processes","HDPE","Fresh water",0,0
"Pre-consumer processes","HDPE","Fresh water (MP)",2.89488838402862e-07,1.72916312724065e-07
"Pre-consumer processes","HDPE","Subsurface soil (MP)",1.78778979584291e-07,2.04317964457323e-07
"Pre-consumer processes","HDPE","Coastal and ocean water",0,0
"Pre-consumer processes","HDPE","Coastal and ocean water (MP)",7.06017702449478e-09,3.70442145563488e-08
"Pre-consumer processes","PP","Soil",0,0
"Pre-consumer processes","PP","Soil (MP)",5.706560131145e-05,3.58146161977067e-05
"Pre-consumer processes","PP","Fresh water",0,0
"Pre-consumer processes","PP","Fresh water (MP)",1.33459111662394e-06,7.4480285193006e-07
"Pre-consumer processes","PP","Subsurface soil (MP)",1.68364294527167e-06,1.75509231064319e-06
"Pre-consumer processes","PP","Coastal and ocean water",0,0
"Pre-consumer processes","PP","Coastal and ocean water (MP)",5.07397417591429e-08,2.75300976042777e-07
"Pre-consumer processes","PS","Soil",0,0
"Pre-consumer processes","PS","Soil (MP)",4.41749652893313e-05,4.31642959449644e-05
"Pre-consumer processes","PS","Fresh water",0,0
"Pre-consumer processes","PS","Fresh water (MP)",2.01162661870298e-07,1.41230490763998e-07
"Pre-consumer processes","PS","Subsurface soil (MP)",0,0
"Pre-consumer processes","PS","Coastal and ocean water",0,0
"Pre-consumer processes","PS","Coastal and ocean water (MP)",1.54983533727823e-09,8.10749267725426e-09
"Pre-consumer processes","EPS","Soil",0,0
"Pre-consumer processes","EPS","Soil (MP)",5.36620527027964e-05,5.73246589920626e-05
"Pre-consumer processes","EPS","Fresh water",0,0
"Pre-consumer processes","EPS","Fresh water (MP)",4.20577378109912e-07,3.24784826285081e-07
"Pre-consumer processes","EPS","Subsurface soil (MP)",0,0
"Pre-consumer processes","EPS","Coastal and ocean water",0,0
"Pre-consumer processes","EPS","Coastal and ocean water (MP)",4.23787522009046e-09,3.54194690003564e-08
"Pre-consumer processes","PVC","Soil",0,0
"Pre-consumer processes","PVC","Soil (MP)",6.37351836453244e-05,4.56419711240091e-05
"Pre-consumer processes","PVC","Fresh water",0,0
"Pre-consumer processes","PVC","Fresh water (MP)",9.26066253589674e-07,5.575692227306e-07
"Pre-consumer processes","PVC","Subsurface soil (MP)",0,0
"Pre-consumer processes","PVC","Coastal and ocean water",0,0
"Pre-consumer processes","PVC","Coastal and ocean water (MP)",9.22834659064935e-09,5.97638357633271e-08
"Pre-consumer processes","PET","Soil",0,0
"Pre-consumer processes","PET","Soil (MP)",3.78458437169724e-05,2.98453563164659e-05
"Pre-consumer processes","PET","Fresh water",0,0
"Pre-consumer processes","PET","Fresh water (MP)",1.70868084616401e-06,1.50956018045597e-06
"Pre-consumer processes","PET","Subsurface soil (MP)",4.32222099804584e-06,4.98661450397824e-06
"Pre-consumer processes","PET","Coastal and ocean water",0,0
"Pre-consumer processes","PET","Coastal and ocean water (MP)",1.11390285596329e-07,5.90690950490564e-07
"ConsumerFilms","LDPE","Soil",0.0030282871843956,0.00216818070214931
"ConsumerFilms","LDPE","Soil (MP)",0.000124360841635993,7.96224714252675e-05
"ConsumerFilms","LDPE","Fresh water",4.79759889831989e-05,3.80993404940753e-05
"ConsumerFilms","LDPE","Fresh water (MP)",0,0
"ConsumerFilms","LDPE","Subsurface soil (MP)",0,0
"ConsumerFilms","LDPE","Coastal and ocean water",1.10419517815631e-05,9.28348638480138e-06
"ConsumerFilms","LDPE","Coastal and ocean water (MP)",0,0
"ConsumerFilms","HDPE","Soil",0.00734688046724373,0.00586611352343458
"ConsumerFilms","HDPE","Soil (MP)",0.000124280546224859,7.80721986661485e-05
"ConsumerFilms","HDPE","Fresh water",0.000122812522531408,0.000107099114957156
"ConsumerFilms","HDPE","Fresh water (MP)",0,0
"ConsumerFilms","HDPE","Subsurface soil (MP)",0,0
"ConsumerFilms","HDPE","Coastal and ocean water",3.02259910044593e-05,2.61519843695819e-05
"ConsumerFilms","HDPE","Coastal and ocean water (MP)",0,0
"ConsumerFilms","PP","Soil",0.00510150494083244,0.00396475240382448
"ConsumerFilms","PP","Soil (MP)",0.000122923323405108,7.77036539506193e-05
"ConsumerFilms","PP","Fresh water",8.25996810300644e-05,7.0738036941966e-05
"ConsumerFilms","PP","Fresh water (MP)",0,0
"ConsumerFilms","PP","Subsurface soil (MP)",0,0
"ConsumerFilms","PP","Coastal and ocean water",1.99612024087668e-05,1.70661472549701e-05
"ConsumerFilms","PP","Coastal and ocean water (MP)",0,0
"ConsumerFilms","PS","Soil",0.00542044957911493,0.00422156407789216
"ConsumerFilms","PS","Soil (MP)",0.000125110992698364,7.94276311030973e-05
"ConsumerFilms","PS","Fresh water",8.68825811262067e-05,7.37233046261025e-05
"ConsumerFilms","PS","Fresh water (MP)",0,0
"ConsumerFilms","PS","Subsurface soil (MP)",0,0
"ConsumerFilms","PS","Coastal and ocean water",2.10910351337195e-05,1.81332660001107e-05
"ConsumerFilms","PS","Coastal and ocean water (MP)",0,0
"ConsumerFilms","EPS","Soil",NA,NA
"ConsumerFilms","EPS","Soil (MP)",NA,NA
"ConsumerFilms","EPS","Fresh water",NA,NA
"ConsumerFilms","EPS","Fresh water (MP)",NA,NA
"ConsumerFilms","EPS","Subsurface soil (MP)",NA,NA
"ConsumerFilms","EPS","Coastal and ocean water",NA,NA
"ConsumerFilms","EPS","Coastal and ocean water (MP)",NA,NA
"ConsumerFilms","PVC","Soil",0.00537830647262026,0.00422297605155768
"ConsumerFilms","PVC","Soil (MP)",0.000124718182789191,7.90088299212902e-05
"ConsumerFilms","PVC","Fresh water",8.7645239228669e-05,7.67779853527929e-05
"ConsumerFilms","PVC","Fresh water (MP)",0,0
"ConsumerFilms","PVC","Subsurface soil (MP)",0,0
"ConsumerFilms","PVC","Coastal and ocean water",2.09351211571762e-05,1.79262497773633e-05
"ConsumerFilms","PVC","Coastal and ocean water (MP)",0,0
"ConsumerFilms","PET","Soil",0.00538652857765649,0.00414927288629635
"ConsumerFilms","PET","Soil (MP)",0.000124627536166625,8.01313867698995e-05
"ConsumerFilms","PET","Fresh water",8.68815204418601e-05,7.36490101082808e-05
"ConsumerFilms","PET","Fresh water (MP)",0,0
"ConsumerFilms","PET","Subsurface soil (MP)",0,0
"ConsumerFilms","PET","Coastal and ocean water",2.11602307637332e-05,1.80694170175297e-05
"ConsumerFilms","PET","Coastal and ocean water (MP)",0,0
"ConsumerBags","LDPE","Soil",0.00393034011070521,0.00295515975426739
"ConsumerBags","LDPE","Soil (MP)",0.000124604891327094,7.98085979950077e-05
"ConsumerBags","LDPE","Fresh water",6.2978588256214e-05,5.24284250776409e-05
"ConsumerBags","LDPE","Fresh water (MP)",0,0
"ConsumerBags","LDPE","Subsurface soil (MP)",0,0
"ConsumerBags","LDPE","Coastal and ocean water",1.48732953516741e-05,1.291022103868e-05
"ConsumerBags","LDPE","Coastal and ocean water (MP)",0,0
"ConsumerBags","HDPE","Soil",0.00627595137099186,0.00500317944889932
"ConsumerBags","HDPE","Soil (MP)",0.000124086384272431,7.8070349920534e-05
"ConsumerBags","HDPE","Fresh water",0.000104584983280042,9.11069239558207e-05
"ConsumerBags","HDPE","Fresh water (MP)",0,0
"ConsumerBags","HDPE","Subsurface soil (MP)",0,0
"ConsumerBags","HDPE","Coastal and ocean water",2.54916953524688e-05,2.18142678400498e-05
"ConsumerBags","HDPE","Coastal and ocean water (MP)",0,0
"ConsumerBags","PP","Soil",NA,NA
"ConsumerBags","PP","Soil (MP)",NA,NA
"ConsumerBags","PP","Fresh water",NA,NA
"ConsumerBags","PP","Fresh water (MP)",NA,NA
"ConsumerBags","PP","Subsurface soil (MP)",NA,NA
"ConsumerBags","PP","Coastal and ocean water",NA,NA
"ConsumerBags","PP","Coastal and ocean water (MP)",NA,NA
"ConsumerBags","PS","Soil",NA,NA
"ConsumerBags","PS","Soil (MP)",NA,NA
"ConsumerBags","PS","Fresh water",NA,NA
"ConsumerBags","PS","Fresh water (MP)",NA,NA
"ConsumerBags","PS","Subsurface soil (MP)",NA,NA
"ConsumerBags","PS","Coastal and ocean water",NA,NA
"ConsumerBags","PS","Coastal and ocean water (MP)",NA,NA
"ConsumerBags","EPS","Soil",NA,NA
"ConsumerBags","EPS","Soil (MP)",NA,NA
"ConsumerBags","EPS","Fresh water",NA,NA
"ConsumerBags","EPS","Fresh water (MP)",NA,NA
"ConsumerBags","EPS","Subsurface soil (MP)",NA,NA
"ConsumerBags","EPS","Coastal and ocean water",NA,NA
"ConsumerBags","EPS","Coastal and ocean water (MP)",NA,NA
"ConsumerBags","PVC","Soil",NA,NA
"ConsumerBags","PVC","Soil (MP)",NA,NA
"ConsumerBags","PVC","Fresh water",NA,NA
"ConsumerBags","PVC","Fresh water (MP)",NA,NA
"ConsumerBags","PVC","Subsurface soil (MP)",NA,NA
"ConsumerBags","PVC","Coastal and ocean water",NA,NA
"ConsumerBags","PVC","Coastal and ocean water (MP)",NA,NA
"ConsumerBags","PET","Soil",NA,NA
"ConsumerBags","PET","Soil (MP)",NA,NA
"ConsumerBags","PET","Fresh water",NA,NA
"ConsumerBags","PET","Fresh water (MP)",NA,NA
"ConsumerBags","PET","Subsurface soil (MP)",NA,NA
"ConsumerBags","PET","Coastal and ocean water",NA,NA
"ConsumerBags","PET","Coastal and ocean water (MP)",NA,NA
"ConsumerBottles","LDPE","Soil",NA,NA
"ConsumerBottles","LDPE","Soil (MP)",NA,NA
"ConsumerBottles","LDPE","Fresh water",NA,NA
"ConsumerBottles","LDPE","Fresh water (MP)",NA,NA
"ConsumerBottles","LDPE","Subsurface soil (MP)",NA,NA
"ConsumerBottles","LDPE","Coastal and ocean water",NA,NA
"ConsumerBottles","LDPE","Coastal and ocean water (MP)",NA,NA
"ConsumerBottles","HDPE","Soil",0.000425591900756658,0.000228664300115198
"ConsumerBottles","HDPE","Soil (MP)",2.51965089299357e-05,1.59943189297815e-05
"ConsumerBottles","HDPE","Fresh water",7.30947426181709e-06,4.74746781564271e-06
"ConsumerBottles","HDPE","Fresh water (MP)",0,0
"ConsumerBottles","HDPE","Subsurface soil (MP)",0,0
"ConsumerBottles","HDPE","Coastal and ocean water",6.56312693755009e-07,3.8950815885869e-07
"ConsumerBottles","HDPE","Coastal and ocean water (MP)",0,0
"ConsumerBottles","PP","Soil",0.000423831682034206,0.000227234987467376
"ConsumerBottles","PP","Soil (MP)",2.50227188058697e-05,1.60322113965937e-05
"ConsumerBottles","PP","Fresh water",7.27426194766557e-06,4.69605829455423e-06
"ConsumerBottles","PP","Fresh water (MP)",0,0
"ConsumerBottles","PP","Subsurface soil (MP)",0,0
"ConsumerBottles","PP","Coastal and ocean water",6.53840022913134e-07,3.84439625662575e-07
"ConsumerBottles","PP","Coastal and ocean water (MP)",0,0
"ConsumerBottles","PS","Soil",NA,NA
"ConsumerBottles","PS","Soil (MP)",NA,NA
