dest,pol,prod,mean,sd,mean_percap,sd_percap
Incineration,LDPE,Pre-consumer processes,1.898040492523125e-5,1.6875409318815418e-5,0.002132374840269798,0.0018958867522821336
Landfill,LDPE,Pre-consumer processes,5.027654151750774e-8,4.72848415891302e-8,5.648374342382859e-6,5.312268464661101e-6
Sludge amended soil,LDPE,Pre-consumer processes,0,0,0,0
Sludge amended soil (MP),LDPE,Pre-consumer processes,7.799774911281486e-6,7.164887564808308e-6,8.76274444412655e-4,8.049473147039846e-4
Release,LDPE,Pre-consumer processes,0.0034106914184320537,0.0031311061608099142,0.38317794574132413,0.3517676269724512
Incineration,HDPE,Pre-consumer processes,1.0018425419633473e-4,6.196441824271599e-5,0.011255312195972833,0.006961461937889222
Landfill,HDPE,Pre-consumer processes,2.669022485706623e-7,1.7805104011632314e-7,2.9985431918101282e-5,2.000334343358537e-5
Sludge amended soil,HDPE,Pre-consumer processes,0,0,0,0
Sludge amended soil (MP),HDPE,Pre-consumer processes,4.115835663952281e-5,2.6666637916126405e-5,0.004623981654274457,0.0029958932905241897
Release,HDPE,Pre-consumer processes,0.004701283101059522,0.004254816041545716,0.5281709131694281,0.4780120715395054
Incineration,PP,Pre-consumer processes,0.0010952211993250276,8.178949958285905e-4,0.1230438517603095,0.09188732895624506
Landfill,PP,Pre-consumer processes,2.917127372638029e-6,2.2899471757686333e-6,3.2772794046172785e-4,2.572666791036031e-4
Sludge amended soil,PP,Pre-consumer processes,0,0,0,0
Sludge amended soil (MP),PP,Pre-consumer processes,4.5262635385441644e-4,3.442415172145768e-4,0.05085081444807233,0.038674198636767104
Release,PP,Pre-consumer processes,0.007100550198512437,0.005940558301349064,0.7977192612605006,0.6673986729394445
Incineration,PS,Pre-consumer processes,9.376321732942464e-6,8.595903760642998e-6,0.0010533933620680027,9.657164312764179e-4
Landfill,PS,Pre-consumer processes,2.5033509928767286e-8,2.399683057674708e-8,2.8124176984647322e-6,2.695950796078658e-6
Sludge amended soil,PS,Pre-consumer processes,0,0,0,0
Sludge amended soil (MP),PS,Pre-consumer processes,3.855086781906088e-6,3.6098680261218993e-6,4.3310404036035337e-4,4.055546647144543e-4
Release,PS,Pre-consumer processes,0.001698585660953422,0.0015450989493345692,0.19082950768058987,0.17358587123231214
Incineration,EPS,Pre-consumer processes,9.221941482661177e-6,8.22331725264845e-6,0.0010360493400183592,9.238577829176884e-4
Landfill,EPS,Pre-consumer processes,2.476530571435381e-8,2.309330659741943e-8,2.7822859957364436e-6,2.594443383107843e-6
Sludge amended soil,EPS,Pre-consumer processes,0,0,0,0
Sludge amended soil (MP),EPS,Pre-consumer processes,3.8022286577417453e-6,3.4746500534786494e-6,4.271656352253782e-4,3.9036345019861105e-4
Release,EPS,Pre-consumer processes,0.0017001234595336906,0.001563024935535053,0.19100227338368655,0.17559978622050723
Incineration,PVC,Pre-consumer processes,2.2364467315282812e-5,2.026460353992878e-5,0.002512561118005984,0.0022766495713241446
Landfill,PVC,Pre-consumer processes,5.937302345051087e-8,5.564830189911996e-8,6.670328788840398e-6,6.251870776248767e-6
Sludge amended soil,PVC,Pre-consumer processes,0,0,0,0
Sludge amended soil (MP),PVC,Pre-consumer processes,9.141246876727765e-6,8.444649060712545e-6,0.0010269836141755372,9.487235526800553e-4
Release,PVC,Pre-consumer processes,0.00404451372957116,0.0037052486779031234,0.45438542286305994,0.41627031081937205
Incineration,PET,Pre-consumer processes,0.0021811831800917646,0.00165021852692975,0.24504746624580662,0.18539564786072205
