dest,pol,prod,mean,sd,mean_percap,sd_percap
Incineration,LDPE,Pre-consumer processes,0.004488618357114301,0.00310508900897787,0.3895545003588043,0.26948189871050493
Landfill,LDPE,Pre-consumer processes,0,0,0,0
Sludge amended soil,LDPE,Pre-consumer processes,0,0,0,0
Sludge amended soil (MP),LDPE,Pre-consumer processes,0.0014540428032835098,0.0010609603707293297,0.12619226511776235,0.09207775182420821
Release,LDPE,Pre-consumer processes,0.09136066635132979,0.0379625585363219,7.928934006280769,3.294663156095575
Incineration,HDPE,Pre-consumer processes,0.007651146242702335,0.004792470753002709,0.6640213568221952,0.415924990974369
Landfill,HDPE,Pre-consumer processes,0,0,0,0
Sludge amended soil,HDPE,Pre-consumer processes,0,0,0,0
Sludge amended soil (MP),HDPE,Pre-consumer processes,0.0024629731394780517,0.0016399305601458578,0.21375447730498504,0.14232493813340383
Release,HDPE,Pre-consumer processes,0.13724536530560294,0.057317872715955495,11.91113733771692,4.974456166919116
Incineration,PP,Pre-consumer processes,0.05107055507108877,0.026960243481243425,4.432269126251799,2.3398033299581877
Landfill,PP,Pre-consumer processes,0,0,0,0
Sludge amended soil,PP,Pre-consumer processes,0,0,0,0
Sludge amended soil (MP),PP,Pre-consumer processes,0.01644387935842368,0.00939043634147707,1.4271178117155465,0.8149694284784361
Release,PP,Pre-consumer processes,0.29969536026711247,0.11450982320861995,26.009713243645656,9.937983899991664
Incineration,PS,Pre-consumer processes,0.003158748889149027,0.0021999113935910566,0.27413888804359376,0.1909240919103121
Landfill,PS,Pre-consumer processes,0,0,0,0
Sludge amended soil,PS,Pre-consumer processes,0,0,0,0
Sludge amended soil (MP),PS,Pre-consumer processes,0.0010196688163660163,7.545864803558068e-4,0.08849417452952815,0.0654884278291583
Release,PS,Pre-consumer processes,0.06368692115952354,0.026372133530095425,5.52720787953971,2.2887629295613974
Incineration,EPS,Pre-consumer processes,7.154031450484418e-4,4.90021236900091e-4,0.062087816907568344,0.04252755813005674
Landfill,EPS,Pre-consumer processes,0,0,0,0
Sludge amended soil,EPS,Pre-consumer processes,0,0,0,0
Sludge amended soil (MP),EPS,Pre-consumer processes,2.3019506341211466e-4,1.6800053604183206e-4,0.019977978918711198,0.014580291677963353
Release,EPS,Pre-consumer processes,0.014236176136916042,0.005849839785258378,1.2355174890835658,0.5076910606831868
Incineration,PVC,Pre-consumer processes,4.080568074862658e-5,3.6945281890029595e-5,0.003541409696958854,0.0032063765912453955
Landfill,PVC,Pre-consumer processes,0,0,0,0
Sludge amended soil,PVC,Pre-consumer processes,0,0,0,0
Sludge amended soil (MP),PVC,Pre-consumer processes,1.3086564482204482e-5,1.2283189119402517e-5,0.0011357459428909574,0.0010660232658536316
Release,PVC,Pre-consumer processes,0.005481975453048536,0.005030421258588229,0.4757651550408191,0.43657604279894097
Incineration,PET,Pre-consumer processes,0.003936510767656851,0.002958142348164547,0.3416386431742626,0.25672881335589914
Landfill,PET,Pre-consumer processes,0,0,0,0
Sludge amended soil,PET,Pre-consumer processes,0,0,0,0
Sludge amended soil (MP),PET,Pre-consumer processes,0.00127041608889288,9.98857750492812e-4,0.11025582158751791,0.0866880409438289
Release,PET,Pre-consumer processes,0.004890163552901393,0.0037934733111359667,0.4244034729537662,0.3292248266110274
Incineration,LDPE,ConsumerFilms,0,0,0,0
Landfill,LDPE,ConsumerFilms,0,0,0,0
Sludge amended soil,LDPE,ConsumerFilms,2.3197891287502889e-4,3.6102708883336805e-4,0.020132794171636294,0.03133252061484963
Sludge amended soil (MP),LDPE,ConsumerFilms,0,0,0,0
Release,LDPE,ConsumerFilms,0.06875410028521307,0.05826546486452786,5.966974033730102,5.056695011171928
Incineration,HDPE,ConsumerFilms,0,0,0,0
Landfill,HDPE,ConsumerFilms,0,0,0,0
Sludge amended soil,HDPE,ConsumerFilms,3.157271983030493e-4,5.246647866556897e-4,0.027401071153596745,0.045534173895085565
Sludge amended soil (MP),HDPE,ConsumerFilms,0,0,0,0
Release,HDPE,ConsumerFilms,0.07622575274171094,0.07180662739578769,6.615417632177815,6.231894233841764
Incineration,PP,ConsumerFilms,0,0,0,0
Landfill,PP,ConsumerFilms,0,0,0,0
Sludge amended soil,PP,ConsumerFilms,6.882441720014687e-4,0.0010919820118806295,0.059730766400299645,0.09477003237861334
Sludge amended soil (MP),PP,ConsumerFilms,0,0,0,0
Release,PP,ConsumerFilms,0.17975949119647613,0.1601079643077198,15.600818159736667,13.89531768511876
Incineration,PS,ConsumerFilms,0,0,0,0
Landfill,PS,ConsumerFilms,0,0,0,0
Sludge amended soil,PS,ConsumerFilms,3.190049613381969e-5,5.042925586616443e-5,0.0027685538942984035,0.004376612580856523
Sludge amended soil (MP),PS,ConsumerFilms,0,0,0,0
Release,PS,ConsumerFilms,0.00846967681738827,0.007766071155316989,0.735059311863483,0.6739953651585071
Incineration,EPS,ConsumerFilms,0,0,0,0
Landfill,EPS,ConsumerFilms,0,0,0,0
Sludge amended soil,EPS,ConsumerFilms,0,0,0,0
Sludge amended soil (MP),EPS,ConsumerFilms,0,0,0,0
Release,EPS,ConsumerFilms,0,0,0,0
Incineration,PVC,ConsumerFilms,0,0,0,0
Landfill,PVC,ConsumerFilms,0,0,0,0
Sludge amended soil,PVC,ConsumerFilms,6.848924911009151e-5,1.0622463428749485e-4,0.005943988348829893,0.009218935771199055
Sludge amended soil (MP),PVC,ConsumerFilms,0,0,0,0
Release,PVC,ConsumerFilms,0.018587668169195926,0.016879243152930174,1.6131711832906857,1.4649018049067883
