dest,pol,prod,mean,sd,mean_percap,sd_percap
Incineration,LDPE,Pre-consumer processes,0,0,0,0
Landfill,LDPE,Pre-consumer processes,1.588246796997151e-5,1.176001334521131e-5,0.0024176896187131014,0.001790153912754651
Sludge amended soil,LDPE,Pre-consumer processes,0,0,0,0
Sludge amended soil (MP),LDPE,Pre-consumer processes,1.9695715587265237e-4,1.3206594979428568e-4,0.029981566591846497,0.020103580653007474
Release,LDPE,Pre-consumer processes,0.004088356361033998,0.0017681052585785543,0.6223451387000846,0.269147700252852
Incineration,HDPE,Pre-consumer processes,0,0,0,0
Landfill,HDPE,Pre-consumer processes,3.929379637400457e-5,2.7058386197418115e-5,0.005981450978076662,0.0041189303534131414
Sludge amended soil,HDPE,Pre-consumer processes,0,0,0,0
Sludge amended soil (MP),HDPE,Pre-consumer processes,4.8487070279825084e-4,3.022362982773175e-4,0.07380886061220619,0.04600755764940842
Release,HDPE,Pre-consumer processes,0.008201386716558633,0.0034236096998724484,1.248446246588647,0.5211548762797186
Incineration,PP,Pre-consumer processes,0,0,0,0
Landfill,PP,Pre-consumer processes,2.2611282995032496e-4,1.3403212908087627e-4,0.0344197540748903,0.02040287993437271
Sludge amended soil,PP,Pre-consumer processes,0,0,0,0
Sludge amended soil (MP),PP,Pre-consumer processes,0.00277435729646758,0.0014574315610344603,0.4223232086444212,0.22185576962974762
Release,PP,Pre-consumer processes,0.015604232358054275,0.005723571348845953,2.375335536730351,0.8712637770295738
Incineration,PS,Pre-consumer processes,0,0,0,0
Landfill,PS,Pre-consumer processes,5.689715893467144e-7,5.33385431304944e-7,8.661101709803813e-5,8.119395691380616e-5
Sludge amended soil,PS,Pre-consumer processes,0,0,0,0
Sludge amended soil (MP),PS,Pre-consumer processes,7.045900638812016e-6,6.3205190899211746e-6,0.0010725537656456788,9.621334302371531e-4
Release,PS,Pre-consumer processes,8.780711741139317e-4,8.006139918472441e-4,0.13366333029351515,0.121872503715744
Incineration,EPS,Pre-consumer processes,0,0,0,0
Landfill,EPS,Pre-consumer processes,5.579989292063477e-7,5.32116529700187e-7,8.494071708161826e-5,8.100079989042732e-5
Sludge amended soil,EPS,Pre-consumer processes,0,0,0,0
Sludge amended soil (MP),EPS,Pre-consumer processes,6.886174893359069e-6,6.1476560895339415e-6,0.0010482397058060545,9.358195675373525e-4
Release,EPS,Pre-consumer processes,8.535608282315622e-4,7.854106428129154e-4,0.1299322723179593,0.11955819216167923
Incineration,PVC,Pre-consumer processes,0,0,0,0
Landfill,PVC,Pre-consumer processes,6.023765229690561e-6,4.052908929077802e-6,9.169604301373532e-4,6.169491959276787e-4
Sludge amended soil,PVC,Pre-consumer processes,0,0,0,0
