dest,pol,prod,mean,sd,mean_percap,sd_percap
Incineration,LDPE,Pre-consumer processes,4.228154786126305e-5,3.75155241643843e-5,0.0049130125182256495,0.0043592122136162275
Landfill,LDPE,Pre-consumer processes,0,0,0,0
Sludge amended soil,LDPE,Pre-consumer processes,0,0,0,0
Sludge amended soil (MP),LDPE,Pre-consumer processes,0,0,0,0
Release,LDPE,Pre-consumer processes,0.004326749482607084,0.003996468598612507,0.5027577145715202,0.464379883113684
Incineration,HDPE,Pre-consumer processes,2.226749778692069e-4,1.353481245679561e-4,0.025874288173099835,0.01572712126109162
Landfill,HDPE,Pre-consumer processes,0,0,0,0
Sludge amended soil,HDPE,Pre-consumer processes,0,0,0,0
Sludge amended soil (MP),HDPE,Pre-consumer processes,0,0,0,0
Release,HDPE,Pre-consumer processes,0.005927695519361347,0.005383608228759147,0.6887837310595192,0.6255621177328912
Incineration,PP,Pre-consumer processes,0.0024354771035007376,0.0017744566053844084,0.2829964867088864,0.2061875204736501
Landfill,PP,Pre-consumer processes,0,0,0,0
Sludge amended soil,PP,Pre-consumer processes,0,0,0,0
Sludge amended soil (MP),PP,Pre-consumer processes,0,0,0,0
Release,PP,Pre-consumer processes,0.008303250192229187,0.007377714411349104,0.9648173777894168,0.8572723822171149
Incineration,PS,Pre-consumer processes,2.089741871438377e-5,1.880432339136071e-5,0.0024282289777861382,0.0021850164171297866
Landfill,PS,Pre-consumer processes,0,0,0,0
Sludge amended soil,PS,Pre-consumer processes,0,0,0,0
Sludge amended soil (MP),PS,Pre-consumer processes,0,0,0,0
Release,PS,Pre-consumer processes,0.002129919929426765,0.001967142344580836,0.2474914899148963,0.2285771324117437
Incineration,EPS,Pre-consumer processes,2.0660394124748895e-5,1.8806600982899784e-5,0.002400687299798745,0.0021852810676998083
Landfill,EPS,Pre-consumer processes,0,0,0,0
Sludge amended soil,EPS,Pre-consumer processes,0,0,0,0
Sludge amended soil (MP),EPS,Pre-consumer processes,0,0,0,0
Release,EPS,Pre-consumer processes,0.0021134537771797515,0.0019546830755380546,0.24557816326985402,0.22712939580153302
Incineration,PVC,Pre-consumer processes,5.064802001913087e-5,4.5320842200845095e-5,0.0058851761338971015,0.00526617109193575
Landfill,PVC,Pre-consumer processes,0,0,0,0
Sludge amended soil,PVC,Pre-consumer processes,0,0,0,0
Sludge amended soil (MP),PVC,Pre-consumer processes,0,0,0,0
