dest,pol,prod,mean,sd,mean_percap,sd_percap
Incineration,LDPE,Pre-consumer processes,1.394544057260601e-7,1.0263204917509608e-7,1.5453227425765365e-4,1.1372866915302598e-4
Landfill,LDPE,Pre-consumer processes,0,0,0,0
Sludge amended soil,LDPE,Pre-consumer processes,0,0,0,0
Sludge amended soil (MP),LDPE,Pre-consumer processes,4.833328280206436e-7,3.521257529863698e-7,5.355909750469496e-4,3.9019773631650777e-4
Release,LDPE,Pre-consumer processes,2.1257007032349362e-4,1.964526551472674e-4,0.2355532350173738,0.2176931981876329
Incineration,HDPE,Pre-consumer processes,5.364706107094242e-7,3.678372290340539e-7,5.944740369706916e-4,4.076079437097588e-4
Landfill,HDPE,Pre-consumer processes,0,0,0,0
Sludge amended soil,HDPE,Pre-consumer processes,0,0,0,0
Sludge amended soil (MP),HDPE,Pre-consumer processes,1.8596347355657668e-6,1.2622310181755758e-6,0.0020606992190696075,0.001398703962500735
Release,HDPE,Pre-consumer processes,3.0023379305766946e-4,2.703081531883652e-4,0.33269519602945985,0.2995339834916267
Incineration,PP,Pre-consumer processes,5.453258781018337e-6,4.310189324444805e-6,0.0060428673956824715,0.004776208792541912
Landfill,PP,Pre-consumer processes,0,0,0,0
Sludge amended soil,PP,Pre-consumer processes,0,0,0,0
Sludge amended soil (MP),PP,Pre-consumer processes,1.885093082139489e-5,1.4643927490393973e-5,0.020889101326968536,0.016227235040533906
Release,PP,Pre-consumer processes,5.101071152921864e-4,3.690261930313157e-4,0.5652601094293139,0.4089254589904754
Incineration,PS,Pre-consumer processes,4.8259161033954153e-8,4.6782832498283445e-8,5.347696166009088e-5,5.184101186717564e-5
Landfill,PS,Pre-consumer processes,0,0,0,0
Sludge amended soil,PS,Pre-consumer processes,0,0,0,0
Sludge amended soil (MP),PS,Pre-consumer processes,1.6584719144198136e-7,1.5878414232204083e-7,1.8377865897702906e-4,1.759519500393281e-4
Release,PS,Pre-consumer processes,1.0498442437397751e-4,9.679646247151494e-5,0.11633538413989081,0.10726213638027472
Incineration,EPS,Pre-consumer processes,4.830145545958166e-8,4.6107262052833304e-8,5.352382897666372e-5,5.1092398463295506e-5
Landfill,EPS,Pre-consumer processes,0,0,0,0
Sludge amended soil,EPS,Pre-consumer processes,0,0,0,0
Sludge amended soil (MP),EPS,Pre-consumer processes,1.6884898896473452e-7,1.5976496022673882e-7,1.8710501210038075e-4,1.770388143851082e-4
Release,EPS,Pre-consumer processes,1.0563222288937241e-4,9.5327972591591e-5,0.11705322290105086,0.10563487276183611
Incineration,PVC,Pre-consumer processes,1.1556708634703905e-7,1.099371960142183e-7,1.2806224794087852e-4,1.2182365151631686e-4
Landfill,PVC,Pre-consumer processes,0,0,0,0
Sludge amended soil,PVC,Pre-consumer processes,0,0,0,0
Sludge amended soil (MP),PVC,Pre-consumer processes,3.9996273726868093e-7,3.728644705524827e-7,4.432068752984234e-4,4.131787326786736e-4
Release,PVC,Pre-consumer processes,2.509694852802152e-4,2.2785774690502167e-4,0.2781044107405848,0.25249382156936634
Incineration,PET,Pre-consumer processes,1.0770235032334912e-5,8.713246026213948e-6,0.011934717337690734,0.009655325821991478
Landfill,PET,Pre-consumer processes,0,0,0,0
Sludge amended soil,PET,Pre-consumer processes,0,0,0,0
Sludge amended soil (MP),PET,Pre-consumer processes,3.7118417600565374e-5,2.966119719588274e-5,0.041131676398437296,0.032868178212228046
Release,PET,Pre-consumer processes,4.1157256974459945e-4,2.3836863413143424e-4,0.4560719677056028,0.26414115030815083
Incineration,LDPE,ConsumerFilms,0,0,0,0
Landfill,LDPE,ConsumerFilms,0,0,0,0
Sludge amended soil,LDPE,ConsumerFilms,0,0,0,0
Sludge amended soil (MP),LDPE,ConsumerFilms,0,0,0,0
Release,LDPE,ConsumerFilms,0.003036557055971729,0.0024765915469342255,3.3648708718045732,2.7443616582958055
Incineration,HDPE,ConsumerFilms,0,0,0,0
Landfill,HDPE,ConsumerFilms,0,0,0,0
Sludge amended soil,HDPE,ConsumerFilms,0,0,0,0
Sludge amended soil (MP),HDPE,ConsumerFilms,0,0,0,0
Release,HDPE,ConsumerFilms,0.0034893626794368668,0.0030683222323432575,3.8666340282026255,3.40007051229876
Incineration,PP,ConsumerFilms,0,0,0,0
Landfill,PP,ConsumerFilms,0,0,0,0
Sludge amended soil,PP,ConsumerFilms,0,0,0,0
Sludge amended soil (MP),PP,ConsumerFilms,0,0,0,0
Release,PP,ConsumerFilms,0.008187869499806214,0.006989392326846191,9.073145366345956,7.745088341405465
Incineration,PS,ConsumerFilms,0,0,0,0
Landfill,PS,ConsumerFilms,0,0,0,0
Sludge amended soil,PS,ConsumerFilms,0,0,0,0
Sludge amended soil (MP),PS,ConsumerFilms,0,0,0,0
Release,PS,ConsumerFilms,3.85877674369157e-4,3.329840108561677e-4,0.4275989295214992,0.3689863810406888
Incineration,EPS,ConsumerFilms,0,0,0,0
Landfill,EPS,ConsumerFilms,0,0,0,0
Sludge amended soil,EPS,ConsumerFilms,0,0,0,0
Sludge amended soil (MP),EPS,ConsumerFilms,0,0,0,0
Release,EPS,ConsumerFilms,0,0,0,0
Incineration,PVC,ConsumerFilms,0,0,0,0
Landfill,PVC,ConsumerFilms,0,0,0,0
Sludge amended soil,PVC,ConsumerFilms,0,0,0,0
Sludge amended soil (MP),PVC,ConsumerFilms,0,0,0,0
Release,PVC,ConsumerFilms,8.344532569161295e-4,7.156185196992666e-4,0.9246746912124162,0.7929914926263081
Incineration,PET,ConsumerFilms,0,0,0,0
Landfill,PET,ConsumerFilms,0,0,0,0
Sludge amended soil,PET,ConsumerFilms,0,0,0,0
Sludge amended soil (MP),PET,ConsumerFilms,0,0,0,0
Release,PET,ConsumerFilms,9.362535857951998e-4,8.056611431837624e-4,1.0374817141239918,0.8927695621303863
Incineration,LDPE,ConsumerBags,0,0,0,0
Landfill,LDPE,ConsumerBags,0,0,0,0
Sludge amended soil,LDPE,ConsumerBags,0,0,0,0
Sludge amended soil (MP),LDPE,ConsumerBags,0,0,0,0
Release,LDPE,ConsumerBags,3.246627702478453e-4,2.685913250909365e-4,0.35976544442592745,0.29763153122399266
Incineration,HDPE,ConsumerBags,0,0,0,0
Landfill,HDPE,ConsumerBags,0,0,0,0
Sludge amended soil,HDPE,ConsumerBags,0,0,0,0
Sludge amended soil (MP),HDPE,ConsumerBags,0,0,0,0
Release,HDPE,ConsumerBags,7.493945498751967e-4,6.560693810357664e-4,0.8304194012772159,0.7270038762448531
Incineration,PP,ConsumerBags,0,0,0,0
Landfill,PP,ConsumerBags,0,0,0,0
Sludge amended soil,PP,ConsumerBags,0,0,0,0
Sludge amended soil (MP),PP,ConsumerBags,0,0,0,0
Release,PP,ConsumerBags,0,0,0,0
Incineration,PS,ConsumerBags,0,0,0,0
Landfill,PS,ConsumerBags,0,0,0,0
Sludge amended soil,PS,ConsumerBags,0,0,0,0
Sludge amended soil (MP),PS,ConsumerBags,0,0,0,0
Release,PS,ConsumerBags,0,0,0,0
Incineration,EPS,ConsumerBags,0,0,0,0
Landfill,EPS,ConsumerBags,0,0,0,0
Sludge amended soil,EPS,ConsumerBags,0,0,0,0
Sludge amended soil (MP),EPS,ConsumerBags,0,0,0,0
Release,EPS,ConsumerBags,0,0,0,0
Incineration,PVC,ConsumerBags,0,0,0,0
Landfill,PVC,ConsumerBags,0,0,0,0
Sludge amended soil,PVC,ConsumerBags,0,0,0,0
Sludge amended soil (MP),PVC,ConsumerBags,0,0,0,0
Release,PVC,ConsumerBags,0,0,0,0
Incineration,PET,ConsumerBags,0,0,0,0
Landfill,PET,ConsumerBags,0,0,0,0
Sludge amended soil,PET,ConsumerBags,0,0,0,0
Sludge amended soil (MP),PET,ConsumerBags,0,0,0,0
Release,PET,ConsumerBags,0,0,0,0
Incineration,LDPE,ConsumerBottles,0,0,0,0
Landfill,LDPE,ConsumerBottles,0,0,0,0
Sludge amended soil,LDPE,ConsumerBottles,0,0,0,0
Sludge amended soil (MP),LDPE,ConsumerBottles,0,0,0,0
Release,LDPE,ConsumerBottles,0,0,0,0
Incineration,HDPE,ConsumerBottles,0,0,0,0
Landfill,HDPE,ConsumerBottles,0,0,0,0
Sludge amended soil,HDPE,ConsumerBottles,0,0,0,0
Sludge amended soil (MP),HDPE,ConsumerBottles,0,0,0,0
Release,HDPE,ConsumerBottles,9.243793688461407e-4,6.909218178874226e-4,1.024323651884127,0.7656245731103749
Incineration,PP,ConsumerBottles,0,0,0,0
