dest,pol,prod,mean,sd,mean_percap,sd_percap
Incineration,LDPE,Pre-consumer processes,2.1840881920041334e-5,1.6954019032488717e-5,0.0020423608101786755,0.0015853857996093598
Landfill,LDPE,Pre-consumer processes,1.6149167412307288e-5,1.2596808861084654e-5,0.0015101233897357453,0.0011779390981269534
Sludge amended soil,LDPE,Pre-consumer processes,0,0,0,0
Sludge amended soil (MP),LDPE,Pre-consumer processes,7.672603014782164e-5,5.764455917235386e-5,0.0071747211338891725,0.005390395360620054
Release,LDPE,Pre-consumer processes,0.00491869638312174,0.0028488137253512573,0.45995178980558427,0.2663951725693645
Incineration,HDPE,Pre-consumer processes,4.617991026608842e-4,3.088178512629342e-4,0.043183255735878445,0.028877839237995858
Landfill,HDPE,Pre-consumer processes,3.4146040739023236e-4,2.281084291629896e-4,0.031930274465772845,0.021330627485624296
Sludge amended soil,HDPE,Pre-consumer processes,0,0,0,0
Sludge amended soil (MP),HDPE,Pre-consumer processes,0.0016176479635715494,0.0010443628291847964,0.15126773806840954,0.09765932171343004
Release,HDPE,Pre-consumer processes,0.05939316776488292,0.024221728320685698,5.553909346675993,2.2649959309367387
Incineration,PP,Pre-consumer processes,9.944555968870179e-4,5.681180203327867e-4,0.09299245085342434,0.05312523480195527
Landfill,PP,Pre-consumer processes,7.309612636513624e-4,4.2222702749893575e-4,0.06835285516883557,0.03948283485616813
Sludge amended soil,PP,Pre-consumer processes,0,0,0,0
Sludge amended soil (MP),PP,Pre-consumer processes,0.0034671158566617574,0.0019103502199106827,0.3242131694094905,0.17863859331072326
Release,PP,Pre-consumer processes,0.04537849557090116,0.01608727004623287,4.2433845537085215,1.5043353105186845
Incineration,PS,Pre-consumer processes,1.583342835206075e-6,1.4820853690822204e-6,1.480598341926277e-4,1.3859115608217144e-4
Landfill,PS,Pre-consumer processes,1.1629540030288762e-6,1.1005167008635858e-6,1.08748890659361e-4,1.0291032152545343e-4
Sludge amended soil,PS,Pre-consumer processes,0,0,0,0
Sludge amended soil (MP),PS,Pre-consumer processes,5.562070236299372e-6,5.138531636112775e-6,5.201142662492625e-4,4.805087850335386e-4
Release,PS,Pre-consumer processes,0.0015250673454825301,0.0014024418234718677,0.14261043994009412,0.13114361541354103
Incineration,EPS,Pre-consumer processes,1.5807342561853837e-6,1.4864963115055295e-6,1.478159035866376e-4,1.3900362733558976e-4
Landfill,EPS,Pre-consumer processes,1.164376346419592e-6,1.099766427628682e-6,1.0888189528849864e-4,1.0284016279021994e-4
Sludge amended soil,EPS,Pre-consumer processes,0,0,0,0
Sludge amended soil (MP),EPS,Pre-consumer processes,5.529170273860702e-6,5.084589629927898e-6,5.17037760722284e-4,4.7546461878339674e-4
Release,EPS,Pre-consumer processes,0.0015092472119392886,0.0013924271549749247,0.14113108480787936,0.1302071346184904
Incineration,PVC,Pre-consumer processes,3.863067820621745e-6,3.6324909046366698e-6,3.612389990836627e-4,3.3967754114145124e-4
Landfill,PVC,Pre-consumer processes,2.850470020845839e-6,2.7001718681107174e-6,2.665500542733448e-4,2.5249553678122883e-4
Sludge amended soil,PVC,Pre-consumer processes,0,0,0,0
Sludge amended soil (MP),PVC,Pre-consumer processes,1.3558032907159415e-5,1.2582457608944096e-5,0.0012678240363218282,0.001176597099435867
Release,PVC,Pre-consumer processes,0.0036705929275560657,0.003374113250265644,0.34324049609372803,0.3155164107692819
Incineration,PET,Pre-consumer processes,3.582922215451841e-4,2.865227347202822e-4,0.033504232775704454,0.02679300253351756
Landfill,PET,Pre-consumer processes,2.627642687258589e-4,2.1181813834550322e-4,0.02457132668569167,0.01980730751741741
Sludge amended soil,PET,Pre-consumer processes,0,0,0,0
Sludge amended soil (MP),PET,Pre-consumer processes,0.001254257429312447,9.74287025712547e-4,0.11728675741580787,0.09110646934796869
Release,PET,Pre-consumer processes,0.004825185165543581,0.0029305679441554624,0.4512074704693547,0.27404008421550397
Incineration,LDPE,ConsumerFilms,0,0,0,0
Landfill,LDPE,ConsumerFilms,3.614924447215257e-5,5.9123603760161986e-5,0.003380348856689062,0.005528702170468898
Sludge amended soil,LDPE,ConsumerFilms,1.7101301777708918e-4,2.723180693496043e-4,0.015991583435915353,0.0254647113051238
Sludge amended soil (MP),LDPE,ConsumerFilms,0,0,0,0
Release,LDPE,ConsumerFilms,0.03961210679082753,0.03303040534803053,3.7041642738777107,3.0887033625337237
Incineration,HDPE,ConsumerFilms,0,0,0,0
Landfill,HDPE,ConsumerFilms,4.5905546875864006e-5,7.357751712975375e-5,0.004292669602460235,0.006880300806817184
Sludge amended soil,HDPE,ConsumerFilms,2.178237094815707e-4,3.4053217952139357e-4,0.02036889395774286,0.03184347503023849
Sludge amended soil (MP),HDPE,ConsumerFilms,0,0,0,0
Release,HDPE,ConsumerFilms,0.04558796211448659,0.04216636136438852,4.262971961452799,3.9430149512156856
Incineration,PP,ConsumerFilms,0,0,0,0
Landfill,PP,ConsumerFilms,1.0110478722567369e-4,1.568601324672882e-4,0.009454400967283776,0.014668134208292025
Sludge amended soil,PP,ConsumerFilms,4.785654475317524e-4,7.240560497035224e-4,0.04475109195327862,0.06770714230776166
Sludge amended soil (MP),PP,ConsumerFilms,0,0,0,0
Release,PP,ConsumerFilms,0.10850144232701336,0.09638442568030343,10.14606893933221,9.012995649246124
Incineration,PS,ConsumerFilms,0,0,0,0
Landfill,PS,ConsumerFilms,4.812241480419809e-6,7.966534242045235e-6,4.499970946551882e-4,7.449578908244413e-4
Sludge amended soil,PS,ConsumerFilms,2.2743672329572338e-5,3.6143602615631416e-5,0.0021267815656674624,0.003379821281534467
Sludge amended soil (MP),PS,ConsumerFilms,0,0,0,0
Release,PS,ConsumerFilms,0.005003085130637699,0.004499329074055191,0.4678430586370184,0.4207363698310969
Incineration,EPS,ConsumerFilms,0,0,0,0
Landfill,EPS,ConsumerFilms,0,0,0,0
Sludge amended soil,EPS,ConsumerFilms,0,0,0,0
Sludge amended soil (MP),EPS,ConsumerFilms,0,0,0,0
Release,EPS,ConsumerFilms,0,0,0,0
Incineration,PVC,ConsumerFilms,0,0,0,0
Landfill,PVC,ConsumerFilms,1.0740211097030219e-5,1.703030142252983e-5,0.0010043269460420729,0.0015925190355518047
Sludge amended soil,PVC,ConsumerFilms,5.131079723973768e-5,8.14857339263153e-5,0.004798119499254455,0.007619805380067653
Sludge amended soil (MP),PVC,ConsumerFilms,0,0,0,0
Release,PVC,ConsumerFilms,0.010772299187361502,0.009673579495347043,1.007327532667009,0.9045852510797978
Incineration,PET,ConsumerFilms,0,0,0,0
Landfill,PET,ConsumerFilms,1.2094257546459836e-5,1.9223363332310424e-5,0.001130945065841486,0.0017975942571124095
Sludge amended soil,PET,ConsumerFilms,5.7569694278608377e-5,9.085686032130565e-5,0.005383394676050459,0.008496107965578039
Sludge amended soil (MP),PET,ConsumerFilms,0,0,0,0
Release,PET,ConsumerFilms,0.012372001636561231,0.011105304874727613,1.1569171693013427,1.038467198543737
Incineration,LDPE,ConsumerBags,0,0,0,0
Landfill,LDPE,ConsumerBags,4.077175813407944e-6,6.8341476613377615e-6,3.812604329805831e-4,6.390673877359653e-4
Sludge amended soil,LDPE,ConsumerBags,1.930797947077048e-5,3.094712191092061e-5,0.001805506789478646,0.0028938936261858803
Sludge amended soil (MP),LDPE,ConsumerBags,0,0,0,0
Release,LDPE,ConsumerBags,0.0042520197862255,0.0036846523250470215,0.3976102525201892,0.344555203190052
Incineration,HDPE,ConsumerBags,0,0,0,0
Landfill,HDPE,ConsumerBags,9.798044238509157e-6,1.5688414002692594e-5,9.162240628555258e-4,0.0014670379177113874
Sludge amended soil,HDPE,ConsumerBags,4.652530779057864e-5,7.361592507492517e-5,0.004350624011468425,0.00688389236883857
Sludge amended soil (MP),HDPE,ConsumerBags,0,0,0,0
Release,HDPE,ConsumerBags,0.009774402198421545,0.008664673396522759,0.9140132741005484,0.8102415205961768
Incineration,PP,ConsumerBags,0,0,0,0
Landfill,PP,ConsumerBags,0,0,0,0
Sludge amended soil,PP,ConsumerBags,0,0,0,0
Sludge amended soil (MP),PP,ConsumerBags,0,0,0,0
Release,PP,ConsumerBags,0,0,0,0
Incineration,PS,ConsumerBags,0,0,0,0
Landfill,PS,ConsumerBags,0,0,0,0
Sludge amended soil,PS,ConsumerBags,0,0,0,0
Sludge amended soil (MP),PS,ConsumerBags,0,0,0,0
Release,PS,ConsumerBags,0,0,0,0
Incineration,EPS,ConsumerBags,0,0,0,0
Landfill,EPS,ConsumerBags,0,0,0,0
Sludge amended soil,EPS,ConsumerBags,0,0,0,0
Sludge amended soil (MP),EPS,ConsumerBags,0,0,0,0
Release,EPS,ConsumerBags,0,0,0,0
Incineration,PVC,ConsumerBags,0,0,0,0
Landfill,PVC,ConsumerBags,0,0,0,0
Sludge amended soil,PVC,ConsumerBags,0,0,0,0
Sludge amended soil (MP),PVC,ConsumerBags,0,0,0,0
Release,PVC,ConsumerBags,0,0,0,0
Incineration,PET,ConsumerBags,0,0,0,0
Landfill,PET,ConsumerBags,0,0,0,0
Sludge amended soil,PET,ConsumerBags,0,0,0,0
Sludge amended soil (MP),PET,ConsumerBags,0,0,0,0
Release,PET,ConsumerBags,0,0,0,0
Incineration,LDPE,ConsumerBottles,0,0,0,0
Landfill,LDPE,ConsumerBottles,0,0,0,0
Sludge amended soil,LDPE,ConsumerBottles,0,0,0,0
Sludge amended soil (MP),LDPE,ConsumerBottles,0,0,0,0
Release,LDPE,ConsumerBottles,0,0,0,0
Incineration,HDPE,ConsumerBottles,0,0,0,0
Landfill,HDPE,ConsumerBottles,1.0446108989451925e-6,1.390603753808795e-6,9.768251894322498e-5,1.3003662671058763e-4
Sludge amended soil,HDPE,ConsumerBottles,4.972059222476813e-6,6.401631052028218e-6,4.649417976366626e-4,5.986223646897759e-4
Sludge amended soil (MP),HDPE,ConsumerBottles,0,0,0,0
Release,HDPE,ConsumerBottles,0.007314550858345468,0.00485819436760706,0.6839903293206991,0.45429419109339036
Incineration,PP,ConsumerBottles,0,0,0,0
Landfill,PP,ConsumerBottles,1.4953597793492616e-7,2.0429868854917688e-7,1.3983245830645392e-5,1.910415690132297e-5
Sludge amended soil,PP,ConsumerBottles,7.109970452572877e-7,9.52039072398775e-7,6.648598287845926e-5,8.902604292008538e-5
Sludge amended soil (MP),PP,ConsumerBottles,0,0,0,0
Release,PP,ConsumerBottles,0.001038664450211138,6.829746827219009e-4,0.09712646109269353,0.06386558617193354
Incineration,PS,ConsumerBottles,0,0,0,0
Landfill,PS,ConsumerBottles,0,0,0,0
Sludge amended soil,PS,ConsumerBottles,0,0,0,0
Sludge amended soil (MP),PS,ConsumerBottles,0,0,0,0
Release,PS,ConsumerBottles,0,0,0,0
Incineration,EPS,ConsumerBottles,0,0,0,0
Landfill,EPS,ConsumerBottles,0,0,0,0
Sludge amended soil,EPS,ConsumerBottles,0,0,0,0
Sludge amended soil (MP),EPS,ConsumerBottles,0,0,0,0
Release,EPS,ConsumerBottles,0,0,0,0
Incineration,PVC,ConsumerBottles,0,0,0,0
Landfill,PVC,ConsumerBottles,0,0,0,0
Sludge amended soil,PVC,ConsumerBottles,0,0,0,0
Sludge amended soil (MP),PVC,ConsumerBottles,0,0,0,0
Release,PVC,ConsumerBottles,0,0,0,0
Incineration,PET,ConsumerBottles,0,0,0,0
Landfill,PET,ConsumerBottles,3.4878640967759205e-4,5.673381239602166e-4,0.0326153356286764,0.0530523059800712
Sludge amended soil,PET,ConsumerBottles,0.00166613778840951,0.0027539591853337282,0.1558020658626826,0.2575252379253078
Sludge amended soil (MP),PET,ConsumerBottles,0,0,0,0
Release,PET,ConsumerBottles,0.33064812545828626,0.3065682828448606,30.919208110153445,28.66748004125146
Incineration,LDPE,ConsumerOther,0,0,0,0
Landfill,LDPE,ConsumerOther,1.2944092722848915e-7,1.7127503717713199e-7,1.2104139291283516e-5,1.6016085109250387e-5
Sludge amended soil,LDPE,ConsumerOther,6.143420936962335e-7,7.916645983807393e-7,5.744769010710025e-5,7.402927942461045e-5
Sludge amended soil (MP),LDPE,ConsumerOther,0,0,0,0
Release,LDPE,ConsumerOther,9.093892728984903e-4,6.058435990247389e-4,0.08503782122737846,0.05665298811081108
Incineration,HDPE,ConsumerOther,0,0,0,0
Landfill,HDPE,ConsumerOther,1.711690666014568e-5,2.7388986828369237e-5,0.001600617570396248,0.0025611691658582714
Sludge amended soil,HDPE,ConsumerOther,8.126538749757767e-5,1.2778904630843474e-4,0.007599200584328905,0.011949670398197965
Sludge amended soil (MP),HDPE,ConsumerOther,0,0,0,0
Release,HDPE,ConsumerOther,0.017501246249370998,0.015508535086807789,1.6365575163062924,1.4502172760484036
Incineration,PP,ConsumerOther,0,0,0,0
Landfill,PP,ConsumerOther,4.061077239008101e-5,6.292765296782234e-5,0.0037975504058963693,0.005884422285167546
Sludge amended soil,PP,ConsumerOther,1.9278051473823005e-4,2.935325916173268e-4,0.018027081951583045,0.02744850065231593
Sludge amended soil (MP),PP,ConsumerOther,0,0,0,0
Release,PP,ConsumerOther,0.047529310369242864,0.039358105948564044,4.444509209304716,3.680412423201969
Incineration,PS,ConsumerOther,0,0,0,0
Landfill,PS,ConsumerOther,1.708760383787638e-5,2.6767774971598663e-5,0.0015978774367308788,0.0025030790779336466
Sludge amended soil,PS,ConsumerOther,8.097016829167382e-5,1.237446283295633e-4,0.007571594366834691,0.011571473180234458
Sludge amended soil (MP),PS,ConsumerOther,0,0,0,0
Release,PS,ConsumerOther,0.019484104186678158,0.01615975128197529,1.8219763724739926,1.5111130970520115
Incineration,EPS,ConsumerOther,0,0,0,0
Landfill,EPS,ConsumerOther,8.973959122037045e-8,1.1833784396940626e-7,8.391631111826095e-6,1.1065879838047164e-5
Sludge amended soil,EPS,ConsumerOther,4.25351381697286e-7,5.511524849422775e-7,3.977499606995009e-5,5.1538772097192394e-5
Sludge amended soil (MP),EPS,ConsumerOther,0,0,0,0
Release,EPS,ConsumerOther,6.211608591853631e-4,4.123697891728607e-4,0.05808531909386832,0.038561075500137106
Incineration,PVC,ConsumerOther,0,0,0,0
Landfill,PVC,ConsumerOther,6.720512552925929e-6,1.0382455463107984e-5,6.284412649937436e-4,9.708728900649223e-4
Sludge amended soil,PVC,ConsumerOther,3.218173790437114e-5,4.9670641129828335e-5,0.003009343695000611,0.004644747003870916
Sludge amended soil (MP),PVC,ConsumerOther,0,0,0,0
Release,PVC,ConsumerOther,0.0071507532725732965,0.006203236058359864,0.6686734675196199,0.5800702676871323
Incineration,PET,ConsumerOther,0,0,0,0
Landfill,PET,ConsumerOther,3.4931465607970366e-5,5.6143115656893196e-5,0.003266473243205368,0.005249994006595063
Sludge amended soil,PET,ConsumerOther,1.6621216786142867e-4,2.640266860798672e-4,0.015542651576881884,0.024689376485116214
Sludge amended soil (MP),PET,ConsumerOther,0,0,0,0
Release,PET,ConsumerOther,0.036914657137179216,0.03266567812501246,3.4519232938563813,3.0545973868948066
Incineration,LDPE,AgriculturalPackagingFilms,0,0,0,0
Landfill,LDPE,AgriculturalPackagingFilms,1.1229299805003898e-7,1.4967274452743108e-7,1.0500620776875477e-5,1.399603499958538e-5
Sludge amended soil,LDPE,AgriculturalPackagingFilms,5.323227463401765e-7,6.934099417142117e-7,4.9777986048001254e-5,6.484139676822653e-5
Sludge amended soil (MP),LDPE,AgriculturalPackagingFilms,0,0,0,0
Release,LDPE,AgriculturalPackagingFilms,0.003047117356557437,0.0016681000045577915,0.2849387261847517,0.15598555448631152
Incineration,HDPE,AgriculturalPackagingFilms,0,0,0,0
Landfill,HDPE,AgriculturalPackagingFilms,8.138665599351593e-10,1.0747120879963914e-9,7.610540512108395e-8,1.0049730861531858e-7
Sludge amended soil,HDPE,AgriculturalPackagingFilms,3.8690385395552405e-9,4.935380996315513e-9,3.6179732646270383e-7,4.615119832192341e-7
Sludge amended soil (MP),HDPE,AgriculturalPackagingFilms,0,0,0,0
Release,HDPE,AgriculturalPackagingFilms,2.189257585132999e-5,1.1910041700207685e-5,0.002047194756892665,0.001113718873860014
Incineration,PP,AgriculturalPackagingFilms,0,0,0,0
Landfill,PP,AgriculturalPackagingFilms,8.76101398279853e-8,1.1881456155003551e-7,8.192504167826774e-6,1.1110458134279194e-5
Sludge amended soil,PP,AgriculturalPackagingFilms,4.166528475335793e-7,5.599343287776751e-7,3.8961588198097944e-5,5.2359970332510323e-5
Sludge amended soil (MP),PP,AgriculturalPackagingFilms,0,0,0,0
Release,PP,AgriculturalPackagingFilms,0.0023469400271247075,0.0012733199864115878,0.21946450481199747,0.11906931453523233
Incineration,PS,AgriculturalPackagingFilms,0,0,0,0
Landfill,PS,AgriculturalPackagingFilms,0,0,0,0
Sludge amended soil,PS,AgriculturalPackagingFilms,0,0,0,0
Sludge amended soil (MP),PS,AgriculturalPackagingFilms,0,0,0,0
Release,PS,AgriculturalPackagingFilms,0,0,0,0
Incineration,EPS,AgriculturalPackagingFilms,0,0,0,0
Landfill,EPS,AgriculturalPackagingFilms,0,0,0,0
Sludge amended soil,EPS,AgriculturalPackagingFilms,0,0,0,0
Sludge amended soil (MP),EPS,AgriculturalPackagingFilms,0,0,0,0
Release,EPS,AgriculturalPackagingFilms,0,0,0,0
Incineration,PVC,AgriculturalPackagingFilms,0,0,0,0
Landfill,PVC,AgriculturalPackagingFilms,0,0,0,0
Sludge amended soil,PVC,AgriculturalPackagingFilms,0,0,0,0
Sludge amended soil (MP),PVC,AgriculturalPackagingFilms,0,0,0,0
Release,PVC,AgriculturalPackagingFilms,0,0,0,0
Incineration,PET,AgriculturalPackagingFilms,0,0,0,0
Landfill,PET,AgriculturalPackagingFilms,0,0,0,0
Sludge amended soil,PET,AgriculturalPackagingFilms,0,0,0,0
Sludge amended soil (MP),PET,AgriculturalPackagingFilms,0,0,0,0
Release,PET,AgriculturalPackagingFilms,0,0,0,0
Incineration,LDPE,AgriculturalPackagingBottles,0,0,0,0
Landfill,LDPE,AgriculturalPackagingBottles,0,0,0,0
Sludge amended soil,LDPE,AgriculturalPackagingBottles,0,0,0,0
Sludge amended soil (MP),LDPE,AgriculturalPackagingBottles,0,0,0,0
Release,LDPE,AgriculturalPackagingBottles,0,0,0,0
Incineration,HDPE,AgriculturalPackagingBottles,0,0,0,0
Landfill,HDPE,AgriculturalPackagingBottles,2.348926486175475e-8,3.1316383447233344e-8,2.1965026041157286e-6,2.928423609601041e-6
Sludge amended soil,HDPE,AgriculturalPackagingBottles,1.1190658184803762e-7,1.4531272270898995e-7,1.0464486645008692e-5,1.3588325378421361e-5
Sludge amended soil (MP),HDPE,AgriculturalPackagingBottles,0,0,0,0
Release,HDPE,AgriculturalPackagingBottles,0.0058453735456464135,0.004523192764662818,0.5466062173766293,0.42296788532857893
Incineration,PP,AgriculturalPackagingBottles,0,0,0,0
Landfill,PP,AgriculturalPackagingBottles,0,0,0,0
Sludge amended soil,PP,AgriculturalPackagingBottles,0,0,0,0
Sludge amended soil (MP),PP,AgriculturalPackagingBottles,0,0,0,0
Release,PP,AgriculturalPackagingBottles,0,0,0,0
Incineration,PS,AgriculturalPackagingBottles,0,0,0,0
Landfill,PS,AgriculturalPackagingBottles,0,0,0,0
Sludge amended soil,PS,AgriculturalPackagingBottles,0,0,0,0
Sludge amended soil (MP),PS,AgriculturalPackagingBottles,0,0,0,0
Release,PS,AgriculturalPackagingBottles,0,0,0,0
Incineration,EPS,AgriculturalPackagingBottles,0,0,0,0
Landfill,EPS,AgriculturalPackagingBottles,0,0,0,0
Sludge amended soil,EPS,AgriculturalPackagingBottles,0,0,0,0
Sludge amended soil (MP),EPS,AgriculturalPackagingBottles,0,0,0,0
Release,EPS,AgriculturalPackagingBottles,0,0,0,0
Incineration,PVC,AgriculturalPackagingBottles,0,0,0,0
Landfill,PVC,AgriculturalPackagingBottles,0,0,0,0
Sludge amended soil,PVC,AgriculturalPackagingBottles,0,0,0,0
Sludge amended soil (MP),PVC,AgriculturalPackagingBottles,0,0,0,0
Release,PVC,AgriculturalPackagingBottles,0,0,0,0
Incineration,PET,AgriculturalPackagingBottles,0,0,0,0
Landfill,PET,AgriculturalPackagingBottles,0,0,0,0
Sludge amended soil,PET,AgriculturalPackagingBottles,0,0,0,0
Sludge amended soil (MP),PET,AgriculturalPackagingBottles,0,0,0,0
Release,PET,AgriculturalPackagingBottles,0,0,0,0
Incineration,LDPE,BuildingPackagingFilms,0,0,0,0
Landfill,LDPE,BuildingPackagingFilms,0,0,0,0
Sludge amended soil,LDPE,BuildingPackagingFilms,0,0,0,0
Sludge amended soil (MP),LDPE,BuildingPackagingFilms,0,0,0,0
Release,LDPE,BuildingPackagingFilms,0.002885999662167505,0.002762945809830201,0.2698724634737027,0.25836558538721804
Incineration,HDPE,BuildingPackagingFilms,0,0,0,0
Landfill,HDPE,BuildingPackagingFilms,0,0,0,0
Sludge amended soil,HDPE,BuildingPackagingFilms,0,0,0,0
Sludge amended soil (MP),HDPE,BuildingPackagingFilms,0,0,0,0
Release,HDPE,BuildingPackagingFilms,9.851004722540726e-5,9.524396221781691e-5,0.009211764460729322,0.008906349869567884
Incineration,PP,BuildingPackagingFilms,0,0,0,0
Landfill,PP,BuildingPackagingFilms,0,0,0,0
Sludge amended soil,PP,BuildingPackagingFilms,0,0,0,0
Sludge amended soil (MP),PP,BuildingPackagingFilms,0,0,0,0
Release,PP,BuildingPackagingFilms,0,0,0,0
Incineration,PS,BuildingPackagingFilms,0,0,0,0
Landfill,PS,BuildingPackagingFilms,0,0,0,0
Sludge amended soil,PS,BuildingPackagingFilms,0,0,0,0
Sludge amended soil (MP),PS,BuildingPackagingFilms,0,0,0,0
Release,PS,BuildingPackagingFilms,0,0,0,0
Incineration,EPS,BuildingPackagingFilms,0,0,0,0
Landfill,EPS,BuildingPackagingFilms,0,0,0,0
Sludge amended soil,EPS,BuildingPackagingFilms,0,0,0,0
Sludge amended soil (MP),EPS,BuildingPackagingFilms,0,0,0,0
Release,EPS,BuildingPackagingFilms,0,0,0,0
Incineration,PVC,BuildingPackagingFilms,0,0,0,0
Landfill,PVC,BuildingPackagingFilms,0,0,0,0
Sludge amended soil,PVC,BuildingPackagingFilms,0,0,0,0
Sludge amended soil (MP),PVC,BuildingPackagingFilms,0,0,0,0
Release,PVC,BuildingPackagingFilms,0,0,0,0
Incineration,PET,BuildingPackagingFilms,0,0,0,0
Landfill,PET,BuildingPackagingFilms,0,0,0,0
Sludge amended soil,PET,BuildingPackagingFilms,0,0,0,0
Sludge amended soil (MP),PET,BuildingPackagingFilms,0,0,0,0
Release,PET,BuildingPackagingFilms,0,0,0,0
Incineration,LDPE,OtherNonConsumerFilms,0,0,0,0
Landfill,LDPE,OtherNonConsumerFilms,2.094847141632746e-4,3.0226518822394865e-4,0.0195891068916023,0.028265093734305823
Sludge amended soil,LDPE,OtherNonConsumerFilms,9.898846079309273e-4,0.0013961964833630722,0.092565013502595,0.13055960795765453
Sludge amended soil (MP),LDPE,OtherNonConsumerFilms,0,0,0,0
Release,LDPE,OtherNonConsumerFilms,0.023765478233316643,0.0171799486885996,2.2223315686873324,1.606512688037551
Incineration,HDPE,OtherNonConsumerFilms,0,0,0,0
Landfill,HDPE,OtherNonConsumerFilms,1.0862705266926655e-5,1.583279578175901e-5,0.0010157814877124935,0.0014805391896997927
Sludge amended soil,HDPE,OtherNonConsumerFilms,5.180839362487889e-5,7.43303710171207e-5,0.004844650191559807,0.006950700861218743
Sludge amended soil (MP),HDPE,OtherNonConsumerFilms,0,0,0,0
Release,HDPE,OtherNonConsumerFilms,0.001241379178852914,9.152424517788385e-4,0.11608250045683952,0.08558515732872972
Incineration,PP,OtherNonConsumerFilms,0,0,0,0
Landfill,PP,OtherNonConsumerFilms,3.676492890075931e-5,5.272925317691349e-5,0.003437922069759264,0.004930760609062152
Sludge amended soil,PP,OtherNonConsumerFilms,1.74593202177695e-4,2.483872451168912e-4,0.016326369748106383,0.023226918081063603
