dest,pol,prod,mean,sd,mean_percap,sd_percap
Incineration,LDPE,Pre-consumer processes,0.0018595402048411109,0.001173699017161483,0.02235918894088659,0.014112605909851155
Landfill,LDPE,Pre-consumer processes,0,0,0,0
Sludge amended soil,LDPE,Pre-consumer processes,0,0,0,0
Sludge amended soil (MP),LDPE,Pre-consumer processes,4.302309884113587e-4,2.903674347992848e-4,0.0051731153395179795,0.003491390140452769
Release,LDPE,Pre-consumer processes,0.06468064705146294,0.037616025521430986,0.7777227964619515,0.45229665895325577
Incineration,HDPE,Pre-consumer processes,0.013672051842312669,0.008435672036906306,0.16439332129309128,0.10143087222610385
Landfill,HDPE,Pre-consumer processes,0,0,0,0
Sludge amended soil,HDPE,Pre-consumer processes,0,0,0,0
Sludge amended soil (MP),HDPE,Pre-consumer processes,0.003156135012735875,0.002112701707167413,0.03794949896162029,0.02540321339829602
Release,HDPE,Pre-consumer processes,0.25479331164897234,0.10490909362081685,3.0636454007297744,1.2614313149983392
Incineration,PP,Pre-consumer processes,0.046625246397422666,0.024554112814243873,0.5606239063298135,0.29523967605552986
Landfill,PP,Pre-consumer processes,0,0,0,0
Sludge amended soil,PP,Pre-consumer processes,0,0,0,0
Sludge amended soil (MP),PP,Pre-consumer processes,0.010854913520787865,0.006364331770416085,0.1305199326782066,0.07652499051472751
Release,PP,Pre-consumer processes,0.28938483409608334,0.1073113612601221,3.4795753086362082,1.290316281235675
Incineration,PS,Pre-consumer processes,0.0033281730745068658,0.002358937942311846,0.04001809178803362,0.028363968154419935
Landfill,PS,Pre-consumer processes,0,0,0,0
Sludge amended soil,PS,Pre-consumer processes,0,0,0,0
Sludge amended soil (MP),PS,Pre-consumer processes,7.776083553784359e-4,5.898303723869267e-4,0.009349995280905552,0.007092144985593175
Release,PS,Pre-consumer processes,0.06995529921811447,0.03036870074936499,0.8411454339959947,0.36515452377772867
Incineration,EPS,Pre-consumer processes,0.0031793767008600556,0.0022096124400254238,0.038228957988492,0.02656847209005805
Landfill,EPS,Pre-consumer processes,0,0,0,0
Sludge amended soil,EPS,Pre-consumer processes,0,0,0,0
Sludge amended soil (MP),EPS,Pre-consumer processes,7.406887359311681e-4,5.551580028867189e-4,0.008906072237618825,0.006675242969350068
Release,EPS,Pre-consumer processes,0.0669179252487363,0.0276562524157828,0.8046239227704496,0.3325399319420339
Incineration,PVC,Pre-consumer processes,0.010544624854744071,0.007280907672914418,0.12678900882282182,0.0875459373752849
Landfill,PVC,Pre-consumer processes,0,0,0,0
Sludge amended soil,PVC,Pre-consumer processes,0,0,0,0
Sludge amended soil (MP),PVC,Pre-consumer processes,0.0024399727959044906,0.0017767351257536718,0.029338334612084044,0.02136353721807842
Release,PVC,Pre-consumer processes,0.22426051269274722,0.09142078239338017,2.696517753272066,1.0992472985180353
Incineration,PET,Pre-consumer processes,0.029134331602746578,0.017884546913209856,0.35031241770215704,0.21504453763008444
Landfill,PET,Pre-consumer processes,0,0,0,0
Sludge amended soil,PET,Pre-consumer processes,0,0,0,0
Sludge amended soil (MP),PET,Pre-consumer processes,0.006790602600499069,0.004501916771063743,0.08165048874541965,0.05413123492479754
Release,PET,Pre-consumer processes,0.10608178118773326,0.04302806664615651,1.2755317591882798,0.517371267046457
Incineration,LDPE,ConsumerFilms,0,0,0,0
Landfill,LDPE,ConsumerFilms,0,0,0,0
Sludge amended soil,LDPE,ConsumerFilms,3.961920617966776e-4,6.268830269495801e-4,0.004763829866936515,0.007537667648653079
Sludge amended soil (MP),LDPE,ConsumerFilms,0,0,0,0
Release,LDPE,ConsumerFilms,0.4086535674982486,0.3032887636654467,4.913667530969796,3.6467567373855476
Incineration,HDPE,ConsumerFilms,0,0,0,0
Landfill,HDPE,ConsumerFilms,0,0,0,0
Sludge amended soil,HDPE,ConsumerFilms,5.17521312005261e-4,8.831019538013926e-4,0.00622269782924638,0.01061845470601083
Sludge amended soil (MP),HDPE,ConsumerFilms,0,0,0,0
Release,HDPE,ConsumerFilms,0.4259170396864255,0.36943980646389135,5.121244240215602,4.442159633604981
Incineration,PP,ConsumerFilms,0,0,0,0
Landfill,PP,ConsumerFilms,0,0,0,0
Sludge amended soil,PP,ConsumerFilms,0.0012205992335929492,0.002056823036865001,0.014676536067332869,0.024731325937188988
Sludge amended soil (MP),PP,ConsumerFilms,0,0,0,0
Release,PP,ConsumerFilms,1.0399644548955185,0.8525123472847976,12.504575958228267,10.25064400207912
Incineration,PS,ConsumerFilms,0,0,0,0
Landfill,PS,ConsumerFilms,0,0,0,0
Sludge amended soil,PS,ConsumerFilms,5.7143180682532566e-5,9.610953992563671e-5,6.870919866307154e-4,0.001155625114544168
Sludge amended soil (MP),PS,ConsumerFilms,0,0,0,0
Release,PS,ConsumerFilms,0.04848282929960395,0.040018658903927355,0.582959560581925,0.481186022901968
Incineration,EPS,ConsumerFilms,0,0,0,0
Landfill,EPS,ConsumerFilms,0,0,0,0
Sludge amended soil,EPS,ConsumerFilms,0,0,0,0
Sludge amended soil (MP),EPS,ConsumerFilms,0,0,0,0
Release,EPS,ConsumerFilms,0,0,0,0
Incineration,PVC,ConsumerFilms,0,0,0,0
Landfill,PVC,ConsumerFilms,0,0,0,0
Sludge amended soil,PVC,ConsumerFilms,1.234717670510931e-4,1.974914173603247e-4,0.0014846296741384075,0.0023746450350829035
Sludge amended soil (MP),PVC,ConsumerFilms,0,0,0,0
Release,PVC,ConsumerFilms,0.10481847013296268,0.08720897703332639,1.2603416544025972,1.048604375292975
Incineration,PET,ConsumerFilms,0,0,0,0
Landfill,PET,ConsumerFilms,0,0,0,0
Sludge amended soil,PET,ConsumerFilms,1.3834601067266118e-4,2.2335376577558338e-4,0.001663478199500533,0.0026856149905409073
Sludge amended soil (MP),PET,ConsumerFilms,0,0,0,0
Release,PET,ConsumerFilms,0.11794672316650016,0.09886041343090757,1.4181963161498614,1.1887017322460613
Incineration,LDPE,ConsumerBags,0,0,0,0
Landfill,LDPE,ConsumerBags,0,0,0,0
Sludge amended soil,LDPE,ConsumerBags,4.468071660687734e-5,7.187508778757643e-5,5.37242799067494e-4,8.642290517846308e-4
Sludge amended soil (MP),LDPE,ConsumerBags,0,0,0,0
Release,LDPE,ConsumerBags,0.04211792197552883,0.03298516441689397,0.5064276495860084,0.3966149919875269
Incineration,HDPE,ConsumerBags,0,0,0,0
Landfill,HDPE,ConsumerBags,0,0,0,0
Sludge amended soil,HDPE,ConsumerBags,1.1167336688719104e-4,1.849711093537861e-4,0.0013427652187326614,0.0022241003296834248
Sludge amended soil (MP),HDPE,ConsumerBags,0,0,0,0
Release,HDPE,ConsumerBags,0.09300470898604271,0.07829105402105889,1.118292497896697,0.9413748972357328
Incineration,PP,ConsumerBags,0,0,0,0
