dest,pol,prod,mean,sd,mean_percap,sd_percap
Incineration,LDPE,Pre-consumer processes,2.4590991340207745e-5,1.8049910424597327e-5,0.0042232512881269155,0.0030998875318465355
Landfill,LDPE,Pre-consumer processes,0,0,0,0
Sludge amended soil,LDPE,Pre-consumer processes,0,0,0,0
Sludge amended soil (MP),LDPE,Pre-consumer processes,1.8289603641046947e-4,1.236257213879434e-4,0.031410523905999514,0.02123145341617775
Release,LDPE,Pre-consumer processes,0.002685675424197482,0.0024164302684112527,0.46123728961619803,0.41499718748835435
Incineration,HDPE,Pre-consumer processes,3.7486157941214076e-5,2.772183693489961e-5,0.006437864282165371,0.004760942002087258
Landfill,HDPE,Pre-consumer processes,0,0,0,0
Sludge amended soil,HDPE,Pre-consumer processes,0,0,0,0
Sludge amended soil (MP),HDPE,Pre-consumer processes,2.786122490761424e-4,1.8812846949168297e-4,0.047848804609794765,0.03230914077933156
Release,HDPE,Pre-consumer processes,0.0036750830343472317,0.003282831698226007,0.6311579286924835,0.5637927729887009
Incineration,PP,Pre-consumer processes,1.8438082829038975e-4,1.424970262799039e-4,0.0316655217274668,0.02447240704797772
Landfill,PP,Pre-consumer processes,0,0,0,0
Sludge amended soil,PP,Pre-consumer processes,0,0,0,0
Sludge amended soil (MP),PP,Pre-consumer processes,0.001374310959159622,9.910365907932412e-4,0.23602385313632412,0.1702003998433804
Release,PP,Pre-consumer processes,0.00520786056406926,0.004548754129519509,0.8943967947981499,0.7812020048762948
Incineration,PS,Pre-consumer processes,1.4787193333556802e-6,1.3863567054183436e-6,2.5395492369441797e-4,2.38092586872992e-4
Landfill,PS,Pre-consumer processes,0,0,0,0
Sludge amended soil,PS,Pre-consumer processes,0,0,0,0
Sludge amended soil (MP),PS,Pre-consumer processes,1.1009101720930045e-5,9.746317478778953e-6,0.001890700638327551,0.0016738303583331406
Release,PS,Pre-consumer processes,0.0012979953746195011,0.0011884948115794395,0.22291743191668648,0.20411182999882352
Incineration,EPS,Pre-consumer processes,1.4834007894484703e-6,1.4237115228184148e-6,2.5475891590443753e-4,2.445078947603423e-4
Landfill,EPS,Pre-consumer processes,0,0,0,0
Sludge amended soil,EPS,Pre-consumer processes,0,0,0,0
Sludge amended soil (MP),EPS,Pre-consumer processes,1.0992815822548029e-5,9.967060433854286e-6,0.0018879037018247227,0.0017117407034863493
Release,EPS,Pre-consumer processes,0.001299607099968874,0.0012102534872343313,0.22319422926347407,0.2078486600320726
Incineration,PVC,Pre-consumer processes,3.6512538028643594e-6,3.4286577328995226e-6,6.270655018698786e-4,5.888369031848837e-4
Landfill,PVC,Pre-consumer processes,0,0,0,0
Sludge amended soil,PVC,Pre-consumer processes,0,0,0,0
Sludge amended soil (MP),PVC,Pre-consumer processes,2.708582692721962e-5,2.391500698543294e-5,0.004651713787289577,0.004107157888004877
Release,PVC,Pre-consumer processes,0.003138549481842024,0.0029118653684394587,0.5390137777962154,0.5000830994562991
Incineration,PET,Pre-consumer processes,3.479825254896523e-4,2.8189625059343745e-4,0.059762440183406464,0.04841279828724567
Landfill,PET,Pre-consumer processes,0,0,0,0
Sludge amended soil,PET,Pre-consumer processes,0,0,0,0
Sludge amended soil (MP),PET,Pre-consumer processes,0.002590477039129058,0.001950688942690562,0.44488794050677627,0.3350108776006446
Release,PET,Pre-consumer processes,0.002818559810393089,0.0022092748172510435,0.4840588240313214,0.37942035718284317
Incineration,LDPE,ConsumerFilms,0,0,0,0
Landfill,LDPE,ConsumerFilms,0,0,0,0
Sludge amended soil,LDPE,ConsumerFilms,1.4108353480308644e-4,2.19454609890648e-4,0.02422965434160491,0.03768908504272766
Sludge amended soil (MP),LDPE,ConsumerFilms,0,0,0,0
