dest,pol,prod,mean,sd,mean_percap,sd_percap
Incineration,LDPE,Pre-consumer processes,0,0,0,0
Landfill,LDPE,Pre-consumer processes,2.7180176458534035e-6,1.8143504359935487e-6,0.0020453308333904514,0.0013653137590826237
Sludge amended soil,LDPE,Pre-consumer processes,0,0,0,0
Sludge amended soil (MP),LDPE,Pre-consumer processes,1.3599803128245538e-5,8.434968323826268e-6,0.010233964709050596,0.006347383659452571
Release,LDPE,Pre-consumer processes,6.284095257241358e-4,5.677903852600591e-4,0.47288338282891634,0.42726697659477886
Incineration,HDPE,Pre-consumer processes,0,0,0,0
Landfill,HDPE,Pre-consumer processes,1.9147165380499538e-4,1.2777755899052453e-4,0.14408400837466137,0.09615367347500395
Sludge amended soil,HDPE,Pre-consumer processes,0,0,0,0
Sludge amended soil (MP),HDPE,Pre-consumer processes,9.572065489656345e-4,5.993895918212861e-4,0.7203058712696354,0.4510456417513322
Release,HDPE,Pre-consumer processes,0.02347017074985995,0.009646659445121735,17.66149825144158,7.25919128318598
Incineration,PP,Pre-consumer processes,0,0,0,0
Landfill,PP,Pre-consumer processes,4.177412360212455e-5,3.1399148475036216e-5,0.031435374664192835,0.0236281197865557
Sludge amended soil,PP,Pre-consumer processes,0,0,0,0
Sludge amended soil (MP),PP,Pre-consumer processes,2.0908092937239897e-4,1.4725086508161008e-4,0.15733513436592445,0.11080749790359472
Release,PP,Pre-consumer processes,0.0014368361233132918,0.0010489231074935703,1.0812311060692743,0.7893233426520727
Incineration,PS,Pre-consumer processes,0,0,0,0
Landfill,PS,Pre-consumer processes,2.213596783863156e-6,1.524874519407249e-6,0.0016657499489145867,0.0011474807296977016
Sludge amended soil,PS,Pre-consumer processes,0,0,0,0
Sludge amended soil (MP),PS,Pre-consumer processes,1.1059064411372907e-5,7.172533212463693e-6,0.0083220377408293,0.005397390762105558
Release,PS,Pre-consumer processes,4.8531551524137127e-4,2.719473042811672e-4,0.36520395250571813,0.20464260316788474
Incineration,EPS,Pre-consumer processes,0,0,0,0
Landfill,EPS,Pre-consumer processes,7.479378862616916e-5,5.5594961614162115e-5,0.056282946601385934,0.04183566995750745
Sludge amended soil,EPS,Pre-consumer processes,0,0,0,0
Sludge amended soil (MP),EPS,Pre-consumer processes,3.7477733366921495e-4,2.645904095380606e-4,0.28202305359530777,0.19910647882408583
Release,EPS,Pre-consumer processes,0.010265402564741434,0.004293658540925572,7.724800615206713,3.231013682049872
Incineration,PVC,Pre-consumer processes,0,0,0,0
Landfill,PVC,Pre-consumer processes,8.114682112152371e-7,7.753275943199943e-7,6.106365627341615e-4,5.834404486153429e-4
Sludge amended soil,PVC,Pre-consumer processes,0,0,0,0
Sludge amended soil (MP),PVC,Pre-consumer processes,4.0543588795226855e-6,3.6750228541482385e-6,0.003050938701067347,0.0027654851941345277
Release,PVC,Pre-consumer processes,7.261648085558724e-4,6.617229385217096e-4,0.5464450443610206,0.49795200240329296
Incineration,PET,Pre-consumer processes,0,0,0,0
Landfill,PET,Pre-consumer processes,7.636109850731115e-5,6.0877073312752015e-5,0.057462360292929775,0.04581050284316599
Sludge amended soil,PET,Pre-consumer processes,0,0,0,0
Sludge amended soil (MP),PET,Pre-consumer processes,3.8067262031877544e-4,2.863073820498944e-4,0.2864593057198723,0.21544868085287364
Release,PET,Pre-consumer processes,8.831027883509596e-4,5.533166333186949e-4,0.6645421764729481,0.4163753581515799
Incineration,LDPE,ConsumerFilms,0,0,0,0
Landfill,LDPE,ConsumerFilms,7.675330163168185e-6,1.2010301819447958e-5,0.005775749639863212,0.009037851784045136
Sludge amended soil,LDPE,ConsumerFilms,3.870422837904911e-5,5.9683777601946224e-5,0.02912525303396229,0.04491253791847643
Sludge amended soil (MP),LDPE,ConsumerFilms,0,0,0,0
Release,LDPE,ConsumerFilms,0.006632127035353635,0.005066307462410801,4.990730629385626,3.812438407128663
Incineration,HDPE,ConsumerFilms,0,0,0,0
Landfill,HDPE,ConsumerFilms,9.91919949874781e-6,1.5772417140165336e-5,0.007464279935154712,0.011868874781991074
Sludge amended soil,HDPE,ConsumerFilms,4.988348748750323e-5,7.702663708324028e-5,0.03753773828175508,0.057963183594145394
Sludge amended soil (MP),HDPE,ConsumerFilms,0,0,0,0
Release,HDPE,ConsumerFilms,0.006958060908947382,0.0059099912179331575,5.23599857395718,4.447317434287708
Incineration,PP,ConsumerFilms,0,0,0,0
Landfill,PP,ConsumerFilms,2.253564673727241e-5,3.5803479068586914e-5,0.016958261177022618,0.02694241510659424
Sludge amended soil,PP,ConsumerFilms,1.1224475660054841e-4,1.720190976946032e-4,0.08446511078092182,0.12944579847873164
Sludge amended soil (MP),PP,ConsumerFilms,0,0,0,0
Release,PP,ConsumerFilms,0.01670582865617339,0.013760952159578026,12.571274693502158,10.355230692388925
Incineration,PS,ConsumerFilms,0,0,0,0
Landfill,PS,ConsumerFilms,1.0613401952930953e-6,1.7268819235390027e-6,7.986673042617519e-4,0.0012994929776219103
Sludge amended soil,PS,ConsumerFilms,5.3028427117465925e-6,8.3487260226215e-6,0.0039904331450908185,0.006282485612132767
Sludge amended soil (MP),PS,ConsumerFilms,0,0,0,0
Release,PS,ConsumerFilms,7.726304040145178e-4,6.393835860461538e-4,0.5814107905284172,0.4811414542871179
Incineration,EPS,ConsumerFilms,0,0,0,0
Landfill,EPS,ConsumerFilms,0,0,0,0
Sludge amended soil,EPS,ConsumerFilms,0,0,0,0
Sludge amended soil (MP),EPS,ConsumerFilms,0,0,0,0
Release,EPS,ConsumerFilms,0,0,0,0
Incineration,PVC,ConsumerFilms,0,0,0,0
Landfill,PVC,ConsumerFilms,2.3009298370543088e-6,3.704612444751669e-6,0.001731468796155517,0.0027877516066064723
Sludge amended soil,PVC,ConsumerFilms,1.1516841435323413e-5,1.8204169318833003e-5,0.008666518750116385,0.013698788475811751
Sludge amended soil (MP),PVC,ConsumerFilms,0,0,0,0
Release,PVC,ConsumerFilms,0.0016899713490704854,0.0013983846190295495,1.271717464039875,1.052296030014207
Incineration,PET,ConsumerFilms,0,0,0,0
Landfill,PET,ConsumerFilms,2.6118379440122876e-6,4.083066400874976e-6,0.001965429726645557,0.0030725413491081463
Sludge amended soil,PET,ConsumerFilms,1.318830192666616e-5,2.0431164378662694e-5,0.00992430664010776,0.01537462073857387
Sludge amended soil (MP),PET,ConsumerFilms,0,0,0,0
Release,PET,ConsumerFilms,0.0019146907582813606,0.0015797246785761554,1.4408206842568194,1.188755929634571
Incineration,LDPE,ConsumerBags,0,0,0,0
Landfill,LDPE,ConsumerBags,8.458770760226145e-7,1.3491626210870542e-6,6.365295190362885e-4,0.0010152560681042993
Sludge amended soil,LDPE,ConsumerBags,4.26491082835429e-6,6.728274189056989e-6,0.003209380789783262,0.005063082160403908
Sludge amended soil (MP),LDPE,ConsumerBags,0,0,0,0
Release,LDPE,ConsumerBags,6.784997500354495e-4,5.428086251956298e-4,0.51057669228615,0.40846799484052454
Incineration,HDPE,ConsumerBags,0,0,0,0
Landfill,HDPE,ConsumerBags,2.122319531326849e-6,3.455753477268575e-6,0.0015970630589363362,0.002600483168472743
Sludge amended soil,HDPE,ConsumerBags,1.0687376788859571e-5,1.6920627783735787e-5,0.008042339720518096,0.012732912819457296
Sludge amended soil (MP),HDPE,ConsumerBags,0,0,0,0
Release,HDPE,ConsumerBags,0.0015116448769662237,0.0012711640300788504,1.1375253139774832,0.9565614811160679
Incineration,PP,ConsumerBags,0,0,0,0
Landfill,PP,ConsumerBags,0,0,0,0
Sludge amended soil,PP,ConsumerBags,0,0,0,0
Sludge amended soil (MP),PP,ConsumerBags,0,0,0,0
Release,PP,ConsumerBags,0,0,0,0
Incineration,PS,ConsumerBags,0,0,0,0
Landfill,PS,ConsumerBags,0,0,0,0
Sludge amended soil,PS,ConsumerBags,0,0,0,0
Sludge amended soil (MP),PS,ConsumerBags,0,0,0,0
Release,PS,ConsumerBags,0,0,0,0
Incineration,EPS,ConsumerBags,0,0,0,0
Landfill,EPS,ConsumerBags,0,0,0,0
Sludge amended soil,EPS,ConsumerBags,0,0,0,0
Sludge amended soil (MP),EPS,ConsumerBags,0,0,0,0
Release,EPS,ConsumerBags,0,0,0,0
Incineration,PVC,ConsumerBags,0,0,0,0
Landfill,PVC,ConsumerBags,0,0,0,0
Sludge amended soil,PVC,ConsumerBags,0,0,0,0
Sludge amended soil (MP),PVC,ConsumerBags,0,0,0,0
Release,PVC,ConsumerBags,0,0,0,0
Incineration,PET,ConsumerBags,0,0,0,0
Landfill,PET,ConsumerBags,0,0,0,0
Sludge amended soil,PET,ConsumerBags,0,0,0,0
