dest,pol,prod,mean,sd,mean_percap,sd_percap
Incineration,LDPE,Pre-consumer processes,3.7830504551626786e-5,1.9171822292365533e-5,0.0035646812876918357,0.0018065166454040802
Landfill,LDPE,Pre-consumer processes,3.698025494890298e-5,1.8735557430857694e-5,0.0034845642264837097,0.001765408412597611
Sludge amended soil,LDPE,Pre-consumer processes,0,0,0,0
Sludge amended soil (MP),LDPE,Pre-consumer processes,1.0347847360502353e-5,5.489178472263271e-6,9.750538167825702e-4,5.172326411394984e-4
Release,LDPE,Pre-consumer processes,0.003477182048115844,0.0028678900498321966,0.3276468534513244,0.2702346721768696
Incineration,HDPE,Pre-consumer processes,8.42796773864471e-5,5.443278429653736e-5,0.007941479831498935,0.005129075858717005
Landfill,HDPE,Pre-consumer processes,8.233940273564689e-5,5.285084941977806e-5,0.0077586522212763015,0.004980013779837371
Sludge amended soil,HDPE,Pre-consumer processes,0,0,0,0
Sludge amended soil (MP),HDPE,Pre-consumer processes,2.317429060396245e-5,1.555923501445461e-5,0.0021836600132769135,0.0014661108691039362
Release,HDPE,Pre-consumer processes,0.004341537406936562,0.003985994808426214,0.40909306755876695,0.37559110762171216
Incineration,PP,Pre-consumer processes,8.100402696285824e-4,6.15724768645172e-4,0.07632822838726022,0.05801832640541523
Landfill,PP,Pre-consumer processes,7.917056786831597e-4,0.00060668621924317575,0.07460060212281427,0.05716664471882274
Sludge amended soil,PP,Pre-consumer processes,0,0,0,0
Sludge amended soil (MP),PP,Pre-consumer processes,2.220994276756126e-4,1.7568031564823154e-4,0.020927917383757898,0.01655395140057989
Release,PP,Pre-consumer processes,0.006182697943751537,0.005447902601569212,0.5825813831656697,0.5133433109378485
Incineration,PS,Pre-consumer processes,6.882389291398371e-6,6.310263292415238e-6,6.485116868631205e-4,5.946015720774728e-4
Landfill,PS,Pre-consumer processes,6.722919568471952e-6,6.1417452491391626e-6,6.334852222677716e-4,5.787225051016442e-4
Sludge amended soil,PS,Pre-consumer processes,0,0,0,0
Sludge amended soil (MP),PS,Pre-consumer processes,1.893930522333487e-6,1.7921396101668181e-6,1.784607097676229e-4,1.688691866262271e-4
Release,PS,Pre-consumer processes,0.0015713102536907115,0.0014644325648044897,0.1480609451255317,0.13799010673307674
Incineration,EPS,Pre-consumer processes,6.857978514573175e-6,6.350331802424933e-6,6.462115156019087e-4,5.983771354634257e-4
Landfill,EPS,Pre-consumer processes,6.678155558508586e-6,6.184743359076463e-6,6.292672127389613e-4,5.827741179393857e-4
Sludge amended soil,EPS,Pre-consumer processes,0,0,0,0
Sludge amended soil (MP),EPS,Pre-consumer processes,1.8649129189414917e-6,1.7821344852314254e-6,1.7572644785250762e-4,1.6792642675397793e-4
Release,EPS,Pre-consumer processes,0.0015746505417995626,0.0014317781816330364,0.14837569277847062,0.1349131594379767
Incineration,PVC,Pre-consumer processes,3.550745604722319e-5,2.202914183579215e-5,0.003345785779101747,0.002075755283115325
Landfill,PVC,Pre-consumer processes,3.472294387362996e-5,2.1425212383452133e-5,0.003271863004390724,0.00201884840219058
Sludge amended soil,PVC,Pre-consumer processes,0,0,0,0
Sludge amended soil (MP),PVC,Pre-consumer processes,9.768744235672822e-6,6.340594721076115e-6,9.204862635027413e-4,5.974596327208044e-4
Release,PVC,Pre-consumer processes,0.004241542591274816,0.0034690170126951687,0.3996707864530741,0.32687748097473734
Incineration,PET,Pre-consumer processes,0.0015748684694647313,0.001199346318946325,0.14839622760028454,0.11301164050761262
Landfill,PET,Pre-consumer processes,0.0015326678053516902,0.0011777909861858708,0.14441975624535894,0.11098053116207633
Sludge amended soil,PET,Pre-consumer processes,0,0,0,0
Sludge amended soil (MP),PET,Pre-consumer processes,4.3373028734814393e-4,3.465288823861915e-4,0.04086940572270654,0.03265261823302071
Release,PET,Pre-consumer processes,0.003414774805914957,0.002640313568734144,0.32176636279631965,0.24879066466748265
Incineration,LDPE,ConsumerFilms,0,0,0,0
Landfill,LDPE,ConsumerFilms,1.0713867937651935e-4,1.7524134420377952e-4,0.01009543092506998,0.01651258813269818
Sludge amended soil,LDPE,ConsumerFilms,2.9917996777233068e-5,4.8757468343625195e-5,0.002819103909425424,0.004594303911610764
Sludge amended soil (MP),LDPE,ConsumerFilms,0,0,0,0
Release,LDPE,ConsumerFilms,0.061537570345790625,0.0529065805899211,5.79854347970167,4.985265199603104
Incineration,HDPE,ConsumerFilms,0,0,0,0
Landfill,HDPE,ConsumerFilms,1.338558642000148e-4,2.247143169011182e-4,0.012612929698319175,0.021174312371137097
Sludge amended soil,HDPE,ConsumerFilms,3.7660383475139415e-5,6.400710021581142e-5,0.0035486511705896716,0.006031241589901224
Sludge amended soil (MP),HDPE,ConsumerFilms,0,0,0,0
Release,HDPE,ConsumerFilms,0.07341575796908369,0.0660983526951816,6.917797733756411,6.228295493078138
Incineration,PP,ConsumerFilms,0,0,0,0
Landfill,PP,ConsumerFilms,3.044963092132208e-4,4.7843320449571117e-4,0.028691985700119865,0.045081658616233415
Sludge amended soil,PP,ConsumerFilms,8.559770486530386e-5,1.3761778815923336e-4,0.008065674524280062,0.012967407126048046
Sludge amended soil (MP),PP,ConsumerFilms,0,0,0,0
Release,PP,ConsumerFilms,0.17057539756036097,0.15003796393757518,16.072926730179365,14.13773167528789
Incineration,PS,ConsumerFilms,0,0,0,0
Landfill,PS,ConsumerFilms,1.4394021545545189e-5,2.3580800705840598e-5,0.0013563154884179735,0.0022219645236342942
Sludge amended soil,PS,ConsumerFilms,4.0414789835757985e-6,6.780460151895215e-6,3.8081925361825385e-4,6.389071388782641e-4
Sludge amended soil (MP),PS,ConsumerFilms,0,0,0,0
Release,PS,ConsumerFilms,0.008072444679584146,0.007205674725060078,0.7606478643701755,0.6789741284724983
Incineration,EPS,ConsumerFilms,0,0,0,0
Landfill,EPS,ConsumerFilms,0,0,0,0
Sludge amended soil,EPS,ConsumerFilms,0,0,0,0
Sludge amended soil (MP),EPS,ConsumerFilms,0,0,0,0
Release,EPS,ConsumerFilms,0,0,0,0
Incineration,PVC,ConsumerFilms,0,0,0,0
Landfill,PVC,ConsumerFilms,3.2346645800906334e-5,5.27870059112525e-5,0.0030479499116574204,0.004973997953115549
Sludge amended soil,PVC,ConsumerFilms,9.179397613604395e-6,1.5523340053365705e-5,8.649534890776809e-4,0.0014627285696175143
Sludge amended soil (MP),PVC,ConsumerFilms,0,0,0,0
Release,PVC,ConsumerFilms,0.0178641290461881,0.01575775648849452,1.6832957235596946,1.4848170902369195
Incineration,PET,ConsumerFilms,0,0,0,0
Landfill,PET,ConsumerFilms,3.6752611819426566e-5,5.9645274981190456e-5,0.0034631139388511785,0.005620236847080082
Sludge amended soil,PET,ConsumerFilms,1.0323075171655641e-5,1.7312047791122255e-5,9.727195904992138e-4,0.0016312743788130773
