dest,pol,prod,mean,sd,mean_percap,sd_percap
Incineration,LDPE,Pre-consumer processes,4.796713249826105e-4,3.5533893375026165e-4,0.010137174397140425,0.007509585322097204
Landfill,LDPE,Pre-consumer processes,6.552991826610163e-4,4.87208894353709e-4,0.013848820538061402,0.01029647025508678
Sludge amended soil,LDPE,Pre-consumer processes,0,0,0,0
Sludge amended soil (MP),LDPE,Pre-consumer processes,0.00679834872499167,0.0046473916223481754,0.14367347608347492,0.09821604276482601
Release,LDPE,Pre-consumer processes,0.12165162645974414,0.050149172752257803,2.5709349066528344,1.0598317714330536
Incineration,HDPE,Pre-consumer processes,2.9329167525645757e-4,1.9646141691677648e-4,0.00619830435228116,0.004151933921976423
Landfill,HDPE,Pre-consumer processes,3.9821889892838636e-4,2.668375655351083e-4,0.008415792682250988,0.005639234193613395
Sludge amended soil,HDPE,Pre-consumer processes,0,0,0,0
Sludge amended soil (MP),HDPE,Pre-consumer processes,0.004166150506611449,0.002551347385820949,0.08804569306240324,0.05391911513304012
Release,HDPE,Pre-consumer processes,0.06818477480510499,0.027858840591901708,1.440988688356874,0.5887571569813572
Incineration,PP,Pre-consumer processes,0.00203128901908643,0.001193619259208269,0.04292841778320176,0.02522545327223478
Landfill,PP,Pre-consumer processes,0.0027496173764046056,0.0016076063025574723,0.05810927069912234,0.03397448336432867
Sludge amended soil,PP,Pre-consumer processes,0,0,0,0
Sludge amended soil (MP),PP,Pre-consumer processes,0.028799067046984338,0.015076980052702454,0.6086275120590205,0.3186306293835535
Release,PP,Pre-consumer processes,0.15584842417812783,0.0586098104292423,3.2936358150457985,1.23863537126408
Incineration,PS,Pre-consumer processes,8.07117228296364e-5,6.106963857177047e-5,0.001705728000829206,0.0012906203567511865
Landfill,PS,Pre-consumer processes,1.0861206129604154e-4,8.151174266223246e-5,0.0022953621566408917,0.001722635287426943
Sludge amended soil,PS,Pre-consumer processes,0,0,0,0
Sludge amended soil (MP),PS,Pre-consumer processes,0.001130671944110041,7.76399960835394e-4,0.023895150880267488,0.01640811404602248
Release,PS,Pre-consumer processes,0.021884605322127555,0.009245131762872234,0.4625001521011021,0.19538277175141905
Incineration,EPS,Pre-consumer processes,6.364377876686336e-6,5.0474626631978425e-6,1.3450211656410897e-4,1.0667097784456127e-4
Landfill,EPS,Pre-consumer processes,8.606665164901673e-6,6.847367063399435e-6,1.8188968406140306e-4,1.4470940927192549e-4
Sludge amended soil,EPS,Pre-consumer processes,0,0,0,0
Sludge amended soil (MP),EPS,Pre-consumer processes,8.943412471995527e-5,6.607193692167754e-5,0.001890063616737276,0.0013963368507721164
Release,EPS,Pre-consumer processes,0.009003500191247776,0.007979232663215268,0.19027623055573456,0.1686297863757122
Incineration,PVC,Pre-consumer processes,3.128759730008559e-4,2.344322729126929e-4,0.006612190760203683,0.004954394209243469
Landfill,PVC,Pre-consumer processes,4.2438729436317053e-4,3.1636057579864153e-4,0.008968824673949383,0.0066858329072867866
Sludge amended soil,PVC,Pre-consumer processes,0,0,0,0
Sludge amended soil (MP),PVC,Pre-consumer processes,0.00440433572722782,0.003056521636588621,0.09307940050842796,0.06459525776291755
Release,PVC,Pre-consumer processes,0.07975328283783098,0.033242821603051455,1.6854727284372661,0.7025399737109085
Incineration,PET,Pre-consumer processes,8.700452071337771e-4,4.833992094139076e-4,0.018387173755760794,0.010215957957141251
Landfill,PET,Pre-consumer processes,0.001170009501360274,6.368356982811836e-4,0.02472649446374637,0.013458620933896971
Sludge amended soil,PET,Pre-consumer processes,0,0,0,0
Sludge amended soil (MP),PET,Pre-consumer processes,0.012260423872137856,0.005913804264316417,0.2591067018217753,0.12497988113027518
Release,PET,Pre-consumer processes,0.08736413543586102,0.03365955794445995,1.8463173236399433,0.7113471063253863
Incineration,LDPE,ConsumerFilms,0,0,0,0
