dest,pol,prod,mean,sd,mean_percap,sd_percap
Incineration,LDPE,Pre-consumer processes,0.018103555862646926,0.006382749032332709,0.034292030876069586,0.012090300300758392
Landfill,LDPE,Pre-consumer processes,0.0027837407399333445,9.377214434032778e-4,0.005273004051194713,0.0017762462211463107
Sludge amended soil,LDPE,Pre-consumer processes,0,0,0,0
Sludge amended soil (MP),LDPE,Pre-consumer processes,0.023175696252353772,0.00640729058831921,0.043899756351177203,0.012136787289393167
Release,LDPE,Pre-consumer processes,0.8860134653207223,0.12412414866346387,1.6783001825669668,0.2351178503674921
Incineration,HDPE,Pre-consumer processes,0.02782800728185799,0.009999012046744957,0.05271223466644624,0.018940280707208882
Landfill,HDPE,Pre-consumer processes,0.0021422622338716597,5.33359846849815e-4,0.0040579057079134385,0.001010298334481755
Sludge amended soil,HDPE,Pre-consumer processes,0,0,0,0
Sludge amended soil (MP),HDPE,Pre-consumer processes,0.028190890144919687,0.005384084427873264,0.053399612905225505,0.010198614616973951
Release,HDPE,Pre-consumer processes,0.9838835501839288,0.1434016482493558,1.8636871859510586,0.2716335833002029
Incineration,PP,Pre-consumer processes,0.15008425122509528,0.03876919735010652,0.2842918715014395,0.07343720331282502
Landfill,PP,Pre-consumer processes,0.01370010308219855,0.003025998657279563,0.025950943641378003,0.005731892683054586
Sludge amended soil,PP,Pre-consumer processes,0,0,0,0
Sludge amended soil (MP),PP,Pre-consumer processes,0.16258793834714882,0.029284068011356256,0.30797654583323025,0.05547032704742484
Release,PP,Pre-consumer processes,1.713852124752504,0.2056438696657109,3.246404762961155,0.3895337458317385
Incineration,PS,Pre-consumer processes,0.00782949073733451,0.0032687366719114123,0.014830740443790357,0.006191690722495339
Landfill,PS,Pre-consumer processes,6.134970246408822e-4,2.2679060073855934e-4,0.0011620953955664474,4.2959020547866846e-4
Sludge amended soil,PS,Pre-consumer processes,0,0,0,0
Sludge amended soil (MP),PS,Pre-consumer processes,0.00802151062700804,0.002179761419575557,0.015194467439495688,0.004128937235848719
Release,PS,Pre-consumer processes,0.3272329802248614,0.05117571951821256,0.6198496884632763,0.09693782631093749
Incineration,EPS,Pre-consumer processes,0.007604962734773303,0.0030266076900399208,0.014405436086194094,0.005733046322172844
Landfill,EPS,Pre-consumer processes,3.7281663534821863e-4,1.1087957920967787e-4,7.061949413403385e-4,2.1002978545386957e-4
Sludge amended soil,EPS,Pre-consumer processes,0,0,0,0
Sludge amended soil (MP),EPS,Pre-consumer processes,0.0038847249472326166,9.414872480767622e-4,0.007358505082993195,0.0017833794656379534
Release,EPS,Pre-consumer processes,0.2642662787717481,0.04127657364962333,0.5005772048265332,0.07818671363738863
Incineration,PVC,Pre-consumer processes,0.014581774320398228,0.007516876191239841,0.027621018711285583,0.014238581215607688
Landfill,PVC,Pre-consumer processes,0.0013073616251921398,4.084235230717524e-4,0.0024764242758396116,7.736420496587391e-4
Sludge amended soil,PVC,Pre-consumer processes,0,0,0,0
Sludge amended soil (MP),PVC,Pre-consumer processes,0.020269117709184388,0.00548310253395873,0.03839407106468936,0.010386176219619028
Release,PVC,Pre-consumer processes,0.7930126146967255,0.14491170431053227,1.502136556741441,0.274493954459733
Incineration,PET,Pre-consumer processes,0.07097527648919856,0.02060094404111748,0.13444244828315807,0.03902262154982476
Landfill,PET,Pre-consumer processes,0.011665481533854294,0.0035391801987008065,0.022096932557240833,0.0067039689644748735
Sludge amended soil,PET,Pre-consumer processes,0,0,0,0
Sludge amended soil (MP),PET,Pre-consumer processes,0.10656157229828278,0.02424115403259294,0.20185055108399852,0.045917962684469786
Release,PET,Pre-consumer processes,0.5641403200845415,0.08032363886715292,1.0686031750641038,0.1521502584911482
Incineration,LDPE,ConsumerFilms,0,0,0,0
Landfill,LDPE,ConsumerFilms,0.002311529866214119,0.0022647655285988493,0.00437853503171293,0.0042899533121011175
Sludge amended soil,LDPE,ConsumerFilms,0.01189694701542803,0.008479026401877587,0.02253537799310397,0.016061100779219118
Sludge amended soil (MP),LDPE,ConsumerFilms,0,0,0,0
Release,LDPE,ConsumerFilms,3.0899551277143265,0.810850632131249,5.853040002151083,1.5359256006880324
Incineration,HDPE,ConsumerFilms,0,0,0,0
Landfill,HDPE,ConsumerFilms,0.0029450181888506675,0.0030912598410829744,0.005578498248016992,0.005855511410059095
Sludge amended soil,HDPE,ConsumerFilms,0.015141944974213164,0.01102133030665548,0.028682102484121872,0.02087677150492864
Sludge amended soil (MP),HDPE,ConsumerFilms,0,0,0,0
Release,HDPE,ConsumerFilms,3.334168157779249,0.9587942218399297,6.315632038260633,1.816162598584913
Incineration,PP,ConsumerFilms,0,0,0,0
Landfill,PP,ConsumerFilms,0.006628303105877045,0.0068627953098183425,0.012555432561824363,0.012999611261233578
Sludge amended soil,PP,ConsumerFilms,0.03439684979854511,0.024796594046113347,0.06515503607581193,0.04697008560650558
Sludge amended soil (MP),PP,ConsumerFilms,0,0,0,0
Release,PP,ConsumerFilms,8.0099490910622535,2.212596839329359,15.172567402252414,4.191134587383913
Incineration,PS,ConsumerFilms,0,0,0,0
Landfill,PS,ConsumerFilms,3.132050411238e-4,3.2356106128487826e-4,5.932777528484743e-4,6.128942837560644e-4
Sludge amended soil,PS,ConsumerFilms,0.0016243552335181955,0.001198252104798748,0.003076878390307953,0.0022697473627187282
Sludge amended soil (MP),PS,ConsumerFilms,0,0,0,0
Release,PS,ConsumerFilms,0.3719461678131158,0.10253287976950619,0.704546088495249,0.19421934041825042
Incineration,EPS,ConsumerFilms,0,0,0,0
Landfill,EPS,ConsumerFilms,0,0,0,0
Sludge amended soil,EPS,ConsumerFilms,0,0,0,0
Sludge amended soil (MP),EPS,ConsumerFilms,0,0,0,0
Release,EPS,ConsumerFilms,0,0,0,0
Incineration,PVC,ConsumerFilms,0,0,0,0
Landfill,PVC,ConsumerFilms,6.736179901138852e-4,6.68804568117012e-4,0.0012759774428250843,0.0012668597856648743
Sludge amended soil,PVC,ConsumerFilms,0.0034989899738875016,0.002511713405251533,0.006627840029326962,0.004757725736215122
Sludge amended soil (MP),PVC,ConsumerFilms,0,0,0,0
Release,PVC,ConsumerFilms,0.8131554493045974,0.22613025229942718,1.5402914204348168,0.4283393634211472
Incineration,PET,ConsumerFilms,0,0,0,0
Landfill,PET,ConsumerFilms,7.522109619153552e-4,7.954316746749702e-4,0.0014248494454364002,0.0015067187769469306
Sludge amended soil,PET,ConsumerFilms,0.003921662226785861,0.002767652248610671,0.007428472239751132,0.005242528986220056
Sludge amended soil (MP),PET,ConsumerFilms,0,0,0,0
Release,PET,ConsumerFilms,0.9137879203084495,0.256950679542894,1.7309109776633222,0.4867198854945656
Incineration,LDPE,ConsumerBags,0,0,0,0
Landfill,LDPE,ConsumerBags,2.5677146414057356e-4,2.59971624606493e-4,4.863804129535649e-4,4.924422055836036e-4
Sludge amended soil,LDPE,ConsumerBags,0.0013192789417507775,9.679848121236655e-4,0.002498998238131291,0.0018335715544922687
Sludge amended soil (MP),LDPE,ConsumerBags,0,0,0,0
Release,LDPE,ConsumerBags,0.32219681847237974,0.08708331924928482,0.6103101142700474,0.1649545478879461
Incineration,HDPE,ConsumerBags,0,0,0,0
Landfill,HDPE,ConsumerBags,6.344404935196269e-4,6.663361671241036e-4,0.001201766832873621,0.0012621841029589154
Sludge amended soil,HDPE,ConsumerBags,0.003248941618444209,0.0023327915346003395,0.0061541946311284845,0.004418809207367084
Sludge amended soil (MP),HDPE,ConsumerBags,0,0,0,0
Release,HDPE,ConsumerBags,0.7269054352897313,0.20517875666578406,1.3769153319967535,0.3886527217127553
Incineration,PP,ConsumerBags,0,0,0,0
Landfill,PP,ConsumerBags,0,0,0,0
Sludge amended soil,PP,ConsumerBags,0,0,0,0
Sludge amended soil (MP),PP,ConsumerBags,0,0,0,0
Release,PP,ConsumerBags,0,0,0,0
Incineration,PS,ConsumerBags,0,0,0,0
Landfill,PS,ConsumerBags,0,0,0,0
Sludge amended soil,PS,ConsumerBags,0,0,0,0
Sludge amended soil (MP),PS,ConsumerBags,0,0,0,0
Release,PS,ConsumerBags,0,0,0,0
Incineration,EPS,ConsumerBags,0,0,0,0
Landfill,EPS,ConsumerBags,0,0,0,0
Sludge amended soil,EPS,ConsumerBags,0,0,0,0
