dest,pol,prod,mean,sd,mean_percap,sd_percap
Incineration,LDPE,Pre-consumer processes,1.4363027528033526e-5,1.2340466080412075e-5,0.0025995056058636407,0.002233450481967664
Landfill,LDPE,Pre-consumer processes,3.82593471846076e-5,3.3132010951367086e-5,0.006924402761810163,0.005996427148351089
Sludge amended soil,LDPE,Pre-consumer processes,0,0,0,0
Sludge amended soil (MP),LDPE,Pre-consumer processes,0.0013647452987076672,0.0011139158533404756,0.24699966964780634,0.2016030742520894
Release,LDPE,Pre-consumer processes,0.05392267621720437,0.02917705182420175,9.759244618601944,5.280635272163308
Incineration,HDPE,Pre-consumer processes,3.5783890090202383e-6,2.43284101861008e-6,6.476379907198096e-4,4.403099453585584e-4
Landfill,HDPE,Pre-consumer processes,9.553689013204501e-6,6.548873121734428e-6,0.001729083098812606,0.0011852537606581567
Sludge amended soil,HDPE,Pre-consumer processes,0,0,0,0
Sludge amended soil (MP),HDPE,Pre-consumer processes,3.4211014731568083e-4,2.2000501401457464e-4,0.061917116292800604,0.03981780764067757
Release,HDPE,Pre-consumer processes,0.01193651227367223,0.004740961570257141,2.160340534703366,0.8580472435225398
Incineration,PP,Pre-consumer processes,1.9687340862863132e-5,1.1698645470077412e-5,0.003563131299280315,0.0021172899948233345
Landfill,PP,Pre-consumer processes,5.2547962439259586e-5,3.120138127195946e-5,0.009510440794669239,0.005647010379172623
Sludge amended soil,PP,Pre-consumer processes,0,0,0,0
Sludge amended soil (MP),PP,Pre-consumer processes,0.0018779884222700934,0.0010370856419886045,0.3398894433579426,0.18769788854391847
Release,PP,Pre-consumer processes,0.023303676775193953,0.008230755796353233,4.217637144823107,1.4896508268437636
Incineration,PS,Pre-consumer processes,1.2679805798350146e-7,8.429180343787605e-8,2.294866189578785e-5,1.5255628741046816e-5
Landfill,PS,Pre-consumer processes,3.403825882518043e-7,2.2807766331160172e-7,6.160445244374493e-5,4.1278843418882065e-5
Sludge amended soil,PS,Pre-consumer processes,0,0,0,0
Sludge amended soil (MP),PS,Pre-consumer processes,1.2124450186665601e-5,7.6106961503192514e-06,0.0021943546488883484,0.0013774287676233674
Release,PS,Pre-consumer processes,0.0011586370508698458,8.196384418376272e-4,0.20969698087808675,0.1483430091726604
Incineration,EPS,Pre-consumer processes,3.9906089278272465e-6,3.0009164000338857e-6,7.222439877977936e-4,5.431235851487822e-4
Landfill,EPS,Pre-consumer processes,1.0639062439554923e-5,8.027265785669503e-6,0.0019255203959455758,0.001452822002107672
Sludge amended soil,EPS,Pre-consumer processes,0,0,0,0
Sludge amended soil (MP),EPS,Pre-consumer processes,3.816175126647232e-4,2.745257149038578e-4,0.06906739275765393,0.04968528629868934
Release,EPS,Pre-consumer processes,0.015028025923785162,0.005974254220031545,2.7198609455907783,1.0812558358963735
Incineration,PVC,Pre-consumer processes,9.264388541929683e-8,8.612805486218069e-8,1.67672378978879e-5,1.5587964375852116e-5
Landfill,PVC,Pre-consumer processes,2.4715427955346705e-7,2.302207207432349e-7,4.473144216694195e-5,4.166670661808189e-5
Sludge amended soil,PVC,Pre-consumer processes,0,0,0,0
Sludge amended soil (MP),PVC,Pre-consumer processes,8.830094891702064e-6,7.849234752205565e-6,0.0015981227583450907,0.001420600893528444
Release,PVC,Pre-consumer processes,0.0021823629796150342,0.0019942587178110134,0.3949769495648437,0.3609327285890073
Incineration,PET,Pre-consumer processes,8.75149026963702e-6,7.206121566731745e-6,0.0015838964292994868,0.0013042064684964604
Landfill,PET,Pre-consumer processes,2.3395945833005276e-5,1.9214132429652208e-5,0.004234336544205316,0.003477487240430408
Sludge amended soil,PET,Pre-consumer processes,0,0,0,0
Sludge amended soil (MP),PET,Pre-consumer processes,8.320317828809895e-4,6.559420752505165e-4,0.15058602927790776,0.11871627332103289
