dest,pol,prod,mean,sd,mean_percap,sd_percap
Incineration,LDPE,Pre-consumer processes,0.0020005945711587163,0.0014566450979791588,0.02965001213820068,0.02158835451158792
Landfill,LDPE,Pre-consumer processes,1.752091048395108e-4,1.2969845328477699e-4,0.0025967040799305613,0.0019222089121096616
Sludge amended soil,LDPE,Pre-consumer processes,0,0,0,0
Sludge amended soil (MP),LDPE,Pre-consumer processes,0.004002866243153224,0.002863634892880309,0.059324879917246866,0.04244078763249834
Release,LDPE,Pre-consumer processes,0.16559083685208767,0.0668917839795431,2.454155576257281,0.991376381567719
Incineration,HDPE,Pre-consumer processes,4.2376420029980244e-4,2.1622775982610494e-4,0.006280439757140197,0.003204625162881803
Landfill,HDPE,Pre-consumer processes,3.7278626506460064e-5,1.9678746350725672e-5,5.524916164157186e-4,2.9165083049568005e-4
Sludge amended soil,HDPE,Pre-consumer processes,0,0,0,0
Sludge amended soil (MP),HDPE,Pre-consumer processes,8.47230367999571e-4,4.161784549489692e-4,0.012556462492293044,0.0061680144586954274
Release,HDPE,Pre-consumer processes,0.0434921685808355,0.029808382356658347,0.6445800388189384,0.44177811508463277
Incineration,PP,Pre-consumer processes,0.007921086576844934,0.004519863824520122,0.11739525665870569,0.0669870943328696
Landfill,PP,Pre-consumer processes,6.97517489025119e-4,4.0766228164782435e-4,0.010337627780437123,0.0060417996596601
Sludge amended soil,PP,Pre-consumer processes,0,0,0,0
Sludge amended soil (MP),PP,Pre-consumer processes,0.0157305335925941,0.008571451963717952,0.23313594802501647,0.1270340619884042
Release,PP,Pre-consumer processes,0.1983419400668515,0.07082066313649352,2.9395465804399925,1.0496047284664278
Incineration,PS,Pre-consumer processes,6.449890691287073e-4,4.719857768733407e-4,0.009559125074300593,0.006995112460615785
Landfill,PS,Pre-consumer processes,5.68030975117554e-5,4.214989443136678e-5,8.418559937086465e-4,6.246867304003866e-4
Sludge amended soil,PS,Pre-consumer processes,0,0,0,0
Sludge amended soil (MP),PS,Pre-consumer processes,0.001284169089645097,9.190801962279688e-4,0.019032156562049637,0.01362132006504241
Release,PS,Pre-consumer processes,0.052828276855157445,0.021298319059979205,0.7829467662148214,0.31565386998221284
Incineration,EPS,Pre-consumer processes,2.711349421903545e-4,1.9333900033206947e-4,0.004018382556330834,0.0028654000112142953
Landfill,EPS,Pre-consumer processes,2.3645894752903616e-5,1.7052286559434316e-5,3.504463505747394e-4,2.5272512020187426e-4
Sludge amended soil,EPS,Pre-consumer processes,0,0,0,0
Sludge amended soil (MP),EPS,Pre-consumer processes,5.384443072774814e-4,3.7385276205365893e-4,0.007980067764192593,0.0055407222895595045
Release,EPS,Pre-consumer processes,0.02618576391408849,0.011638372623163296,0.38808873576573605,0.17248766667692692
Incineration,PVC,Pre-consumer processes,0.0021454330451431995,0.0017789542052969248,0.0317966052428851,0.026365168905665485
Landfill,PVC,Pre-consumer processes,1.8938413441615146e-4,1.5899224223508095e-4,0.002806786524952555,0.0023563604440951466
Sludge amended soil,PVC,Pre-consumer processes,0,0,0,0
Sludge amended soil (MP),PVC,Pre-consumer processes,0.0043006497194154995,0.003535089381979156,0.06373820974079941,0.052392146113142093
Release,PVC,Pre-consumer processes,0.173950956445023,0.09484484113928378,2.578057565686241,1.405657463819229
Incineration,PET,Pre-consumer processes,0.0053190521286358775,0.004201150784170119,0.07883154460747763,0.062263575809320286
Landfill,PET,Pre-consumer processes,4.677784454518837e-4,3.7713987287847514e-4,0.006932757284052758,0.005589439244638995
Sludge amended soil,PET,Pre-consumer processes,0,0,0,0
Sludge amended soil (MP),PET,Pre-consumer processes,0.010631780653872588,0.008229622045375475,0.15756936961766882,0.12196793746014241
Release,PET,Pre-consumer processes,0.03706989974835425,0.023145025180208546,0.5493981605998207,0.343023162926348
Incineration,LDPE,ConsumerFilms,0,0,0,0
Landfill,LDPE,ConsumerFilms,2.422363596577503e-5,3.976977925109841e-5,3.590088220626305e-4,5.894119950778773e-4
Sludge amended soil,LDPE,ConsumerFilms,5.504222865629107e-4,8.908499929576677e-4,0.008157588605408514,0.01320293151111191
Sludge amended soil (MP),LDPE,ConsumerFilms,0,0,0,0
Release,LDPE,ConsumerFilms,0.35636341793478954,0.2921677269706248,5.281519714040515,4.330101048935751
Incineration,HDPE,ConsumerFilms,0,0,0,0
Landfill,HDPE,ConsumerFilms,3.149287410364132e-5,5.4485609414354644e-5,4.667432936694254e-4,8.075094293379003e-4
Sludge amended soil,HDPE,ConsumerFilms,7.198289225269227e-4,0.0012118952692703126,0.0106682966144358,0.01796101517124533
Sludge amended soil (MP),HDPE,ConsumerFilms,0,0,0,0
Release,HDPE,ConsumerFilms,0.40953885746250057,0.37620173716788374,6.069611639401291,5.575535510415522
Incineration,PP,ConsumerFilms,0,0,0,0
Landfill,PP,ConsumerFilms,7.061384063961798e-5,1.233350429804507e-4,0.0010465394949447449,0.0018278993525998868
Sludge amended soil,PP,ConsumerFilms,0.0015926185034539028,0.0026702302184807266,0.02360356198086721,0.03957441429219128
Sludge amended soil (MP),PP,ConsumerFilms,0,0,0,0
Release,PP,ConsumerFilms,0.9645653603506884,0.8557196049458793,14.29543749382538,12.682278078384691
Incineration,PS,ConsumerFilms,0,0,0,0
Landfill,PS,ConsumerFilms,3.2868963689406104e-6,5.421429492562203e-6,4.871377671471506e-5,8.034883857940639e-5
Sludge amended soil,PS,ConsumerFilms,7.458030796660715e-5,1.1959893974605223e-4,0.0011053249210807809,0.0017725280605617774
Sludge amended soil (MP),PS,ConsumerFilms,0,0,0,0
Release,PS,ConsumerFilms,0.04456747618474547,0.039191324608665826,0.6605167428207711,0.5808389501357475
Incineration,EPS,ConsumerFilms,0,0,0,0
Landfill,EPS,ConsumerFilms,0,0,0,0
Sludge amended soil,EPS,ConsumerFilms,0,0,0,0
Sludge amended soil (MP),EPS,ConsumerFilms,0,0,0,0
Release,EPS,ConsumerFilms,0,0,0,0
Incineration,PVC,ConsumerFilms,0,0,0,0
Landfill,PVC,ConsumerFilms,7.056283861278099e-6,1.1983911547171855e-5,1.0457836142997655e-4,1.7760876089500263e-4
Sludge amended soil,PVC,ConsumerFilms,1.610075345103755e-4,2.691253959248135e-4,0.0023862282850290032,0.0039885998747098104
Sludge amended soil (MP),PVC,ConsumerFilms,0,0,0,0
Release,PVC,ConsumerFilms,0.09772874169262225,0.08499051681242474,1.448398600701513,1.259610463533754
Incineration,PET,ConsumerFilms,0,0,0,0
Landfill,PET,ConsumerFilms,7.787931139494043e-6,1.3166326369469526e-5,1.1542181316813644e-4,1.951328581503545e-4
Sludge amended soil,PET,ConsumerFilms,1.746580520441253e-4,2.889226696569831e-4,0.0025885371468060223,0.004282007352128953
Sludge amended soil (MP),PET,ConsumerFilms,0,0,0,0
Release,PET,ConsumerFilms,0.11139662109716447,0.09973438451008604,1.6509647758228538,1.4781234308795004
Incineration,LDPE,ConsumerBags,0,0,0,0
Landfill,LDPE,ConsumerBags,2.7204528782739707e-6,4.419238584062643e-6,4.0318744249869784e-5,6.54957678822307e-5
Sludge amended soil,LDPE,ConsumerBags,6.178312500700265e-5,9.907931284215614e-5,9.156629897943814e-4,0.0014684148756402133
Sludge amended soil (MP),LDPE,ConsumerBags,0,0,0,0
Release,LDPE,ConsumerBags,0.03829932952745395,0.0325541965975903,0.5676190477295195,0.48247272994891444
Incineration,HDPE,ConsumerBags,0,0,0,0
Landfill,HDPE,ConsumerBags,6.687940928036256e-6,1.1520528968271095e-5,9.911929810995786e-5,1.7074115299127796e-4
Sludge amended soil,HDPE,ConsumerBags,1.5273536364459307e-4,2.5466042283765387e-4,0.0022636297485161,0.003774220292861489
Sludge amended soil (MP),HDPE,ConsumerBags,0,0,0,0
Release,HDPE,ConsumerBags,0.088802820648335,0.08024831396031644,1.3161110942156518,1.1893281713822843
Incineration,PP,ConsumerBags,0,0,0,0
Landfill,PP,ConsumerBags,0,0,0,0
Sludge amended soil,PP,ConsumerBags,0,0,0,0
Sludge amended soil (MP),PP,ConsumerBags,0,0,0,0
Release,PP,ConsumerBags,0,0,0,0
Incineration,PS,ConsumerBags,0,0,0,0
Landfill,PS,ConsumerBags,0,0,0,0
Sludge amended soil,PS,ConsumerBags,0,0,0,0
Sludge amended soil (MP),PS,ConsumerBags,0,0,0,0
Release,PS,ConsumerBags,0,0,0,0
Incineration,EPS,ConsumerBags,0,0,0,0
Landfill,EPS,ConsumerBags,0,0,0,0
Sludge amended soil,EPS,ConsumerBags,0,0,0,0
