dest,pol,prod,mean,sd,mean_percap,sd_percap
Incineration,LDPE,Pre-consumer processes,7.429723059606957e-6,4.704598850720921e-6,0.0018888273249031099,0.0011960304294867667
Landfill,LDPE,Pre-consumer processes,6.535787097393965e-6,4.132773150273856e-6,0.001661565735393638,0.0010506575805365374
Sludge amended soil,LDPE,Pre-consumer processes,0,0,0,0
Sludge amended soil (MP),LDPE,Pre-consumer processes,4.449055198548334e-6,2.8630018441305166e-6,0.0011310646388298735,7.278489482120469e-4
Release,LDPE,Pre-consumer processes,7.599284566395354e-4,6.875416358011388e-4,0.19319342354439467,0.1747908257536686
Incineration,HDPE,Pre-consumer processes,1.6235182882024855e-5,1.1022740264656405e-5,0.004127402435642065,0.0028022650158233712
Landfill,HDPE,Pre-consumer processes,1.4146103977834011e-5,9.57668512428638e-6,0.0035963046697553435,0.0024346404838543425
Sludge amended soil,HDPE,Pre-consumer processes,0,0,0,0
Sludge amended soil (MP),HDPE,Pre-consumer processes,9.655876765514877e-6,6.617967137474496e-6,0.002454773042585842,0.0016824580222286134
Release,HDPE,Pre-consumer processes,0.001069808400198762,9.660145499007548e-4,0.2719729016135361,0.24558582647938568
Incineration,PP,Pre-consumer processes,1.2261977334535423e-4,9.297758732345621e-5,0.03117311057357008,0.023637301973594635
Landfill,PP,Pre-consumer processes,1.0716068085265766e-4,8.071172144208039e-5,0.02724301034181871,0.02051900234728729
Sludge amended soil,PP,Pre-consumer processes,0,0,0,0
Sludge amended soil (MP),PP,Pre-consumer processes,7.301335716760811e-5,5.622257063368884e-5,0.018561879493309695,0.014293228272067585
Release,PP,Pre-consumer processes,0.001664128719625366,0.0013433340695985787,0.4230644631794257,0.34151018507348235
Incineration,PS,Pre-consumer processes,1.0305921602040816e-6,9.487395068853069e-7,2.6200312143631523e-4,2.4119406476435606e-4
Landfill,PS,Pre-consumer processes,9.012045353377807e-7,8.371041556885165e-7,2.2910944836248854e-4,2.1281347775270403e-4
Sludge amended soil,PS,Pre-consumer processes,0,0,0,0
Sludge amended soil (MP),PS,Pre-consumer processes,6.114263791757104e-7,5.718250152715327e-7,1.5544036337402143e-4,1.4537267476092802e-4
Release,PS,Pre-consumer processes,3.80165738376785e-4,3.432981058186724e-4,0.09664794082863504,0.08727523726733506
Incineration,EPS,Pre-consumer processes,1.020952284631026e-6,9.505635390572888e-7,2.5955241630976143e-4,2.4165778081141473e-4
Landfill,EPS,Pre-consumer processes,8.958013509382728e-7,8.311344743249895e-7,2.277358194595802e-4,2.1129583070315285e-4
Sludge amended soil,EPS,Pre-consumer processes,0,0,0,0
Sludge amended soil (MP),EPS,Pre-consumer processes,6.050272650806894e-7,5.736274192454372e-7,1.538135434426621e-4,1.4583089236192226e-4
Release,EPS,Pre-consumer processes,3.7589847782463375e-4,3.4637277269454524e-4,0.09556309308010928,0.08805689692860787
