dest,pol,prod,mean,sd,mean_percap,sd_percap
Incineration,LDPE,Pre-consumer processes,6.900891122387411e-5,5.23460039215857e-5,0.0071221213031545175,0.005402412283472713
Landfill,LDPE,Pre-consumer processes,7.211818050862575e-6,5.447787611836108e-6,7.443015990774407e-4,5.622433902695187e-4
Sludge amended soil,LDPE,Pre-consumer processes,0,0,0,0
Sludge amended soil (MP),LDPE,Pre-consumer processes,2.4577218754092e-4,1.8248347725932832e-4,0.025365120265837555,0.018833356994230416
Release,LDPE,Pre-consumer processes,0.019238007439948808,0.007660924093442506,1.9854743422020993,0.7906519566835373
Incineration,HDPE,Pre-consumer processes,1.9565965355661434e-4,1.335030253239491e-4,0.02019321507975481,0.01377828926485556
Landfill,HDPE,Pre-consumer processes,2.0561064191512703e-5,1.4130491565009341e-5,0.0021220214997862297,0.0014583489757244781
Sludge amended soil,HDPE,Pre-consumer processes,0,0,0,0
Sludge amended soil (MP),HDPE,Pre-consumer processes,6.989060175901621e-4,4.693833175405741e-4,0.0721311689824156,0.04844309040546823
Release,HDPE,Pre-consumer processes,0.04899367535156631,0.01922231101000619,5.056432462891967,1.9838543792712957
Incineration,PP,Pre-consumer processes,5.590259848617916e-4,3.268178396838722e-4,0.05769473543619234,0.03372950329142684
Landfill,PP,Pre-consumer processes,5.891521374979324e-5,3.495702384980218e-5,0.006080392973685121,0.00360776832788842
Sludge amended soil,PP,Pre-consumer processes,0,0,0,0
Sludge amended soil (MP),PP,Pre-consumer processes,0.001999467107829831,0.0011527646226426708,0.20635664338238408,0.11897201869786772
Release,PP,Pre-consumer processes,0.0522444033228795,0.01799294640819544,5.391926510322182,1.8569767968747872
Incineration,PS,Pre-consumer processes,3.407831787432017e-5,2.5448708107792865e-5,0.0035170807567298625,0.002626454800370309
Landfill,PS,Pre-consumer processes,3.5663348548643015e-6,2.6672085225576635e-6,3.680665147956175e-4,2.752714439565214e-4
Sludge amended soil,PS,Pre-consumer processes,0,0,0,0
