dest,pol,prod,mean,sd,mean_percap,sd_percap
Incineration,LDPE,Pre-consumer processes,0,0,0,0
Landfill,LDPE,Pre-consumer processes,1.1566318872732513e-7,7.576823297860664e-8,2.3074490030587945e-5,1.5115555396123098e-5
Sludge amended soil,LDPE,Pre-consumer processes,0,0,0,0
Sludge amended soil (MP),LDPE,Pre-consumer processes,7.610487133182153e-5,4.454438801244963e-5,0.015182713827518957,0.008886483663657508
Release,LDPE,Pre-consumer processes,0.0034936796895645595,0.003242588920385671,0.6969795494483021,0.646887627256448
Incineration,HDPE,Pre-consumer processes,0,0,0,0
Landfill,HDPE,Pre-consumer processes,4.1426387352979756e-6,2.8738389267262535e-6,8.264451053940022e-4,5.733230113566319e-4
Sludge amended soil,HDPE,Pre-consumer processes,0,0,0,0
Sludge amended soil (MP),HDPE,Pre-consumer processes,0.002707958373436248,0.0016901690384645955,0.5402302943454989,0.3371841037514654
Release,HDPE,Pre-consumer processes,0.043345440091750995,0.017652927920074585,8.647296830337748,3.521710872615925
Incineration,PP,Pre-consumer processes,0,0,0,0
Landfill,PP,Pre-consumer processes,3.528227089755176e-5,2.0946184771023977e-5,0.007038716613643969,0.004178706613538677
Sludge amended soil,PP,Pre-consumer processes,0,0,0,0
Sludge amended soil (MP),PP,Pre-consumer processes,0.02315949678198655,0.012104346116771482,4.620256310494863,2.4147839677555525
Release,PP,Pre-consumer processes,0.12369657055389613,0.046324281683713726,24.67712774885212,9.241567586424955
Incineration,PS,Pre-consumer processes,0,0,0,0
Landfill,PS,Pre-consumer processes,2.0012873221321704e-6,1.5340112219431568e-6,3.99251351021859e-4,3.0603104615232747e-4
Sludge amended soil,PS,Pre-consumer processes,0,0,0,0
Sludge amended soil (MP),PS,Pre-consumer processes,0.001312900554797549,9.216511147483315e-4,0.26192007237711945,0.18386687841605784
Release,PS,Pre-consumer processes,0.02360607708545953,0.009589225153262094,4.709347860483488,1.9130242096441155
Incineration,EPS,Pre-consumer processes,0,0,0,0
Landfill,EPS,Pre-consumer processes,8.928099335734608e-8,5.963076627402585e-8,1.7811314159786557e-5,1.1896174894072109e-5
Sludge amended soil,EPS,Pre-consumer processes,0,0,0,0
Sludge amended soil (MP),EPS,Pre-consumer processes,5.876790765740171e-5,3.5723581793863625e-5,0.011724036958345311,0.007126756931305834
Release,EPS,Pre-consumer processes,0.002274362881841125,0.0015191530602894198,0.4537291788375544,0.3030668835114351
Incineration,PVC,Pre-consumer processes,0,0,0,0
Landfill,PVC,Pre-consumer processes,1.3965056553724617e-6,1.0604928213467676e-6,2.7859906143966437e-4,2.115654194124342e-4
Sludge amended soil,PVC,Pre-consumer processes,0,0,0,0
Sludge amended soil (MP),PVC,Pre-consumer processes,9.127572268210487e-4,6.377590593211216e-4,0.1820925720825617,0.12723118926727078
Release,PVC,Pre-consumer processes,0.0166192187881534,0.0068879415154704145,3.315488726041056,1.3741255068169043
Incineration,PET,Pre-consumer processes,0,0,0,0
Landfill,PET,Pre-consumer processes,8.030040047685568e-6,4.450621352529253e-6,0.0016019710425099886,8.878867957804838e-4
Sludge amended soil,PET,Pre-consumer processes,0,0,0,0
Sludge amended soil (MP),PET,Pre-consumer processes,0.005249134944307236,0.0025019468366609563,1.0471880749126672,0.49913155581154617
Release,PET,Pre-consumer processes,0.0373169270206681,0.01444590102694612,7.444624949261481,2.8819177726022662
Incineration,LDPE,ConsumerFilms,0,0,0,0
Landfill,LDPE,ConsumerFilms,1.241311028890305e-7,2.142490363087632e-7,2.4763815762085642e-5,4.2742097176866934e-5
Sludge amended soil,LDPE,ConsumerFilms,8.146650909041401e-5,1.3630712335538847e-4,0.016252345906398676,0.027192898566689636
Sludge amended soil (MP),LDPE,ConsumerFilms,0,0,0,0
Release,LDPE,ConsumerFilms,0.03408172663024336,0.026924165968735255,6.799211313538554,5.3712975239866045
Incineration,HDPE,ConsumerFilms,0,0,0,0
Landfill,HDPE,ConsumerFilms,1.5617913509513564e-7,2.650298057243915e-7,3.115731059632439e-5,5.287272188572627e-5
Sludge amended soil,HDPE,ConsumerFilms,1.0172206469925163e-4,1.639281405302436e-4,0.02029327388964841,0.03270321600172437
Sludge amended soil (MP),HDPE,ConsumerFilms,0,0,0,0
Release,HDPE,ConsumerFilms,0.03719243886146414,0.03312385170795656,7.419789901740441,6.608117884522315
Incineration,PP,ConsumerFilms,0,0,0,0
Landfill,PP,ConsumerFilms,3.6896488492536346e-7,6.714333698302012e-7,7.360748612005017e-5,1.339491221781513e-4
Sludge amended soil,PP,ConsumerFilms,2.393665680395635e-4,4.1512510540486547e-4,0.04775297610812024,0.08281632394463262
Sludge amended soil (MP),PP,ConsumerFilms,0,0,0,0
Release,PP,ConsumerFilms,0.08907097846080168,0.07496808445794542,17.769416761920297,14.955927953147151
Incineration,PS,ConsumerFilms,0,0,0,0
Landfill,PS,ConsumerFilms,1.657652348012657e-8,2.794308855382307e-8,3.3069711287807866e-6,5.5745697948815126e-6
Sludge amended soil,PS,ConsumerFilms,1.078283198918882e-5,1.7849659249642762e-5,0.002151145511149667,0.003560958235175909
Sludge amended soil (MP),PS,ConsumerFilms,0,0,0,0
Release,PS,ConsumerFilms,0.004157856493569454,0.003597061144752172,0.829481006577316,0.7176038672050776
Incineration,EPS,ConsumerFilms,0,0,0,0
Landfill,EPS,ConsumerFilms,0,0,0,0
Sludge amended soil,EPS,ConsumerFilms,0,0,0,0
Sludge amended soil (MP),EPS,ConsumerFilms,0,0,0,0
Release,EPS,ConsumerFilms,0,0,0,0
Incineration,PVC,ConsumerFilms,0,0,0,0
Landfill,PVC,ConsumerFilms,3.641441635336545e-8,6.185610496728713e-8,7.26457653779784e-6,1.2340123881276609e-5
Sludge amended soil,PVC,ConsumerFilms,2.405187220666966e-5,3.986200242742822e-5,0.004798282768756665,0.007952360536932573
Sludge amended soil (MP),PVC,ConsumerFilms,0,0,0,0
Release,PVC,ConsumerFilms,0.009095513553533241,0.007985323215668447,1.8145300948675818,1.5930501567387079
Incineration,PET,ConsumerFilms,0,0,0,0
Landfill,PET,ConsumerFilms,4.1114779150162325e-8,7.064138703028802e-8,8.202286069138237e-6,1.409276364168057e-5
Sludge amended soil,PET,ConsumerFilms,2.6871105678394564e-5,4.438612840472189e-5,0.005360712141083383,0.008854911304457147
Sludge amended soil (MP),PET,ConsumerFilms,0,0,0,0
Release,PET,ConsumerFilms,0.010146923308480386,0.008862690786663479,2.0242834673583343,1.7680825892078917
Incineration,LDPE,ConsumerBags,0,0,0,0
Landfill,LDPE,ConsumerBags,1.3908808447218855e-8,2.412482650855011e-8,2.7747692708811504e-6,4.812836952589497e-6
Sludge amended soil,LDPE,ConsumerBags,9.093104159197774e-6,1.5206198773858065e-5,0.0018140494272828021,0.0030335950951318807
Sludge amended soil (MP),LDPE,ConsumerBags,0,0,0,0
Release,LDPE,ConsumerBags,0.0035737544634990457,0.0029973941190356013,0.7129542479948621,0.5979719345320994
Incineration,HDPE,ConsumerBags,0,0,0,0
Landfill,HDPE,ConsumerBags,3.350091924577292e-8,5.823058389196607e-8,6.683341827748656e-6,1.1616842335707231e-5
Sludge amended soil,HDPE,ConsumerBags,2.194487988654866e-5,3.6894765168042326e-5,0.004377943559539692,0.0073604048134785
Sludge amended soil (MP),HDPE,ConsumerBags,0,0,0,0
Release,HDPE,ConsumerBags,0.008164655929764054,0.007161882630520336,1.6288265430642888,1.4287760105574623
Incineration,PP,ConsumerBags,0,0,0,0
Landfill,PP,ConsumerBags,0,0,0,0
Sludge amended soil,PP,ConsumerBags,0,0,0,0
Sludge amended soil (MP),PP,ConsumerBags,0,0,0,0
Release,PP,ConsumerBags,0,0,0,0
Incineration,PS,ConsumerBags,0,0,0,0
Landfill,PS,ConsumerBags,0,0,0,0
Sludge amended soil,PS,ConsumerBags,0,0,0,0
Sludge amended soil (MP),PS,ConsumerBags,0,0,0,0
Release,PS,ConsumerBags,0,0,0,0
Incineration,EPS,ConsumerBags,0,0,0,0
