dest,pol,prod,mean,sd,mean_percap,sd_percap
Incineration,LDPE,Pre-consumer processes,4.97147702590253e-4,3.717713731313459e-4,0.008335601931833978,0.0062334355764454745
Landfill,LDPE,Pre-consumer processes,4.439509047371438e-4,3.3376988803380424e-4,0.007443659097458195,0.005596270301535807
Sludge amended soil,LDPE,Pre-consumer processes,0,0,0,0
Sludge amended soil (MP),LDPE,Pre-consumer processes,0.003983126395319525,0.002736046352000615,0.06678449061028668,0.04587488414106326
Release,LDPE,Pre-consumer processes,0.07651497903723463,0.03165357333201556,1.2829153262781545,0.5307307780787689
Incineration,HDPE,Pre-consumer processes,5.702290571083313e-4,3.8604322308322223e-4,0.00956094618411149,0.00647272957179107
Landfill,HDPE,Pre-consumer processes,5.093251507457734e-4,3.4649140730102823e-4,0.008539779402314264,0.005809570131802014
Sludge amended soil,HDPE,Pre-consumer processes,0,0,0,0
Sludge amended soil (MP),HDPE,Pre-consumer processes,0.004577265005048492,0.0027943710715815306,0.07674632472363016,0.04685280607991421
Release,HDPE,Pre-consumer processes,0.0814907872399101,0.03471278050142573,1.3663439657962608,0.5820240518047727
Incineration,PP,Pre-consumer processes,0.0030789180382126565,0.00179821999103012,0.051623762945227934,0.030150488382015554
Landfill,PP,Pre-consumer processes,0.0027478863401220995,0.0016090716898982623,0.046073403469110284,0.02697906681835742
Sludge amended soil,PP,Pre-consumer processes,0,0,0,0
Sludge amended soil (MP),PP,Pre-consumer processes,0.024698303983428257,0.012680357890254047,0.414112806565595,0.21260968355206109
Release,PP,Pre-consumer processes,0.14201237894789862,0.05347302766183027,2.3811005343779925,0.8965743386856859
Incineration,PS,Pre-consumer processes,2.166455434240668e-4,1.63197238857288e-4,0.00363246375449363,0.0027363039442826775
Landfill,PS,Pre-consumer processes,1.9170642254343843e-4,1.45482566883845e-4,0.0032143132066630936,0.002439284661775122
Sludge amended soil,PS,Pre-consumer processes,0,0,0,0
Sludge amended soil (MP),PS,Pre-consumer processes,0.001723823403273469,0.0011966758541543535,0.028903091808733364,0.020064486891312194
Release,PS,Pre-consumer processes,0.033060211984788014,0.013607183040387626,0.5543156801317234,0.22814962363761992
Incineration,EPS,Pre-consumer processes,6.563328496856386e-5,4.549871820504771e-5,0.0011004635727492893,7.628702725365891e-4
Landfill,EPS,Pre-consumer processes,5.847382148423808e-5,4.077068846881039e-5,9.80421908390986e-4,6.835960978842511e-4
Sludge amended soil,EPS,Pre-consumer processes,0,0,0,0
Sludge amended soil (MP),EPS,Pre-consumer processes,5.274599846211717e-4,3.320064061550051e-4,0.008843843477231347,0.005566702261938956
Release,EPS,Pre-consumer processes,0.017051368379573963,0.009942030346461447,0.28589776934428535,0.1666965510059281
Incineration,PVC,Pre-consumer processes,1.8689556555452188e-4,1.32708434764743e-4,0.003133650279726788,0.002225102679610257
Landfill,PVC,Pre-consumer processes,1.649816854657514e-4,1.1597256963545857e-4,0.002766223496398202,0.0019444949065566333
Sludge amended soil,PVC,Pre-consumer processes,0,0,0,0
Sludge amended soil (MP),PVC,Pre-consumer processes,0.0014919952831773731,9.5888433994157e-4,0.025016064038800863,0.01607747177504307
Release,PVC,Pre-consumer processes,0.04435716091951113,0.024398386179364538,0.7437299505255658,0.40908412914454007
Incineration,PET,Pre-consumer processes,0.002152691697150321,0.0015329119467701368,0.0360938630027192,0.025702107679978353
Landfill,PET,Pre-consumer processes,0.0019085612325688288,0.001355681905007771,0.03200056364403297,0.022730517806795348
Sludge amended soil,PET,Pre-consumer processes,0,0,0,0
Sludge amended soil (MP),PET,Pre-consumer processes,0.017216688528186388,0.01119042729552687,0.2886696678021579,0.1876282378388492
Release,PET,Pre-consumer processes,0.04702406951693582,0.02132061559241973,0.7884456121707731,0.35747960534485207
