dest,pol,prod,mean,sd,mean_percap,sd_percap
Incineration,LDPE,Pre-consumer processes,1.0276132319352653e-5,6.467099116310809e-6,0.0036570165233924166,0.0023014775979699506
Landfill,LDPE,Pre-consumer processes,1.1876576668423356e-6,7.806444396018322e-7,4.2265743343889844e-4,2.778116830144276e-4
Sludge amended soil,LDPE,Pre-consumer processes,0,0,0,0
Sludge amended soil (MP),LDPE,Pre-consumer processes,8.756812800035567e-6,5.530788101066921e-6,0.003116328994876316,0.001968268103641746
Release,LDPE,Pre-consumer processes,0.001003825922836894,9.082914488120409e-4,0.3572363484956973,0.32323803675689905
Incineration,HDPE,Pre-consumer processes,2.3310807168419975e-5,1.573177229189566e-5,0.008295728815011644,0.00559854130190235
Landfill,HDPE,Pre-consumer processes,2.6976724239593695e-6,1.8653725471589682e-6,9.600336315775429e-4,6.638390802340974e-4
Sludge amended soil,HDPE,Pre-consumer processes,0,0,0,0
Sludge amended soil (MP),HDPE,Pre-consumer processes,1.9824248424884883e-5,1.3319166416882796e-5,0.007054950423040788,0.004739955671125706
Release,HDPE,Pre-consumer processes,0.0013679898577043206,0.0012391162303012156,0.4868331156106689,0.4409702393653811
Incineration,PP,Pre-consumer processes,1.803189957972015e-4,1.3749990882462866e-4,0.06417098638074316,0.04893275241207621
Landfill,PP,Pre-consumer processes,2.094946926538545e-5,1.6420708678369797e-5,0.007455388163456657,0.00584371639994555
Sludge amended soil,PP,Pre-consumer processes,0,0,0,0
Sludge amended soil (MP),PP,Pre-consumer processes,1.5362992304024712e-4,1.1705968208029683e-4,0.05467301797852691,0.04165859082842914
Release,PP,Pre-consumer processes,0.0021657459974893318,0.0017341472058947248,0.7707344214879096,0.6171392882912297
Incineration,PS,Pre-consumer processes,1.5662639549378974e-6,1.4406964484607974e-6,5.573938701056619e-4,5.127075589803039e-4
Landfill,PS,Pre-consumer processes,1.8122475512195215e-7,1.7058296735469923e-7,6.449332329835871e-5,6.07061792159506e-5
Sludge amended soil,PS,Pre-consumer processes,0,0,0,0
Sludge amended soil (MP),PS,Pre-consumer processes,1.3356338418960904e-6,1.2364828252115666e-6,4.753184249892759e-4,4.40033076858482e-4
Release,PS,Pre-consumer processes,5.00543599252522e-4,4.534634829388835e-4,0.1781308527623258,0.1613762258334796
Incineration,EPS,Pre-consumer processes,1.5760449639125395e-6,1.4622550533111182e-6,5.608746847082874e-4,5.203797231475981e-4
Landfill,EPS,Pre-consumer processes,1.8257343629534416e-7,1.7269154409913023e-7,6.497328493982127e-5,6.145656854099881e-5
Sludge amended soil,EPS,Pre-consumer processes,0,0,0,0
Sludge amended soil (MP),EPS,Pre-consumer processes,1.3515784042055701e-6,1.264277586885639e-6,4.809926928959099e-4,4.499245320818067e-4
Release,EPS,Pre-consumer processes,4.796114455355062e-4,4.3457815434997743e-4,0.17068162676616436,0.1546554133183216
Incineration,PVC,Pre-consumer processes,2.067570913031349e-5,1.3477204247682706e-5,0.007357963830420494,0.004796197352392104
Landfill,PVC,Pre-consumer processes,2.3877474247473127e-6,1.6000881441588108e-6,8.497391347855562e-4,5.694310466451543e-4
Sludge amended soil,PVC,Pre-consumer processes,0,0,0,0
Sludge amended soil (MP),PVC,Pre-consumer processes,1.763853832224206e-5,1.1486635845387674e-5,0.006277111279644659,0.004087804222378928
Release,PVC,Pre-consumer processes,0.001748556059052892,0.001046667213314255,0.6222670360123559,0.3724824841321673
Incineration,PET,Pre-consumer processes,0.005218607570244829,0.00271669327454369,1.857170919991455,0.9668026729555758
Landfill,PET,Pre-consumer processes,6.029927181146873e-4,3.2989321276337527e-4,0.21458991234258762,0.11740068077545662
Sludge amended soil,PET,Pre-consumer processes,0,0,0,0
Sludge amended soil (MP),PET,Pre-consumer processes,0.004451658206004318,0.002303820911316246,1.584232969168188,0.8198718036895838
Release,PET,Pre-consumer processes,0.10377072477350557,0.03844575207285731,36.92938581828448,13.681874290379357
Incineration,LDPE,ConsumerFilms,0,0,0,0
Landfill,LDPE,ConsumerFilms,2.6774291409137976e-6,4.625050422425273e-6,9.528295572931014e-4,0.001645938889330864
Sludge amended soil,LDPE,ConsumerFilms,1.985483771481799e-5,3.378602187241734e-5,0.0070658363804465265,0.012023593742019006
Sludge amended soil (MP),LDPE,ConsumerFilms,0,0,0,0
Release,LDPE,ConsumerFilms,0.01010050441695114,0.007996273894503837,3.594514978930838,2.8456723647573763
Incineration,HDPE,ConsumerFilms,0,0,0,0
Landfill,HDPE,ConsumerFilms,3.271673543768093e-6,5.6785146241013945e-6,0.0011643061647010253,0.0020208402503299476
Sludge amended soil,HDPE,ConsumerFilms,2.4189684779815495e-5,4.135073055042686e-5,0.008608499208290848,0.014715682922111766
Sludge amended soil (MP),HDPE,ConsumerFilms,0,0,0,0
Release,HDPE,ConsumerFilms,0.01096941147829175,0.009857951587097517,3.90373710471358,3.5081965393658088
Incineration,PP,ConsumerFilms,0,0,0,0
Landfill,PP,ConsumerFilms,7.31933391120724e-6,1.2072122641155829e-5,0.0026047664842834086,0.004296164218125568
Sludge amended soil,PP,ConsumerFilms,5.386275983951237e-5,8.856425335383435e-5,0.019168398830137174,0.03151778585868651
Sludge amended soil (MP),PP,ConsumerFilms,0,0,0,0
Release,PP,ConsumerFilms,0.026233801432144065,0.022935862278542787,9.335948811020184,8.162295377699813
Incineration,PS,ConsumerFilms,0,0,0,0
Landfill,PS,ConsumerFilms,3.479578618200318e-7,5.853395350567272e-7,1.238294341270522e-4,2.0830758937056323e-4
Sludge amended soil,PS,ConsumerFilms,2.5936306020665013e-6,4.39103884309792e-6,9.230077691264025e-4,0.0015626600655798677
Sludge amended soil (MP),PS,ConsumerFilms,0,0,0,0
Release,PS,ConsumerFilms,0.0012213855107259485,0.0010681497200789169,0.4346603231008469,0.38012756690852517
Incineration,EPS,ConsumerFilms,0,0,0,0
Landfill,EPS,ConsumerFilms,0,0,0,0
Sludge amended soil,EPS,ConsumerFilms,0,0,0,0
Sludge amended soil (MP),EPS,ConsumerFilms,0,0,0,0
Release,EPS,ConsumerFilms,0,0,0,0
Incineration,PVC,ConsumerFilms,0,0,0,0
Landfill,PVC,ConsumerFilms,7.67088279679488e-7,1.2475830585937537e-6,2.729873873271874e-4,4.439833701819458e-4
Sludge amended soil,PVC,ConsumerFilms,5.660860192718858e-6,8.989801892497525e-6,0.0020145574831106653,0.003199243941319635
Sludge amended soil (MP),PVC,ConsumerFilms,0,0,0,0
Release,PVC,ConsumerFilms,0.002704683341289376,0.002357585573203943,0.962528640372991,0.8390052919308388
Incineration,PET,ConsumerFilms,0,0,0,0
Landfill,PET,ConsumerFilms,8.817953996696255e-7,1.5590740025093143e-6,3.138087605947043e-4,5.548351472304985e-4
Sludge amended soil,PET,ConsumerFilms,6.494351253893895e-6,1.107652883391238e-5,0.002311175946953977,0.003941857472111829
Sludge amended soil (MP),PET,ConsumerFilms,0,0,0,0
