dest,pol,prod,mean,sd,mean_percap,sd_percap
Incineration,LDPE,Pre-consumer processes,1.272505233475983e-6,1.1563130462574963e-6,0.0020324053254007026,0.0018468268194265147
Landfill,LDPE,Pre-consumer processes,0,0,0,0
Sludge amended soil,LDPE,Pre-consumer processes,0,0,0,0
Sludge amended soil (MP),LDPE,Pre-consumer processes,8.033389533538635e-7,7.469353807335291e-7,0.0012830677029424054,0.0011929816912314313
Release,LDPE,Pre-consumer processes,2.7939024042538324e-4,2.5721446957988856e-4,0.44623330228232705,0.4108148587462364
Incineration,HDPE,Pre-consumer processes,6.8599913750089185e-6,4.272817561904708e-6,0.010956562406180594,0.006824409785380011
Landfill,HDPE,Pre-consumer processes,0,0,0,0
Sludge amended soil,HDPE,Pre-consumer processes,0,0,0,0
Sludge amended soil (MP),HDPE,Pre-consumer processes,4.315799779655197e-6,2.763989683940311e-6,0.006893059631333887,0.004414557367004273
Release,HDPE,Pre-consumer processes,3.949329332443195e-4,3.5432094827560093e-4,0.630774456234898,0.5659102715116257
Incineration,PP,Pre-consumer processes,7.600056545891343e-5,5.6782891954043014e-5,0.12138571214377303,0.09069184861724018
Landfill,PP,Pre-consumer processes,0,0,0,0
Sludge amended soil,PP,Pre-consumer processes,0,0,0,0
Sludge amended soil (MP),PP,Pre-consumer processes,4.790638756851444e-5,3.6582161153892595e-5,0.07651457507093734,0.05842787690604911
Release,PP,Pre-consumer processes,5.900221382639095e-4,4.898109720422025e-4,0.9423647969102925,0.7823106749030558
Incineration,PS,Pre-consumer processes,6.439909393112954e-7,5.855369747618557e-7,0.001028562068063809,9.352012348697919e-4
Landfill,PS,Pre-consumer processes,0,0,0,0
Sludge amended soil,PS,Pre-consumer processes,0,0,0,0
Sludge amended soil (MP),PS,Pre-consumer processes,4.03848592249624e-7,3.724583726552612e-7,6.450142663080873e-4,5.948787951204284e-4
Release,PS,Pre-consumer processes,1.4034518337946786e-4,1.285965980307561e-4,0.22415491157989972,0.2053904406759794
Incineration,EPS,Pre-consumer processes,6.391160221668736e-7,5.79930082380664e-7,0.0010207760037675186,9.262460827535569e-4
Landfill,EPS,Pre-consumer processes,0,0,0,0
Sludge amended soil,EPS,Pre-consumer processes,0,0,0,0
Sludge amended soil (MP),EPS,Pre-consumer processes,4.00890180496414e-7,3.6623681172588214e-7,6.402891841286391e-4,5.849419137367389e-4
Release,EPS,Pre-consumer processes,1.382047413006705e-4,1.2759833213676818e-4,0.2207362648307808,0.20379604179593327
Incineration,PVC,Pre-consumer processes,1.5430747802519922e-6,1.4171605064158748e-6,0.0024645504932886853,0.0022634441764294256
Landfill,PVC,Pre-consumer processes,0,0,0,0
Sludge amended soil,PVC,Pre-consumer processes,0,0,0,0
Sludge amended soil (MP),PVC,Pre-consumer processes,9.709342079155867e-7,9.084839628638503e-7,0.0015507455709168176,0.0014510020042290631
Release,PVC,Pre-consumer processes,3.4136179404117687e-4,3.1345150916926563e-4,0.5452123180684113,0.5006348891393587
Incineration,PET,Pre-consumer processes,1.4897506845399874e-4,1.1346809291499539e-4,0.23793829252141602,0.18122766825371245
Landfill,PET,Pre-consumer processes,0,0,0,0
Sludge amended soil,PET,Pre-consumer processes,0,0,0,0
Sludge amended soil (MP),PET,Pre-consumer processes,9.396804446273755e-5,7.318480435840052e-5,0.15008280434483753,0.11688846709896779
Release,PET,Pre-consumer processes,3.685528972202649e-4,2.4497670463072524e-4,0.588641092623421,0.3912690855742543
Incineration,LDPE,ConsumerFilms,0,0,0,0
Landfill,LDPE,ConsumerFilms,0,0,0,0
Sludge amended soil,LDPE,ConsumerFilms,1.2220596428400376e-5,1.9587328695169367e-5,0.019518352150747757,0.03128426516698296
Sludge amended soil (MP),LDPE,ConsumerFilms,0,0,0,0
Release,LDPE,ConsumerFilms,0.0034316644888038703,0.002556739246880789,5.480946560024581,4.083543489111765
Incineration,HDPE,ConsumerFilms,0,0,0,0
Landfill,HDPE,ConsumerFilms,0,0,0,0
Sludge amended soil,HDPE,ConsumerFilms,1.5733807265760034e-5,2.4518445683708558e-5,0.025129541973205955,0.039160090086228824
Sludge amended soil (MP),HDPE,ConsumerFilms,0,0,0,0
Release,HDPE,ConsumerFilms,0.003594440354398366,0.003142853928892447,5.740927051560379,5.019667419826048
Incineration,PP,ConsumerFilms,0,0,0,0
Landfill,PP,ConsumerFilms,0,0,0,0
Sludge amended soil,PP,ConsumerFilms,3.524568741326354e-5,5.405761401326076e-5,0.056293303093497504,0.08633912042852154
Sludge amended soil (MP),PP,ConsumerFilms,0,0,0,0
Release,PP,ConsumerFilms,0.008743316895096352,0.007268170929251876,13.964550676714484,11.608493948730692
Incineration,PS,ConsumerFilms,0,0,0,0
Landfill,PS,ConsumerFilms,0,0,0,0
Sludge amended soil,PS,ConsumerFilms,1.6402285727273411e-6,2.555152348952085e-6,0.0026197214741344003,0.004081008945664461
Sludge amended soil (MP),PS,ConsumerFilms,0,0,0,0
Release,PS,ConsumerFilms,4.0928530050755955e-4,3.474445558118659e-4,0.6536976056967161,0.5549275138025164
Incineration,EPS,ConsumerFilms,0,0,0,0
Landfill,EPS,ConsumerFilms,0,0,0,0
Sludge amended soil,EPS,ConsumerFilms,0,0,0,0
Sludge amended soil (MP),EPS,ConsumerFilms,0,0,0,0
Release,EPS,ConsumerFilms,0,0,0,0
Incineration,PVC,ConsumerFilms,0,0,0,0
Landfill,PVC,ConsumerFilms,0,0,0,0
Sludge amended soil,PVC,ConsumerFilms,3.5547674981651976e-6,5.792071029326524e-6,0.005677562813708174,0.00925091362724406
Sludge amended soil (MP),PVC,ConsumerFilms,0,0,0,0
Release,PVC,ConsumerFilms,8.82257985146892e-4,7.349113739821239e-4,1.4091146976989464,1.173777325927993
Incineration,PET,ConsumerFilms,0,0,0,0
Landfill,PET,ConsumerFilms,0,0,0,0
Sludge amended soil,PET,ConsumerFilms,4.066021677495217e-6,6.458646612395836e-6,0.006494121904679732,0.01031554717779654
Sludge amended soil (MP),PET,ConsumerFilms,0,0,0,0
Release,PET,ConsumerFilms,9.97003918372259e-4,8.339022779296273e-4,1.5923832922950338,1.3318824834207954
Incineration,LDPE,ConsumerBags,0,0,0,0
Landfill,LDPE,ConsumerBags,0,0,0,0
Sludge amended soil,LDPE,ConsumerBags,1.3683268678381e-6,2.1909446129815393e-6,0.0021854486252181732,0.003499307807888638
Sludge amended soil (MP),LDPE,ConsumerBags,0,0,0,0
Release,LDPE,ConsumerBags,3.5308320486943887e-4,2.802898545517974e-4,0.5639333866831903,0.4476701376628272
Incineration,HDPE,ConsumerBags,0,0,0,0
Landfill,HDPE,ConsumerBags,0,0,0,0
Sludge amended soil,HDPE,ConsumerBags,3.407656795911108e-6,5.4609531206421756e-06,0.005442602228227572,0.008722062520590977
Sludge amended soil (MP),HDPE,ConsumerBags,0,0,0,0
Release,HDPE,ConsumerBags,7.907669646353326e-4,6.773713186194013e-4,1.2629881180807987,1.081876159735064
Incineration,PP,ConsumerBags,0,0,0,0
Landfill,PP,ConsumerBags,0,0,0,0
Sludge amended soil,PP,ConsumerBags,0,0,0,0
Sludge amended soil (MP),PP,ConsumerBags,0,0,0,0
Release,PP,ConsumerBags,0,0,0,0
Incineration,PS,ConsumerBags,0,0,0,0
Landfill,PS,ConsumerBags,0,0,0,0
Sludge amended soil,PS,ConsumerBags,0,0,0,0
Sludge amended soil (MP),PS,ConsumerBags,0,0,0,0
Release,PS,ConsumerBags,0,0,0,0
Incineration,EPS,ConsumerBags,0,0,0,0
Landfill,EPS,ConsumerBags,0,0,0,0
Sludge amended soil,EPS,ConsumerBags,0,0,0,0
Sludge amended soil (MP),EPS,ConsumerBags,0,0,0,0
Release,EPS,ConsumerBags,0,0,0,0
Incineration,PVC,ConsumerBags,0,0,0,0
Landfill,PVC,ConsumerBags,0,0,0,0
Sludge amended soil,PVC,ConsumerBags,0,0,0,0
Sludge amended soil (MP),PVC,ConsumerBags,0,0,0,0
Release,PVC,ConsumerBags,0,0,0,0
Incineration,PET,ConsumerBags,0,0,0,0
Landfill,PET,ConsumerBags,0,0,0,0
Sludge amended soil,PET,ConsumerBags,0,0,0,0
Sludge amended soil (MP),PET,ConsumerBags,0,0,0,0
Release,PET,ConsumerBags,0,0,0,0
Incineration,LDPE,ConsumerBottles,0,0,0,0
Landfill,LDPE,ConsumerBottles,0,0,0,0
Sludge amended soil,LDPE,ConsumerBottles,0,0,0,0
Sludge amended soil (MP),LDPE,ConsumerBottles,0,0,0,0
Release,LDPE,ConsumerBottles,0,0,0,0
Incineration,HDPE,ConsumerBottles,0,0,0,0
Landfill,HDPE,ConsumerBottles,0,0,0,0
Sludge amended soil,HDPE,ConsumerBottles,1.9464125499746218e-7,2.5692182151630135e-7,3.1087488899273315e-4,4.103474504658962e-4
Sludge amended soil (MP),HDPE,ConsumerBottles,0,0,0,0
Release,HDPE,ConsumerBottles,5.801180226766161e-4,3.163275657120304e-4,0.9265462550815772,0.5052284361676107
Incineration,PP,ConsumerBottles,0,0,0,0
Landfill,PP,ConsumerBottles,0,0,0,0
Sludge amended soil,PP,ConsumerBottles,2.7129383402832168e-8,3.536854255839296e-8,4.3330197670101906e-5,5.648952346622781e-5
Sludge amended soil (MP),PP,ConsumerBottles,0,0,0,0
Release,PP,ConsumerBottles,8.083799650421962e-5,4.425348372334852e-5,0.12911190482188317,0.07068027197120706
Incineration,PS,ConsumerBottles,0,0,0,0
Landfill,PS,ConsumerBottles,0,0,0,0
Sludge amended soil,PS,ConsumerBottles,0,0,0,0
Sludge amended soil (MP),PS,ConsumerBottles,0,0,0,0
Release,PS,ConsumerBottles,0,0,0,0
Incineration,EPS,ConsumerBottles,0,0,0,0
Landfill,EPS,ConsumerBottles,0,0,0,0
Sludge amended soil,EPS,ConsumerBottles,0,0,0,0
Sludge amended soil (MP),EPS,ConsumerBottles,0,0,0,0
Release,EPS,ConsumerBottles,0,0,0,0
Incineration,PVC,ConsumerBottles,0,0,0,0
Landfill,PVC,ConsumerBottles,0,0,0,0
Sludge amended soil,PVC,ConsumerBottles,0,0,0,0
Sludge amended soil (MP),PVC,ConsumerBottles,0,0,0,0
Release,PVC,ConsumerBottles,0,0,0,0
Incineration,PET,ConsumerBottles,0,0,0,0
Landfill,PET,ConsumerBottles,0,0,0,0
Sludge amended soil,PET,ConsumerBottles,1.1764448124953721e-4,1.8664859772447317e-4,0.18789806431084927,0.2981092682484063
Sludge amended soil (MP),PET,ConsumerBottles,0,0,0,0
Release,PET,ConsumerBottles,0.024550428628772766,0.022930456639855608,39.21117223988954,36.62380394413681
Incineration,LDPE,ConsumerOther,0,0,0,0
Landfill,LDPE,ConsumerOther,0,0,0,0
Sludge amended soil,LDPE,ConsumerOther,2.4490450175356117e-8,3.218147491392474e-8,3.911537654103784e-5,5.139923929086474e-5
Sludge amended soil (MP),LDPE,ConsumerOther,0,0,0,0
Release,LDPE,ConsumerOther,7.210892451011254e-5,3.9434672844265806e-5,0.11517010565287865,0.06298381883679142
Incineration,HDPE,ConsumerOther,0,0,0,0
Landfill,HDPE,ConsumerOther,0,0,0,0
Sludge amended soil,HDPE,ConsumerOther,5.965164781762636e-6,9.547658961192758e-6,0.009527373523038575,0.015249220519770961
Sludge amended soil (MP),HDPE,ConsumerOther,0,0,0,0
Release,HDPE,ConsumerOther,0.0012970725696295183,0.0011593424550324614,2.0716435018072255,1.8516652958155164
Incineration,PP,ConsumerOther,0,0,0,0
Landfill,PP,ConsumerOther,0,0,0,0
Sludge amended soil,PP,ConsumerOther,1.412960492807536e-5,2.161653561064882e-5,0.022567360468282407,0.03452525061275183
Sludge amended soil (MP),PP,ConsumerOther,0,0,0,0
Release,PP,ConsumerOther,0.0035432339264669377,0.0029247315572950953,5.6591417558423425,4.671289230124987
Incineration,PS,ConsumerOther,0,0,0,0
Landfill,PS,ConsumerOther,0,0,0,0
Sludge amended soil,PS,ConsumerOther,5.732117270520417e-6,8.8830704075902e-6,0.009155157369847402,0.014187760590170066
Sludge amended soil (MP),PS,ConsumerOther,0,0,0,0
Release,PS,ConsumerOther,0.0014515220961541335,0.0011762933980882025,2.3183254265304605,1.8787388087809174
Incineration,EPS,ConsumerOther,0,0,0,0
Landfill,EPS,ConsumerOther,0,0,0,0
Sludge amended soil,EPS,ConsumerOther,1.6218530166814477e-8,2.1035385179518194e-8,2.5903726141200045e-5,3.359705542736747e-5
Sludge amended soil (MP),EPS,ConsumerOther,0,0,0,0
Release,EPS,ConsumerOther,4.82362503067286e-5,2.6174073844588546e-5,0.07704142145880359,0.04180440729808363
Incineration,PVC,ConsumerOther,0,0,0,0
Landfill,PVC,ConsumerOther,0,0,0,0
Sludge amended soil,PVC,ConsumerOther,2.21649959789903e-6,3.568115933381503e-6,0.0035401234258291385,0.00569888251448872
Sludge amended soil (MP),PVC,ConsumerOther,0,0,0,0
Release,PVC,ConsumerOther,5.329038330920076e-4,4.5465755897348964e-4,0.851137236853718,0.7261647494896881
Incineration,PET,ConsumerOther,0,0,0,0
Landfill,PET,ConsumerOther,0,0,0,0
Sludge amended soil,PET,ConsumerOther,1.186453910496552e-5,1.8525440929876507e-5,0.018949668595458803,0.029588251435657277
Sludge amended soil (MP),PET,ConsumerOther,0,0,0,0
Release,PET,ConsumerOther,0.0027417408729896705,0.0023525048105381098,4.379022266110113,3.7573466726796494
Incineration,LDPE,AgriculturalPackagingFilms,0,0,0,0
Landfill,LDPE,AgriculturalPackagingFilms,0,0,0,0
Sludge amended soil,LDPE,AgriculturalPackagingFilms,2.0821975811852335e-8,2.691096889465818e-8,3.325620469927287e-5,4.2981352889051375e-5
Sludge amended soil (MP),LDPE,AgriculturalPackagingFilms,0,0,0,0
Release,LDPE,AgriculturalPackagingFilms,3.541724437472301e-4,1.8256724910240552e-4,0.5656730847509217,0.29159066663004707
Incineration,HDPE,AgriculturalPackagingFilms,0,0,0,0
Landfill,HDPE,AgriculturalPackagingFilms,0,0,0,0
Sludge amended soil,HDPE,AgriculturalPackagingFilms,1.522741264643452e-10,1.9940802798218694e-10,2.4320744418589955e-7,3.184882288394126e-7
Sludge amended soil (MP),HDPE,AgriculturalPackagingFilms,0,0,0,0
