dest,pol,prod,mean,sd,mean_percap,sd_percap
Incineration,LDPE,Pre-consumer processes,0,0,0,0
Landfill,LDPE,Pre-consumer processes,1.3223235579468615e-6,8.81468229102233e-7,6.931597667038995e-4,4.6206415091786234e-4
Sludge amended soil,LDPE,Pre-consumer processes,0,0,0,0
Sludge amended soil (MP),LDPE,Pre-consumer processes,1.1454929896775849e-5,7.156092695532793e-6,0.006004654826831535,0.0037512116558285837
Release,LDPE,Pre-consumer processes,5.485314089974421e-4,4.911732556120057e-4,0.2875392344070359,0.25747218766928626
Incineration,HDPE,Pre-consumer processes,0,0,0,0
Landfill,HDPE,Pre-consumer processes,2.7207161334989054e-6,1.906120518259542e-6,0.0014261947834400019,9.991851433077134e-4
Sludge amended soil,HDPE,Pre-consumer processes,0,0,0,0
Sludge amended soil (MP),HDPE,Pre-consumer processes,2.3472807495958966e-5,1.5476211627134435e-5,0.012304405884628652,0.008112603890670285
Release,HDPE,Pre-consumer processes,7.650868616464541e-4,6.795327484778704e-4,0.40105723545491456,0.3562099144130266
Incineration,PP,Pre-consumer processes,0,0,0,0
Landfill,PP,Pre-consumer processes,2.0463258601544733e-5,1.5499114138510053e-5,0.010726805457714093,0.008124609348295729
Sludge amended soil,PP,Pre-consumer processes,0,0,0,0
Sludge amended soil (MP),PP,Pre-consumer processes,1.7726281003368016e-4,1.2838602214418734e-4,0.09292086442065874,0.06729973509333997
Release,PP,Pre-consumer processes,0.0012859535066304985,9.336929980890893e-4,0.6740946474795227,0.4894402862589745
Incineration,PS,Pre-consumer processes,0,0,0,0
Landfill,PS,Pre-consumer processes,1.5907146462422183e-7,1.493881740029071e-7,8.338499200556795e-5,7.830902748262e-5
Sludge amended soil,PS,Pre-consumer processes,0,0,0,0
Sludge amended soil (MP),PS,Pre-consumer processes,1.380690492736708e-6,1.24530721647829e-6,7.23755614943168e-4,6.527879311089624e-4
Release,PS,Pre-consumer processes,2.6833013874172145e-4,2.459134328949048e-4,0.1406582036991214,0.12890740450805552
Incineration,EPS,Pre-consumer processes,0,0,0,0
Landfill,EPS,Pre-consumer processes,1.5939918966742875e-7,1.5280823363263787e-7,8.355678491746694e-5,8.010181694085097e-5
Sludge amended soil,EPS,Pre-consumer processes,0,0,0,0
Sludge amended soil (MP),EPS,Pre-consumer processes,1.3821032626541117e-6,1.2675499082266736e-6,7.244961865381219e-4,6.644475124047197e-4
Release,EPS,Pre-consumer processes,2.694936652545136e-4,2.503479359602669e-4,0.14126812232404032,0.13123196349497002
Incineration,PVC,Pre-consumer processes,0,0,0,0
Landfill,PVC,Pre-consumer processes,3.93902450493714e-7,3.742361712780088e-7,2.0648299657631097e-4,1.9617396636115105e-4
Sludge amended soil,PVC,Pre-consumer processes,0,0,0,0
Sludge amended soil (MP),PVC,Pre-consumer processes,3.3966030623987146e-6,3.0910558953149435e-6,0.001780493565412722,0.001620326258568647
Release,PVC,Pre-consumer processes,6.43022593103299e-4,5.872699127834414e-4,0.3370713528789228,0.30784589239961807
Incineration,PET,Pre-consumer processes,0,0,0,0
Landfill,PET,Pre-consumer processes,3.741202269756352e-5,3.0322062786779345e-5,0.0196113188554463,0.015894773893236187
Sludge amended soil,PET,Pre-consumer processes,0,0,0,0
Sludge amended soil (MP),PET,Pre-consumer processes,3.2279043850061103e-4,2.480123473949083e-4,0.16920620047996177,0.13000765192965694
Release,PET,Pre-consumer processes,8.169839514425302e-4,5.075634749439361e-4,0.4282616019198921,0.2660639128488533
Incineration,LDPE,ConsumerFilms,0,0,0,0
Landfill,LDPE,ConsumerFilms,1.1385017161497049e-6,1.8546988306507672e-6,5.968006689555112e-4,9.722299818631407e-4
Sludge amended soil,LDPE,ConsumerFilms,9.912375345415753e-6,1.5905042257194476e-5,0.005196050346844066,0.008337396179744702
Sludge amended soil (MP),LDPE,ConsumerFilms,0,0,0,0
Release,LDPE,ConsumerFilms,0.006847460205045188,0.005239319681551785,3.589427027688253,2.746442492327983
Incineration,HDPE,ConsumerFilms,0,0,0,0
Landfill,HDPE,ConsumerFilms,1.4442866109705717e-6,2.548992406425331e-6,7.570925922762376e-4,0.001336177496913956
Sludge amended soil,HDPE,ConsumerFilms,1.2471600451697696e-5,2.1144678581994255e-5,0.006537591807670435,0.011084004655926327
Sludge amended soil (MP),HDPE,ConsumerFilms,0,0,0,0
Release,HDPE,ConsumerFilms,0.007274161764128988,0.006422255055193423,3.8131032613673645,3.36653520919099
Incineration,PP,ConsumerFilms,0,0,0,0
Landfill,PP,ConsumerFilms,3.218094397645237e-6,5.4079066448020744e-6,0.001686919626060643,0.002834815492577129
Sludge amended soil,PP,ConsumerFilms,2.7982019686998418e-5,4.636707798309332e-5,0.014668127268532859,0.02430554365030381
Sludge amended soil (MP),PP,ConsumerFilms,0,0,0,0
Release,PP,ConsumerFilms,0.017495129051351102,0.0145534438139883,9.170916980801815,7.6288905678316805
Incineration,PS,ConsumerFilms,0,0,0,0
