dest,pol,prod,mean,sd,mean_percap,sd_percap
Incineration,LDPE,Pre-consumer processes,0,0,0,0
Landfill,LDPE,Pre-consumer processes,3.354803429148827e-6,2.0130250652883578e-6,0.0065160160222758395,0.0039098873766174125
Sludge amended soil,LDPE,Pre-consumer processes,0,0,0,0
Sludge amended soil (MP),LDPE,Pre-consumer processes,0,0,0,0
Release,LDPE,Pre-consumer processes,1.6353547096769407e-4,1.4933780168445212e-4,0.31763403476259156,0.29005798076050954
Incineration,HDPE,Pre-consumer processes,0,0,0,0
Landfill,HDPE,Pre-consumer processes,9.589990089641448e-6,6.220081410663657e-6,0.018626584358006522,0.012081229493087679
Sludge amended soil,HDPE,Pre-consumer processes,0,0,0,0
Sludge amended soil (MP),HDPE,Pre-consumer processes,0,0,0,0
Release,HDPE,Pre-consumer processes,2.2345567040297934e-4,2.0597239715500453e-4,0.43401670451482327,0.4000590402249265
Incineration,PP,Pre-consumer processes,0,0,0,0
Landfill,PP,Pre-consumer processes,8.600007579761565e-5,6.404114442111308e-5,0.1670374684088057,0.12438675825448539
Sludge amended soil,PP,Pre-consumer processes,0,0,0,0
Sludge amended soil (MP),PP,Pre-consumer processes,0,0,0,0
Release,PP,Pre-consumer processes,3.2681775044433094e-4,2.847883731133456e-4,0.6347762971017683,0.5531428715140101
Incineration,PS,Pre-consumer processes,0,0,0,0
Landfill,PS,Pre-consumer processes,7.219774069912702e-7,6.601661183511662e-7,0.0014022926979271255,0.0012822369761411778
Sludge amended soil,PS,Pre-consumer processes,0,0,0,0
Sludge amended soil (MP),PS,Pre-consumer processes,0,0,0,0
Release,PS,Pre-consumer processes,8.083854000897959e-5,7.391083593289889e-5,0.15701224618383738,0.1435566051274609
Incineration,EPS,Pre-consumer processes,0,0,0,0
Landfill,EPS,Pre-consumer processes,7.349347204555006e-7,6.777269429581766e-7,0.0014274596157277306,0.0013163452680039556
Sludge amended soil,EPS,Pre-consumer processes,0,0,0,0
Sludge amended soil (MP),EPS,Pre-consumer processes,0,0,0,0
Release,EPS,Pre-consumer processes,8.098265936403443e-5,7.49378716945716e-5,0.15729216840476334,0.1455514109692469
Incineration,PVC,Pre-consumer processes,0,0,0,0
Landfill,PVC,Pre-consumer processes,1.7311090539538956e-6,1.5988381563114542e-6,0.0033623234773944035,0.0031054144493332186
Sludge amended soil,PVC,Pre-consumer processes,0,0,0,0
Sludge amended soil (MP),PVC,Pre-consumer processes,0,0,0,0
Release,PVC,Pre-consumer processes,1.9331904391909152e-4,1.7958872607747506e-4,0.3754825026834575,0.34881418278442483
Incineration,PET,Pre-consumer processes,0,0,0,0
Landfill,PET,Pre-consumer processes,1.7051482329576113e-4,1.3187989360911946e-4,0.331189991931245,0.25614958310421276
Sludge amended soil,PET,Pre-consumer processes,0,0,0,0
Sludge amended soil (MP),PET,Pre-consumer processes,0,0,0,0
Release,PET,Pre-consumer processes,1.86581059124275e-4,1.393587682134914e-4,0.3623953523308019,0.2706757596089994
Incineration,LDPE,ConsumerFilms,0,0,0,0
Landfill,LDPE,ConsumerFilms,0,0,0,0
Sludge amended soil,LDPE,ConsumerFilms,0,0,0,0
Sludge amended soil (MP),LDPE,ConsumerFilms,0,0,0,0
Release,LDPE,ConsumerFilms,0.0015769302769948115,0.0011584869770315867,3.062862897310527,2.250122805511429
Incineration,HDPE,ConsumerFilms,0,0,0,0
Landfill,HDPE,ConsumerFilms,0,0,0,0
Sludge amended soil,HDPE,ConsumerFilms,0,0,0,0
Sludge amended soil (MP),HDPE,ConsumerFilms,0,0,0,0
Release,HDPE,ConsumerFilms,0.0016855745688177629,0.001393892452825422,3.2738821004317,2.7073495505053304
Incineration,PP,ConsumerFilms,0,0,0,0
Landfill,PP,ConsumerFilms,0,0,0,0
Sludge amended soil,PP,ConsumerFilms,0,0,0,0
Sludge amended soil (MP),PP,ConsumerFilms,0,0,0,0
Release,PP,ConsumerFilms,0.004032736922573465,0.003195940696255502,7.832762472100814,6.207457820659219
Incineration,PS,ConsumerFilms,0,0,0,0
Landfill,PS,ConsumerFilms,0,0,0,0
Sludge amended soil,PS,ConsumerFilms,0,0,0,0
Sludge amended soil (MP),PS,ConsumerFilms,0,0,0,0
Release,PS,ConsumerFilms,1.9044970574321878e-4,1.5099518788418292e-4,0.3699094031197498,0.2932771127486048
Incineration,EPS,ConsumerFilms,0,0,0,0
Landfill,EPS,ConsumerFilms,0,0,0,0
Sludge amended soil,EPS,ConsumerFilms,0,0,0,0
Sludge amended soil (MP),EPS,ConsumerFilms,0,0,0,0
Release,EPS,ConsumerFilms,0,0,0,0
Incineration,PVC,ConsumerFilms,0,0,0,0
Landfill,PVC,ConsumerFilms,0,0,0,0
Sludge amended soil,PVC,ConsumerFilms,0,0,0,0
Sludge amended soil (MP),PVC,ConsumerFilms,0,0,0,0
Release,PVC,ConsumerFilms,4.1365232670311105e-4,3.2465237308354494e-4,0.8034346111101398,0.6305704967098404
Incineration,PET,ConsumerFilms,0,0,0,0
Landfill,PET,ConsumerFilms,0,0,0,0
Sludge amended soil,PET,ConsumerFilms,0,0,0,0
Sludge amended soil (MP),PET,ConsumerFilms,0,0,0,0
Release,PET,ConsumerFilms,4.651654742338503e-4,3.731454311792916e-4,0.9034883107551647,0.72475829345989
Incineration,LDPE,ConsumerBags,0,0,0,0
Landfill,LDPE,ConsumerBags,0,0,0,0
Sludge amended soil,LDPE,ConsumerBags,0,0,0,0
Sludge amended soil (MP),LDPE,ConsumerBags,0,0,0,0
Release,LDPE,ConsumerBags,1.6447252147623552e-4,1.2744478540938284e-4,0.31945406274822136,0.24753529714071504
Incineration,HDPE,ConsumerBags,0,0,0,0
Landfill,HDPE,ConsumerBags,0,0,0,0
Sludge amended soil,HDPE,ConsumerBags,0,0,0,0
Sludge amended soil (MP),HDPE,ConsumerBags,0,0,0,0
Release,HDPE,ConsumerBags,3.730282781047575e-4,3.078695222545462e-4,0.7245307476954823,0.5979732589846583
Incineration,PP,ConsumerBags,0,0,0,0
Landfill,PP,ConsumerBags,0,0,0,0
Sludge amended soil,PP,ConsumerBags,0,0,0,0
Sludge amended soil (MP),PP,ConsumerBags,0,0,0,0
Release,PP,ConsumerBags,0,0,0,0
Incineration,PS,ConsumerBags,0,0,0,0
Landfill,PS,ConsumerBags,0,0,0,0
Sludge amended soil,PS,ConsumerBags,0,0,0,0
Sludge amended soil (MP),PS,ConsumerBags,0,0,0,0
Release,PS,ConsumerBags,0,0,0,0
Incineration,EPS,ConsumerBags,0,0,0,0
Landfill,EPS,ConsumerBags,0,0,0,0
Sludge amended soil,EPS,ConsumerBags,0,0,0,0
Sludge amended soil (MP),EPS,ConsumerBags,0,0,0,0
Release,EPS,ConsumerBags,0,0,0,0
Incineration,PVC,ConsumerBags,0,0,0,0
Landfill,PVC,ConsumerBags,0,0,0,0
Sludge amended soil,PVC,ConsumerBags,0,0,0,0
Sludge amended soil (MP),PVC,ConsumerBags,0,0,0,0
Release,PVC,ConsumerBags,0,0,0,0
Incineration,PET,ConsumerBags,0,0,0,0
Landfill,PET,ConsumerBags,0,0,0,0
Sludge amended soil,PET,ConsumerBags,0,0,0,0
Sludge amended soil (MP),PET,ConsumerBags,0,0,0,0
Release,PET,ConsumerBags,0,0,0,0
Incineration,LDPE,ConsumerBottles,0,0,0,0
Landfill,LDPE,ConsumerBottles,0,0,0,0
Sludge amended soil,LDPE,ConsumerBottles,0,0,0,0
Sludge amended soil (MP),LDPE,ConsumerBottles,0,0,0,0
Release,LDPE,ConsumerBottles,0,0,0,0
Incineration,HDPE,ConsumerBottles,0,0,0,0
Landfill,HDPE,ConsumerBottles,0,0,0,0
Sludge amended soil,HDPE,ConsumerBottles,0,0,0,0
Sludge amended soil (MP),HDPE,ConsumerBottles,0,0,0,0
Release,HDPE,ConsumerBottles,6.1802274931691e-4,4.482348812786618e-4,1.2003821451028154,0.8706041143208512
