dest,pol,prod,mean,sd,mean_percap,sd_percap
Incineration,LDPE,Pre-consumer processes,0.0075515730459486214,0.005193326288404052,0.433809344946391,0.29833697715128504
Landfill,LDPE,Pre-consumer processes,4.6104811701767254e-5,3.466068391902937e-5,0.002648547268433114,0.0019911253582291497
Sludge amended soil,LDPE,Pre-consumer processes,0,0,0,0
Sludge amended soil (MP),LDPE,Pre-consumer processes,0,0,0,0
Release,LDPE,Pre-consumer processes,0.11480487124465281,0.047569245216520555,6.595106170364977,2.7326734418657477
Incineration,HDPE,Pre-consumer processes,0.0033344040038060596,0.002059053774987646,0.1915489140972777,0.1182848611675684
Landfill,HDPE,Pre-consumer processes,2.0342602786460276e-5,1.3859513480625048e-5,0.0011686056846173824,7.961766942758026e-4
Sludge amended soil,HDPE,Pre-consumer processes,0,0,0,0
Sludge amended soil (MP),HDPE,Pre-consumer processes,0,0,0,0
Release,HDPE,Pre-consumer processes,0.04513492944554783,0.018442063833077976,2.592831196604689,1.059426901151307
Incineration,PP,Pre-consumer processes,0.024314269265677157,0.012474393456102779,1.3967629206278271,0.7166067812452318
Landfill,PP,Pre-consumer processes,1.480466198595959e-4,8.631466272138705e-5,0.008504719055491954,0.004958451314262549
Sludge amended soil,PP,Pre-consumer processes,0,0,0,0
Sludge amended soil (MP),PP,Pre-consumer processes,0,0,0,0
Release,PP,Pre-consumer processes,0.10779043086135681,0.04060654809393514,6.192153067835476,2.3326927942006392
Incineration,PS,Pre-consumer processes,1.149544841089421e-4,6.733379658344535e-5,0.006603700864246368,0.003868072256056504
Landfill,PS,Pre-consumer processes,7.020870697739711e-7,4.5744580410877855e-7,4.033224998033737e-5,2.6278533415679348e-5
Sludge amended soil,PS,Pre-consumer processes,0,0,0,0
Sludge amended soil (MP),PS,Pre-consumer processes,0,0,0,0
Release,PS,Pre-consumer processes,0.004535725585837171,0.003350557383669324,0.26056030091693777,0.19247686475001122
Incineration,EPS,Pre-consumer processes,0.0029066858987190232,0.0020077314026544675,0.16697812469213985,0.115336584750525
Landfill,EPS,Pre-consumer processes,1.7780657304951617e-5,1.3488790179587988e-5,0.0010214315946153137,7.748800410618698e-4
Sludge amended soil,EPS,Pre-consumer processes,0,0,0,0
Sludge amended soil (MP),EPS,Pre-consumer processes,0,0,0,0
Release,EPS,Pre-consumer processes,0.04533006897090518,0.018840924424677795,2.6040412251846066,1.0823399354176813
Incineration,PVC,Pre-consumer processes,8.545884419403075e-5,7.68389842007281e-5,0.004909287772774384,0.004414109378223809
Landfill,PVC,Pre-consumer processes,5.191907064679072e-7,4.990955008036919e-7,2.9825544810949206e-5,2.8671151156446565e-5
Sludge amended soil,PVC,Pre-consumer processes,0,0,0,0
Sludge amended soil (MP),PVC,Pre-consumer processes,0,0,0,0
