dest,pol,prod,mean,sd,mean_percap,sd_percap
Incineration,LDPE,Pre-consumer processes,6.362272201397796e-8,5.1954643309044656e-8,1.1853148348786224e-5,9.679342144699223e-6
Landfill,LDPE,Pre-consumer processes,7.611603488370655e-5,6.131688098143507e-5,0.014180698728981504,0.011423561638845638
Sludge amended soil,LDPE,Pre-consumer processes,0,0,0,0
Sludge amended soil (MP),LDPE,Pre-consumer processes,4.280720000967553e-4,3.2626154679402564e-4,0.07975139636423775,0.060783732481681806
Release,LDPE,Pre-consumer processes,0.0033595722655339463,0.002733460276031394,0.625900734694955,0.5092537560746917
Incineration,HDPE,Pre-consumer processes,7.324935754601983e-8,5.7630559199593815e-8,1.3646626141765904e-5,1.0736786261144466e-5
Landfill,HDPE,Pre-consumer processes,8.730811493499678e-5,6.801281559866358e-5,0.01626582462394539,0.012671039015471326
Sludge amended soil,HDPE,Pre-consumer processes,0,0,0,0
Sludge amended soil (MP),HDPE,Pre-consumer processes,4.923856668681369e-4,3.73850142271018e-4,0.0917332702760158,0.06964966377231788
Release,HDPE,Pre-consumer processes,0.004456488203925696,0.0036805358292373077,0.8302602297358765,0.6856974333381725
Incineration,PP,Pre-consumer processes,1.560422572725042e-7,1.248351668975129e-7,2.907124947788467e-5,2.3257253156452796e-5
Landfill,PP,Pre-consumer processes,1.853999566399569e-4,1.4681421807264568e-4,0.03454069741670491,0.027352031655354124
Sludge amended soil,PP,Pre-consumer processes,0,0,0,0
Sludge amended soil (MP),PP,Pre-consumer processes,0.001047466242931305,7.887752985635758e-4,0.19514683394216853,0.1469517545269145
Release,PP,Pre-consumer processes,0.0065002380880502765,0.005133055758643094,1.211018389674728,0.9563072667092235
Incineration,PS,Pre-consumer processes,1.1287955303376498e-9,1.101796717310555e-9,2.102987808915097e-7,2.0526880219960486e-7
Landfill,PS,Pre-consumer processes,1.3475831164489302e-6,1.3034758339248977e-6,2.510597171255817e-4,2.428423673098301e-4
Sludge amended soil,PS,Pre-consumer processes,0,0,0,0
Sludge amended soil (MP),PS,Pre-consumer processes,7.571735894305637e-6,7.033854144976018e-6,0.0014106423927180661,0.001310433034063026
Release,PS,Pre-consumer processes,0.001437075388874168,0.001325083576656323,0.2677324583656262,0.2468679696727991
Incineration,EPS,Pre-consumer processes,1.0936364245737537e-9,1.0770133350656635e-9,2.0374850949100967e-7,2.0065156645372093e-7
Landfill,EPS,Pre-consumer processes,1.3070495520546515e-6,1.279712058516072e-6,2.4350816421080853e-4,2.384150880873824e-4
Sludge amended soil,EPS,Pre-consumer processes,0,0,0,0
Sludge amended soil (MP),EPS,Pre-consumer processes,7.28664979524791e-6,6.756547967478759e-6,0.0013575297983910645,0.001258769867888091
Release,EPS,Pre-consumer processes,0.0014252716902122997,0.0013028769912359092,0.26553338566212326,0.24273080070272063
Incineration,PVC,Pre-consumer processes,2.653127879342711e-9,2.5902055775103436e-9,4.94287533551938e-7,4.825648760727075e-7
Landfill,PVC,Pre-consumer processes,3.1467698437307697e-6,3.0759554195156394e-6,5.862548567009284e-4,5.730618676415888e-4
Sludge amended soil,PVC,Pre-consumer processes,0,0,0,0
Sludge amended soil (MP),PVC,Pre-consumer processes,1.7827676730752826e-5,1.6595510749333312e-5,0.0033213620906913034,0.003091805012563075
Release,PVC,Pre-consumer processes,0.003380907536610026,0.003090540991146795,0.629875574581101,0.5757792135649203
Incineration,PET,Pre-consumer processes,2.56547488406256e-7,2.1306203239270974e-7,4.7795745644453556e-5,3.969424440673632e-5
Landfill,PET,Pre-consumer processes,3.071411410259185e-4,2.506930863572142e-4,0.057221530191616805,0.04670504889674942
Sludge amended soil,PET,Pre-consumer processes,0,0,0,0
Sludge amended soil (MP),PET,Pre-consumer processes,0.0017162246260917465,0.0013232662286419377,0.319738993380955,0.24652939101828714
Release,PET,Pre-consumer processes,0.004170946274860381,0.002673844409477183,0.7770627125930831,0.4981470997129401
Incineration,LDPE,ConsumerFilms,0,0,0,0
Landfill,LDPE,ConsumerFilms,5.06721175691793e-6,8.8572185186682e-6,9.44040285737321e-4,0.001650132558558643
Sludge amended soil,LDPE,ConsumerFilms,2.81802931585171e-5,4.586852212327114e-5,0.005250092808773619,0.008545475265067524
Sludge amended soil (MP),LDPE,ConsumerFilms,0,0,0,0
Release,LDPE,ConsumerFilms,0.017905564614197952,0.01486792335933638,3.33587289135848,2.769949094254092
Incineration,HDPE,ConsumerFilms,0,0,0,0
Landfill,HDPE,ConsumerFilms,6.647215928906852e-6,1.1151755967907557e-5,0.0012384009048597045,0.0020776133691361017
Sludge amended soil,HDPE,ConsumerFilms,3.739837500912827e-5,6.035942713864432e-5,0.0069674555403232506,0.011245184447859989
Sludge amended soil (MP),HDPE,ConsumerFilms,0,0,0,0
