dest,pol,prod,mean,sd,mean_percap,sd_percap
Incineration,LDPE,Pre-consumer processes,4.3893786570029143e-4,2.9662733415554047e-4,0.011563735441930567,0.007814591278306129
Landfill,LDPE,Pre-consumer processes,3.129899507533484e-5,2.230806144084919e-5,8.24566133231689e-4,5.877016791721762e-4
Sludge amended soil,LDPE,Pre-consumer processes,0,0,0,0
Sludge amended soil (MP),LDPE,Pre-consumer processes,6.085469046096994e-4,4.079973687533147e-4,0.016032053643139695,0.01074861387440329
Release,LDPE,Pre-consumer processes,0.024095024664599094,0.01177186964278347,0.6347788889064867,0.3101276896876098
Incineration,HDPE,Pre-consumer processes,5.675031315527109e-4,2.974930671428147e-4,0.014950763168433365,0.00783739885088185
Landfill,HDPE,Pre-consumer processes,4.056342712492026e-5,2.2556497176552534e-5,0.001068635851550997,5.942466718613156e-4
Sludge amended soil,HDPE,Pre-consumer processes,0,0,0,0
Sludge amended soil (MP),HDPE,Pre-consumer processes,7.881579041932421e-4,4.018308940318634e-4,0.020763871615442308,0.010586159258703981
Release,HDPE,Pre-consumer processes,0.027303644043100282,0.015728987990512228,0.7193093624113037,0.4143772276319831
Incineration,PP,Pre-consumer processes,0.005177806132505279,0.002848652154178598,0.1364083278401401,0.07504720474377848
Landfill,PP,Pre-consumer processes,3.704858253190733e-4,2.1519809461438796e-4,0.009760379324166884,0.005669353291628476
Sludge amended soil,PP,Pre-consumer processes,0,0,0,0
Sludge amended soil (MP),PP,Pre-consumer processes,0.007175177594231036,0.0038201399568333545,0.18902870299462624,0.10064086802238177
Release,PP,Pre-consumer processes,0.06232392091555206,0.024318372564550262,1.6419119640576696,0.6406629472855139
Incineration,PS,Pre-consumer processes,1.947067328515496e-4,1.3208595692472026e-4,0.005129512223480235,0.003479779670033347
Landfill,PS,Pre-consumer processes,1.3899441714251036e-5,9.886347145674802e-6,0.00036617817539551164,2.604539544504212e-4
Sludge amended soil,PS,Pre-consumer processes,0,0,0,0
Sludge amended soil (MP),PS,Pre-consumer processes,2.687209016095725e-4,1.7910587197722056e-4,0.007079401566261561,0.0047185104806042
Release,PS,Pre-consumer processes,0.011412908228793572,0.005743404842174033,0.3006709188104425,0.15130891937254753
Incineration,EPS,Pre-consumer processes,3.5164279605702585e-4,2.469265019711517e-4,0.009263963265453796,0.0065052322105776566
Landfill,EPS,Pre-consumer processes,2.5214920928704507e-5,1.847413088009958e-5,6.642823451641518e-4,4.866975002856984e-4
Sludge amended soil,EPS,Pre-consumer processes,0,0,0,0
Sludge amended soil (MP),EPS,Pre-consumer processes,4.8921088271435e-4,3.357913687601345e-4,0.01288816861128304,0.008846360397344426
Release,EPS,Pre-consumer processes,0.01596359368007254,0.006777698415300516,0.4205578703589871,0.17855718885105787
Incineration,PVC,Pre-consumer processes,7.835644954690643e-4,5.530030133068163e-4,0.02064285912731189,0.014568760282888909
Landfill,PVC,Pre-consumer processes,5.588922658955541e-5,4.089087953243583e-5,0.0014723911533688877,0.0010772625235841609
Sludge amended soil,PVC,Pre-consumer processes,0,0,0,0
Sludge amended soil (MP),PVC,Pre-consumer processes,0.0010889806758266035,7.566003960186614e-4,0.02868899090431157,0.019932495003276016
Release,PVC,Pre-consumer processes,0.036910238681399095,0.01575650383612302,0.9723932897182442,0.41510212740474833
Incineration,PET,Pre-consumer processes,0.0038941655330509686,0.002229618991005774,0.10259105789253858,0.05873889259282882
Landfill,PET,Pre-consumer processes,2.7824298710275776e-4,1.6918470664513386e-4,0.007330259116049312,0.0044571392475872725
Sludge amended soil,PET,Pre-consumer processes,0,0,0,0
Sludge amended soil (MP),PET,Pre-consumer processes,0.005389830562650212,0.003023099397294386,0.14199407153876228,0.07964298452401396
Release,PET,Pre-consumer processes,0.037756935000312034,0.014543916910598403,0.9946993448496351,0.3831567531209883
Incineration,LDPE,ConsumerFilms,0,0,0,0
Landfill,LDPE,ConsumerFilms,8.418320490322269e-5,1.297499062470367e-4,0.0022177906857081,0.0034182368546907304
Sludge amended soil,LDPE,ConsumerFilms,0.0016337915696675522,0.0024750419371781587,0.04304193134203665,0.06520451390893196
Sludge amended soil (MP),LDPE,ConsumerFilms,0,0,0,0
Release,LDPE,ConsumerFilms,0.21590651065224442,0.18236768057916808,5.688016378786663,4.804442214187853
