dest,pol,prod,mean,sd,mean_percap,sd_percap
Incineration,LDPE,Pre-consumer processes,0,0,0,0
Landfill,LDPE,Pre-consumer processes,8.911525769062574e-5,6.637520966420244e-5,0.00858909542148764,0.006397367007637052
Sludge amended soil,LDPE,Pre-consumer processes,0,0,0,0
Sludge amended soil (MP),LDPE,Pre-consumer processes,0.001302243236490991,8.985929433695001e-4,0.12551264183108124,0.08660807066810469
Release,LDPE,Pre-consumer processes,0.02198036080841161,0.009133459360284604,2.11850833711985,0.8802999172835929
Incineration,HDPE,Pre-consumer processes,0,0,0,0
Landfill,HDPE,Pre-consumer processes,8.665987988436808e-5,5.940535521203276e-5,0.008352441510358698,0.005725599383159172
Sludge amended soil,HDPE,Pre-consumer processes,0,0,0,0
Sludge amended soil (MP),HDPE,Pre-consumer processes,0.0012561462296995184,7.7759684251012e-4,0.12106972599110861,0.07494623987907159
Release,HDPE,Pre-consumer processes,0.018927431389956634,0.007786218957403122,1.8242612825783147,0.7504503642900461
Incineration,PP,Pre-consumer processes,0,0,0,0
Landfill,PP,Pre-consumer processes,1.6599504315390192e-4,1.305830854640952e-4,0.01599891311645503,0.012585842318687163
Sludge amended soil,PP,Pre-consumer processes,0,0,0,0
Sludge amended soil (MP),PP,Pre-consumer processes,0.002415514399329753,0.001767627253851228,0.23281180131742002,0.1703672249443253
Release,PP,Pre-consumer processes,0.009595627077931356,0.008187481435518975,0.9248445074073186,0.7891247933711415
Incineration,PS,Pre-consumer processes,0,0,0,0
Landfill,PS,Pre-consumer processes,6.7599796325282575e-6,4.5919120158882175e-6,6.515394963303333e-4,4.425770793196999e-4
Sludge amended soil,PS,Pre-consumer processes,0,0,0,0
Sludge amended soil (MP),PS,Pre-consumer processes,9.849443815981923e-5,6.058350697921256e-5,0.00949307839940737,0.005839151856793168
Release,PS,Pre-consumer processes,0.003258389358878325,0.002078840093601097,0.3140496683623443,0.2003625012446367
Incineration,EPS,Pre-consumer processes,0,0,0,0
Landfill,EPS,Pre-consumer processes,1.4867703943531662e-6,1.4178820619099587e-6,1.432977148680283e-4,1.3665812838065044e-4
