dest,pol,prod,mean,sd,mean_percap,sd_percap
Incineration,LDPE,Pre-consumer processes,1.316970358855241e-5,1.1499336630222444e-5,6.8134999054534e-4,5.949316058328206e-4
Landfill,LDPE,Pre-consumer processes,8.377016998892818e-4,6.81182961055463e-4,0.04333947544540866,0.0352417957590344
Sludge amended soil,LDPE,Pre-consumer processes,0,0,0,0
Sludge amended soil (MP),LDPE,Pre-consumer processes,3.301821457824445e-4,2.809285634433266e-4,0.01708235879375907,0.014534167208775126
Release,LDPE,Pre-consumer processes,0.018941980406958325,0.010369208543489583,0.9799854707747213,0.5364631098615231
Incineration,HDPE,Pre-consumer processes,2.856728441187962e-6,1.931295475267613e-6,1.4779618108382727e-4,9.991782616562946e-5
Landfill,HDPE,Pre-consumer processes,1.816357310991045e-4,1.125603386253372e-4,0.009397136604854596,0.005823440530948482
Sludge amended soil,HDPE,Pre-consumer processes,0,0,0,0
Sludge amended soil (MP),HDPE,Pre-consumer processes,7.13438139524268e-5,4.677797194177115e-5,0.0036910555074457555,0.0024201129908466897
Release,HDPE,Pre-consumer processes,0.00768964199284477,0.006916593650013879,0.3978326060182598,0.3578380474818962
Incineration,PP,Pre-consumer processes,4.7289818568340966e-5,2.9135355434390733e-5,0.002446593973643991,0.0015073516284005656
Landfill,PP,Pre-consumer processes,0.0030025002866077358,0.0016641353756877881,0.15533785769262154,0.08609598650926602
Sludge amended soil,PP,Pre-consumer processes,0,0,0,0
Sludge amended soil (MP),PP,Pre-consumer processes,0.0011824103910141283,7.082217518303505e-4,0.06117338202193677,0.036640679167074114
Release,PP,Pre-consumer processes,0.020134943029011174,0.009262883874690857,1.041704784788986,0.4792261115071096
Incineration,PS,Pre-consumer processes,3.3792700072165293e-6,2.53915419202944e-6,1.7483047906017573e-4,1.3136610654139892e-4
Landfill,PS,Pre-consumer processes,2.135909833761946e-4,1.4636539983218846e-4,0.011050378888590954,0.00757238483928462
Sludge amended soil,PS,Pre-consumer processes,0,0,0,0
Sludge amended soil (MP),PS,Pre-consumer processes,8.394770781289562e-5,6.109726249294177e-5,0.004343132671136031,0.003160938205025143
Release,PS,Pre-consumer processes,0.005831029030045036,0.0026500704943234698,0.3016750944906795,0.13710449093336444
Incineration,EPS,Pre-consumer processes,1.9543193960547794e-6,1.3962518020556676e-6,1.0110899558756608e-4,7.223671707816412e-5
Landfill,EPS,Pre-consumer processes,1.2399070085991718e-4,8.175431362318663e-5,0.0064148036658963755,0.0042296548619832515
Sludge amended soil,EPS,Pre-consumer processes,0,0,0,0
Sludge amended soil (MP),EPS,Pre-consumer processes,4.847907271882275e-5,3.352073580237493e-5,0.0025081214255519525,0.0017342344015907698
Release,EPS,Pre-consumer processes,0.004399627393377384,0.002414345822174961,0.22761985968206597,0.12490899981545507
Incineration,PVC,Pre-consumer processes,2.8545021872706583e-6,1.924406866498624e-6,1.4768100323830428e-4,9.956143594863924e-5
Landfill,PVC,Pre-consumer processes,1.8133012889417176e-4,1.1122302889523214e-4,0.009381325917997334,0.00575425325077649
Sludge amended soil,PVC,Pre-consumer processes,0,0,0,0
Sludge amended soil (MP),PVC,Pre-consumer processes,7.117073250233163e-5,4.6589671650491284e-5,0.003682100936555608,0.0024103710554401296
Release,PVC,Pre-consumer processes,0.008853823064135635,0.0058538289192478846,0.45806287290191133,0.3028546733770486
Incineration,PET,Pre-consumer processes,5.975760188825262e-5,4.935159640813012e-5,0.003091629299611939,0.002553262457273951
Landfill,PET,Pre-consumer processes,0.0037930774379096466,0.0029155695515665912,0.19623928959980144,0.15084039462520155
Sludge amended soil,PET,Pre-consumer processes,0,0,0,0
Sludge amended soil (MP),PET,Pre-consumer processes,0.001492547825614213,0.0012073368905034258,0.07721870428083742,0.062462983574254484
Release,PET,Pre-consumer processes,0.006751739003074002,0.004841188808931998,0.3493090998576325,0.25046455503077825
Incineration,LDPE,ConsumerFilms,0,0,0,0
Landfill,LDPE,ConsumerFilms,0.001413967865666178,0.0021103996692555687,0.07315327831223885,0.10918399074251482
Sludge amended soil,LDPE,ConsumerFilms,5.543943311836282e-4,8.431718701080947e-4,0.028682237969174774,0.04362248108800409
Sludge amended soil (MP),LDPE,ConsumerFilms,0,0,0,0
Release,LDPE,ConsumerFilms,0.16535433752470535,0.13523764696441296,8.554799700049498,6.996677553219338
Incineration,HDPE,ConsumerFilms,0,0,0,0
Landfill,HDPE,ConsumerFilms,0.0018315026650640685,0.0028875866400896624,0.09475492862344174,0.1493926660303978
Sludge amended soil,HDPE,ConsumerFilms,7.15683855772504e-4,0.001143034296157434,0.03702673982639329,0.05913621378364463
Sludge amended soil (MP),HDPE,ConsumerFilms,0,0,0,0
Release,HDPE,ConsumerFilms,0.16995375504585636,0.15356706145803883,8.792755935243306,7.944971211308141
Incineration,PP,ConsumerFilms,0,0,0,0
Landfill,PP,ConsumerFilms,0.004043760990874806,0.006391989216354108,0.20920869588098395,0.3306970246402866
