dest,pol,prod,mean,sd,mean_percap,sd_percap
Incineration,LDPE,Pre-consumer processes,3.187379876295999e-5,2.4062518778894488e-5,0.0030862768418611535,0.002329926062984738
Landfill,LDPE,Pre-consumer processes,2.623565856239446e-5,1.9805589534482898e-5,0.0025403468866154973,0.001917736030595611
Sludge amended soil,LDPE,Pre-consumer processes,0,0,0,0
Sludge amended soil (MP),LDPE,Pre-consumer processes,9.149451521000809e-4,6.477113861876639e-4,0.08859232799640661,0.06271661141701747
Release,LDPE,Pre-consumer processes,0.02455596326927221,0.010018595646567242,2.37770531624295,0.9700807852217243
Incineration,HDPE,Pre-consumer processes,6.063789638911559e-5,4.148979662879762e-5,0.005871447478120556,0.0040173748808940415
Landfill,HDPE,Pre-consumer processes,4.982277123255398e-5,3.405697968368758e-5,0.004824240317130551,0.0032976699289338084
Sludge amended soil,HDPE,Pre-consumer processes,0,0,0,0
Sludge amended soil (MP),HDPE,Pre-consumer processes,0.0017409605081159802,0.0011024396685727137,0.16857375986941195,0.1067470508918116
Release,HDPE,Pre-consumer processes,0.041459123611675586,0.016636833935132527,4.014404873361594,1.6109116982804532
Incineration,PP,Pre-consumer processes,4.384442047336448e-5,2.8693571932769212e-5,0.0042453684469206205,0.0027783417729703623
Landfill,PP,Pre-consumer processes,3.588474095550929e-5,2.343025154908149e-5,0.003474648434935713,0.0022687048786586574
Sludge amended soil,PP,Pre-consumer processes,0,0,0,0
Sludge amended soil (MP),PP,Pre-consumer processes,0.001261525883072699,7.550169184181633e-4,0.12215105413980931,0.07310679369775108
Release,PP,Pre-consumer processes,0.009188928646891558,0.004734724320028828,0.8897457719213612,0.45845398379319974
Incineration,PS,Pre-consumer processes,2.840984036494778e-7,2.694836246529812e-7,2.750868606888576e-5,2.609356594777166e-5
Landfill,PS,Pre-consumer processes,2.3351380939251454e-7,2.212094694114082e-7,2.2610679936286635e-5,2.1419275051651278e-5
Sludge amended soil,PS,Pre-consumer processes,0,0,0,0
Sludge amended soil (MP),PS,Pre-consumer processes,8.160619542570803e-6,7.28536869492145e-6,7.901766368288671e-4,7.054278297598259e-4
Release,PS,Pre-consumer processes,0.0014285684552928514,0.0013119693951056542,0.13832545575669708,0.12703539955992188
Incineration,EPS,Pre-consumer processes,2.769942842087391e-7,2.6402855353780605e-7,2.682080824563595e-5,2.5565362209689603e-5
Landfill,EPS,Pre-consumer processes,2.274757393653643e-7,2.1795899967539935e-7,2.202602556757093e-5,2.1104538501231928e-5
Sludge amended soil,EPS,Pre-consumer processes,0,0,0,0
Sludge amended soil (MP),EPS,Pre-consumer processes,7.935045375356898e-6,7.246848230080811e-6,7.68334736728669e-4,7.016979693983572e-4
Release,EPS,Pre-consumer processes,0.00140991015283046,0.001315909748335533,0.13651880926230314,0.12741693616346786
Incineration,PVC,Pre-consumer processes,4.370439320060241e-5,3.312662733158504e-5,0.004231809883275023,0.0032075857522588323
Landfill,PVC,Pre-consumer processes,3.5726612223746366e-5,2.6738391007828038e-5,0.003459337142845863,0.0025890254741767933
Sludge amended soil,PVC,Pre-consumer processes,0,0,0,0
Sludge amended soil (MP),PVC,Pre-consumer processes,0.0012439133528912348,8.652904362105549e-4,0.1204456677053313,0.08378436014548554
Release,PVC,Pre-consumer processes,0.03343228546838542,0.013387666226911869,3.2371820246124647,1.2963012206345421
Incineration,PET,Pre-consumer processes,6.555072497167705e-5,5.291769966156999e-5,0.006347146945107619,0.00512391611067888
Landfill,PET,Pre-consumer processes,5.389388697354608e-5,4.3698025237927525e-5,0.0052184383957907384,0.004231193286054231
Sludge amended soil,PET,Pre-consumer processes,0,0,0,0
Sludge amended soil (MP),PET,Pre-consumer processes,0.0018814242579254551,0.0014275714975475315,0.18217458672352813,0.1382289223116384
Release,PET,Pre-consumer processes,0.004211389996149224,0.0026390759985331774,0.40778055712221156,0.2555365050384148
Incineration,LDPE,ConsumerFilms,0,0,0,0
Landfill,LDPE,ConsumerFilms,5.627208253551948e-7,9.297556264474346e-7,5.448714364554929e-5,9.002639691097648e-5
Sludge amended soil,LDPE,ConsumerFilms,1.9467065101591325e-5,3.0852438964707386e-5,0.0018849573798484164,0.002987380594319486
Sludge amended soil (MP),LDPE,ConsumerFilms,0,0,0,0
Release,LDPE,ConsumerFilms,0.02016572495631727,0.01515195373538807,1.9526072306244249,1.467133687774375
Incineration,HDPE,ConsumerFilms,0,0,0,0
Landfill,HDPE,ConsumerFilms,7.175889459780559e-7,1.2021960475973554e-6,6.948271721289992e-5,1.1640626361073775e-4
Sludge amended soil,HDPE,ConsumerFilms,2.5134425829181128e-5,4.115557687394897e-5,0.0024337167008854754,0.00398501304360088
Sludge amended soil (MP),HDPE,ConsumerFilms,0,0,0,0
Release,HDPE,ConsumerFilms,0.022248855883243657,0.01912245303223482,2.1543126748405323,1.851589275312449
Incineration,PP,ConsumerFilms,0,0,0,0
Landfill,PP,ConsumerFilms,1.6043222054520198e-6,2.719062642927342e-6,1.5534334349014275e-4,2.632814534861275e-4
Sludge amended soil,PP,ConsumerFilms,5.617937310975427e-5,9.27230143651278e-5,0.0054397374943710745,0.008978185941087295
Sludge amended soil (MP),PP,ConsumerFilms,0,0,0,0
Release,PP,ConsumerFilms,0.052573901145496364,0.04288750002341536,5.090626780896912,4.152711733921185
Incineration,PS,ConsumerFilms,0,0,0,0
Landfill,PS,ConsumerFilms,7.588547160964322e-8,1.234775573788462e-7,7.3478400050237495e-6,1.1956087464251938e-5
Sludge amended soil,PS,ConsumerFilms,2.6375343168109647e-6,4.164594988554585e-6,2.553872270489235e-4,4.0324948916485587e-4
Sludge amended soil (MP),PS,ConsumerFilms,0,0,0,0
Release,PS,ConsumerFilms,0.002438467710779381,0.0020019532549602607,0.23611200162781276,0.19384517092617268
Incineration,EPS,ConsumerFilms,0,0,0,0
Landfill,EPS,ConsumerFilms,0,0,0,0
Sludge amended soil,EPS,ConsumerFilms,0,0,0,0
Sludge amended soil (MP),EPS,ConsumerFilms,0,0,0,0
Release,EPS,ConsumerFilms,0,0,0,0
Incineration,PVC,ConsumerFilms,0,0,0,0
Landfill,PVC,ConsumerFilms,1.6803945498880564e-7,2.947621976291741e-7,1.627092780210421e-5,2.8541240131571278e-5
Sludge amended soil,PVC,ConsumerFilms,5.929291786084322e-6,1.0307392705600802e-5,5.741215869535787e-4,9.980444327907319e-4
Sludge amended soil (MP),PVC,ConsumerFilms,0,0,0,0
Release,PVC,ConsumerFilms,0.0052947209786324894,0.004309355953996762,0.5126773517645299,0.41726640690259476
Incineration,PET,ConsumerFilms,0,0,0,0
Landfill,PET,ConsumerFilms,1.8368507787827195e-7,3.030130825208685e-7,1.7785862496878212e-5,2.9340156983480706e-5
Sludge amended soil,PET,ConsumerFilms,6.48465290024545e-6,1.0482197373088556e-5,6.278961043323326e-4,0.0010149704227277593
Sludge amended soil (MP),PET,ConsumerFilms,0,0,0,0
Release,PET,ConsumerFilms,0.005998208549898217,0.004923405516981598,0.5807946607768975,0.4767236106105305
Incineration,LDPE,ConsumerBags,0,0,0,0
Landfill,LDPE,ConsumerBags,6.290574306954183e-8,1.0858963115781123e-7,6.091038583113816e-6,1.0514519038065054e-5
Sludge amended soil,LDPE,ConsumerBags,2.1839603603862906e-6,3.620506365726136e-6,2.114685586719505e-4,3.5056646480859533e-4
Sludge amended soil (MP),LDPE,ConsumerBags,0,0,0,0
Release,LDPE,ConsumerBags,0.002076132666713684,0.0016381017184670206,0.20102781653236626,0.15861414687077696
Incineration,HDPE,ConsumerBags,0,0,0,0
Landfill,HDPE,ConsumerBags,1.5333835701331665e-7,2.5219957544053923e-7,1.4847449585117751e-5,2.441998567531485e-5
Sludge amended soil,HDPE,ConsumerBags,5.387713092744989e-6,8.686556664356896e-6,5.216815941014877e-4,8.411020872690514e-4
Sludge amended soil (MP),HDPE,ConsumerBags,0,0,0,0
Release,HDPE,ConsumerBags,0.004838551527883193,0.004107134832816876,0.46850736680973587,0.39768573602385576
Incineration,PP,ConsumerBags,0,0,0,0
Landfill,PP,ConsumerBags,0,0,0,0
Sludge amended soil,PP,ConsumerBags,0,0,0,0
Sludge amended soil (MP),PP,ConsumerBags,0,0,0,0
Release,PP,ConsumerBags,0,0,0,0
Incineration,PS,ConsumerBags,0,0,0,0
Landfill,PS,ConsumerBags,0,0,0,0
Sludge amended soil,PS,ConsumerBags,0,0,0,0
Sludge amended soil (MP),PS,ConsumerBags,0,0,0,0
Release,PS,ConsumerBags,0,0,0,0
Incineration,EPS,ConsumerBags,0,0,0,0
Landfill,EPS,ConsumerBags,0,0,0,0
Sludge amended soil,EPS,ConsumerBags,0,0,0,0
Sludge amended soil (MP),EPS,ConsumerBags,0,0,0,0
Release,EPS,ConsumerBags,0,0,0,0
Incineration,PVC,ConsumerBags,0,0,0,0
Landfill,PVC,ConsumerBags,0,0,0,0
Sludge amended soil,PVC,ConsumerBags,0,0,0,0
Sludge amended soil (MP),PVC,ConsumerBags,0,0,0,0
Release,PVC,ConsumerBags,0,0,0,0
Incineration,PET,ConsumerBags,0,0,0,0
Landfill,PET,ConsumerBags,0,0,0,0
Sludge amended soil,PET,ConsumerBags,0,0,0,0
Sludge amended soil (MP),PET,ConsumerBags,0,0,0,0
Release,PET,ConsumerBags,0,0,0,0
Incineration,LDPE,ConsumerBottles,0,0,0,0
Landfill,LDPE,ConsumerBottles,0,0,0,0
Sludge amended soil,LDPE,ConsumerBottles,0,0,0,0
Sludge amended soil (MP),LDPE,ConsumerBottles,0,0,0,0
Release,LDPE,ConsumerBottles,0,0,0,0
Incineration,HDPE,ConsumerBottles,0,0,0,0
Landfill,HDPE,ConsumerBottles,1.1565092820341119e-8,1.6355731440445533e-8,1.1198250453558055e-6,1.583693100146175e-6
Sludge amended soil,HDPE,ConsumerBottles,4.0456330291890087e-7,5.533705590856222e-7,3.917306381178616e-5,5.3581775870982296e-5
Sludge amended soil (MP),HDPE,ConsumerBottles,0,0,0,0
Release,HDPE,ConsumerBottles,0.00406923630059203,0.0025088709497585716,0.3940160961664944,0.2429290078989948
Incineration,PP,ConsumerBottles,0,0,0,0
Landfill,PP,ConsumerBottles,1.6634198588006212e-9,2.3143872097008395e-9,1.6106565228347305e-7,2.2409753231861178e-7
Sludge amended soil,PP,ConsumerBottles,5.7808486909994805e-8,7.72439400610122e-8,5.59748135891105e-6,7.479377816159435e-6
Sludge amended soil (MP),PP,ConsumerBottles,0,0,0,0
Release,PP,ConsumerBottles,5.753505846191371e-4,3.5592803362260496e-4,0.05571005823519285,0.03446380695655152
Incineration,PS,ConsumerBottles,0,0,0,0
Landfill,PS,ConsumerBottles,0,0,0,0
Sludge amended soil,PS,ConsumerBottles,0,0,0,0
Sludge amended soil (MP),PS,ConsumerBottles,0,0,0,0
Release,PS,ConsumerBottles,0,0,0,0
Incineration,EPS,ConsumerBottles,0,0,0,0
Landfill,EPS,ConsumerBottles,0,0,0,0
Sludge amended soil,EPS,ConsumerBottles,0,0,0,0
Sludge amended soil (MP),EPS,ConsumerBottles,0,0,0,0
Release,EPS,ConsumerBottles,0,0,0,0
Incineration,PVC,ConsumerBottles,0,0,0,0
