dest,pol,prod,mean,sd,mean_percap,sd_percap
Incineration,LDPE,Pre-consumer processes,7.037525081139374e-6,4.8324015433827436e-6,0.0033578205239466617,0.0023056879933272025
Landfill,LDPE,Pre-consumer processes,4.320462175884069e-7,3.2011589907590107e-7,2.061425913208972e-4,1.5273718012592488e-4
Sludge amended soil,LDPE,Pre-consumer processes,0,0,0,0
Sludge amended soil (MP),LDPE,Pre-consumer processes,0,0,0,0
Release,LDPE,Pre-consumer processes,5.871731760304595e-4,5.172380986852307e-4,0.2801584532707367,0.24679026838384355
Incineration,HDPE,Pre-consumer processes,2.7030958402900164e-5,1.656793279449078e-5,0.012897304927616938,0.007905072328026898
Landfill,HDPE,Pre-consumer processes,1.6694252728925741e-6,1.131186451553501e-6,7.965343469307241e-4,5.397239852993596e-4
Sludge amended soil,HDPE,Pre-consumer processes,0,0,0,0
Sludge amended soil (MP),HDPE,Pre-consumer processes,0,0,0,0
Release,HDPE,Pre-consumer processes,7.779878314241676e-4,7.116207276996988e-4,0.3712020174163113,0.3395362229173112
Incineration,PP,Pre-consumer processes,2.930252241552436e-4,2.1415296248595824e-4,0.13981138260373355,0.10217899110960042
Landfill,PP,Pre-consumer processes,1.8089659548543417e-5,1.4406700468722407e-5,0.008631135150920512,0.006873881649938811
Sludge amended soil,PP,Pre-consumer processes,0,0,0,0
Sludge amended soil (MP),PP,Pre-consumer processes,0,0,0,0
Release,PP,Pre-consumer processes,0.0011339802426857193,9.772108964205466e-4,0.5410569893164286,0.4662574934218188
Incineration,PS,Pre-consumer processes,2.496827827705109e-6,2.240352553578863e-6,0.001191313654724769,0.001068941381884993
Landfill,PS,Pre-consumer processes,1.5345977553494197e-7,1.471602469956432e-7,7.32203975048641e-5,7.021469791920514e-5
Sludge amended soil,PS,Pre-consumer processes,0,0,0,0
Sludge amended soil (MP),PS,Pre-consumer processes,0,0,0,0
Release,PS,Pre-consumer processes,2.8036970471766095e-4,2.591466359737291e-4,0.13377304349747476,0.12364686206467371
Incineration,EPS,Pre-consumer processes,2.45773910798471e-6,2.2162872416389335e-6,0.0011726632195478183,0.00105745907845937
Landfill,EPS,Pre-consumer processes,1.5250792911817524e-7,1.464830382039641e-7,7.276624218790046e-5,6.989158069354986e-5
Sludge amended soil,EPS,Pre-consumer processes,0,0,0,0
Sludge amended soil (MP),EPS,Pre-consumer processes,0,0,0,0
