dest,pol,prod,mean,sd,mean_percap,sd_percap
Incineration,LDPE,Pre-consumer processes,4.602035164041344e-4,3.371225971500528e-4,0.08431920574262802,0.0617681278311263
Landfill,LDPE,Pre-consumer processes,2.725094589808925e-4,2.0387549847985e-4,0.04992960792251716,0.03735438667771309
Sludge amended soil,LDPE,Pre-consumer processes,0,0,0,0
Sludge amended soil (MP),LDPE,Pre-consumer processes,0,0,0,0
Release,LDPE,Pre-consumer processes,0.027889756877259968,0.01125273636941727,5.110004735775267,2.06174390085978
Incineration,HDPE,Pre-consumer processes,1.8858027092874413e-5,1.2107985704026573e-5,0.0034551971240214664,0.002218444017298785
Landfill,HDPE,Pre-consumer processes,1.1193568237344603e-5,7.27829935734616e-6,0.0020509030234570507,0.001333541355276343
Sludge amended soil,HDPE,Pre-consumer processes,0,0,0,0
Sludge amended soil (MP),HDPE,Pre-consumer processes,0,0,0,0
Release,HDPE,Pre-consumer processes,0.0020768251291872143,0.0018672005260353872,0.3805191379841954,0.3421113913855062
Incineration,PP,Pre-consumer processes,0.002360523088625845,0.0013359150144835678,0.43249872040368936,0.24476843167357829
Landfill,PP,Pre-consumer processes,0.0014038897896989915,8.141066559436189e-4,0.2572228759626674,0.14916189071156818
Sludge amended soil,PP,Pre-consumer processes,0,0,0,0
Sludge amended soil (MP),PP,Pre-consumer processes,0,0,0,0
Release,PP,Pre-consumer processes,0.0482854993902046,0.01678785321308986,8.84694447639302,3.075896638322266
Incineration,PS,Pre-consumer processes,1.898048538126227e-6,1.7858336684433248e-6,3.477634122534964e-4,3.2720322888482833e-4
Landfill,PS,Pre-consumer processes,1.1234364135595946e-6,1.071725692873738e-6,2.058377711536334e-4,1.9636325229145822e-4
Sludge amended soil,PS,Pre-consumer processes,0,0,0,0
Sludge amended soil (MP),PS,Pre-consumer processes,0,0,0,0
Release,PS,Pre-consumer processes,7.282192119861956e-4,6.743687965311608e-4,0.13342545932933866,0.12355890225572504
Incineration,EPS,Pre-consumer processes,2.2512177567831563e-5,1.5861463291657695e-5,0.004124716270941365,0.002906162032655889
Landfill,EPS,Pre-consumer processes,1.3363092892482667e-5,9.6239242393128e-6,0.0024484067131064916,0.001763310403029312
Sludge amended soil,EPS,Pre-consumer processes,0,0,0,0
Sludge amended soil (MP),EPS,Pre-consumer processes,0,0,0,0
Release,EPS,Pre-consumer processes,0.0016282713989149641,0.00069960575990756055,0.2983344242189153,0.12818285803051124
Incineration,PVC,Pre-consumer processes,6.223071979158065e-5,4.4812601712243085e-5,0.011402009499228115,0.008210634749515625
Landfill,PVC,Pre-consumer processes,3.689883067805004e-5,2.6989489031751453e-5,0.006760661282893545,0.004945056257584494
Sludge amended soil,PVC,Pre-consumer processes,0,0,0,0
Sludge amended soil (MP),PVC,Pre-consumer processes,0,0,0,0
Release,PVC,Pre-consumer processes,0.00421090112017469,0.001781706105403405,0.7715278681227449,0.3264469703496958
Incineration,PET,Pre-consumer processes,4.0346195262784215e-4,3.201802281772837e-4,0.07392292796623193,0.05866392057442225
Landfill,PET,Pre-consumer processes,2.3898196382755315e-4,1.9260881272357925e-4,0.043786647990444835,0.035290086948446625
Sludge amended soil,PET,Pre-consumer processes,0,0,0,0
Sludge amended soil (MP),PET,Pre-consumer processes,0,0,0,0
Release,PET,Pre-consumer processes,0.0025742366344982393,0.00151629366965438,0.4716556494623893,0.2778176900881314
Incineration,LDPE,ConsumerFilms,0,0,0,0
Landfill,LDPE,ConsumerFilms,6.206111773623994e-6,1.0728004467693723e-5,0.001137093474623538,0.001965601703757805
Sludge amended soil,LDPE,ConsumerFilms,0,0,0,0
Sludge amended soil (MP),LDPE,ConsumerFilms,0,0,0,0
Release,LDPE,ConsumerFilms,0.026068261684598006,0.02215374006791688,4.776267546826026,4.059042793395316
Incineration,HDPE,ConsumerFilms,0,0,0,0
Landfill,HDPE,ConsumerFilms,7.93962417155377e-6,1.3636154424649832e-5,0.0014547103187549015,0.0024984374727388915
Sludge amended soil,HDPE,ConsumerFilms,0,0,0,0
Sludge amended soil (MP),HDPE,ConsumerFilms,0,0,0,0
Release,HDPE,ConsumerFilms,0.030565616449285595,0.028281763831450018,5.600279898283745,5.181828861069142
Incineration,PP,ConsumerFilms,0,0,0,0
Landfill,PP,ConsumerFilms,1.817688049823095e-5,3.021092466747444e-5,0.0033303963830288745,0.005535292717048278
Sludge amended soil,PP,ConsumerFilms,0,0,0,0
Sludge amended soil (MP),PP,ConsumerFilms,0,0,0,0
Release,PP,ConsumerFilms,0.07199242733939287,0.0635826271695319,13.190564774847797,11.649708076668677
Incineration,PS,ConsumerFilms,0,0,0,0
Landfill,PS,ConsumerFilms,8.527279528463368e-7,1.4316666597861307e-6,1.5623814494150683e-4,2.623121974047639e-4
Sludge amended soil,PS,ConsumerFilms,0,0,0,0
Sludge amended soil (MP),PS,ConsumerFilms,0,0,0,0
Release,PS,ConsumerFilms,0.0033513115682036803,0.0030115553812090326,0.6140325302922366,0.5517818720239611
Incineration,EPS,ConsumerFilms,0,0,0,0
Landfill,EPS,ConsumerFilms,0,0,0,0
Sludge amended soil,EPS,ConsumerFilms,0,0,0,0
Sludge amended soil (MP),EPS,ConsumerFilms,0,0,0,0
Release,EPS,ConsumerFilms,0,0,0,0
Incineration,PVC,ConsumerFilms,0,0,0,0
Landfill,PVC,ConsumerFilms,1.8500526223285033e-6,3.065242144842467e-6,3.389695257343847e-4,5.616184445556844e-4
Sludge amended soil,PVC,ConsumerFilms,0,0,0,0
Sludge amended soil (MP),PVC,ConsumerFilms,0,0,0,0
Release,PVC,ConsumerFilms,0.0071801685289299725,0.006391438523603631,1.3155616719058822,1.171049330683149
Incineration,PET,ConsumerFilms,0,0,0,0
Landfill,PET,ConsumerFilms,2.041605482535209e-6,3.323239400441805e-6,3.740661394164373e-4,6.088891039497997e-4
Sludge amended soil,PET,ConsumerFilms,0,0,0,0
Sludge amended soil (MP),PET,ConsumerFilms,0,0,0,0
Release,PET,ConsumerFilms,0.008068190774807363,0.007129020428912628,1.4782664922410915,1.3061902372797294
Incineration,LDPE,ConsumerBags,0,0,0,0
Landfill,LDPE,ConsumerBags,6.935967661001202e-7,1.1692737505763151e-6,1.2708188081696299e-4,2.142361595032195e-4
Sludge amended soil,LDPE,ConsumerBags,0,0,0,0
Sludge amended soil (MP),LDPE,ConsumerBags,0,0,0,0
Release,LDPE,ConsumerBags,0.0028049095477853518,0.002425517145792963,0.5139199002588282,0.4444070328849651
Incineration,HDPE,ConsumerBags,0,0,0,0
Landfill,HDPE,ConsumerBags,1.70021044284016e-6,2.786979297641295e-6,3.115152080013881e-4,5.106346918737931e-4
Sludge amended soil,HDPE,ConsumerBags,0,0,0,0
Sludge amended soil (MP),HDPE,ConsumerBags,0,0,0,0
Release,HDPE,ConsumerBags,0.006679020583371636,0.006114948368867201,1.2237405640203858,1.120390373478313
Incineration,PP,ConsumerBags,0,0,0,0
Landfill,PP,ConsumerBags,0,0,0,0
Sludge amended soil,PP,ConsumerBags,0,0,0,0
Sludge amended soil (MP),PP,ConsumerBags,0,0,0,0
Release,PP,ConsumerBags,0,0,0,0
Incineration,PS,ConsumerBags,0,0,0,0
Landfill,PS,ConsumerBags,0,0,0,0
Sludge amended soil,PS,ConsumerBags,0,0,0,0
Sludge amended soil (MP),PS,ConsumerBags,0,0,0,0
Release,PS,ConsumerBags,0,0,0,0
Incineration,EPS,ConsumerBags,0,0,0,0
Landfill,EPS,ConsumerBags,0,0,0,0
Sludge amended soil,EPS,ConsumerBags,0,0,0,0
Sludge amended soil (MP),EPS,ConsumerBags,0,0,0,0
Release,EPS,ConsumerBags,0,0,0,0
Incineration,PVC,ConsumerBags,0,0,0,0
Landfill,PVC,ConsumerBags,0,0,0,0
Sludge amended soil,PVC,ConsumerBags,0,0,0,0
Sludge amended soil (MP),PVC,ConsumerBags,0,0,0,0
Release,PVC,ConsumerBags,0,0,0,0
Incineration,PET,ConsumerBags,0,0,0,0
Landfill,PET,ConsumerBags,0,0,0,0
Sludge amended soil,PET,ConsumerBags,0,0,0,0
Sludge amended soil (MP),PET,ConsumerBags,0,0,0,0
Release,PET,ConsumerBags,0,0,0,0
Incineration,LDPE,ConsumerBottles,0,0,0,0
Landfill,LDPE,ConsumerBottles,0,0,0,0
Sludge amended soil,LDPE,ConsumerBottles,0,0,0,0
Sludge amended soil (MP),LDPE,ConsumerBottles,0,0,0,0
Release,LDPE,ConsumerBottles,0,0,0,0
Incineration,HDPE,ConsumerBottles,0,0,0,0
Landfill,HDPE,ConsumerBottles,1.979060486875119e-7,2.7489210152605536e-7,3.626065478026182e-5,5.0366159404232264e-5
Sludge amended soil,HDPE,ConsumerBottles,0,0,0,0
Sludge amended soil (MP),HDPE,ConsumerBottles,0,0,0,0
Release,HDPE,ConsumerBottles,0.004604210260510082,0.003170806423686466,0.843590581992304,0.5809600963024362
Incineration,PP,ConsumerBottles,0,0,0,0
Landfill,PP,ConsumerBottles,2.7960264723341763e-8,3.909465554304516e-8,5.122923293257604e-6,7.162983737995581e-6
Sludge amended soil,PP,ConsumerBottles,0,0,0,0
Sludge amended soil (MP),PP,ConsumerBottles,0,0,0,0
Release,PP,ConsumerBottles,6.531467805385976e-4,4.421483228935369e-4,0.11967057139999367,0.08101110503918595
Incineration,PS,ConsumerBottles,0,0,0,0
Landfill,PS,ConsumerBottles,0,0,0,0
Sludge amended soil,PS,ConsumerBottles,0,0,0,0
Sludge amended soil (MP),PS,ConsumerBottles,0,0,0,0
Release,PS,ConsumerBottles,0,0,0,0
Incineration,EPS,ConsumerBottles,0,0,0,0
Landfill,EPS,ConsumerBottles,0,0,0,0
Sludge amended soil,EPS,ConsumerBottles,0,0,0,0
Sludge amended soil (MP),EPS,ConsumerBottles,0,0,0,0
Release,EPS,ConsumerBottles,0,0,0,0
Incineration,PVC,ConsumerBottles,0,0,0,0
Landfill,PVC,ConsumerBottles,0,0,0,0
Sludge amended soil,PVC,ConsumerBottles,0,0,0,0
Sludge amended soil (MP),PVC,ConsumerBottles,0,0,0,0
Release,PVC,ConsumerBottles,0,0,0,0
Incineration,PET,ConsumerBottles,0,0,0,0
Landfill,PET,ConsumerBottles,5.848187755120144e-5,1.0141728398151872e-4,0.010715140779421112,0.018581832882794948
Sludge amended soil,PET,ConsumerBottles,0,0,0,0
Sludge amended soil (MP),PET,ConsumerBottles,0,0,0,0
Release,PET,ConsumerBottles,0.21661081197065393,0.20082643218142102,39.687770670122575,36.79573199695578
Incineration,LDPE,ConsumerOther,0,0,0,0
Landfill,LDPE,ConsumerOther,2.5118893718167665e-8,3.519907471796999e-8,4.6023228679318235e-6,6.449229345932012e-6
Sludge amended soil,LDPE,ConsumerOther,0,0,0,0
Sludge amended soil (MP),LDPE,ConsumerOther,0,0,0,0
Release,LDPE,ConsumerOther,5.769499988779082e-4,3.900145995853215e-4,0.10570967827172018,0.07145908297707211
Incineration,HDPE,ConsumerOther,0,0,0,0
Landfill,HDPE,ConsumerOther,2.954579725279826e-6,5.000811138961964e-6,5.413427035183534e-4,9.162564132514561e-4
Sludge amended soil,HDPE,ConsumerOther,0,0,0,0
Sludge amended soil (MP),HDPE,ConsumerOther,0,0,0,0
Release,HDPE,ConsumerOther,0.011630639598605629,0.01027666636580514,2.130983919670837,1.8829068330840861
Incineration,PP,ConsumerOther,0,0,0,0
Landfill,PP,ConsumerOther,7.282462970658319e-6,1.2365078882344636e-5,0.0013343042189985586,0.0022655490302439497
Sludge amended soil,PP,ConsumerOther,0,0,0,0
Sludge amended soil (MP),PP,ConsumerOther,0,0,0,0
Release,PP,ConsumerOther,0.03107711822470638,0.025625379187288664,5.693998051018479,4.695121925205783
Incineration,PS,ConsumerOther,0,0,0,0
Landfill,PS,ConsumerOther,3.0448468386035914e-6,4.964928489920731e-6,5.578815847498817e-4,9.096819383523088e-4
Sludge amended soil,PS,ConsumerOther,0,0,0,0
Sludge amended soil (MP),PS,ConsumerOther,0,0,0,0
Release,PS,ConsumerOther,0.012913350329889571,0.010880488637180604,2.3660041796299716,1.993540091017252
Incineration,EPS,ConsumerOther,0,0,0,0
Landfill,EPS,ConsumerOther,1.6917288435632355e-8,2.4186735387591144e-8,3.0996119615887646e-6,4.431531365348945e-6
Sludge amended soil,EPS,ConsumerOther,0,0,0,0
Sludge amended soil (MP),EPS,ConsumerOther,0,0,0,0
Release,EPS,ConsumerOther,3.8826271247904083e-4,2.627803465042475e-4,0.07113809949023013,0.04814702476665314
Incineration,PVC,ConsumerOther,0,0,0,0
Landfill,PVC,ConsumerOther,1.173317129224221e-6,1.9369842752333822e-6,2.1497699364280207e-4,3.54897278707911e-4
Sludge amended soil,PVC,ConsumerOther,0,0,0,0
Sludge amended soil (MP),PVC,ConsumerOther,0,0,0,0
Release,PVC,ConsumerOther,0.004751793431702082,0.004041030204752664,0.8706310007034026,0.7404038541667539
Incineration,PET,ConsumerOther,0,0,0,0
Landfill,PET,ConsumerOther,5.925319830918726e-6,9.698483804690896e-6,0.0010856463371204728,0.0017769713228378337
Sludge amended soil,PET,ConsumerOther,0,0,0,0
Sludge amended soil (MP),PET,ConsumerOther,0,0,0,0
Release,PET,ConsumerOther,0.024191684141242273,0.021019078848699642,4.432438083708117,3.8511483958493797
Incineration,LDPE,AgriculturalPackagingFilms,0,0,0,0
Landfill,LDPE,AgriculturalPackagingFilms,2.2073733064242103e-8,3.020823926720414e-8,4.044383785449405e-6,5.534800693824159e-6
Sludge amended soil,LDPE,AgriculturalPackagingFilms,0,0,0,0
Sludge amended soil (MP),LDPE,AgriculturalPackagingFilms,0,0,0,0
Release,LDPE,AgriculturalPackagingFilms,0.0016286927899575308,8.781448262295303e-4,0.298411632142692,0.16089506410822133
Incineration,HDPE,AgriculturalPackagingFilms,0,0,0,0
Landfill,HDPE,AgriculturalPackagingFilms,1.5544381633894753e-10,2.1756563854508347e-10,2.8480658369835197e-8,3.986271548368448e-8
Sludge amended soil,HDPE,AgriculturalPackagingFilms,0,0,0,0
Sludge amended soil (MP),HDPE,AgriculturalPackagingFilms,0,0,0,0
Release,HDPE,AgriculturalPackagingFilms,1.1714822813321853e-5,6.3723613413165815e-06,0.0021464080995145644,0.0011675539796027832
Incineration,PP,AgriculturalPackagingFilms,0,0,0,0
Landfill,PP,AgriculturalPackagingFilms,1.6424717336876023e-8,2.2995911049259933e-8,3.009362316945818e-6,4.213346673559449e-6
Sludge amended soil,PP,AgriculturalPackagingFilms,0,0,0,0
Sludge amended soil (MP),PP,AgriculturalPackagingFilms,0,0,0,0
Release,PP,AgriculturalPackagingFilms,0.001235154670758328,6.657124630498321e-4,0.2263069644087226,0.12197287533986816
Incineration,PS,AgriculturalPackagingFilms,0,0,0,0
Landfill,PS,AgriculturalPackagingFilms,0,0,0,0
Sludge amended soil,PS,AgriculturalPackagingFilms,0,0,0,0
Sludge amended soil (MP),PS,AgriculturalPackagingFilms,0,0,0,0
Release,PS,AgriculturalPackagingFilms,0,0,0,0
Incineration,EPS,AgriculturalPackagingFilms,0,0,0,0
Landfill,EPS,AgriculturalPackagingFilms,0,0,0,0
Sludge amended soil,EPS,AgriculturalPackagingFilms,0,0,0,0
Sludge amended soil (MP),EPS,AgriculturalPackagingFilms,0,0,0,0
Release,EPS,AgriculturalPackagingFilms,0,0,0,0
Incineration,PVC,AgriculturalPackagingFilms,0,0,0,0
Landfill,PVC,AgriculturalPackagingFilms,0,0,0,0
Sludge amended soil,PVC,AgriculturalPackagingFilms,0,0,0,0
Sludge amended soil (MP),PVC,AgriculturalPackagingFilms,0,0,0,0
Release,PVC,AgriculturalPackagingFilms,0,0,0,0
Incineration,PET,AgriculturalPackagingFilms,0,0,0,0
Landfill,PET,AgriculturalPackagingFilms,0,0,0,0
Sludge amended soil,PET,AgriculturalPackagingFilms,0,0,0,0
Sludge amended soil (MP),PET,AgriculturalPackagingFilms,0,0,0,0
Release,PET,AgriculturalPackagingFilms,0,0,0,0
Incineration,LDPE,AgriculturalPackagingBottles,0,0,0,0
