dest,pol,prod,mean,sd,mean_percap,sd_percap
Incineration,LDPE,Pre-consumer processes,2.7110539383783426e-5,1.5170446280682313e-5,4.0448071846675146e-4,2.2633828579382936e-4
Landfill,LDPE,Pre-consumer processes,0,0,0,0
Sludge amended soil,LDPE,Pre-consumer processes,0,0,0,0
Sludge amended soil (MP),LDPE,Pre-consumer processes,7.221951830263966e-4,3.4974520389611776e-4,0.010774924923790943,0.005218088410178284
Release,LDPE,Pre-consumer processes,0.026842101296004166,0.020325607638611676,0.4004757066493273,0.30325167140926185
Incineration,HDPE,Pre-consumer processes,5.355560448011748e-5,3.38534754681373e-5,7.990327699269852e-4,5.050832034769267e-4
Landfill,HDPE,Pre-consumer processes,0,0,0,0
Sludge amended soil,HDPE,Pre-consumer processes,0,0,0,0
Sludge amended soil (MP),HDPE,Pre-consumer processes,0.001421368973018212,0.00080090555330599735,0.02120637790617511,0.011949258885605094
Release,HDPE,Pre-consumer processes,0.03274361142959057,0.028307734900603492,0.48852438119173386,0.42234249893277237
Incineration,PP,Pre-consumer processes,6.37561213438425e-4,4.1381620211091845e-4,0.009512212723895989,0.006174007546420415
Landfill,PP,Pre-consumer processes,0,0,0,0
Sludge amended soil,PP,Pre-consumer processes,0,0,0,0
Sludge amended soil (MP),PP,Pre-consumer processes,0.01697193979044235,0.009799200218475829,0.2532160021987192,0.14620098437213425
Release,PP,Pre-consumer processes,0.06861427011420052,0.03742499066925403,1.0237033236404192,0.5583690866573526
Incineration,PS,Pre-consumer processes,4.789433708409027e-6,3.9453734568020655e-6,7.145684414471467e-5,5.88637307371877e-5
Landfill,PS,Pre-consumer processes,0,0,0,0
Sludge amended soil,PS,Pre-consumer processes,0,0,0,0
Sludge amended soil (MP),PS,Pre-consumer processes,1.2793862087774572e-4,9.712179787509089e-5,0.001908803973233752,0.0014490266691926323
Release,PS,Pre-consumer processes,0.01169256373324721,0.010530729784248778,0.17444937234893546,0.15711517534985062
Incineration,EPS,Pre-consumer processes,9.155990276535232e-6,5.940247335081685e-6,1.3660449439610993e-4,8.862662140175883e-5
Landfill,EPS,Pre-consumer processes,0,0,0,0
Sludge amended soil,EPS,Pre-consumer processes,0,0,0,0
Sludge amended soil (MP),EPS,Pre-consumer processes,2.457828807802981e-4,1.4482567707214483e-4,0.0036670032564644997,0.002160753538884398
Release,EPS,Pre-consumer processes,0.012670957309713616,0.010227979777644124,0.18904669670129062,0.15259824049828832
Incineration,PVC,Pre-consumer processes,5.4479184438959234e-5,3.7377547372278225e-5,8.128122923490755e-4,5.576612475924212e-4
Landfill,PVC,Pre-consumer processes,0,0,0,0
Sludge amended soil,PVC,Pre-consumer processes,0,0,0,0
Sludge amended soil (MP),PVC,Pre-consumer processes,0.0014457478557993357,8.945090161598118e-4,0.021570103167525834,0.013345793103169712
Release,PVC,Pre-consumer processes,0.03990617262730824,0.023975758563314006,0.595387540876704,0.3577107748463117
Incineration,PET,Pre-consumer processes,8.879171721024276e-4,6.914111860919145e-4,0.01324744486366746,0.010315637374359681
Landfill,PET,Pre-consumer processes,0,0,0,0
Sludge amended soil,PET,Pre-consumer processes,0,0,0,0
