"country","dest","mean","sd"
"AT","Coastal and ocean water",0,0
"AT","Coastal and ocean water (MP)",0,0
"AT","Fresh water",0.0258171585967258,0.0105092198679175
"AT","Fresh water (MP)",0.0269135728501199,0.00969358703073886
"AT","Soil",1.05656686193883,0.286669847081821
"AT","Soil (MP)",0.523245861728603,0.111676028600017
"AT","Subsurface soil (MP)",0.0715408660113487,0.0274545542522237
"BE","Coastal and ocean water",0.0102256921105189,0.00268721771577799
"BE","Coastal and ocean water (MP)",0.00275481926867471,0.00105788141432131
"BE","Fresh water",0.0328899365340662,0.0112972658296113
"BE","Fresh water (MP)",0.0483082033501375,0.0145856742957001
"BE","Soil",4.66384186444254,1.55920248831648
"BE","Soil (MP)",1.13342452244136,0.193972546267745
"BE","Subsurface soil (MP)",0.111148269173005,0.041415621734226
"BG","Coastal and ocean water",0.00324308095157296,0.000821865176868314
"BG","Coastal and ocean water (MP)",0.00205500352189282,0.00182545237388059
"BG","Fresh water",0.0382825008019643,0.0143955198224746
"BG","Fresh water (MP)",0.00629115409413093,0.00219070552245992
"BG","Soil",2.56548763212462,0.849797522123341
"BG","Soil (MP)",0.200489086224322,0.0524769356468017
"BG","Subsurface soil (MP)",0.0168142089516905,0.00710764405749372
"CH","Coastal and ocean water",0,0
"CH","Coastal and ocean water (MP)",0,0
"CH","Fresh water",0.0245712695895627,0.00965758937208621
"CH","Fresh water (MP)",0.0211802791415227,0.0072991692891054
"CH","Soil",1.63475226498825,0.489681043630476
"CH","Soil (MP)",0.469423053487083,0.129992182326112
"CH","Subsurface soil (MP)",0.0519587008894932,0.020177720263532
"CY","Coastal and ocean water",0.00128826017601763,0.000386723057406899
"CY","Coastal and ocean water (MP)",0.00152910206313481,0.000835616631800517
"CY","Fresh water",0.00501541944264211,0.00208427097973861
"CY","Fresh water (MP)",0.00088538034355417,0.00035092949245149
"CY","Soil",0.194744623805674,0.0543068952878753
"CY","Soil (MP)",0.0328315497375494,0.00724342721778083
"CY","Subsurface soil (MP)",0.00336843287506689,0.00121372294289742
"CZ","Coastal and ocean water",0,0
"CZ","Coastal and ocean water (MP)",0,0
"CZ","Fresh water",0.0340631259154138,0.0126946409913704
"CZ","Fresh water (MP)",0.0198833007795154,0.00837401613527939
"CZ","Soil",2.63939541274613,0.805952132037108
"CZ","Soil (MP)",0.542819671752556,0.10693634434432
"CZ","Subsurface soil (MP)",0.0577811810984288,0.0224856652399725
"DE","Coastal and ocean water",0.0758288738215983,0.0227412253107332
"DE","Coastal and ocean water (MP)",0.20469621189277,0.105515516195915
"DE","Fresh water",0.353217410844872,0.152237772345699
"DE","Fresh water (MP)",0.332003464091289,0.140373233194042
"DE","Soil",17.1048212982665,4.90013981105383
"DE","Soil (MP)",6.5094559675741,1.33249198645143
"DE","Subsurface soil (MP)",0.950342167589227,0.364605138997096
"DK","Coastal and ocean water",0.19841931797535,0.0674578526568575
"DK","Coastal and ocean water (MP)",0.0728675050044623,0.0185602474227459
