"mat","dest","mean","sd"
"LDPE","Soil",10.826969684828,4.38360237483256
"LDPE","Soil (MP)",22.0676386731103,10.1733292708434
"LDPE","Fresh water",0.324578359808574,0.25892814227481
"LDPE","Fresh water (MP)",0.103861109058673,0.0725639195309769
"LDPE","Subsurface soil (MP)",0.283745271689377,0.227960896784942
"LDPE","Coastal and ocean water",0,0
"LDPE","Coastal and ocean water (MP)",0,0
"HDPE","Soil",17.8000217362374,9.16357434996331
"HDPE","Soil (MP)",3.99049103377981,1.24732388911597
"HDPE","Fresh water",0.543034230776513,0.345861592475583
"HDPE","Fresh water (MP)",0.292659193882333,0.218276705371921
"HDPE","Subsurface soil (MP)",0.810639149791165,0.606156119123005
"HDPE","Coastal and ocean water",0,0
"HDPE","Coastal and ocean water (MP)",0,0
"PP","Soil",25.9681223300125,11.1010212192195
"PP","Soil (MP)",15.3919140257585,5.19411925700597
"PP","Fresh water",0.666706929127084,0.444317495057054
"PP","Fresh water (MP)",1.11177975535287,0.852690973289937
"PP","Subsurface soil (MP)",3.71551300741286,2.57186592154801
"PP","Coastal and ocean water",0,0
"PP","Coastal and ocean water (MP)",0,0
"PS","Soil",2.59042939823014,1.44112763732461
"PS","Soil (MP)",0.850551412779728,0.29749243640574
"PS","Fresh water",0.101950609767507,0.0812348935562473
"PS","Fresh water (MP)",0.0487430527741276,0.0357001675548828
"PS","Subsurface soil (MP)",0.127945395221967,0.103636137453685
"PS","Coastal and ocean water",0,0
"PS","Coastal and ocean water (MP)",0,0
"EPS","Soil",8.70430405672563,7.83401751349351
"EPS","Soil (MP)",0.628027517499328,0.253318142016873
"EPS","Fresh water",0.0309129087337951,0.0218328834411845
"EPS","Fresh water (MP)",0.0135378616673487,0.0101147208853485
"EPS","Subsurface soil (MP)",0.000707500953488352,0.000835015522149659
"EPS","Coastal and ocean water",0,0
"EPS","Coastal and ocean water (MP)",0,0
"PVC","Soil",17.4006110326476,14.2083769352074
"PVC","Soil (MP)",6.40427837001595,2.00296305727318
"PVC","Fresh water",0.0430627436068239,0.0402283536283464
"PVC","Fresh water (MP)",0.738057858853505,0.383164813712599
"PVC","Subsurface soil (MP)",1.04642828491366,0.798292844470824
"PVC","Coastal and ocean water",0,0
"PVC","Coastal and ocean water (MP)",0,0
"PET","Soil",35.4107287136687,23.4569184238862
"PET","Soil (MP)",9.45174108721223,4.46632419762346
"PET","Fresh water",1.19021180355667,0.997197691713127
"PET","Fresh water (MP)",0.714996640543455,0.489511383330285
"PET","Subsurface soil (MP)",2.05236007349945,1.32120733778105
"PET","Coastal and ocean water",0,0
"PET","Coastal and ocean water (MP)",0,0
