"mat","dest","mean","sd"
"LDPE","Soil",30.3468662607464,16.6458753944486
"LDPE","Soil (MP)",14.4674219629883,6.83707412267798
"LDPE","Fresh water",1.01723712649862,0.882152245066468
"LDPE","Fresh water (MP)",0.0243414213221885,0.0106581995698798
"LDPE","Subsurface soil (MP)",0.00394574421691183,0.0019569445386047
"LDPE","Coastal and ocean water",0.147327751661829,0.0682577681272167
"LDPE","Coastal and ocean water (MP)",0.0198601331154685,0.00566212828777209
"HDPE","Soil",64.0367178222259,46.5426054093765
"HDPE","Soil (MP)",1.80782357500472,0.589296187851674
"HDPE","Fresh water",1.19257048378368,0.863054050183321
"HDPE","Fresh water (MP)",0.0760047069095206,0.0304122789414991
"HDPE","Subsurface soil (MP)",0.0867300717913357,0.0467101291996673
"HDPE","Coastal and ocean water",0.149667054290137,0.0675477756630307
"HDPE","Coastal and ocean water (MP)",0.0268580346687398,0.0157756879558007
"PP","Soil",64.4106994592743,32.0315272674444
"PP","Soil (MP)",5.79509651809997,2.22217878935724
"PP","Fresh water",1.26548248540312,0.850838804724246
"PP","Fresh water (MP)",0.198242780780271,0.0885804249563374
"PP","Subsurface soil (MP)",0.665462946743337,0.410836259468243
"PP","Coastal and ocean water",0.0624942252110636,0.0301756028430197
"PP","Coastal and ocean water (MP)",0.0513900613266471,0.0661875928176058
"PS","Soil",5.56488841475201,3.10989554412394
"PS","Soil (MP)",0.251974883762639,0.150528763896645
"PS","Fresh water",0.276492632391434,0.224337577760005
"PS","Fresh water (MP)",0.0055364842651368,0.00263954897728359
"PS","Subsurface soil (MP)",0.00376171932433142,0.00338890070269804
"PS","Coastal and ocean water",0.00985296870532848,0.00721217078481586
"PS","Coastal and ocean water (MP)",0.0021690334156811,0.00256179933609469
"EPS","Soil",54.051717192879,49.0018858610403
"EPS","Soil (MP)",0.420145340738641,0.173055359590911
"EPS","Fresh water",0.124221039048393,0.0885103896601755
"EPS","Fresh water (MP)",0.00553999756952284,0.00360487905061991
"EPS","Subsurface soil (MP)",0.000587279181543079,0.000639928714871109
"EPS","Coastal and ocean water",0.0460941748321853,0.0417747456868941
"EPS","Coastal and ocean water (MP)",0.0057153047524624,0.00500419164172639
"PVC","Soil",100.421935269868,92.2912176147836
"PVC","Soil (MP)",2.63409397122007,1.0126172616442
"PVC","Fresh water",0.0673054310233832,0.0572852545413625
"PVC","Fresh water (MP)",0.20238758625867,0.113902175676736
"PVC","Subsurface soil (MP)",0.117971088725623,0.0886855221956108
"PVC","Coastal and ocean water",0.00339265742341254,0.00236995382284612
"PVC","Coastal and ocean water (MP)",0.0364612318165088,0.0358932140943869
"PET","Soil",71.6954503327367,47.3376335321756
"PET","Soil (MP)",5.14265419748523,2.9242160995191
"PET","Fresh water",1.88419852560542,1.54591386558967
"PET","Fresh water (MP)",0.445610401902409,0.298970320658502
"PET","Subsurface soil (MP)",1.68106392105186,0.99748108723631
"PET","Coastal and ocean water",0.0748452721832856,0.0599652010028068
"PET","Coastal and ocean water (MP)",0.170366644848888,0.265888853959051
