"mat","dest","mean","sd"
"LDPE","Soil",16.5329994379854,7.56168230017248
"LDPE","Soil (MP)",27.4634734662325,13.1304294145952
"LDPE","Fresh water",0.342624542387273,0.272527348066244
"LDPE","Fresh water (MP)",0.0622703082162221,0.03852577180246
"LDPE","Subsurface soil (MP)",0.116031279582808,0.108165612520017
"LDPE","Coastal and ocean water",0,0
"LDPE","Coastal and ocean water (MP)",0,0
"HDPE","Soil",28.3210911080716,18.2115536527506
"HDPE","Soil (MP)",2.74989583290455,1.01264518197258
"HDPE","Fresh water",0.548844406339541,0.346517915596037
"HDPE","Fresh water (MP)",0.186317167586486,0.110973207060644
"HDPE","Subsurface soil (MP)",0.440039525025172,0.321174566306598
"HDPE","Coastal and ocean water",0,0
"HDPE","Coastal and ocean water (MP)",0,0
"PP","Soil",37.0327503837932,16.7052027472748
"PP","Soil (MP)",9.55168210549411,4.14544816226679
"PP","Fresh water",0.657193830355226,0.44151033158414
"PP","Fresh water (MP)",0.627259920130485,0.452166497483511
"PP","Subsurface soil (MP)",2.22983913175218,1.47248091896468
"PP","Coastal and ocean water",0,0
"PP","Coastal and ocean water (MP)",0,0
"PS","Soil",3.24558373486937,1.97942624618282
"PS","Soil (MP)",0.679773514623541,0.319351467283681
"PS","Fresh water",0.101739687154114,0.0809276839272854
"PS","Fresh water (MP)",0.0307880325792455,0.0197890755469727
"PS","Subsurface soil (MP)",0.056306567172784,0.0525806161930315
"PS","Coastal and ocean water",0,0
"PS","Coastal and ocean water (MP)",0,0
"EPS","Soil",19.1199751751656,17.4862913087542
"EPS","Soil (MP)",0.802097189135348,0.323009193440749
"EPS","Fresh water",0.0655884385102859,0.0448268927051915
"EPS","Fresh water (MP)",0.0282447206014506,0.0195739609412351
"EPS","Subsurface soil (MP)",0.000909423150057147,0.00106572124294598
"EPS","Coastal and ocean water",0,0
"EPS","Coastal and ocean water (MP)",0,0
"PVC","Soil",36.7018176301002,32.5504666613915
"PVC","Soil (MP)",5.02153168360522,1.89172676576161
"PVC","Fresh water",0.0380943896190099,0.0357636865291582
"PVC","Fresh water (MP)",0.488568299513116,0.248468595386608
"PVC","Subsurface soil (MP)",0.55027944668453,0.436882435280369
"PVC","Coastal and ocean water",0,0
"PVC","Coastal and ocean water (MP)",0,0
"PET","Soil",49.0000001106638,34.3237780736152
"PET","Soil (MP)",8.2773576738779,4.95221013641713
"PET","Fresh water",1.10103617560366,0.924033790023717
"PET","Fresh water (MP)",1.03764821943396,0.654948874422154
"PET","Subsurface soil (MP)",2.64406867413998,1.71984005039991
"PET","Coastal and ocean water",0,0
"PET","Coastal and ocean water (MP)",0,0
